date,time,open,high,low,close,volume
2024-11-01,433,2.892,2.892,2.892,2.892,3
2024-11-01,446,2.91,2.91,2.91,2.91,3
2024-11-01,538,2.913,2.913,2.913,2.913,3
2024-11-01,800,2.913,2.913,2.913,2.913,3
2024-11-01,849,2.913,2.913,2.913,2.913,66
2024-11-01,855,2.916,2.916,2.916,2.916,9
2024-11-01,902,2.91,2.91,2.91,2.91,40
2024-11-01,917,2.853,2.853,2.853,2.853,20
2024-11-01,923,2.907,2.91,2.907,2.91,35
2024-11-01,924,2.853,2.853,2.853,2.853,399
2024-11-01,930,2.88,2.88,2.88,2.88,19
2024-11-01,933,2.913,2.913,2.913,2.913,34
2024-11-01,938,2.877,2.877,2.877,2.877,66
2024-11-01,945,2.88,2.88,2.88,2.88,6
2024-11-01,1002,2.883,2.916,2.883,2.916,162
2024-11-01,1009,2.916,2.916,2.916,2.916,32
2024-11-01,1017,2.913,2.913,2.913,2.913,16
2024-11-01,1018,2.898,2.898,2.898,2.898,66
2024-11-01,1019,2.916,2.931,2.916,2.931,264
2024-11-01,1029,2.916,2.916,2.916,2.916,6
2024-11-01,1034,2.904,2.904,2.904,2.904,36
2024-11-01,1036,2.955,2.955,2.955,2.955,141
2024-11-01,1038,2.931,2.952,2.931,2.931,233
2024-11-01,1039,2.955,2.955,2.931,2.931,140
2024-11-01,1040,2.958,2.958,2.958,2.958,17
2024-11-01,1041,2.943,2.943,2.943,2.943,133
2024-11-01,1049,2.958,2.958,2.958,2.958,1000
2024-11-01,1050,2.952,2.958,2.952,2.958,23
2024-11-01,1051,2.958,2.958,2.958,2.958,13
2024-11-01,1055,2.946,2.946,2.946,2.946,16
2024-11-01,1102,2.958,3.06,2.958,3.06,101
2024-11-01,1105,3.15,3.153,3.15,3.153,95
2024-11-01,1106,3.144,3.147,3.144,3.147,167
2024-11-01,1112,3.156,3.159,3.156,3.159,62
2024-11-01,1116,3.162,3.162,3.162,3.162,3
2024-11-01,1117,3.162,3.162,3.162,3.162,3
2024-11-01,1127,3.159,3.162,3.159,3.162,191
2024-11-01,1129,3.159,3.162,3.159,3.162,10
2024-11-01,1130,3.162,3.162,3.162,3.162,32
2024-11-01,1135,3.153,3.153,3.06,3.06,660
2024-11-01,1143,3.15,3.15,3.15,3.15,16
2024-11-01,1145,3.075,3.075,3.075,3.075,4
2024-11-01,1146,3.111,3.111,3.111,3.111,19
2024-11-01,1150,3.111,3.111,3.111,3.111,166
2024-11-01,1151,3.15,3.15,3.15,3.15,166
2024-11-01,1211,3.15,3.15,3.15,3.15,33
2024-11-01,1215,3.078,3.078,3.078,3.078,9
2024-11-01,1223,3.114,3.114,3.114,3.114,333
2024-11-01,1227,3.156,3.156,3.156,3.156,8
2024-11-01,1229,3.123,3.123,3.123,3.123,133
2024-11-01,1233,3.12,3.12,3.12,3.12,9
2024-11-01,1240,3.12,3.12,3.12,3.12,33
2024-11-01,1243,3.12,3.12,3.12,3.12,3
2024-11-01,1244,3.159,3.162,3.12,3.162,919
2024-11-01,1255,3.162,3.162,3.162,3.162,166
2024-11-01,1256,3.141,3.147,3.141,3.147,113
2024-11-01,1257,3.156,3.162,3.153,3.153,338
2024-11-01,1259,3.159,3.159,3.159,3.159,66
2024-11-01,1301,3.141,3.15,3.141,3.141,333
2024-11-01,1303,3.162,3.3,3.162,3.198,725
2024-11-01,1309,3.198,3.198,3.198,3.198,3
2024-11-01,1317,3.201,3.201,3.201,3.201,66
2024-11-01,1322,3.18,3.18,3.18,3.18,6
2024-11-01,1324,3.201,3.201,3.201,3.201,3
2024-11-01,1329,3.201,3.201,3.201,3.201,66
2024-11-01,1331,3.198,3.198,3.198,3.198,23
2024-11-01,1341,3.159,3.159,3.159,3.159,16
2024-11-01,1343,3.18,3.18,3.159,3.159,266
2024-11-01,1352,3.201,3.201,3.201,3.201,100
2024-11-01,1410,3.183,3.183,3.183,3.183,22
2024-11-01,1418,3.189,3.189,3.189,3.189,100
2024-11-01,1421,3.189,3.189,3.189,3.189,166
2024-11-01,1422,3.192,3.294,3.189,3.294,656
2024-11-01,1423,3.294,3.3,3.27,3.3,361
2024-11-01,1424,3.36,3.384,3.36,3.381,829
2024-11-01,1425,3.384,3.384,3.384,3.384,268
2024-11-01,1426,3.381,3.384,3.372,3.384,936
2024-11-01,1427,3.186,3.186,3.186,3.186,33
2024-11-01,1432,3.381,3.381,3.381,3.381,7
2024-11-01,1433,3.375,3.384,3.375,3.384,1000
2024-11-01,1434,3.381,3.6,3.381,3.6,5846
2024-11-01,1435,3.597,3.6,3.594,3.594,1023
2024-11-01,1436,3.585,3.6,3.582,3.6,881
2024-11-01,1437,3.663,3.87,3.663,3.834,5771
2024-11-01,1438,3.834,4.047,3.825,3.957,14776
2024-11-01,1439,4.02,4.71,3.999,4.56,36947
2024-11-01,1440,4.563,4.65,4.305,4.65,43683
2024-11-01,1441,4.677,5.1,4.677,4.695,72296
2024-11-01,1442,4.695,4.92,4.44,4.836,30325
2024-11-01,1443,4.833,4.836,4.2,4.5,36198
2024-11-01,1444,4.62,4.632,3.792,3.819,33083
2024-11-01,1445,3.819,3.861,3.447,3.552,43712
2024-11-01,1446,3.594,4.2,3.51,3.918,24994
2024-11-01,1447,3.933,4.059,3.873,4.059,17163
2024-11-01,1448,4.011,4.014,3.666,3.708,14047
2024-11-01,1449,3.708,3.72,3.603,3.72,10780
2024-11-01,1450,3.69,3.999,3.69,3.957,19208
2024-11-01,1451,3.927,4.167,3.927,4.137,21149
2024-11-01,1452,4.134,4.134,3.945,3.954,7736
2024-11-01,1453,3.93,4.092,3.9,3.972,10881
2024-11-01,1454,3.954,3.966,3.636,3.636,10299
2024-11-01,1455,3.636,3.918,3.636,3.918,11537
2024-11-01,1456,3.864,3.918,3.81,3.915,4150
2024-11-01,1457,3.864,4.014,3.864,3.978,3425
2024-11-01,1458,3.93,3.984,3.918,3.984,10196
2024-11-01,1459,3.972,4.164,3.9,4.05,16482
2024-11-01,1500,3.924,3.927,3.87,3.885,2417
2024-11-01,1501,3.885,3.9,3.825,3.852,3589
2024-11-01,1502,3.852,3.852,3.825,3.825,1909
2024-11-01,1503,3.831,3.882,3.825,3.873,7618
2024-11-01,1504,3.873,4.227,3.873,4.182,17352
2024-11-01,1505,4.182,4.185,4.068,4.083,4992
2024-11-01,1506,4.08,4.083,3.918,3.993,4522
2024-11-01,1507,3.993,4.077,3.966,4.068,1685
2024-11-01,1508,4.077,4.077,3.99,4.047,2853
2024-11-01,1509,4.044,4.5,4.014,4.308,37190
2024-11-01,1510,4.263,4.425,4.263,4.323,11583
2024-11-01,1511,4.293,4.353,4.053,4.095,9810
2024-11-01,1512,4.134,4.2,4.053,4.152,8394
2024-11-01,1513,4.134,4.344,4.08,4.341,10396
2024-11-01,1514,4.344,4.401,4.203,4.29,11744
2024-11-01,1515,4.215,4.374,4.212,4.371,14281
2024-11-01,1516,4.371,4.65,4.266,4.635,28383
2024-11-01,1517,4.638,5.091,4.5,4.941,42294
2024-11-01,1518,4.941,4.941,4.566,4.788,32575
2024-11-01,1519,4.827,4.83,4.638,4.641,11349
2024-11-01,1520,4.638,4.638,4.212,4.29,37588
2024-11-01,1521,4.287,4.311,3.867,3.885,26314
2024-11-01,1522,3.867,4.02,3.84,3.969,14768
2024-11-01,1523,3.969,4.146,3.966,4.071,13644
2024-11-01,1524,4.071,4.083,4.026,4.038,8560
2024-11-01,1525,4.038,4.281,4.038,4.137,14932
2024-11-01,1526,4.125,4.284,4.125,4.197,9938
2024-11-01,1527,4.197,4.245,4.155,4.194,6032
2024-11-01,1528,4.227,4.227,3.84,3.942,9650
2024-11-01,1529,3.942,3.942,3.744,3.939,13720
2024-11-01,1530,3.882,3.939,3.78,3.78,6936
2024-11-01,1531,3.78,3.801,3.639,3.669,9182
2024-11-01,1532,3.66,3.885,3.66,3.867,4477
2024-11-01,1533,3.867,3.918,3.801,3.81,5356
2024-11-01,1534,3.867,3.87,3.816,3.816,1366
2024-11-01,1535,3.816,3.951,3.816,3.948,11622
2024-11-01,1536,3.948,3.948,3.753,3.873,4382
2024-11-01,1537,3.882,3.882,3.822,3.834,495
2024-11-01,1538,3.837,3.837,3.681,3.75,3219
2024-11-01,1539,3.747,3.747,3.645,3.744,1894
2024-11-01,1540,3.723,3.744,3.72,3.72,4527
2024-11-01,1541,3.72,3.741,3.645,3.645,11790
2024-11-01,1542,3.645,3.69,3.645,3.648,1693
2024-11-01,1543,3.648,3.69,3.648,3.684,3279
2024-11-01,1544,3.681,3.684,3.633,3.633,2072
2024-11-01,1545,3.63,3.633,3.3,3.3,15532
2024-11-01,1546,3.327,3.42,3.255,3.273,2640
2024-11-01,1547,3.285,3.297,3.198,3.285,4128
2024-11-01,1548,3.198,3.261,3.105,3.12,7924
2024-11-01,1549,3.12,3.192,3.108,3.189,4198
2024-11-01,1550,3.159,3.351,3.156,3.216,2836
2024-11-01,1551,3.21,3.3,3.132,3.3,3604
2024-11-01,1552,3.276,3.279,3.18,3.27,430
2024-11-01,1553,3.219,3.3,3.219,3.258,1830
2024-11-01,1554,3.258,3.3,3.258,3.276,2274
2024-11-01,1555,3.3,3.306,3.285,3.303,1655
2024-11-01,1556,3.348,3.459,3.345,3.447,2813
2024-11-01,1557,3.45,3.456,3.438,3.438,616
2024-11-01,1558,3.423,3.423,3.348,3.381,1137
2024-11-01,1559,3.378,3.42,3.312,3.312,1698
2024-11-01,1600,3.39,3.39,3.309,3.309,445
2024-11-01,1601,3.3,3.3,3.3,3.3,459
2024-11-01,1602,3.3,3.306,3.3,3.3,335
2024-11-01,1603,3.3,3.312,3.168,3.168,3146
2024-11-01,1604,3.168,3.168,3.123,3.15,99
2024-11-01,1605,3.24,3.258,3.24,3.258,40
2024-11-01,1606,3.258,3.258,3.24,3.258,245
2024-11-01,1607,3.15,3.159,3.078,3.078,464
2024-11-01,1608,3.078,3.156,3.078,3.153,669
2024-11-01,1609,3.144,3.144,3.117,3.117,229
2024-11-01,1610,3.129,3.129,3.117,3.117,222
2024-11-01,1611,3.117,3.117,3.117,3.117,734
2024-11-01,1612,3.117,3.123,3.06,3.078,1113
2024-11-01,1613,3.078,3.078,3.057,3.06,944
2024-11-01,1614,3.09,3.12,3.09,3.12,119
2024-11-01,1615,3.09,3.12,3.048,3.048,3577
2024-11-01,1616,3.048,3.048,3.003,3.045,1046
2024-11-01,1617,3.024,3.024,2.952,2.952,1054
2024-11-01,1619,3.003,3.087,3.003,3.087,131
2024-11-01,1620,3.117,3.117,3.114,3.114,11
2024-11-01,1621,3.117,3.117,3.117,3.117,3
2024-11-01,1622,3.117,3.12,3.03,3.12,441
2024-11-01,1624,3.045,3.045,3.003,3.03,465
2024-11-01,1625,3.003,3.03,2.958,3.03,1291
2024-11-01,1626,2.97,3.03,2.97,3.03,806
2024-11-01,1627,3.027,3.03,2.97,2.97,1215
2024-11-01,1632,3.0,3.0,3.0,3.0,33
2024-11-01,1633,3.033,3.033,3.0,3.0,267
2024-11-01,1634,3.0,3.0,3.0,3.0,537
2024-11-01,1635,3.0,3.0,3.0,3.0,6
2024-11-01,1639,2.997,2.997,2.997,2.997,193
2024-11-01,1640,3.0,3.0,2.997,3.0,300
2024-11-01,1642,2.997,3.0,2.997,2.997,181
2024-11-01,1643,3.0,3.0,3.0,3.0,45
2024-11-01,1645,3.03,3.033,3.03,3.033,23
2024-11-01,1646,3.03,3.03,3.0,3.0,20
2024-11-01,1647,2.991,3.027,2.991,3.027,495
2024-11-01,1648,3.009,3.009,3.009,3.009,183
2024-11-01,1649,2.997,3.03,2.997,3.03,407
2024-11-01,1651,3.027,3.03,3.027,3.03,163
2024-11-01,1652,3.06,3.24,3.06,3.24,1207
2024-11-01,1653,3.237,3.237,3.225,3.225,48
2024-11-01,1654,3.225,3.24,3.0,3.0,383
2024-11-01,1658,3.0,3.24,3.0,3.0,482
2024-11-01,1700,3.033,3.033,2.76,2.91,2081
2024-11-01,1703,2.88,2.88,2.88,2.88,104
2024-11-01,1707,2.883,3.024,2.88,2.94,1016
2024-11-01,1708,2.94,2.94,2.94,2.94,3
2024-11-01,1710,2.94,2.94,2.94,2.94,566
2024-11-01,1711,2.985,2.985,2.985,2.985,3
2024-11-01,1712,2.94,2.94,2.94,2.94,40
2024-11-01,1714,3.03,3.03,3.03,3.03,104
2024-11-01,1715,3.03,3.06,2.994,2.994,336
2024-11-01,1716,3.057,3.057,3.057,3.057,5
2024-11-01,1717,3.054,3.054,3.054,3.054,144
2024-11-01,1718,2.964,2.967,2.964,2.967,23
2024-11-01,1720,2.988,2.988,2.985,2.985,6
2024-11-01,1722,2.94,2.94,2.94,2.94,4
2024-11-01,1725,3.0,3.0,3.0,3.0,39
2024-11-01,1727,3.0,3.0,3.0,3.0,13
2024-11-01,1728,3.0,3.0,3.0,3.0,96
2024-11-01,1729,3.0,3.0,3.0,3.0,333
2024-11-01,1737,3.045,3.048,3.045,3.048,30
2024-11-01,1738,3.0,3.0,3.0,3.0,544
2024-11-01,1739,3.0,3.0,2.982,2.982,181
2024-11-01,1740,2.982,2.982,2.982,2.982,4
2024-11-01,1746,3.0,3.0,3.0,3.0,3
2024-11-01,1748,3.048,3.084,3.048,3.06,1058
2024-11-01,1749,3.15,3.15,3.15,3.15,567
2024-11-01,1750,3.18,3.18,3.0,3.0,112
2024-11-01,1754,3.009,3.009,3.009,3.009,6
2024-11-01,1758,3.009,3.009,3.009,3.009,10
2024-11-01,1814,3.003,3.003,3.003,3.003,46
2024-11-01,1816,3.009,3.009,3.003,3.003,94
2024-11-01,1820,3.009,3.009,3.003,3.003,553
2024-11-01,1834,3.0,3.0,3.0,3.0,169
2024-11-01,1845,3.0,3.0,3.0,3.0,33
2024-11-01,1914,3.003,3.003,3.003,3.003,6
2024-11-01,1921,3.003,3.003,3.003,3.003,3
2024-11-01,1926,3.0,3.0,3.0,3.0,666
2024-11-01,1935,3.0,3.0,3.0,3.0,88
2024-11-01,1942,3.003,3.003,2.997,3.0,854
2024-11-01,1944,3.0,3.0,3.0,3.0,100
2024-11-01,1956,3.0,3.0,3.0,3.0,4
2024-11-04,400,3.0,3.0,3.0,3.0,27
2024-11-04,404,3.0,3.0,2.958,2.958,10
2024-11-04,406,2.889,2.889,2.88,2.88,101
2024-11-04,408,2.889,2.889,2.88,2.88,29
2024-11-04,409,2.88,2.88,2.88,2.88,215
2024-11-04,410,2.88,2.88,2.88,2.88,25
2024-11-04,412,2.88,2.88,2.88,2.88,26
2024-11-04,414,2.88,2.88,2.88,2.88,5
2024-11-04,417,2.94,2.94,2.94,2.94,4
2024-11-04,418,2.94,2.94,2.94,2.94,17
2024-11-04,419,3.207,3.207,3.207,3.207,13
2024-11-04,421,3.24,3.24,3.24,3.24,13
2024-11-04,422,3.294,3.294,3.132,3.132,57
2024-11-04,423,3.132,3.132,3.0,3.0,150
2024-11-04,424,2.964,3.0,2.91,2.91,350
2024-11-04,425,3.0,3.0,3.0,3.0,6
2024-11-04,428,3.12,3.12,3.0,3.0,276
2024-11-04,432,3.0,3.09,2.895,3.09,142
2024-11-04,435,3.0,3.06,3.0,3.06,55
2024-11-04,436,3.09,3.09,3.06,3.06,8
2024-11-04,437,3.03,3.03,3.0,3.0,64
2024-11-04,443,3.027,3.027,3.003,3.009,334
2024-11-04,444,3.03,3.03,3.03,3.03,30
2024-11-04,445,3.006,3.006,3.006,3.006,3
2024-11-04,451,3.006,3.006,3.006,3.006,12
2024-11-04,454,3.006,3.006,3.003,3.003,283
2024-11-04,458,3.03,3.03,3.03,3.03,53
2024-11-04,501,3.09,3.09,3.09,3.09,3
2024-11-04,509,3.048,3.048,3.048,3.048,196
2024-11-04,510,3.048,3.048,3.006,3.006,148
2024-11-04,525,3.048,3.048,3.006,3.006,29
2024-11-04,529,3.012,3.012,3.006,3.006,23
2024-11-04,541,3.048,3.048,3.048,3.048,6
2024-11-04,542,3.048,3.048,3.048,3.048,6
2024-11-04,554,3.048,3.048,3.048,3.048,39
2024-11-04,555,3.006,3.006,3.003,3.003,139
2024-11-04,607,3.003,3.003,3.003,3.003,46
2024-11-04,610,3.018,3.018,3.018,3.018,33
2024-11-04,612,3.09,3.09,3.09,3.09,3
2024-11-04,631,3.018,3.018,3.018,3.018,6
2024-11-04,637,3.003,3.018,3.003,3.018,78
2024-11-04,639,3.018,3.018,3.018,3.018,16
2024-11-04,655,3.018,3.018,3.018,3.018,200
2024-11-04,656,3.003,3.018,3.003,3.018,166
2024-11-04,658,3.018,3.018,3.018,3.018,3
2024-11-04,708,3.006,3.018,3.006,3.018,39
2024-11-04,709,3.111,3.111,3.111,3.111,13
2024-11-04,720,3.03,3.03,3.03,3.03,6
2024-11-04,729,3.111,3.111,3.111,3.111,3
2024-11-04,731,3.105,3.105,3.105,3.105,3
2024-11-04,735,3.03,3.03,3.03,3.03,6
2024-11-04,737,3.006,3.006,3.006,3.006,10
2024-11-04,744,3.087,3.12,3.087,3.12,33
2024-11-04,749,3.147,3.147,3.147,3.147,3
2024-11-04,751,3.147,3.252,3.147,3.18,340
2024-11-04,752,3.099,3.246,3.099,3.246,288
2024-11-04,754,3.246,3.246,3.246,3.246,3
2024-11-04,757,3.249,3.249,3.249,3.249,3
2024-11-04,758,3.246,3.3,3.246,3.3,605
2024-11-04,759,3.3,3.3,3.3,3.3,421
2024-11-04,800,3.006,3.3,3.006,3.006,681
2024-11-04,801,3.318,3.318,3.318,3.318,166
2024-11-04,802,3.564,3.564,3.564,3.564,3
2024-11-04,805,3.555,3.594,3.555,3.594,336
2024-11-04,808,3.486,3.486,3.486,3.486,6
2024-11-04,810,3.39,3.486,3.39,3.486,133
2024-11-04,818,3.39,3.39,3.39,3.39,66
2024-11-04,819,3.303,3.303,3.3,3.3,83
2024-11-04,824,3.465,3.465,3.465,3.465,41
2024-11-04,826,3.348,3.348,3.348,3.348,33
2024-11-04,827,3.348,3.348,3.348,3.348,50
2024-11-04,829,3.348,3.348,3.348,3.348,66
2024-11-04,832,3.348,3.348,3.348,3.348,122
2024-11-04,845,3.348,3.348,3.348,3.348,36
2024-11-04,846,3.351,3.351,3.351,3.351,33
2024-11-04,848,3.477,3.477,3.477,3.477,166
2024-11-04,856,3.348,3.348,3.288,3.3,84
2024-11-04,859,3.333,3.333,3.33,3.33,99
2024-11-04,901,3.33,3.33,3.33,3.33,11
2024-11-04,904,3.33,3.33,3.33,3.33,13
2024-11-04,909,3.45,3.474,3.45,3.474,27
2024-11-04,911,3.33,3.33,3.33,3.33,152
2024-11-04,912,3.33,3.33,3.33,3.33,10
2024-11-04,921,3.375,3.375,3.375,3.375,43
2024-11-04,924,3.372,3.372,3.372,3.372,33
2024-11-04,930,3.33,3.456,3.3,3.3,748
2024-11-04,931,3.324,3.324,3.324,3.324,9
