date,time,open,high,low,close,volume
2024-11-26,934,3.78,3.78,3.752,3.76,1295
2024-11-26,935,4.04,4.059,4.04,4.059,200
2024-11-26,936,4.04,4.059,4.04,4.059,200
2024-11-26,947,3.99,3.9999,3.99,3.9999,487
2024-11-26,1019,3.865,3.865,3.865,3.865,168
2024-11-26,1020,3.98,3.98,3.98,3.98,101
2024-11-26,1037,3.7511,3.862,3.7511,3.862,371
2024-11-26,1038,3.88,4.0,3.88,3.982,3339
2024-11-26,1101,3.86,3.86,3.86,3.86,2500
2024-11-26,1102,3.855,3.855,3.855,3.855,100
2024-11-26,1104,3.855,3.855,3.855,3.855,100
2024-11-26,1105,3.9215,3.9215,3.9215,3.9215,100
2024-11-26,1117,3.82,3.9275,3.82,3.9275,200
2024-11-26,1119,3.875,3.875,3.875,3.875,426
2024-11-26,1127,3.875,3.875,3.875,3.875,250
2024-11-26,1129,3.9,3.9,3.9,3.9,100
2024-11-26,1134,3.86,3.92,3.86,3.92,387
2024-11-26,1147,3.94,3.94,3.94,3.94,100
2024-11-26,1236,3.9478,3.9478,3.9478,3.9478,900
2024-11-26,1240,3.8735,3.8735,3.8735,3.8735,200
2024-11-26,1311,3.948,3.948,3.948,3.948,100
2024-11-26,1329,3.905,3.95,3.905,3.95,1328
2024-11-26,1438,3.905,3.905,3.905,3.905,100
2024-11-26,1445,3.95,3.95,3.89,3.95,308
2024-11-27,930,3.99,4.0,3.95,4.0,2397
2024-11-27,931,4.03,4.049,4.03,4.049,400
2024-11-27,933,4.037,4.05,3.93,4.05,2692
2024-11-27,934,3.9387,3.9387,3.9387,3.9387,410
2024-11-27,935,4.02,4.05,3.9387,4.05,901
2024-11-27,936,4.07,4.09,3.97,3.97,2970
2024-11-27,937,4.0,4.0,4.0,4.0,454
2024-11-27,938,3.9453,4.0885,3.9453,4.0885,365
2024-11-27,943,3.9438,3.961,3.9438,3.946,400
2024-11-27,944,3.95,3.961,3.9,3.9,2031
2024-11-27,945,4.06,4.0885,4.06,4.0885,400
2024-11-27,946,4.09,4.09,4.09,4.09,400
2024-11-27,947,3.934,4.0885,3.9105,4.0885,600
2024-11-27,949,4.09,4.09,3.937,4.089,800
2024-11-27,950,3.937,4.089,3.937,4.089,400
2024-11-27,953,3.92,4.089,3.92,4.089,600
2024-11-27,956,3.92,3.93,3.91,3.91,1330
2024-11-27,957,4.0,4.076,4.0,4.076,400
2024-11-27,1010,3.9,4.0475,3.9,4.0475,697
2024-11-27,1029,3.89,3.89,3.89,3.89,100
2024-11-27,1032,3.9,3.995,3.9,3.995,200
2024-11-27,1110,3.81,3.81,3.79,3.79,3102
2024-11-27,1113,3.85,3.9545,3.85,3.9545,200
2024-11-27,1147,3.84,3.9,3.84,3.9,2002
2024-11-27,1148,3.9,3.92,3.9,3.92,3638
2024-11-27,1154,3.92,3.92,3.92,3.92,100
2024-11-27,1201,3.92,3.92,3.92,3.92,200
2024-11-27,1206,3.9,3.9,3.9,3.9,100
2024-11-27,1228,3.911,3.95,3.911,3.95,600
2024-11-27,1248,3.9073,3.9177,3.9073,3.9177,469
2024-11-27,1250,3.89,3.89,3.89,3.89,100
2024-11-27,1303,3.95,3.9785,3.95,3.9785,200
2024-11-27,1436,3.9328,3.9328,3.9328,3.9328,100
2024-11-27,1455,3.92,3.92,3.92,3.92,100
2024-11-27,1506,3.89,3.89,3.89,3.89,500
2024-11-27,1522,3.91,3.91,3.91,3.91,278
2024-11-27,1532,4.0,4.0,4.0,4.0,100
2024-11-29,803,3.98,3.98,3.98,3.98,100
2024-11-29,930,3.99,4.0,3.99,4.0,1791
2024-11-29,931,4.0,4.0,3.9,3.9,626
2024-11-29,935,3.9,3.96,3.9,3.96,720
2024-11-29,937,3.96,3.96,3.96,3.96,200
2024-11-29,939,3.92,3.92,3.92,3.92,913
2024-11-29,940,4.0,4.0,4.0,4.0,200
2024-11-29,941,3.92,3.92,3.92,3.92,325
2024-11-29,942,3.9,3.9,3.85,3.853,2990
2024-11-29,943,3.88,3.88,3.85,3.8571,2039
2024-11-29,945,3.864,3.864,3.864,3.864,502
2024-11-29,946,3.87,3.88,3.85,3.85,1166
2024-11-29,947,3.82,3.82,3.82,3.82,1528
2024-11-29,948,3.834,3.834,3.834,3.834,500
2024-11-29,952,3.85,3.85,3.85,3.85,1010
2024-11-29,953,3.86,3.86,3.86,3.86,100
2024-11-29,954,3.86,3.86,3.86,3.86,218
2024-11-29,955,3.86,3.86,3.86,3.86,500
2024-11-29,956,3.86,3.86,3.85,3.85,1282
2024-11-29,958,3.85,3.85,3.82,3.82,1966
2024-11-29,1001,3.864,3.864,3.85,3.85,3800
2024-11-29,1002,3.81,3.81,3.81,3.81,500
2024-11-29,1005,3.82,3.82,3.8,3.8,1025
2024-11-29,1009,3.81,3.81,3.81,3.81,500
2024-11-29,1010,3.81,3.81,3.8,3.8,714
2024-11-29,1011,3.99,3.99,3.99,3.99,1000
2024-11-29,1019,3.82,3.895,3.801,3.895,1642
2024-11-29,1026,3.85,3.85,3.8,3.8,1221
2024-11-29,1033,3.85,3.85,3.83,3.83,733
2024-11-29,1037,3.83,3.83,3.8,3.8,2520
2024-11-29,1042,3.9336,3.9336,3.9336,3.9336,1000
2024-11-29,1043,3.8,3.8,3.8,3.8,3778
2024-11-29,1053,3.8143,3.8143,3.8143,3.8143,500
2024-11-29,1058,3.82,3.82,3.81,3.81,531
2024-11-29,1059,3.8,3.8,3.8,3.8,710
2024-11-29,1103,3.85,3.85,3.85,3.85,465
2024-11-29,1104,3.77,3.77,3.75,3.75,880
2024-11-29,1105,3.76,3.76,3.76,3.76,125
2024-11-29,1111,3.79,3.79,3.79,3.79,100
2024-11-29,1114,3.835,3.87,3.8,3.8,1800
2024-11-29,1115,3.81,3.81,3.8,3.8,583
2024-11-29,1116,3.8,3.8,3.8,3.8,550
2024-11-29,1117,3.8,3.8391,3.8,3.8102,1100
2024-11-29,1118,3.8102,3.845,3.79,3.8,2709
2024-11-29,1119,3.8,3.81,3.8,3.81,634
2024-11-29,1120,3.81,3.8239,3.8,3.8,3283
2024-11-29,1121,3.8,3.8,3.8,3.8,875
2024-11-29,1122,3.82,3.82,3.81,3.81,750
2024-11-29,1123,3.8,3.8,3.8,3.8,350
2024-11-29,1124,3.8,3.8047,3.79,3.8047,2494
2024-11-29,1125,3.79,3.79,3.79,3.79,100
2024-11-29,1126,3.8,3.8,3.78,3.78,600
2024-11-29,1127,3.78,3.78,3.78,3.78,100
2024-11-29,1134,3.8,3.8,3.8,3.8,150
2024-11-29,1141,3.79,3.79,3.79,3.79,367
2024-11-29,1143,3.79,3.79,3.78,3.78,994
2024-11-29,1144,3.77,3.77,3.72,3.72,2306
2024-11-29,1145,3.79,3.79,3.755,3.78,1025
2024-11-29,1146,3.775,3.775,3.775,3.775,500
2024-11-29,1158,3.76,3.76,3.76,3.76,204
2024-11-29,1205,3.78,3.78,3.755,3.78,2070
2024-11-29,1210,3.755,3.755,3.755,3.755,125
2024-11-29,1212,3.75,3.75,3.75,3.75,300
2024-11-29,1216,3.8,3.8,3.8,3.8,208
2024-11-29,1217,3.8,3.8,3.8,3.8,420
2024-11-29,1218,3.8,3.8,3.8,3.8,533
2024-11-29,1223,3.8,3.8,3.8,3.8,200
2024-11-29,1224,3.81,3.81,3.8,3.8,200
2024-11-29,1225,3.73,3.73,3.71,3.71,700
2024-11-29,1228,3.71,3.72,3.7,3.71,2500
2024-11-29,1229,3.71,3.71,3.7,3.7,1080
2024-11-29,1230,3.7,3.7,3.7,3.7,100
2024-11-29,1231,3.7,3.7,3.7,3.7,800
2024-11-29,1232,3.71,3.71,3.71,3.71,100
2024-11-29,1233,3.72,3.72,3.701,3.701,200
2024-11-29,1235,3.71,3.71,3.71,3.71,700
2024-11-29,1237,3.72,3.72,3.701,3.701,500
2024-11-29,1239,3.72,3.72,3.701,3.701,400
2024-11-29,1245,3.73,3.73,3.73,3.73,300
2024-11-29,1247,3.73,3.73,3.7015,3.7015,1300
2024-11-29,1248,3.72,3.72,3.701,3.71,915
2024-11-29,1254,3.72,3.72,3.701,3.701,1200
2024-11-29,1255,3.845,3.88,3.701,3.701,1100
2024-11-29,1256,3.72,3.72,3.701,3.701,1000
2024-11-29,1257,3.72,3.72,3.701,3.71,300
2024-11-29,1259,3.71,3.71,3.65,3.65,4125
2024-11-29,1309,3.83,3.83,3.83,3.83,200
2024-12-02,403,4.19,4.3,4.19,4.3,591
2024-12-02,409,4.29,4.6,4.29,4.44,2360
2024-12-02,410,4.44,4.44,4.4,4.43,1181
2024-12-02,411,4.4,4.4,4.4,4.4,272
2024-12-02,413,4.43,4.5,4.43,4.5,3099
2024-12-02,414,4.49,4.84,4.49,4.84,484
2024-12-02,415,4.84,4.9,4.84,4.9,370
2024-12-02,416,4.74,4.79,4.47,4.47,892
2024-12-02,418,4.43,4.43,4.43,4.43,289
2024-12-02,420,4.53,4.53,4.53,4.53,260
2024-12-02,421,4.63,4.73,4.63,4.73,620
2024-12-02,426,4.5,4.5,4.5,4.5,148
2024-12-02,428,4.46,4.46,4.43,4.43,7103
2024-12-02,429,4.22,4.22,4.22,4.22,153
2024-12-02,439,4.23,4.23,4.23,4.23,190
