date,time,open,high,low,close,volume
2024-11-26,1010,1.1424,1.1424,1.1424,1.1424,500
2024-11-26,1055,1.09,1.09,1.09,1.09,100
2024-11-26,1103,1.11,1.11,1.11,1.11,100
2024-11-26,1120,1.1166,1.1166,1.1166,1.1166,1000
2024-11-26,1415,1.12,1.12,1.12,1.12,100
2024-11-26,1441,1.08,1.08,1.08,1.08,250
2024-11-26,1448,1.0834,1.09,1.0687,1.0687,4302
2024-11-26,1449,1.07,1.07,1.07,1.07,1042
2024-11-26,1454,1.06,1.095,1.06,1.0643,1095
2024-11-26,1516,1.1,1.1,1.1,1.1,100
2024-11-26,1522,1.09,1.09,1.09,1.09,544
2024-11-26,1534,1.11,1.11,1.11,1.11,100
2024-11-26,1554,1.08,1.08,1.08,1.08,797
2024-11-26,1559,1.08,1.08,1.08,1.08,509
2024-11-26,1600,1.06,1.06,1.06,1.06,2317
2024-11-26,1826,1.14,1.14,1.14,1.14,100
2024-11-27,1005,1.03,1.03,1.03,1.03,471
2024-11-27,1018,1.08,1.08,1.08,1.08,147
2024-11-27,1031,1.075,1.075,1.075,1.075,349
2024-11-27,1045,1.08,1.08,1.08,1.08,174
2024-11-27,1049,1.0892,1.0892,1.0892,1.0892,277
2024-11-27,1128,1.0808,1.0808,1.0808,1.0808,109
2024-11-27,1204,1.08,1.08,1.08,1.08,326
2024-11-27,1445,1.09,1.09,1.09,1.09,300
2024-11-27,1952,1.0899,1.09,1.0899,1.09,500
2024-11-27,1953,1.0899,1.09,1.0899,1.09,750
2024-11-29,830,1.15,1.15,1.15,1.15,1500
2024-11-29,843,1.08,1.08,1.08,1.08,1498
2024-11-29,926,1.12,1.12,1.12,1.12,200
2024-11-29,930,1.13,1.16,1.1286,1.16,1427
2024-11-29,931,1.21,1.2299,1.17,1.2299,4008
2024-11-29,932,1.223,1.2292,1.22,1.2292,5205
2024-11-29,933,1.223,1.223,1.2046,1.2046,704
2024-11-29,936,1.14,1.14,1.14,1.14,2064
2024-11-29,953,1.1301,1.165,1.1301,1.165,2000
2024-11-29,956,1.15,1.165,1.1301,1.1636,2000
2024-11-29,957,1.13,1.13,1.08,1.08,1000
2024-11-29,1015,1.1437,1.1437,1.1437,1.1437,1500
2024-11-29,1019,1.1384,1.1384,1.1384,1.1384,100
2024-11-29,1020,1.125,1.125,1.125,1.125,2000
2024-11-29,1037,1.13,1.13,1.13,1.13,300
2024-11-29,1040,1.1506,1.1698,1.1506,1.1698,1000
2024-11-29,1041,1.148,1.148,1.148,1.148,1000
2024-11-29,1042,1.17,1.17,1.17,1.17,2452
2024-11-29,1043,1.1434,1.15,1.1434,1.15,1050
2024-11-29,1044,1.17,1.2199,1.15,1.2199,1787
2024-11-29,1045,1.22,1.22,1.22,1.22,100
2024-11-29,1051,1.185,1.185,1.1625,1.1625,1300
2024-11-29,1052,1.15,1.22,1.15,1.22,200
2024-11-29,1105,1.22,1.22,1.2199,1.22,4113
2024-11-29,1106,1.1719,1.22,1.1719,1.22,1500
2024-11-29,1119,1.1884,1.1884,1.1884,1.1884,350
2024-11-29,1123,1.2198,1.22,1.185,1.185,1000
2024-11-29,1127,1.22,1.22,1.16,1.17,905
2024-11-29,1132,1.22,1.23,1.2157,1.22,5563
2024-11-29,1133,1.21,1.21,1.21,1.21,140
2024-11-29,1136,1.21,1.21,1.2099,1.2099,2720
2024-11-29,1139,1.21,1.21,1.21,1.21,600
2024-11-29,1140,1.2043,1.2043,1.2043,1.2043,352
2024-11-29,1142,1.21,1.21,1.21,1.21,100
2024-11-29,1144,1.21,1.21,1.21,1.21,1047
2024-11-29,1155,1.22,1.22,1.2086,1.2086,757
2024-11-29,1221,1.22,1.22,1.22,1.22,180
2024-11-29,1231,1.22,1.22,1.22,1.22,208
2024-11-29,1243,1.22,1.22,1.2086,1.2086,1275
2024-11-29,1246,1.22,1.22,1.22,1.22,400
2024-11-29,1254,1.22,1.22,1.22,1.22,1004
2024-11-29,1259,1.19,1.19,1.19,1.19,302
2024-11-29,1356,1.205,1.205,1.18,1.1801,3000
2024-11-29,1512,1.25,1.25,1.25,1.25,237
2024-11-29,1513,1.37,1.38,1.37,1.38,1718
2024-11-29,1514,1.32,1.38,1.32,1.38,14310
2024-11-29,1515,1.38,1.38,1.32,1.34,3877
2024-11-29,1516,1.35,1.38,1.33,1.33,5565
2024-11-29,1517,1.33,1.4,1.33,1.4,1008
2024-11-29,1518,1.38,1.44,1.38,1.44,567
2024-11-29,1519,1.44,1.5,1.44,1.5,2711
2024-11-29,1520,1.58,1.66,1.5,1.65,11405
2024-11-29,1521,1.6,1.75,1.6,1.68,25579
2024-11-29,1522,1.68,1.75,1.66,1.68,7442
2024-11-29,1523,1.72,1.73,1.63,1.69,7713
2024-11-29,1524,1.69,1.69,1.67,1.68,7474
2024-11-29,1525,1.69,1.88,1.68,1.85,26244
2024-11-29,1526,1.84,2.08,1.8,1.83,52273
2024-11-29,1527,1.89,1.95,1.83,1.94,11482
2024-11-29,1528,1.94,2.03,1.9,2.03,26376
2024-11-29,1529,2.02,2.0201,1.92,1.95,18818
2024-11-29,1530,1.91,1.95,1.8,1.84,25894
2024-11-29,1531,1.85,1.92,1.84,1.91,19227
2024-11-29,1532,1.94,2.0,1.87,1.91,11385
2024-11-29,1533,1.91,2.08,1.91,1.97,26966
2024-11-29,1534,1.92,2.0,1.9,1.95,14395
2024-11-29,1535,1.96,1.96,1.86,1.87,11651
2024-11-29,1536,1.87,1.88,1.83,1.88,15878
2024-11-29,1537,1.84,1.9194,1.84,1.86,9346
2024-11-29,1538,1.88,1.9,1.86,1.89,10560
2024-11-29,1539,1.9,1.9,1.8992,1.9,1971
2024-11-29,1540,1.9,1.9,1.79,1.81,20464
2024-11-29,1541,1.83,1.84,1.77,1.77,16808
2024-11-29,1542,1.83,1.85,1.82,1.85,2185
2024-11-29,1543,1.88,1.89,1.86,1.86,3191
2024-11-29,1544,1.88,1.9501,1.88,1.9098,22858
2024-11-29,1545,1.91,1.91,1.86,1.87,3460
2024-11-29,1546,1.9,2.0,1.9,1.97,13175
2024-11-29,1547,1.9694,2.0,1.91,1.97,14534
2024-11-29,1548,1.97,1.99,1.96,1.96,5881
2024-11-29,1549,1.95,1.97,1.95,1.95,3972
2024-11-29,1550,1.96,2.0,1.96,2.0,8525
2024-11-29,1551,2.019,2.2,2.01,2.19,48359
2024-11-29,1552,2.19,2.22,2.04,2.16,59967
2024-11-29,1553,2.16,2.17,2.09,2.09,23623
2024-11-29,1554,2.13,2.16,2.1,2.12,11578
2024-11-29,1555,2.12,2.15,2.09,2.11,10501
2024-11-29,1556,2.11,2.17,2.09,2.107,7948
2024-11-29,1557,2.12,2.14,2.11,2.14,4279
2024-11-29,1558,2.14,2.14,2.11,2.13,1464
2024-11-29,1559,2.12,2.15,2.11,2.13,9888
2024-11-29,1600,2.11,2.11,2.02,2.04,12174
2024-11-29,1601,2.05,2.06,2.03,2.06,7399
2024-11-29,1602,2.05,2.08,2.04,2.08,5201
2024-11-29,1603,2.07,2.07,2.05,2.05,2723
2024-11-29,1604,2.05,2.07,2.05,2.05,3987
2024-11-29,1605,2.05,2.05,2.05,2.05,665
2024-11-29,1606,2.05,2.08,2.03,2.04,4359
2024-11-29,1607,2.03,2.0899,2.02,2.0899,7951
2024-11-29,1608,2.04,2.05,2.04,2.05,1107
2024-11-29,1609,2.04,2.05,1.94,1.94,5003
2024-11-29,1610,1.99,1.99,1.94,1.96,2679
