date,time,open,high,low,close,volume
2024-11-26,800,2.5721,2.5721,2.5721,2.5721,175
2024-11-26,808,2.66,2.66,2.66,2.66,154
2024-11-26,816,2.58,2.58,2.58,2.58,129
2024-11-26,818,2.58,2.58,2.58,2.58,211
2024-11-26,820,2.58,2.58,2.58,2.58,1000
2024-11-26,821,2.57,2.57,2.57,2.57,218
2024-11-26,930,2.57,2.57,2.5695,2.5695,2142
2024-11-26,939,2.67,2.67,2.67,2.67,427
2024-11-26,949,2.6001,2.6001,2.6001,2.6001,1000
2024-11-26,1005,2.65,2.65,2.65,2.65,100
2024-11-26,1008,2.6518,2.6518,2.6518,2.6518,545
2024-11-26,1016,2.7099,2.7099,2.7099,2.7099,120
2024-11-26,1017,2.65,2.6789,2.65,2.6789,500
2024-11-26,1018,2.69,2.7,2.69,2.7,505
2024-11-26,1022,2.66,2.66,2.66,2.66,434
2024-11-26,1024,2.78,2.82,2.77,2.81,6169
2024-11-26,1026,2.6824,2.6824,2.6824,2.6824,500
2024-11-26,1027,2.68,2.68,2.68,2.68,226
2024-11-26,1029,2.7642,2.7642,2.7642,2.7642,187
2024-11-26,1041,2.7365,2.7365,2.7365,2.7365,1251
2024-11-26,1043,2.71,2.71,2.7,2.7,771
2024-11-26,1056,2.8137,2.8137,2.8137,2.8137,125
2024-11-26,1130,2.71,2.71,2.665,2.665,1520
2024-11-26,1150,2.665,2.665,2.665,2.665,750
2024-11-26,1154,2.6,2.6,2.6,2.6,364
2024-11-26,1207,2.6,2.6,2.6,2.6,500
2024-11-26,1251,2.71,2.71,2.71,2.71,140
2024-11-26,1253,2.71,2.71,2.71,2.71,224
2024-11-26,1306,2.7,2.7,2.7,2.7,100
2024-11-26,1409,2.7,2.7,2.7,2.7,1000
2024-11-26,1543,2.62,2.62,2.62,2.62,100
2024-11-26,1552,2.64,2.76,2.64,2.7,3860
2024-11-26,1553,2.7,2.76,2.7,2.76,3998
2024-11-26,1557,2.7298,2.7298,2.7298,2.7298,1000
2024-11-26,1559,2.74,2.76,2.74,2.76,480
2024-11-26,1600,2.64,2.64,2.64,2.64,738
2024-11-27,712,2.75,2.75,2.74,2.74,2748
2024-11-27,930,2.73,2.73,2.73,2.73,209
2024-11-27,931,2.56,2.56,2.56,2.56,228
2024-11-27,939,2.5872,2.5872,2.5872,2.5872,668
2024-11-27,940,2.7644,2.7708,2.7644,2.7708,689
2024-11-27,947,2.82,2.82,2.64,2.64,6254
2024-11-27,948,2.74,2.83,2.74,2.83,2753
2024-11-27,949,2.865,2.9,2.865,2.9,1006
2024-11-27,950,2.844,2.8881,2.8303,2.8881,2600
2024-11-27,952,2.9097,2.9097,2.9097,2.9097,4542
2024-11-27,1007,2.71,2.71,2.71,2.71,1000
2024-11-27,1012,2.7301,2.7301,2.7301,2.7301,1010
2024-11-27,1034,2.82,2.82,2.82,2.82,227
2024-11-27,1037,2.9,2.9,2.9,2.9,200
2024-11-27,1040,2.9,2.92,2.9,2.9,3164
2024-11-27,1043,2.9407,2.9407,2.9407,2.9407,3016
2024-11-27,1044,2.9689,2.98,2.9689,2.97,4400
2024-11-27,1045,2.94,2.94,2.9,2.9,600
2024-11-27,1048,2.98,2.98,2.98,2.98,1410
2024-11-27,1050,2.96,3.0,2.96,3.0,1705
2024-11-27,1053,3.095,3.095,3.05,3.0698,2403
2024-11-27,1054,3.07,3.095,3.01,3.0195,2360
2024-11-27,1055,3.05,3.1,3.05,3.06,689
2024-11-27,1056,3.05,3.05,2.99,2.99,6482
2024-11-27,1057,3.12,3.12,3.11,3.11,3508
2024-11-27,1058,3.0699,3.0699,3.0699,3.0699,3000
2024-11-27,1100,2.986,3.06,2.82,2.82,2229
2024-11-27,1102,3.05,3.05,3.05,3.05,294
2024-11-27,1103,3.05,3.05,3.05,3.05,520
2024-11-27,1105,3.05,3.05,3.05,3.05,100
2024-11-27,1107,3.02,3.02,3.02,3.02,400
2024-11-27,1111,2.89,2.89,2.89,2.89,102
2024-11-27,1112,2.92,3.15,2.92,3.15,6831
2024-11-27,1115,2.98,2.98,2.975,2.975,600
2024-11-27,1117,3.0181,3.0181,3.0181,3.0181,116
2024-11-27,1118,3.08,3.09,3.052,3.052,2472
2024-11-27,1120,3.03,3.04,3.03,3.0399,1611
2024-11-27,1122,2.85,2.985,2.85,2.985,531
2024-11-27,1124,3.0001,3.0001,3.0001,3.0001,270
2024-11-27,1127,3.09,3.09,3.0899,3.0899,600
2024-11-27,1129,3.09,3.1,3.01,3.1,600
2024-11-27,1130,3.1458,3.15,3.12,3.12,1106
2024-11-27,1132,3.125,3.125,3.125,3.125,102
2024-11-27,1133,3.13,3.15,3.13,3.13,1860
2024-11-27,1136,3.11,3.13,3.1,3.1,1608
2024-11-27,1138,3.14,3.24,3.14,3.24,2083
2024-11-27,1140,3.16,3.16,3.16,3.16,475
2024-11-27,1143,3.15,3.15,3.15,3.15,316
2024-11-27,1144,3.12,3.12,3.12,3.12,2658
2024-11-27,1145,3.15,3.15,3.15,3.15,375
2024-11-27,1147,3.19,3.19,3.1502,3.1502,550
2024-11-27,1148,3.1501,3.22,3.1501,3.22,7667
2024-11-27,1150,3.23,3.2958,3.23,3.29,3776
2024-11-27,1151,3.24,3.3,3.24,3.3,8681
2024-11-27,1152,3.3,3.3327,3.25,3.25,3952
2024-11-27,1155,3.3,3.31,3.3,3.31,510
2024-11-27,1156,3.28,3.28,3.28,3.28,252
2024-11-27,1157,3.2851,3.2851,3.21,3.21,752
2024-11-27,1158,3.262,3.2802,3.1655,3.1655,1243
2024-11-27,1202,3.15,3.28,3.15,3.1509,1372
2024-11-27,1206,3.16,3.16,3.15,3.15,5218
2024-11-27,1211,3.0978,3.0978,3.09,3.09,1036
2024-11-27,1214,3.0142,3.0142,3.0142,3.0142,280
2024-11-27,1218,3.0,3.0,3.0,3.0,100
2024-11-27,1220,3.12,3.12,3.12,3.12,381
2024-11-27,1221,3.1254,3.18,3.1254,3.18,2919
2024-11-27,1230,3.212,3.212,3.212,3.212,250
2024-11-27,1233,3.1001,3.1001,3.1001,3.1001,333
2024-11-27,1234,3.2,3.2,3.2,3.2,525
2024-11-27,1237,3.2098,3.2098,3.16,3.16,450
2024-11-27,1239,3.2099,3.2099,3.155,3.155,2050
2024-11-27,1249,3.1,3.1,3.1,3.1,303
2024-11-27,1253,3.1625,3.1625,3.1625,3.1625,1300
2024-11-27,1307,3.209,3.23,3.1456,3.1805,1562
2024-11-27,1311,3.25,3.25,3.1772,3.25,851
2024-11-27,1313,3.29,3.29,3.2599,3.2599,3260
2024-11-27,1314,3.16,3.16,3.16,3.16,207
2024-11-27,1315,3.23,3.23,3.23,3.23,157
2024-11-27,1322,3.2256,3.2256,3.2256,3.2256,500
2024-11-27,1326,3.2999,3.3,3.2999,3.3,2153
2024-11-27,1329,3.26,3.26,3.26,3.26,536
2024-11-27,1331,3.35,3.4,3.325,3.325,1386
2024-11-27,1332,3.3512,3.3512,3.3332,3.3332,1102
2024-11-27,1335,3.34,3.34,3.34,3.34,100
2024-11-27,1338,3.37,3.37,3.345,3.345,1500
2024-11-27,1339,3.37,3.37,3.37,3.37,220
2024-11-27,1341,3.37,3.37,3.37,3.37,257
2024-11-27,1342,3.27,3.27,3.27,3.27,112
