date,time,open,high,low,close,volume
2024-11-26,952,2.0911,2.0911,2.0911,2.0911,500
2024-11-26,1033,2.13,2.13,2.12,2.12,817
2024-11-26,1034,2.12,2.12,2.12,2.12,211
2024-11-26,1036,2.1859,2.1859,2.1859,2.1859,500
2024-11-26,1039,2.16,2.16,2.16,2.16,250
2024-11-26,1049,2.15,2.15,2.15,2.15,200
2024-11-26,1154,2.18,2.18,2.18,2.18,250
2024-11-26,1310,2.18,2.18,2.17,2.17,718
2024-11-26,1311,2.175,2.175,2.1,2.1,3200
2024-11-26,1430,2.1579,2.1579,2.1579,2.1579,1000
2024-11-26,1455,2.145,2.17,2.145,2.145,1000
2024-11-26,1501,2.18,2.18,2.18,2.18,215
2024-11-26,1535,2.11,2.11,2.11,2.11,210
2024-11-26,1537,2.12,2.12,2.12,2.12,240
2024-11-26,1542,2.15,2.155,2.15,2.155,300
2024-11-26,1544,2.125,2.125,2.12,2.12,330
2024-11-26,1559,2.11,2.11,2.11,2.11,125
2024-11-26,1600,2.11,2.11,2.11,2.11,1068
2024-11-27,933,2.1273,2.1273,2.1273,2.1273,1000
2024-11-27,954,2.1499,2.1499,2.1499,2.1499,1000
2024-11-27,1008,2.12,2.12,2.12,2.12,100
2024-11-27,1026,2.14,2.15,2.11,2.14,2783
2024-11-27,1034,2.15,2.15,2.15,2.15,330
2024-11-27,1139,2.121,2.121,2.121,2.121,200
2024-11-27,1334,2.2,2.2,2.2,2.2,291
2024-11-27,1352,2.13,2.13,2.13,2.13,300
2024-11-27,1532,2.14,2.14,2.14,2.14,860
2024-11-27,1600,2.14,2.14,2.14,2.14,110
2024-11-29,1036,2.155,2.19,2.155,2.19,1000
2024-11-29,1040,2.11,2.11,2.11,2.11,200
2024-11-29,1259,2.19,2.19,2.19,2.19,307
2024-11-29,1300,2.16,2.16,2.16,2.16,183
2024-12-02,703,2.5,2.6,2.5,2.6,1837
2024-12-02,704,2.65,3.21,2.6,2.62,51153
2024-12-02,705,2.61,2.95,2.5,2.82,90443
2024-12-02,706,2.82,2.95,2.55,2.7,70857
