date,time,open,high,low,close,volume
2024-11-26,1928,1.976,1.976,1.976,1.976,250
2024-11-27,643,1.9,1.9,1.9,1.9,199
2024-11-27,731,1.91,1.91,1.91,1.91,104
2024-11-27,800,1.91,1.91,1.9,1.91,703
2024-11-27,801,1.93,1.93,1.93,1.93,500
2024-11-27,805,1.9278,1.9278,1.9278,1.9278,114
2024-11-27,838,1.93,1.93,1.93,1.93,205
2024-11-27,930,1.88,1.88,1.88,1.88,301
2024-11-27,931,1.8602,1.8602,1.8602,1.8602,309
2024-11-27,932,1.9,1.9,1.9,1.9,368
2024-11-27,934,1.9147,1.9185,1.9147,1.9185,1023
2024-11-27,936,1.91,1.91,1.91,1.91,1134
2024-11-27,943,1.89,1.89,1.89,1.89,226
2024-11-27,945,1.9,1.9,1.88,1.88,626
2024-11-27,946,1.8799,1.8799,1.8799,1.8799,101
2024-11-27,947,1.87,1.87,1.87,1.87,1027
2024-11-27,950,1.86,1.88,1.86,1.88,4212
2024-11-27,952,1.9034,1.9034,1.9034,1.9034,300
2024-11-27,957,1.91,1.91,1.91,1.91,265
2024-11-27,1005,1.9,1.9,1.9,1.9,2001
2024-11-27,1008,1.91,1.91,1.91,1.91,1256
2024-11-27,1011,1.9191,1.92,1.9191,1.92,1100
2024-11-27,1012,1.9243,1.9243,1.9243,1.9243,100
2024-11-27,1020,1.92,1.92,1.92,1.92,300
2024-11-27,1023,1.91,1.91,1.9039,1.9039,613
2024-11-27,1027,1.9,1.9,1.9,1.9,2172
2024-11-27,1036,1.93,1.93,1.93,1.93,100
2024-11-27,1037,1.92,1.9289,1.92,1.9289,902
2024-11-27,1039,1.91,1.92,1.91,1.92,250
2024-11-27,1046,1.901,1.901,1.901,1.901,2024
2024-11-27,1106,1.91,1.91,1.91,1.91,100
2024-11-27,1107,1.91,1.91,1.91,1.91,1187
2024-11-27,1109,1.92,1.93,1.92,1.93,2168
2024-11-27,1122,1.94,1.94,1.94,1.94,100
2024-11-27,1138,1.92,1.92,1.92,1.92,785
2024-11-27,1157,1.9208,1.9208,1.9208,1.9208,253
2024-11-27,1208,1.92,1.92,1.92,1.92,113
2024-11-27,1223,1.92,1.9279,1.92,1.9279,531
2024-11-27,1229,1.93,1.93,1.93,1.93,128
2024-11-27,1241,1.9201,1.9201,1.9201,1.9201,1389
2024-11-27,1253,1.9362,1.9362,1.9362,1.9362,171
2024-11-27,1306,1.94,1.94,1.94,1.94,201
2024-11-27,1312,1.938,1.94,1.938,1.94,200
2024-11-27,1315,1.91,1.91,1.91,1.91,228
2024-11-27,1323,1.925,1.925,1.925,1.925,1096
2024-11-27,1326,1.925,1.925,1.925,1.925,150
2024-11-27,1327,1.93,1.93,1.93,1.93,500
2024-11-27,1329,1.9299,1.9299,1.9299,1.9299,7901
2024-11-27,1337,1.92,1.92,1.92,1.92,200
2024-11-27,1338,1.92,1.92,1.92,1.92,201
2024-11-27,1352,1.93,1.93,1.93,1.93,211
2024-11-27,1353,1.92,1.9201,1.92,1.9201,1512
2024-11-27,1411,1.93,1.93,1.93,1.93,1166
2024-11-27,1414,1.9202,1.9202,1.9202,1.9202,157
2024-11-27,1421,1.933,1.933,1.933,1.933,100
2024-11-27,1433,1.93,1.93,1.93,1.93,127
2024-11-27,1440,1.93,1.93,1.93,1.93,127
2024-11-27,1511,1.92,1.92,1.92,1.92,2000
2024-11-27,1528,1.94,1.94,1.94,1.94,102
2024-11-27,1529,1.92,1.92,1.92,1.92,537
2024-11-27,1531,1.9101,1.9101,1.9101,1.9101,751
2024-11-27,1532,1.91,1.91,1.91,1.91,201
2024-11-27,1537,1.925,1.925,1.9138,1.9138,551
2024-11-27,1539,1.937,1.937,1.937,1.937,646
2024-11-27,1543,1.91,1.94,1.9015,1.94,2099
2024-11-27,1551,1.93,1.93,1.93,1.93,132
2024-11-27,1611,1.93,1.93,1.93,1.93,801
2024-11-27,1723,1.8743,1.8743,1.8743,1.8743,500
2024-11-27,1743,1.8913,1.8913,1.8913,1.8913,100
2024-11-29,415,1.87,1.87,1.87,1.87,100
2024-11-29,800,1.8758,1.8758,1.8607,1.8607,2255
2024-11-29,816,1.88,1.88,1.87,1.87,247
2024-11-29,825,1.87,1.87,1.87,1.87,252
2024-11-29,830,1.9294,1.9294,1.9294,1.9294,100
2024-11-29,837,1.94,1.94,1.93,1.93,499
2024-11-29,908,1.8601,1.8601,1.8601,1.8601,400
2024-11-29,915,1.94,1.94,1.94,1.94,500
2024-11-29,935,1.91,1.91,1.9005,1.9005,504
2024-11-29,959,1.9211,1.9211,1.9211,1.9211,800
2024-11-29,1004,1.92,1.92,1.91,1.91,1000
2024-11-29,1056,1.9255,1.9255,1.9255,1.9255,133
2024-11-29,1107,1.97,1.97,1.97,1.97,123
2024-11-29,1110,1.94,1.97,1.94,1.97,600
2024-11-29,1127,1.93,1.94,1.93,1.94,815
2024-11-29,1131,1.93,1.93,1.92,1.93,1893
2024-11-29,1148,1.93,1.93,1.93,1.93,994
2024-11-29,1158,1.9215,1.93,1.9215,1.93,2045
2024-11-29,1202,1.925,1.925,1.925,1.925,125
2024-11-29,1204,1.9294,1.93,1.9294,1.93,300
2024-11-29,1219,1.9294,1.9294,1.9294,1.9294,1000
2024-11-29,1233,1.92,1.92,1.91,1.91,5886
2024-11-29,1235,1.91,1.91,1.91,1.91,612
2024-11-29,1246,1.94,1.94,1.94,1.94,273
2024-11-29,1249,1.9115,1.94,1.9115,1.94,573
2024-11-29,1254,1.94,1.94,1.94,1.94,101
2024-11-29,1255,1.922,1.922,1.922,1.922,252
2024-11-29,1259,1.92,1.94,1.92,1.94,1146
2024-11-29,1453,1.91,1.91,1.9099,1.9099,1048
2024-11-29,1504,1.9099,1.9099,1.9099,1.9099,500
2024-11-29,1641,1.9,1.9,1.9,1.9,163
2024-12-02,700,1.86,1.91,1.86,1.91,228
2024-12-02,800,1.91,1.91,1.9006,1.9006,426
2024-12-02,930,1.9,1.9,1.9,1.9,138
2024-12-02,934,1.935,1.935,1.9135,1.9135,637
2024-12-02,935,1.91,1.93,1.9,1.91,2666
2024-12-02,945,1.93,1.93,1.93,1.93,100
2024-12-02,951,1.92,1.92,1.92,1.92,125
2024-12-02,1001,1.925,1.925,1.925,1.925,191
2024-12-02,1016,1.9299,1.9299,1.9299,1.9299,125
2024-12-02,1021,1.92,1.92,1.92,1.92,275
2024-12-02,1028,1.9289,1.9289,1.9289,1.9289,110
2024-12-02,1035,1.93,1.94,1.93,1.94,2930
2024-12-02,1037,1.95,1.95,1.95,1.95,277
2024-12-02,1039,1.9699,1.9699,1.9691,1.9691,301
2024-12-02,1041,1.9512,1.9512,1.9512,1.9512,267
2024-12-02,1052,1.97,1.97,1.97,1.97,359
2024-12-02,1057,1.97,1.97,1.97,1.97,360
2024-12-02,1108,1.9791,1.9791,1.9791,1.9791,101
2024-12-02,1111,1.975,1.975,1.97,1.97,598
2024-12-02,1117,1.97,1.9701,1.97,1.9701,544
2024-12-02,1132,1.975,1.975,1.975,1.975,103
2024-12-02,1138,1.98,1.98,1.98,1.98,1053
2024-12-02,1139,1.99,1.99,1.99,1.99,100
2024-12-02,1141,1.98,1.99,1.98,1.9899,302
2024-12-02,1144,1.99,1.99,1.99,1.99,209
2024-12-02,1147,1.98,1.98,1.98,1.98,102
2024-12-02,1150,1.98,1.98,1.98,1.98,503
2024-12-02,1153,1.98,1.98,1.98,1.98,565
2024-12-02,1223,1.99,1.99,1.99,1.99,101
2024-12-02,1226,1.97,1.97,1.97,1.97,485
2024-12-02,1232,1.98,1.98,1.97,1.97,860
2024-12-02,1234,1.9846,1.9899,1.9761,1.9899,326
2024-12-02,1247,1.96,1.96,1.96,1.96,366
2024-12-02,1257,1.989,1.989,1.989,1.989,902
2024-12-02,1314,1.95,1.95,1.95,1.95,212
2024-12-02,1319,1.965,1.965,1.965,1.965,106
2024-12-02,1345,1.97,1.97,1.97,1.97,125
2024-12-02,1439,1.9521,1.9521,1.9521,1.9521,670
2024-12-02,1502,1.91,1.94,1.91,1.94,200
2024-12-02,1512,1.92,1.92,1.9,1.9114,1884
2024-12-02,1518,1.91,1.91,1.91,1.91,311
2024-12-02,1519,1.925,1.925,1.925,1.925,300
2024-12-02,1522,1.91,1.9101,1.9,1.9,1946
2024-12-02,1523,1.87,1.8701,1.87,1.8701,15644
2024-12-02,1529,1.88,1.9,1.87,1.8701,3779
2024-12-02,1532,1.9,1.9,1.9,1.9,105
2024-12-02,1539,1.87,1.87,1.87,1.87,657
2024-12-02,1543,1.86,1.86,1.86,1.86,327
2024-12-02,1546,1.86,1.86,1.86,1.86,541
2024-12-02,1547,1.8871,1.8871,1.8871,1.8871,345
2024-12-02,1556,1.9,1.9,1.9,1.9,126
2024-12-02,1557,1.8899,1.8899,1.8899,1.8899,655
2024-12-02,1558,1.87,1.87,1.87,1.87,529
2024-12-02,1950,1.95,1.95,1.95,1.95,3611
2024-12-03,400,1.95,2.0,1.95,2.0,712
2024-12-03,404,2.01,2.01,2.01,2.01,100
2024-12-03,418,2.21,2.29,2.21,2.22,3419
2024-12-03,419,2.28,2.3,2.28,2.3,942
2024-12-03,420,2.31,3.19,2.31,2.37,67673
2024-12-03,421,2.36,2.6,2.32,2.46,94665
2024-12-03,422,2.46,2.68,2.44,2.61,82561
2024-12-03,423,2.61,2.63,2.4,2.43,78450
2024-12-03,424,2.38,2.46,2.31,2.45,72869
2024-12-03,425,2.44,2.45,2.13,2.19,69737
2024-12-03,426,2.2,2.34,2.19,2.32,22900
2024-12-03,427,2.32,2.4,2.25,2.255,38119
2024-12-03,428,2.25,2.27,2.17,2.25,52984
2024-12-03,429,2.28,2.39,2.27,2.34,30080
2024-12-03,430,2.34,2.38,2.22,2.24,50493
