date,time,open,high,low,close,volume
2024-11-27,1901,1.19,1.19,1.19,1.19,400
2024-11-27,1914,1.185,1.21,1.185,1.21,60
2024-11-27,1917,1.21,1.21,1.21,1.21,25
2024-11-27,1923,1.215,1.215,1.215,1.215,410
2024-11-27,1944,1.19,1.19,1.19,1.19,7
2024-11-27,1946,1.195,1.195,1.195,1.195,116
2024-11-27,1948,1.19,1.19,1.19,1.19,6
2024-11-27,1951,1.21,1.21,1.21,1.21,372
2024-11-27,1953,1.21,1.21,1.21,1.21,15
2024-11-27,1954,1.195,1.195,1.195,1.195,24
2024-11-27,1955,1.205,1.21,1.205,1.21,61
2024-11-27,1956,1.205,1.205,1.205,1.205,7
2024-11-27,1959,1.195,1.195,1.195,1.195,1000
2024-11-29,400,1.21,1.21,1.21,1.21,20
2024-11-29,401,1.2,1.2,1.19,1.19,61
2024-11-29,403,1.19,1.19,1.19,1.19,20
2024-11-29,452,1.28,1.28,1.28,1.28,6
2024-11-29,543,1.28,1.28,1.27,1.27,66
2024-11-29,601,1.26,1.26,1.26,1.26,76
2024-11-29,606,1.255,1.26,1.255,1.26,7
2024-11-29,608,1.22,1.23,1.22,1.23,135
2024-11-29,616,1.255,1.255,1.255,1.255,20
2024-11-29,619,1.25,1.25,1.25,1.25,18
2024-11-29,621,1.25,1.25,1.25,1.25,36
2024-11-29,622,1.25,1.25,1.25,1.25,54
2024-11-29,626,1.255,1.255,1.255,1.255,174
2024-11-29,634,1.245,1.255,1.245,1.255,52
2024-11-29,640,1.255,1.255,1.255,1.255,2
2024-11-29,701,1.225,1.225,1.225,1.225,84
2024-11-29,706,1.225,1.225,1.225,1.225,80
2024-11-29,712,1.22,1.22,1.22,1.22,60
2024-11-29,717,1.22,1.22,1.2,1.2,536
2024-11-29,721,1.19,1.19,1.19,1.19,403
2024-11-29,747,1.19,1.19,1.19,1.19,88
2024-11-29,758,1.18,1.18,1.18,1.18,760
2024-11-29,759,1.24,1.245,1.24,1.245,200
2024-11-29,800,1.19,1.25,1.18,1.19,8461
2024-11-29,802,1.185,1.185,1.185,1.185,20
2024-11-29,804,1.19,1.23,1.19,1.23,1812
2024-11-29,806,1.22,1.22,1.22,1.22,1571
2024-11-29,808,1.21,1.22,1.195,1.22,54
2024-11-29,809,1.215,1.215,1.215,1.215,10
2024-11-29,811,1.215,1.215,1.215,1.215,1421
2024-11-29,812,1.215,1.215,1.215,1.215,110
2024-11-29,814,1.21,1.21,1.185,1.185,21
2024-11-29,818,1.2,1.2,1.2,1.2,5
2024-11-29,821,1.2,1.2,1.2,1.2,200
2024-11-29,823,1.205,1.205,1.205,1.205,20
2024-11-29,824,1.22,1.225,1.22,1.225,1227
2024-11-29,830,1.225,1.225,1.225,1.225,8
2024-11-29,831,1.225,1.24,1.225,1.235,102
2024-11-29,833,1.24,1.24,1.235,1.235,26
2024-11-29,834,1.235,1.235,1.235,1.235,400
2024-11-29,835,1.235,1.235,1.235,1.235,300
2024-11-29,836,1.24,1.24,1.24,1.24,4
2024-11-29,837,1.23,1.23,1.225,1.225,120
2024-11-29,838,1.235,1.235,1.235,1.235,70
2024-11-29,840,1.23,1.23,1.23,1.23,140
2024-11-29,842,1.225,1.225,1.225,1.225,230
2024-11-29,843,1.225,1.225,1.225,1.225,26
2024-11-29,844,1.23,1.23,1.23,1.23,6
2024-11-29,845,1.23,1.23,1.225,1.225,110
2024-11-29,846,1.23,1.23,1.23,1.23,2000
2024-11-29,847,1.225,1.225,1.225,1.225,20
2024-11-29,848,1.225,1.225,1.21,1.215,319
2024-11-29,851,1.21,1.21,1.21,1.21,738
2024-11-29,852,1.21,1.21,1.21,1.21,77
2024-11-29,853,1.21,1.215,1.21,1.215,1584
2024-11-29,855,1.215,1.215,1.215,1.215,22
2024-11-29,858,1.215,1.215,1.215,1.215,785
2024-11-29,900,1.215,1.215,1.215,1.215,40
2024-11-29,901,1.215,1.215,1.215,1.215,21
2024-11-29,902,1.225,1.225,1.19,1.19,2020
2024-11-29,903,1.19,1.225,1.19,1.225,30
2024-11-29,911,1.21,1.24,1.195,1.24,2485
2024-11-29,913,1.235,1.24,1.235,1.24,361
2024-11-29,914,1.2,1.235,1.2,1.235,307
2024-11-29,915,1.235,1.235,1.235,1.235,7
2024-11-29,916,1.225,1.225,1.195,1.195,704
2024-11-29,917,1.215,1.215,1.2,1.2,72
2024-11-29,918,1.22,1.22,1.22,1.22,41
2024-11-29,919,1.245,1.245,1.24,1.24,20
2024-11-29,923,1.24,1.24,1.24,1.24,3
2024-11-29,924,1.22,1.22,1.22,1.22,200
2024-11-29,925,1.24,1.24,1.225,1.225,82
2024-11-29,926,1.24,1.24,1.24,1.24,20
2024-11-29,929,1.22,1.22,1.2,1.2,200
2024-11-29,930,1.25,1.25,1.21,1.21,5764
2024-11-29,932,1.23,1.245,1.21,1.21,1179
2024-11-29,933,1.21,1.245,1.205,1.24,476
2024-11-29,934,1.23,1.23,1.23,1.23,101
2024-11-29,935,1.225,1.225,1.22,1.22,84
2024-11-29,936,1.23,1.23,1.23,1.23,70
2024-11-29,937,1.22,1.22,1.205,1.21,1359
2024-11-29,939,1.235,1.235,1.225,1.235,907
2024-11-29,940,1.22,1.22,1.22,1.22,13
2024-11-29,941,1.24,1.24,1.24,1.24,21
2024-11-29,942,1.225,1.225,1.22,1.22,19
2024-11-29,943,1.22,1.22,1.205,1.22,2018
2024-11-29,944,1.22,1.22,1.22,1.22,300
2024-11-29,945,1.215,1.215,1.21,1.21,128
2024-11-29,946,1.21,1.215,1.2,1.205,1699
2024-11-29,947,1.205,1.21,1.205,1.205,343
2024-11-29,948,1.205,1.21,1.205,1.21,456
2024-11-29,949,1.205,1.22,1.205,1.22,240
2024-11-29,950,1.21,1.22,1.205,1.22,43
2024-11-29,951,1.21,1.21,1.21,1.21,89
2024-11-29,952,1.23,1.23,1.215,1.215,6
2024-11-29,953,1.225,1.225,1.225,1.225,7
2024-11-29,954,1.225,1.225,1.22,1.225,152
2024-11-29,955,1.225,1.225,1.225,1.225,2
2024-11-29,956,1.23,1.23,1.23,1.23,2849
2024-11-29,957,1.23,1.23,1.23,1.23,20
2024-11-29,958,1.22,1.23,1.215,1.23,587
2024-11-29,959,1.23,1.23,1.215,1.215,142
2024-11-29,1000,1.225,1.225,1.225,1.225,121
2024-11-29,1001,1.215,1.23,1.215,1.215,1897
2024-11-29,1002,1.225,1.225,1.22,1.225,35
2024-11-29,1003,1.22,1.22,1.22,1.22,20
2024-11-29,1004,1.215,1.225,1.215,1.225,1246
2024-11-29,1005,1.215,1.22,1.215,1.215,49
2024-11-29,1006,1.215,1.24,1.215,1.235,2884
2024-11-29,1007,1.24,1.24,1.225,1.225,37
2024-11-29,1008,1.235,1.235,1.225,1.23,22
2024-11-29,1010,1.225,1.225,1.225,1.225,20
2024-11-29,1011,1.235,1.24,1.235,1.235,680
2024-11-29,1012,1.225,1.225,1.225,1.225,483
2024-11-29,1013,1.235,1.235,1.235,1.235,3
2024-11-29,1014,1.235,1.24,1.235,1.24,40
2024-11-29,1016,1.225,1.235,1.225,1.235,25
2024-11-29,1017,1.23,1.23,1.225,1.225,39
2024-11-29,1018,1.235,1.235,1.225,1.225,2046
2024-11-29,1019,1.24,1.24,1.24,1.24,2001
2024-11-29,1020,1.225,1.24,1.22,1.24,266
2024-11-29,1022,1.225,1.235,1.225,1.235,121
2024-11-29,1023,1.235,1.24,1.205,1.215,6081
2024-11-29,1024,1.225,1.225,1.21,1.225,1080
2024-11-29,1026,1.225,1.225,1.225,1.225,62
2024-11-29,1027,1.24,1.24,1.225,1.23,2034
2024-11-29,1028,1.23,1.24,1.23,1.24,30
2024-11-29,1029,1.23,1.235,1.23,1.235,2386
2024-11-29,1030,1.235,1.235,1.235,1.235,50
2024-11-29,1031,1.235,1.235,1.23,1.23,513
2024-11-29,1032,1.235,1.235,1.235,1.235,200
2024-11-29,1033,1.23,1.23,1.23,1.23,10
2024-11-29,1034,1.23,1.23,1.23,1.23,80
2024-11-29,1035,1.235,1.235,1.21,1.215,4093
2024-11-29,1036,1.215,1.215,1.215,1.215,1368
2024-11-29,1037,1.215,1.215,1.215,1.215,220
2024-11-29,1038,1.215,1.215,1.21,1.21,4190
2024-11-29,1039,1.215,1.215,1.21,1.21,102
2024-11-29,1040,1.215,1.215,1.215,1.215,760
2024-11-29,1041,1.21,1.215,1.21,1.215,776
2024-11-29,1042,1.215,1.215,1.215,1.215,598
2024-11-29,1043,1.21,1.215,1.21,1.215,1070
2024-11-29,1044,1.215,1.215,1.215,1.215,87
2024-11-29,1045,1.21,1.21,1.21,1.21,40
2024-11-29,1046,1.21,1.215,1.21,1.21,106
2024-11-29,1048,1.215,1.215,1.215,1.215,300
2024-11-29,1049,1.21,1.215,1.2,1.2,8271
2024-11-29,1050,1.2,1.2,1.2,1.2,2022
2024-11-29,1051,1.2,1.205,1.2,1.2,2717
2024-11-29,1052,1.2,1.2,1.2,1.2,40
2024-11-29,1054,1.205,1.205,1.2,1.2,20
2024-11-29,1055,1.2,1.2,1.18,1.18,6123
2024-11-29,1056,1.185,1.185,1.18,1.185,2299
2024-11-29,1057,1.185,1.185,1.185,1.185,459
2024-11-29,1058,1.185,1.185,1.18,1.18,5184
2024-11-29,1059,1.18,1.19,1.18,1.19,1354
2024-11-29,1100,1.185,1.19,1.185,1.19,1681
2024-11-29,1101,1.19,1.19,1.19,1.19,858
2024-11-29,1102,1.185,1.185,1.185,1.185,26
2024-11-29,1103,1.19,1.19,1.185,1.19,1309
2024-11-29,1104,1.19,1.19,1.19,1.19,556
2024-11-29,1105,1.19,1.19,1.185,1.185,154
2024-11-29,1106,1.185,1.19,1.185,1.19,1761
2024-11-29,1107,1.185,1.19,1.185,1.19,202
2024-11-29,1108,1.19,1.19,1.185,1.185,414
2024-11-29,1109,1.19,1.19,1.185,1.19,7335
2024-11-29,1110,1.19,1.19,1.19,1.19,2711
2024-11-29,1111,1.185,1.19,1.185,1.19,281
2024-11-29,1112,1.19,1.19,1.19,1.19,3752
2024-11-29,1113,1.19,1.195,1.19,1.195,218
2024-11-29,1114,1.19,1.205,1.19,1.195,1416
2024-11-29,1115,1.195,1.195,1.195,1.195,1852
2024-11-29,1116,1.195,1.2,1.195,1.2,286
2024-11-29,1118,1.195,1.195,1.195,1.195,461
2024-11-29,1119,1.195,1.2,1.195,1.195,439
2024-11-29,1120,1.195,1.195,1.195,1.195,22
2024-11-29,1121,1.195,1.2,1.195,1.2,5280
2024-11-29,1122,1.195,1.2,1.195,1.195,1046
2024-11-29,1123,1.195,1.195,1.195,1.195,4
2024-11-29,1124,1.195,1.2,1.195,1.2,153
2024-11-29,1126,1.195,1.195,1.19,1.195,574
