date,time,open,high,low,close,volume
2024-11-29,930,2.79,2.79,2.79,2.79,224
2024-11-29,1001,2.81,2.87,2.8,2.87,620
2024-11-29,1006,2.82,2.82,2.82,2.82,102
2024-11-29,1028,2.85,2.85,2.85,2.85,1000
2024-11-29,1035,2.79,2.8,2.79,2.8,364
2024-11-29,1038,2.781,2.781,2.78,2.7801,1100
2024-11-29,1050,2.78,2.78,2.78,2.78,147
2024-11-29,1057,2.77,2.77,2.77,2.77,108
2024-11-29,1101,2.76,2.91,2.76,2.7601,2542
2024-11-29,1112,2.66,2.66,2.65,2.65,1901
2024-11-29,1114,2.63,2.63,2.625,2.625,369
2024-11-29,1136,2.6291,2.6291,2.6291,2.6291,300
2024-11-29,1138,2.65,2.675,2.6,2.6427,3119
2024-11-29,1139,2.5906,2.5939,2.5906,2.5939,400
2024-11-29,1140,2.6,2.63,2.6,2.63,487
2024-11-29,1153,2.8989,2.8989,2.8989,2.8989,200
2024-11-29,1247,2.79,2.79,2.79,2.79,500
2024-12-02,930,2.71,2.71,2.71,2.71,103
2024-12-02,937,2.71,2.71,2.66,2.66,1600
2024-12-02,950,2.71,2.71,2.71,2.71,102
2024-12-02,1032,2.67,2.67,2.67,2.67,357
2024-12-02,1034,2.65,2.65,2.65,2.65,371
2024-12-02,1035,2.7732,2.7732,2.7732,2.7732,200
2024-12-02,1039,2.65,2.65,2.65,2.65,1058
2024-12-02,1040,2.7502,2.7502,2.7502,2.7502,114
2024-12-02,1050,2.745,2.745,2.745,2.745,300
2024-12-03,930,2.8,2.8,2.74,2.74,429
2024-12-03,1057,2.72,2.72,2.72,2.72,123
2024-12-03,1244,2.61,2.6304,2.61,2.6304,402
2024-12-03,1301,2.69,2.69,2.69,2.69,250
2024-12-03,1443,2.659,2.659,2.659,2.659,1000
2024-12-03,1511,2.65,2.65,2.65,2.65,250
2024-12-03,1536,2.625,2.625,2.6198,2.6198,386
2024-12-03,1539,2.61,2.61,2.6001,2.6001,1133
2024-12-03,1540,2.625,2.65,2.6,2.65,600
2024-12-04,930,2.65,2.65,2.65,2.65,106
2024-12-04,941,2.6,2.6,2.6,2.6,106
2024-12-04,953,2.6499,2.6499,2.6499,2.6499,5000
2024-12-04,955,2.64,2.81,2.64,2.69,4194
2024-12-04,1002,2.83,2.83,2.82,2.82,400
2024-12-04,1020,2.7272,2.7272,2.7272,2.7272,101
2024-12-04,1021,2.82,2.83,2.82,2.83,200
2024-12-04,1024,2.7273,2.7273,2.7273,2.7273,100
2024-12-04,1031,2.83,2.83,2.83,2.83,200
2024-12-04,1109,2.6352,2.6352,2.6352,2.6352,475
2024-12-04,1258,2.6,2.6,2.6,2.6,351
2024-12-04,1508,2.65,2.6615,2.63,2.63,3718
2024-12-04,1515,2.697,2.697,2.697,2.697,316
2024-12-05,802,2.84,4.19,2.8,3.5,16108
2024-12-05,803,3.5,4.85,3.29,4.65,147855
2024-12-05,804,4.64,6.24,4.64,5.46,393118
2024-12-05,805,5.5,5.8,5.01,5.47,275618
2024-12-05,806,5.35,5.4,4.75,5.17,212787
2024-12-05,807,5.17,5.74,4.84,4.9,436075
2024-12-05,808,4.89,5.1899,4.52,4.87,276193
2024-12-05,809,4.9,5.1,4.67,4.96,146154
2024-12-05,810,4.9848,6.08,4.96,5.75,612481
2024-12-05,811,5.7501,6.38,5.49,6.35,648169
2024-12-05,812,6.38,7.6,6.34,7.1,1005596
2024-12-05,813,7.09,7.59,6.8,7.3301,647178
2024-12-05,814,7.33,7.8,7.11,7.34,551633
2024-12-05,815,7.38,7.45,7.0,7.08,291052
2024-12-05,816,7.0722,7.4,7.02,7.19,245605
2024-12-05,817,7.19,8.15,7.19,7.77,553720
2024-12-05,818,7.77,7.84,7.45,7.68,333552
2024-12-05,819,7.65,7.86,7.33,7.5,294145
2024-12-05,820,7.53,7.64,7.2,7.2299,177797
2024-12-05,821,7.23,7.42,7.1503,7.25,165572
2024-12-05,822,7.26,7.28,7.1,7.16,111530
2024-12-05,823,7.17,7.41,7.01,7.02,221974
2024-12-05,824,7.02,7.2239,7.01,7.18,94895
2024-12-05,825,7.15,7.7497,7.15,7.62,365431
2024-12-05,826,7.62,7.65,7.21,7.28,233660
2024-12-05,827,7.25,7.3,7.1,7.2,142416
2024-12-05,828,7.17,7.34,7.1,7.1,102197
2024-12-05,829,7.06,7.15,6.8,6.85,229979
2024-12-05,830,6.83,7.29,6.76,7.24,134373
2024-12-05,831,7.2,7.3,7.13,7.15,88897
2024-12-05,832,7.19,7.7342,7.14,7.56,212071
2024-12-05,833,7.55,8.2,7.47,7.86,444547
2024-12-05,834,7.82,7.97,7.34,7.5,214711
2024-12-05,835,7.52,7.6,7.18,7.39,134994
2024-12-05,836,7.37,7.42,7.17,7.35,65074
2024-12-05,837,7.4187,7.4187,7.12,7.26,64900
2024-12-05,838,7.27,7.3197,7.18,7.21,40867
2024-12-05,839,7.21,7.3,7.0,7.16,91025
2024-12-05,840,7.17,7.23,6.94,7.17,88015
2024-12-05,841,7.17,7.17,6.9,6.9537,84857
2024-12-05,842,7.01,7.17,6.9503,7.17,39403
2024-12-05,843,7.15,7.29,7.05,7.12,77960
2024-12-05,844,7.15,7.15,6.95,7.05,38759
2024-12-05,845,7.01,7.08,6.95,7.03,27406
2024-12-05,846,7.03,7.3,7.0114,7.23,93350
2024-12-05,847,7.23,7.58,6.97,6.98,214313
2024-12-05,848,6.98,7.54,6.97,7.4,126070
2024-12-05,849,7.42,7.72,7.33,7.55,217720
2024-12-05,850,7.6,7.98,7.5901,7.93,413436
2024-12-05,851,7.91,7.95,7.6,7.66,172720
2024-12-05,852,7.6455,8.93,7.6455,8.46,684492
2024-12-05,853,8.42,8.77,8.42,8.5699,402411
2024-12-05,854,8.54,8.72,8.2,8.3101,289699
2024-12-05,855,8.31,8.57,8.07,8.48,271879
2024-12-05,856,8.48,8.76,8.36,8.47,198606
2024-12-05,857,8.475,9.35,8.47,9.23,508145
2024-12-05,858,9.23,9.34,8.5,8.65,635496
2024-12-05,859,8.68,8.69,8.47,8.65,156018
2024-12-05,900,8.66,8.7604,8.38,8.4796,170903
2024-12-05,901,8.5,8.5998,8.33,8.3601,99671
2024-12-05,902,8.36,8.4201,8.22,8.28,75699
2024-12-05,903,8.24,8.39,8.24,8.32,61437
2024-12-05,904,8.33,8.37,8.2,8.32,55821
2024-12-05,905,8.36,8.66,8.3362,8.57,181351
2024-12-05,906,8.57,8.65,8.43,8.57,111422
2024-12-05,907,8.57,8.57,8.01,8.1401,144830
2024-12-05,908,8.16,8.4655,8.16,8.3499,51171
2024-12-05,909,8.31,8.3902,8.24,8.27,28224
2024-12-05,910,8.26,8.27,8.05,8.0801,81218
2024-12-05,911,8.12,8.14,7.93,8.0596,116615
2024-12-05,912,8.06,8.11,8.02,8.0716,17934
2024-12-05,913,8.1,8.33,8.08,8.26,56906
2024-12-05,914,8.26,8.4,8.1,8.12,50078
2024-12-05,915,8.1,8.2,7.93,8.0,77131
2024-12-05,916,8.029,8.11,7.82,7.9,68959
2024-12-05,917,7.9,7.94,7.75,7.78,77436
2024-12-05,918,7.78,7.79,7.44,7.5,134009
2024-12-05,919,7.5,7.5,7.23,7.24,126688
2024-12-05,920,7.2599,7.6,7.21,7.52,120502
2024-12-05,921,7.53,7.61,7.44,7.44,57954
2024-12-05,922,7.44,7.6,7.35,7.42,47649
2024-12-05,923,7.48,7.5,7.3403,7.44,23074
2024-12-05,924,7.44,7.48,7.3,7.43,31407
2024-12-05,925,7.42,7.6,7.36,7.6,18104
2024-12-05,926,7.61,7.61,7.35,7.36,45785
2024-12-05,927,7.41,7.4599,7.2,7.34,41018
2024-12-05,928,7.3,7.38,7.25,7.29,19378
2024-12-05,929,7.29,7.3,6.9,7.05,110344
2024-12-05,930,7.08,7.42,6.81,6.8808,368584
2024-12-05,931,6.88,7.5,6.7,6.9802,355946
2024-12-05,932,7.16,7.5,6.96,7.0382,339258
2024-12-05,933,7.09,8.0,7.04,7.8999,858690
2024-12-05,934,7.86,8.11,6.72,6.95,883134
2024-12-05,935,6.9499,6.9499,6.54,6.815,403096
2024-12-05,936,6.81,6.851,6.57,6.727,225270
2024-12-05,937,6.7001,6.86,6.42,6.7235,304546
2024-12-05,938,6.8,6.87,6.5501,6.7499,205033
2024-12-05,939,6.7,6.92,6.38,6.5499,354533
2024-12-05,940,6.55,6.62,6.45,6.62,165206
2024-12-05,941,6.6,6.75,6.44,6.5106,153163
2024-12-05,942,6.5101,6.8,6.45,6.6798,195711
2024-12-05,943,6.68,6.85,6.5801,6.79,226051
2024-12-05,944,6.79,7.03,6.71,6.8601,380172
2024-12-05,945,6.94,7.35,6.8,7.14,505960
2024-12-05,946,7.08,7.1327,6.54,6.755,392401
2024-12-05,947,6.72,6.75,6.45,6.655,177553
2024-12-05,948,6.63,6.7,6.5201,6.58,77950
2024-12-05,949,6.58,6.92,6.58,6.81,204340
2024-12-05,950,6.8,7.48,6.71,7.35,676196
2024-12-05,951,7.31,7.99,6.36,6.7177,1325486
2024-12-05,952,6.71,6.82,6.58,6.76,247822
2024-12-05,953,6.71,6.85,6.7,6.7,118527
2024-12-05,954,6.72,6.8694,6.65,6.7555,111524
2024-12-05,955,6.6701,6.77,6.67,6.76,44850
2024-12-05,956,6.7599,7.12,6.68,7.1,202446
2024-12-05,957,7.0218,7.1299,6.87,7.039,222936
2024-12-05,958,7.04,7.7799,7.04,7.399,743871
2024-12-05,959,7.45,7.9,7.31,7.5682,837992
2024-12-05,1000,7.5227,8.55,6.9,7.14,1339804
2024-12-05,1001,7.1482,7.67,7.07,7.2601,454946
2024-12-05,1002,7.38,7.4799,7.01,7.16,346235
2024-12-05,1003,7.1749,7.6699,7.12,7.275,296391
2024-12-05,1004,7.28,7.4,7.16,7.3399,151830
2024-12-05,1005,7.34,7.4,7.22,7.255,145140
2024-12-05,1006,7.24,7.34,6.9,7.11,351357
2024-12-05,1007,7.14,7.18,6.7,6.9,270871
2024-12-05,1008,6.87,7.05,6.8,6.9944,97912
2024-12-05,1009,7.02,7.2,6.99,7.1,123279
2024-12-05,1010,7.1,7.1595,7.06,7.1,77229
2024-12-05,1011,7.1,7.1018,6.9201,6.98,82390
2024-12-05,1012,7.0495,7.05,6.82,6.9401,131693
2024-12-05,1013,6.95,7.1799,6.95,7.1473,129754
2024-12-05,1014,7.1257,7.3586,7.08,7.24,225891
2024-12-05,1015,7.25,7.4461,7.1928,7.35,254175
2024-12-05,1016,7.37,7.6,7.25,7.59,402877
2024-12-05,1017,7.5952,7.75,7.3,7.703,337499
2024-12-05,1018,7.65,7.9,7.6,7.625,535708
2024-12-05,1019,7.61,7.88,7.45,7.87,498181
2024-12-05,1020,7.88,7.9,7.3401,7.69,314023
2024-12-05,1021,7.6937,7.87,7.42,7.6202,379298
2024-12-05,1022,7.6,8.0,7.35,7.862,552719
2024-12-05,1023,7.8883,8.23,7.64,7.81,982489
2024-12-05,1024,7.7595,8.0,7.7595,7.9689,319232
2024-12-05,1025,7.96,8.04,7.65,7.68,453607
2024-12-05,1026,7.67,7.87,7.67,7.67,205356
2024-12-05,1027,7.685,7.8425,7.5,7.8,265522
2024-12-05,1028,7.73,8.1,7.73,7.9205,387455
2024-12-05,1029,7.964,8.19,7.6401,8.0189,416861
2024-12-05,1030,7.9071,8.3,7.9004,8.2419,482800
2024-12-05,1031,8.3,8.72,7.7,8.5696,1164999
2024-12-05,1032,8.54,9.52,8.5182,9.0711,1338210
2024-12-05,1033,9.0513,9.72,8.8401,9.565,1128829
2024-12-05,1034,9.5801,9.71,9.18,9.5,682711
2024-12-05,1035,9.41,10.3099,9.0901,10.1699,1264314
2024-12-05,1036,10.1343,10.3,9.62,10.166,790310
2024-12-05,1037,10.175,10.29,9.75,10.0546,676744
2024-12-05,1038,10.11,10.29,9.6001,9.9084,470505
2024-12-05,1039,9.9899,10.07,9.32,9.446,704488
2024-12-05,1040,9.475,9.5,9.1161,9.44,529930
2024-12-05,1041,9.425,9.8299,9.0,9.11,427802
2024-12-05,1042,9.11,9.24,9.05,9.1294,236720
2024-12-05,1043,9.13,9.23,8.74,8.8103,407272
2024-12-05,1044,8.8116,8.9678,8.55,8.89,463366
2024-12-05,1045,8.87,8.95,8.82,8.87,133408
2024-12-05,1046,8.88,8.89,8.64,8.8449,222369
2024-12-05,1047,8.85,8.85,8.51,8.8,214107
2024-12-05,1048,8.8384,8.94,8.43,8.6216,300518
2024-12-05,1049,8.68,8.73,7.8,8.0,562638
2024-12-05,1050,8.0,8.17,7.95,8.08,226399
2024-12-05,1051,8.0969,8.1,7.83,7.87,188073
2024-12-05,1052,7.8899,7.95,7.6,7.75,382493
2024-12-05,1053,7.75,7.87,7.7,7.82,142512
2024-12-05,1054,7.81,8.15,7.76,8.107,268108
2024-12-05,1055,8.11,8.2299,8.06,8.16,232511
2024-12-05,1056,8.18,8.3,8.16,8.21,216998
2024-12-05,1057,8.23,8.24,8.06,8.1499,137255
2024-12-05,1058,8.15,8.18,7.86,7.97,172132
2024-12-05,1059,7.97,8.1,7.9053,8.05,80071
2024-12-05,1100,8.05,8.26,8.0,8.0406,147462
2024-12-05,1101,8.022,8.21,8.0106,8.14,114272
2024-12-05,1102,8.15,8.16,8.02,8.09,149371
2024-12-05,1103,8.0334,8.23,7.72,8.1851,250974
2024-12-05,1104,8.2,8.45,8.1001,8.39,374528
2024-12-05,1105,8.39,8.47,8.24,8.3851,280601
2024-12-05,1106,8.3992,8.42,8.2,8.2694,184731
2024-12-05,1107,8.2699,8.32,7.98,8.16,181383
2024-12-05,1108,8.18,8.18,8.05,8.11,73410
2024-12-05,1109,8.09,8.16,7.98,8.1196,154670
2024-12-05,1110,8.0901,8.12,7.81,8.0,171914
2024-12-05,1111,8.0124,8.18,7.91,8.01,173381
2024-12-05,1112,8.0,8.01,7.85,7.93,136112
2024-12-05,1113,7.94,8.0,7.77,7.86,111526
2024-12-05,1114,7.8961,7.9251,7.78,7.92,105359
2024-12-05,1115,7.9,8.0975,7.86,8.06,167058
2024-12-05,1116,8.04,8.06,7.97,8.03,61836
2024-12-05,1117,8.0301,8.09,7.9,7.9699,73561
2024-12-05,1118,7.968,8.0,7.82,7.8201,79136
2024-12-05,1119,7.8273,7.95,7.82,7.88,58010
2024-12-05,1120,7.86,7.914,7.53,7.56,113834
2024-12-05,1121,7.58,7.64,7.22,7.3599,292539
2024-12-05,1122,7.35,7.404,7.23,7.25,133460
2024-12-05,1123,7.23,7.4,7.23,7.3,114884
2024-12-05,1124,7.2801,7.3,7.16,7.23,146707
2024-12-05,1125,7.22,7.35,7.1,7.23,118533
2024-12-05,1126,7.181,7.28,7.17,7.233,79259
2024-12-05,1127,7.2788,7.35,7.25,7.33,61412
2024-12-05,1128,7.33,7.34,7.22,7.2201,45222
2024-12-05,1129,7.2381,7.2381,7.11,7.15,75583
2024-12-05,1130,7.15,7.23,7.1204,7.225,58437
2024-12-05,1131,7.2201,7.47,7.22,7.41,103053
2024-12-05,1132,7.4,7.55,7.35,7.4799,170392
2024-12-05,1133,7.47,7.49,7.41,7.47,58877
2024-12-05,1134,7.47,7.48,7.38,7.4592,50891
2024-12-05,1135,7.4386,7.44,7.35,7.41,46454
2024-12-05,1136,7.39,7.4019,7.24,7.3867,70157
2024-12-05,1137,7.38,7.38,7.3,7.34,38917
2024-12-05,1138,7.33,7.355,7.3,7.34,60738
2024-12-05,1139,7.34,7.59,7.34,7.4706,121358
2024-12-05,1140,7.4701,7.55,7.42,7.5254,55898
2024-12-05,1141,7.5,7.53,7.31,7.35,42409
2024-12-05,1142,7.35,7.4492,7.25,7.305,61545
2024-12-05,1143,7.3,7.3867,7.285,7.3199,24145
2024-12-05,1144,7.3019,7.3772,7.3,7.36,21368
2024-12-05,1145,7.3749,7.43,7.32,7.4168,27756
2024-12-05,1146,7.42,7.45,7.3,7.31,48180
2024-12-05,1147,7.3,7.4399,7.3,7.36,44209
2024-12-05,1148,7.3735,7.55,7.3735,7.5373,97091
2024-12-05,1149,7.51,7.55,7.36,7.38,53342
2024-12-05,1150,7.4,7.45,7.3401,7.395,35280
2024-12-05,1151,7.42,7.4859,7.4,7.42,39585
2024-12-05,1152,7.43,7.95,7.42,7.855,281118
2024-12-05,1153,7.86,7.96,7.75,7.8,241739
2024-12-05,1154,7.8477,7.8477,7.67,7.76,127139
2024-12-05,1155,7.7798,8.19,7.72,8.0716,319997
2024-12-05,1156,8.07,8.27,8.0,8.0801,320669
2024-12-05,1157,8.08,8.15,7.66,7.8047,260268
2024-12-05,1158,7.895,7.91,7.74,7.91,88858
2024-12-05,1159,7.89,7.9181,7.8,7.82,61928
2024-12-05,1200,7.8233,8.23,7.71,8.06,238125
2024-12-05,1201,8.1095,8.21,8.06,8.1403,170087
2024-12-05,1202,8.2,8.2,8.0,8.12,113126
2024-12-05,1203,8.16,8.3,8.0908,8.3,196941
2024-12-05,1204,8.28,8.28,7.92,7.99,205806
2024-12-05,1205,7.99,8.0648,7.91,7.9855,77107
2024-12-05,1206,7.97,8.0,7.67,7.751,185028
2024-12-05,1207,7.6701,7.7899,7.33,7.5,269626
2024-12-05,1208,7.4801,7.5028,7.34,7.43,78517
2024-12-05,1209,7.4272,7.49,7.36,7.41,106603
2024-12-05,1210,7.4199,7.49,7.4,7.458,55940
2024-12-05,1211,7.48,7.48,7.35,7.4595,93217
2024-12-05,1212,7.44,7.53,7.37,7.53,62016
2024-12-05,1213,7.5,7.53,7.46,7.5088,35287
2024-12-05,1214,7.5,7.66,7.5,7.57,120678
2024-12-05,1215,7.5564,7.69,7.5564,7.61,67411
2024-12-05,1216,7.61,7.7193,7.6003,7.6846,38100
2024-12-05,1217,7.69,7.79,7.67,7.73,93609
2024-12-05,1218,7.73,7.78,7.646,7.655,54622
2024-12-05,1219,7.6647,7.69,7.6,7.658,29619
2024-12-05,1220,7.64,7.66,7.59,7.595,25203
2024-12-05,1221,7.59,7.6,7.5,7.57,40904
2024-12-05,1222,7.56,7.66,7.55,7.5676,32680
2024-12-05,1223,7.56,7.66,7.56,7.64,26587
2024-12-05,1224,7.63,7.7197,7.55,7.56,77684
2024-12-05,1225,7.62,7.64,7.5,7.5079,35259
2024-12-05,1226,7.5,7.59,7.5,7.53,36542
2024-12-05,1227,7.5427,7.58,7.46,7.49,36278
2024-12-05,1228,7.49,7.63,7.49,7.6001,34495
2024-12-05,1229,7.63,7.68,7.6,7.68,31854
2024-12-05,1230,7.63,7.655,7.54,7.5809,15358
2024-12-05,1231,7.5875,7.5875,7.53,7.54,13274
2024-12-05,1232,7.54,7.58,7.48,7.53,37153
2024-12-05,1233,7.53,7.67,7.53,7.56,44546
2024-12-05,1234,7.56,7.6,7.52,7.544,27201
2024-12-05,1235,7.58,7.62,7.57,7.58,16022
2024-12-05,1236,7.57,7.57,7.4,7.46,72308
2024-12-05,1237,7.474,7.49,7.4106,7.48,37372
2024-12-05,1238,7.49,7.52,7.47,7.5,17443
2024-12-05,1239,7.5,7.5,7.4301,7.4401,20641
2024-12-05,1240,7.44,7.4999,7.44,7.45,9812
2024-12-05,1241,7.44,7.4544,7.21,7.25,109090
2024-12-05,1242,7.23,7.31,7.23,7.29,48009
2024-12-05,1243,7.2899,7.38,7.2759,7.38,24707
2024-12-05,1244,7.37,7.3915,7.33,7.36,18625
2024-12-05,1245,7.36,7.47,7.32,7.44,41072
2024-12-05,1246,7.43,7.5,7.4,7.4999,25416
2024-12-05,1247,7.483,7.69,7.48,7.61,119396
2024-12-05,1248,7.65,7.7894,7.6183,7.7245,135736
2024-12-05,1249,7.7451,7.7497,7.6,7.6,41807
2024-12-05,1250,7.6,7.68,7.56,7.6448,62715
2024-12-05,1251,7.6305,7.64,7.45,7.52,29683
2024-12-05,1252,7.52,7.5529,7.45,7.4501,34966
2024-12-05,1253,7.44,7.47,7.36,7.4299,55842
2024-12-05,1254,7.415,7.5294,7.36,7.5294,88457
2024-12-05,1255,7.53,7.58,6.8301,6.896,205001
2024-12-05,1256,6.86,7.0766,6.86,7.0299,123278
2024-12-05,1257,7.024,7.13,6.98,6.9803,108339
2024-12-05,1258,7.01,7.02,6.75,6.755,107336
2024-12-05,1259,6.773,6.93,6.75,6.77,78549
2024-12-05,1300,6.7752,6.81,6.66,6.78,118790
2024-12-05,1301,6.79,6.8001,6.7,6.7751,79477
2024-12-05,1302,6.76,6.8,6.73,6.7996,34930
2024-12-05,1303,6.8,6.8,6.51,6.6072,118137
2024-12-05,1304,6.62,6.72,6.51,6.72,132909
2024-12-05,1305,6.66,6.7199,6.5627,6.58,64538
2024-12-05,1306,6.58,6.6467,6.52,6.5576,48905
2024-12-05,1307,6.5634,6.59,6.4016,6.5417,118508
