date,time,open,high,low,close,volume
2024-11-29,400,2.84,2.84,2.84,2.84,261
2024-11-29,930,3.06,3.11,3.06,3.11,3588
2024-11-29,931,3.11,3.11,3.11,3.11,557
2024-11-29,932,3.1,3.11,3.0301,3.0301,2416
2024-11-29,933,3.055,3.11,3.055,3.11,2025
2024-11-29,934,3.11,3.15,3.11,3.15,4964
2024-11-29,935,3.12,3.18,3.12,3.18,5023
2024-11-29,936,3.18,3.25,3.18,3.2,11898
2024-11-29,937,3.251,3.251,3.19,3.22,5784
2024-11-29,938,3.1914,3.2214,3.17,3.17,3709
2024-11-29,939,3.1774,3.1774,3.16,3.16,1134
2024-11-29,940,3.15,3.15,3.15,3.15,638
2024-11-29,941,3.15,3.18,3.15,3.16,919
2024-11-29,942,3.175,3.175,3.175,3.175,368
2024-11-29,945,3.17,3.19,3.17,3.19,700
2024-11-29,946,3.16,3.16,3.13,3.13,6250
2024-11-29,947,3.125,3.16,3.125,3.14,1700
2024-11-29,948,3.14,3.15,3.1,3.15,11652
2024-11-29,949,3.1,3.1,3.1,3.1,400
2024-11-29,950,3.1,3.1,3.1,3.1,609
2024-11-29,951,3.1,3.1,3.1,3.1,336
2024-11-29,956,3.13,3.13,3.13,3.13,151
2024-11-29,1000,3.13,3.13,3.13,3.13,100
2024-11-29,1002,3.14,3.14,3.13,3.13,1000
2024-11-29,1004,3.114,3.114,3.114,3.114,500
2024-11-29,1007,3.1114,3.1114,3.1114,3.1114,229
2024-11-29,1008,3.1144,3.1144,3.1144,3.1144,475
2024-11-29,1009,3.11,3.12,3.11,3.12,1062
2024-11-29,1013,3.115,3.115,3.115,3.115,138
2024-11-29,1016,3.13,3.14,3.115,3.14,1899
2024-11-29,1017,3.13,3.13,3.13,3.13,217
2024-11-29,1018,3.12,3.12,3.12,3.12,183
2024-11-29,1019,3.12,3.12,3.12,3.12,200
2024-11-29,1020,3.14,3.15,3.14,3.15,1721
2024-11-29,1021,3.15,3.2,3.15,3.16,11727
2024-11-29,1022,3.16,3.16,3.16,3.16,230
2024-11-29,1023,3.16,3.18,3.16,3.17,1915
2024-11-29,1024,3.175,3.175,3.175,3.175,476
2024-11-29,1025,3.15,3.175,3.14,3.14,3422
2024-11-29,1026,3.13,3.13,3.13,3.13,261
2024-11-29,1027,3.12,3.12,3.12,3.12,600
2024-11-29,1030,3.15,3.18,3.15,3.18,595
2024-11-29,1031,3.18,3.18,3.18,3.18,100
2024-11-29,1036,3.175,3.19,3.15,3.19,851
2024-11-29,1042,3.1585,3.175,3.1585,3.175,200
2024-11-29,1045,3.175,3.175,3.175,3.175,160
2024-11-29,1048,3.175,3.175,3.175,3.175,100
2024-11-29,1049,3.2,3.2,3.2,3.2,600
2024-11-29,1050,3.19,3.19,3.19,3.19,203
2024-11-29,1051,3.2,3.2,3.2,3.2,364
2024-11-29,1052,3.19,3.2,3.19,3.2,745
2024-11-29,1053,3.2,3.23,3.2,3.23,5500
2024-11-29,1054,3.2496,3.2496,3.2,3.2,622
2024-11-29,1055,3.2,3.2351,3.2,3.225,20558
2024-11-29,1056,3.2,3.2083,3.12,3.16,17108
2024-11-29,1057,3.13,3.16,3.13,3.13,312
2024-11-29,1058,3.13,3.16,3.13,3.16,588
