date,time,open,high,low,close,volume
2024-12-02,448,2.68,2.68,2.68,2.68,131
2024-12-02,800,2.65,2.65,2.65,2.65,303
2024-12-02,930,2.82,2.82,2.82,2.82,404
2024-12-02,936,2.7876,2.7876,2.7876,2.7876,101
2024-12-02,945,2.8157,2.8157,2.8157,2.8157,501
2024-12-02,949,2.681,2.681,2.68,2.68,1301
2024-12-02,1012,2.69,2.7213,2.63,2.7,6215
2024-12-02,1054,2.7403,2.7403,2.7403,2.7403,205
2024-12-02,1134,2.69,2.69,2.66,2.6801,7002
2024-12-02,1135,2.68,2.68,2.68,2.68,225
2024-12-02,1136,2.67,2.6928,2.66,2.6928,601
2024-12-02,1229,2.69,2.69,2.67,2.67,214
2024-12-02,1234,2.67,2.67,2.6,2.6,4237
2024-12-02,1239,2.585,2.585,2.585,2.585,269
2024-12-02,1245,2.58,2.58,2.45,2.488,6946
2024-12-02,1246,2.481,2.481,2.37,2.37,7939
2024-12-02,1247,2.39,2.39,2.35,2.35,6817
2024-12-02,1248,2.4,2.4,2.4,2.4,100
2024-12-02,1249,2.4,2.46,2.4,2.41,6663
2024-12-02,1252,2.48,2.48,2.48,2.48,150
2024-12-02,1302,2.51,2.51,2.51,2.51,105
2024-12-02,1312,2.55,2.55,2.55,2.55,200
2024-12-02,1313,2.54,2.56,2.54,2.56,1536
2024-12-02,1321,2.55,2.55,2.55,2.55,203
2024-12-02,1326,2.58,2.58,2.53,2.53,426
2024-12-02,1327,2.57,2.58,2.57,2.58,601
2024-12-02,1328,2.55,2.55,2.45,2.45,4301
2024-12-02,1330,2.46,2.46,2.46,2.46,203
2024-12-02,1348,2.49,2.49,2.49,2.49,102
2024-12-02,1408,2.49,2.49,2.49,2.49,103
2024-12-02,1445,2.44,2.44,2.44,2.44,1620
2024-12-02,1500,2.5,2.5,2.5,2.5,149
2024-12-02,1526,2.46,2.46,2.45,2.46,5268
2024-12-02,1532,2.54,2.54,2.54,2.54,200
2024-12-02,1533,2.47,2.47,2.47,2.47,107
2024-12-02,1536,2.47,2.47,2.44,2.4401,1003
2024-12-02,1556,2.44,2.44,2.44,2.44,100
2024-12-02,1600,2.45,2.45,2.45,2.45,652
2024-12-02,1605,2.45,2.45,2.45,2.45,530
2024-12-02,1619,2.4135,2.4135,2.4135,2.4135,100
2024-12-02,1715,2.39,2.3911,2.39,2.3911,808
2024-12-02,1717,2.46,2.46,2.46,2.46,195
2024-12-03,614,2.54,2.54,2.54,2.54,390
2024-12-03,832,2.49,2.49,2.49,2.49,106
2024-12-03,930,2.46,2.46,2.46,2.46,222
2024-12-03,933,2.47,2.47,2.47,2.47,169
2024-12-03,934,2.5211,2.5211,2.5211,2.5211,1000
2024-12-03,942,2.51,2.51,2.51,2.51,1030
2024-12-03,943,2.5,2.5,2.5,2.5,1040
2024-12-03,955,2.495,2.495,2.495,2.495,200
2024-12-03,958,2.4847,2.4847,2.4847,2.4847,100
2024-12-03,1015,2.46,2.47,2.45,2.45,2045
2024-12-03,1034,2.45,2.45,2.45,2.45,102
2024-12-03,1051,2.4819,2.4819,2.4819,2.4819,100
2024-12-03,1100,2.4799,2.4799,2.4799,2.4799,630
2024-12-03,1125,2.47,2.47,2.47,2.47,103
2024-12-03,1126,2.47,2.47,2.465,2.465,471
2024-12-03,1135,2.45,2.45,2.45,2.45,666
2024-12-03,1143,2.4739,2.4739,2.4739,2.4739,200
2024-12-03,1155,2.47,2.47,2.47,2.47,101
2024-12-03,1201,2.45,2.4501,2.45,2.4501,1255
2024-12-03,1231,2.435,2.4497,2.4334,2.4497,704
2024-12-03,1259,2.42,2.42,2.42,2.42,101
2024-12-03,1306,2.42,2.42,2.4,2.4,828
2024-12-03,1322,2.4113,2.4113,2.4113,2.4113,103
2024-12-03,1336,2.45,2.45,2.45,2.45,124
2024-12-03,1455,2.43,2.43,2.4101,2.4101,445
2024-12-03,1503,2.43,2.43,2.43,2.43,211
