date,time,open,high,low,close,volume
2024-12-02,405,67.6,67.6,67.6,67.6,7
2024-12-02,925,69.6,69.6,69.6,69.6,3
2024-12-02,930,68.8,69.6,68.8,69.2,86
2024-12-02,931,68.4,68.4,68.0,68.0,68
2024-12-02,932,68.0,68.0,68.0,68.0,49
2024-12-02,933,68.0,68.4,67.6,68.4,28
2024-12-02,934,67.6,67.6,67.6,67.6,29
2024-12-02,935,67.2,67.2,67.2,67.2,15
2024-12-02,936,67.6,67.6,67.6,67.6,14
2024-12-02,937,67.2,67.2,67.2,67.2,13
2024-12-02,938,68.0,68.0,67.6,67.6,65
2024-12-02,939,67.6,67.6,66.8,66.8,34
2024-12-02,940,67.6,69.02,67.6,69.02,21
2024-12-02,946,67.6,67.6,67.2,67.2,22
2024-12-02,947,67.6,67.6,67.6,67.6,14
2024-12-02,948,66.8,69.2,66.8,69.2,44
2024-12-02,950,67.44,67.44,67.44,67.44,10
2024-12-02,952,67.2,67.2,67.2,67.2,10
2024-12-02,955,67.2,67.6,67.2,67.6,23
2024-12-02,1003,67.2,67.2,67.2,67.2,6
2024-12-02,1010,68.0,68.4,68.0,68.4,5
2024-12-02,1017,67.0,68.4,67.0,68.4,12
2024-12-02,1019,68.0,68.0,68.0,68.0,51
2024-12-02,1023,67.2,79.6,67.2,79.2,523
2024-12-02,1024,77.8,79.6,75.8,79.6,412
2024-12-02,1025,75.6,79.6,74.57,75.2,1083
2024-12-02,1026,75.2,77.4,75.2,77.4,216
2024-12-02,1027,76.0,76.0,76.0,76.0,30
2024-12-02,1028,76.0,76.0,75.6,75.6,26
2024-12-02,1029,78.73,78.73,78.73,78.73,25
2024-12-02,1030,76.6,76.8,76.6,76.8,6
2024-12-02,1031,76.6,76.6,76.6,76.6,8
2024-12-02,1034,76.0,76.0,74.4,74.4,78
2024-12-02,1041,74.0,74.0,73.2,73.2,68
2024-12-02,1042,74.0,74.0,74.0,74.0,13
2024-12-02,1043,76.4,76.4,76.4,76.4,4
2024-12-02,1047,74.0,74.8,74.0,74.8,22
2024-12-02,1056,72.4,75.6,72.4,75.6,6
2024-12-02,1100,72.8,72.8,72.4,72.4,63
2024-12-02,1104,72.4,72.4,72.4,72.4,63
2024-12-02,1111,72.0,72.0,72.0,72.0,17
2024-12-02,1134,70.82,70.82,70.82,70.82,34
2024-12-02,1142,71.2,71.2,71.2,71.2,6
2024-12-02,1144,72.0,72.0,72.0,72.0,8
2024-12-02,1149,72.0,72.0,72.0,72.0,2
2024-12-02,1150,72.39,73.6,72.39,73.6,104
2024-12-02,1154,73.6,73.6,73.6,73.6,52
2024-12-02,1203,74.4,74.4,74.4,74.4,3
2024-12-02,1207,75.6,75.6,75.6,75.6,25
2024-12-02,1211,74.6,74.6,74.6,74.6,17
2024-12-02,1227,74.8,74.8,74.8,74.8,7
2024-12-02,1237,73.8,73.8,73.8,73.8,2
2024-12-02,1247,73.6,73.6,73.6,73.6,2
2024-12-02,1248,73.98,73.98,73.98,73.98,2
2024-12-02,1251,74.0,74.0,74.0,74.0,2
2024-12-02,1301,73.6,73.6,73.6,73.6,40
2024-12-02,1345,73.6,73.6,73.6,73.6,7
2024-12-02,1415,73.6,73.6,73.6,73.6,5
2024-12-02,1441,73.41,73.41,73.41,73.41,2
2024-12-02,1447,73.76,73.76,73.76,73.76,2
2024-12-02,1502,72.8,72.8,72.8,72.8,9
2024-12-02,1510,72.8,72.8,72.8,72.8,4
2024-12-02,1511,73.2,74.4,73.2,74.4,33
2024-12-02,1513,73.84,74.4,73.84,74.4,108
2024-12-02,1514,74.4,84.0,74.0,84.0,476
2024-12-02,1515,83.6,96.0,83.2,95.19,498
2024-12-02,1516,90.8,94.8,84.0,94.51,764
2024-12-02,1517,94.7,104.0,92.0,96.4,1220
2024-12-02,1518,94.8,97.6,80.4,88.0,1159
2024-12-02,1519,87.92,93.6,86.8,90.0,425
2024-12-02,1520,90.0,90.4,84.4,86.8,646
2024-12-02,1521,86.89,86.89,83.2,83.6,425
2024-12-02,1522,83.96,84.0,80.4,80.76,370
2024-12-02,1523,84.0,84.0,83.34,83.34,10
2024-12-02,1524,80.4,83.22,80.4,81.2,156
2024-12-02,1525,80.72,81.15,80.72,81.15,25
2024-12-02,1526,80.4,80.4,80.4,80.4,20
2024-12-02,1527,80.4,80.4,72.8,76.0,243
2024-12-02,1528,76.0,76.59,75.57,76.59,38
2024-12-02,1529,75.74,78.8,75.74,78.8,317
2024-12-02,1530,77.2,78.8,74.2,77.2,112
2024-12-02,1531,74.4,76.56,74.4,75.2,57
2024-12-02,1532,74.8,75.2,74.8,74.8,47
2024-12-02,1533,74.4,74.8,74.0,74.0,44
2024-12-02,1534,75.36,75.36,75.36,75.36,22
2024-12-02,1535,74.72,76.0,74.4,74.4,49
2024-12-02,1538,76.0,76.0,76.0,76.0,27
2024-12-02,1539,74.94,75.2,74.4,74.4,231
2024-12-02,1540,74.0,74.0,72.0,72.0,94
2024-12-02,1541,72.0,72.15,72.0,72.15,10
2024-12-02,1542,72.0,72.0,72.0,72.0,3
2024-12-02,1543,72.0,72.0,72.0,72.0,61
2024-12-02,1544,72.0,72.0,72.0,72.0,7
2024-12-02,1545,71.2,71.2,70.8,70.8,178
2024-12-02,1547,70.8,70.8,70.8,70.8,4
2024-12-02,1549,71.2,72.03,71.2,72.03,9
2024-12-02,1550,72.4,73.6,72.4,73.6,15
2024-12-02,1551,73.6,74.0,73.6,74.0,84
2024-12-02,1557,77.2,77.2,74.4,77.2,57
2024-12-02,1559,76.4,77.2,76.4,77.2,15
2024-12-02,1600,77.2,77.2,77.2,77.2,44
2024-12-02,1604,81.6,81.6,81.6,81.6,12
2024-12-02,1606,79.6,79.6,79.6,79.6,28
2024-12-02,1642,80.0,80.0,80.0,80.0,5
2024-12-02,1958,80.0,80.0,80.0,80.0,50
