date,time,open,high,low,close,volume
2024-12-04,800,1.1813,1.1813,1.1813,1.1813,2436
2024-12-04,834,1.2681,1.2681,1.2681,1.2681,997
2024-12-04,930,1.22,1.22,1.22,1.22,237
2024-12-04,936,1.2251,1.2251,1.2251,1.2251,500
2024-12-04,941,1.22,1.22,1.22,1.22,871
2024-12-04,943,1.22,1.22,1.22,1.22,220
2024-12-04,944,1.22,1.22,1.22,1.22,400
2024-12-04,948,1.22,1.22,1.22,1.22,1695
2024-12-04,952,1.22,1.22,1.22,1.22,101
2024-12-04,955,1.23,1.23,1.23,1.23,110
2024-12-04,1006,1.2383,1.2383,1.2383,1.2383,100
2024-12-04,1010,1.24,1.24,1.24,1.24,1066
2024-12-04,1011,1.24,1.24,1.23,1.23,890
2024-12-04,1020,1.2297,1.2297,1.2297,1.2297,1213
2024-12-04,1029,1.23,1.23,1.23,1.23,976
2024-12-04,1031,1.2193,1.2193,1.2193,1.2193,365
2024-12-04,1046,1.23,1.23,1.23,1.23,1283
2024-12-04,1106,1.2125,1.225,1.2,1.225,3200
2024-12-04,1107,1.2,1.225,1.2,1.2001,4242
2024-12-04,1108,1.215,1.22,1.19,1.22,5638
2024-12-04,1148,1.19,1.19,1.19,1.19,1200
2024-12-04,1201,1.21,1.21,1.209,1.21,11443
2024-12-04,1203,1.19,1.19,1.19,1.19,173
2024-12-04,1204,1.19,1.19,1.19,1.19,504
2024-12-04,1205,1.205,1.205,1.205,1.205,930
2024-12-04,1216,1.2,1.2,1.2,1.2,500
2024-12-04,1225,1.2,1.21,1.2,1.21,752
2024-12-04,1239,1.21,1.21,1.21,1.21,250
2024-12-04,1312,1.21,1.225,1.2,1.2,6400
2024-12-04,1340,1.24,1.24,1.24,1.24,214
2024-12-04,1347,1.23,1.23,1.23,1.23,1000
2024-12-04,1402,1.2,1.2,1.2,1.2,400
2024-12-04,1421,1.19,1.22,1.19,1.22,981
2024-12-04,1433,1.22,1.22,1.22,1.22,100
2024-12-04,1449,1.2066,1.2066,1.2066,1.2066,500
2024-12-04,1513,1.195,1.2,1.19,1.19,1758
2024-12-04,1514,1.2,1.2,1.2,1.2,300
2024-12-04,1515,1.2,1.2,1.2,1.2,374
2024-12-04,1523,1.21,1.21,1.21,1.21,200
2024-12-04,1525,1.2,1.2,1.2,1.2,670
2024-12-04,1530,1.2,1.2,1.19,1.19,649
2024-12-04,1536,1.19,1.19,1.19,1.19,1268
2024-12-04,1539,1.1801,1.1807,1.17,1.1807,8428
2024-12-04,1541,1.21,1.21,1.21,1.21,1000
2024-12-04,1556,1.19,1.19,1.19,1.19,572
2024-12-04,1559,1.21,1.21,1.19,1.19,509
2024-12-04,1600,1.18,1.18,1.18,1.18,485
2024-12-04,1742,1.2,1.2,1.2,1.2,125
2024-12-05,912,1.18,1.18,1.18,1.18,200
2024-12-05,930,1.16,1.16,1.09,1.0982,4284
2024-12-05,932,1.13,1.1373,1.13,1.1373,600
2024-12-05,938,1.13,1.13,1.13,1.13,675
2024-12-05,939,1.13,1.14,1.11,1.14,3305
2024-12-05,949,1.1699,1.1699,1.1699,1.1699,1045
2024-12-05,953,1.17,1.17,1.17,1.17,1037
2024-12-05,954,1.2505,1.2505,1.2505,1.2505,200
2024-12-05,956,1.1501,1.1501,1.1501,1.1501,4032
2024-12-05,1004,1.2399,1.2399,1.15,1.15,1938
2024-12-05,1008,1.2137,1.2137,1.2137,1.2137,200
2024-12-05,1015,1.23,1.23,1.23,1.23,5011
2024-12-05,1027,1.2178,1.2178,1.2178,1.2178,150
2024-12-05,1029,1.225,1.225,1.225,1.225,121
2024-12-05,1042,1.2,1.2,1.2,1.2,1010
2024-12-05,1043,1.18,1.18,1.18,1.18,519
2024-12-05,1057,1.1788,1.1788,1.1788,1.1788,5000
2024-12-05,1131,1.18,1.18,1.18,1.18,350
2024-12-05,1133,1.175,1.175,1.175,1.175,1000
2024-12-05,1155,1.17,1.17,1.17,1.17,471
2024-12-05,1201,1.185,1.185,1.185,1.185,100
2024-12-05,1213,1.1884,1.1899,1.1884,1.1899,1334
2024-12-05,1255,1.2074,1.2074,1.2074,1.2074,207
2024-12-05,1300,1.205,1.205,1.205,1.205,100
2024-12-05,1305,1.21,1.21,1.21,1.21,215
2024-12-05,1315,1.21,1.21,1.21,1.21,145
2024-12-05,1322,1.1664,1.1664,1.1664,1.1664,1000
2024-12-05,1343,1.18,1.18,1.18,1.18,1500
2024-12-05,1433,1.195,1.195,1.195,1.195,100
2024-12-05,1442,1.19,1.19,1.19,1.19,112
2024-12-05,1502,1.19,1.19,1.19,1.19,200
2024-12-05,1556,1.18,1.18,1.18,1.18,500
2024-12-05,1559,1.18,1.18,1.18,1.18,197
2024-12-05,1600,1.18,1.18,1.18,1.18,373
2024-12-05,1922,1.18,1.18,1.18,1.18,353
2024-12-05,1928,1.23,1.23,1.23,1.23,1000
2024-12-05,1931,1.23,1.23,1.23,1.23,1000
2024-12-06,831,1.28,1.28,1.28,1.28,100
2024-12-06,930,1.21,1.21,1.21,1.21,1399
2024-12-06,948,1.1917,1.1917,1.1917,1.1917,245
2024-12-06,1011,1.18,1.18,1.18,1.18,120
2024-12-06,1025,1.1999,1.1999,1.1999,1.1999,2195
2024-12-06,1030,1.18,1.18,1.18,1.18,134
2024-12-06,1046,1.1801,1.1801,1.1801,1.1801,1500
2024-12-06,1052,1.1982,1.1982,1.1982,1.1982,100
2024-12-06,1102,1.1985,1.1985,1.1985,1.1985,200
2024-12-06,1114,1.19,1.2,1.19,1.2,2117
2024-12-06,1116,1.2,1.2,1.2,1.2,603
2024-12-06,1119,1.2099,1.2099,1.2099,1.2099,5000
2024-12-06,1129,1.2,1.2,1.2,1.2,300
2024-12-06,1130,1.205,1.205,1.205,1.205,100
2024-12-06,1133,1.2091,1.2091,1.2091,1.2091,200
2024-12-06,1144,1.21,1.21,1.21,1.21,544
2024-12-06,1147,1.2078,1.2078,1.2078,1.2078,3020
2024-12-06,1149,1.2099,1.2099,1.2099,1.2099,3000
2024-12-06,1150,1.2095,1.2095,1.2095,1.2095,1800
2024-12-06,1151,1.205,1.23,1.205,1.23,4733
2024-12-06,1153,1.23,1.23,1.23,1.23,102
2024-12-06,1158,1.22,1.22,1.22,1.22,272
2024-12-06,1159,1.22,1.22,1.22,1.22,844
2024-12-06,1203,1.2226,1.2226,1.2226,1.2226,255
2024-12-06,1206,1.22,1.22,1.22,1.22,250
2024-12-06,1207,1.23,1.23,1.23,1.23,1516
2024-12-06,1224,1.24,1.24,1.24,1.24,434
2024-12-06,1231,1.255,1.255,1.255,1.255,219
2024-12-06,1237,1.26,1.26,1.26,1.26,1731
2024-12-06,1240,1.26,1.2601,1.26,1.26,4501
2024-12-06,1244,1.255,1.255,1.255,1.255,2913
2024-12-06,1301,1.26,1.26,1.26,1.26,1764
2024-12-06,1303,1.26,1.26,1.26,1.26,100
2024-12-06,1304,1.255,1.255,1.2501,1.2501,1494
2024-12-06,1312,1.2575,1.2575,1.2575,1.2575,2003
2024-12-06,1314,1.26,1.28,1.26,1.28,4088
2024-12-06,1322,1.27,1.27,1.25,1.25,722
2024-12-06,1330,1.265,1.265,1.25,1.25,1000
2024-12-06,1339,1.2502,1.2502,1.2502,1.2502,248
2024-12-06,1420,1.2563,1.2563,1.2563,1.2563,323
2024-12-06,1428,1.26,1.26,1.26,1.26,122
2024-12-06,1429,1.2606,1.2606,1.2606,1.2606,344
2024-12-06,1443,1.27,1.27,1.27,1.27,237
2024-12-06,1444,1.27,1.27,1.27,1.27,200
2024-12-06,1457,1.27,1.2715,1.25,1.27,2600
2024-12-06,1458,1.27,1.27,1.27,1.27,200
2024-12-06,1459,1.27,1.27,1.25,1.25,228
2024-12-06,1507,1.2699,1.2699,1.2699,1.2699,1017
2024-12-06,1511,1.26,1.26,1.25,1.25,641
2024-12-06,1520,1.25,1.25,1.25,1.25,315
2024-12-06,1521,1.25,1.2547,1.25,1.2547,240
2024-12-06,1522,1.2366,1.2366,1.2366,1.2366,1500
2024-12-06,1558,1.23,1.24,1.23,1.24,2454
2024-12-06,1559,1.23,1.25,1.23,1.25,1351
2024-12-06,1600,1.235,1.235,1.235,1.235,271
2024-12-09,930,1.22,1.22,1.22,1.22,228
2024-12-09,931,1.215,1.215,1.215,1.215,100
2024-12-09,947,1.1936,1.1936,1.1936,1.1936,300
2024-12-09,956,1.19,1.19,1.19,1.19,179
2024-12-09,1020,1.2152,1.2152,1.2152,1.2152,182
2024-12-09,1022,1.22,1.22,1.22,1.22,312
2024-12-09,1023,1.22,1.22,1.22,1.22,478
2024-12-09,1025,1.23,1.23,1.23,1.23,1041
2024-12-09,1032,1.23,1.23,1.23,1.23,1952
2024-12-09,1041,1.26,1.28,1.26,1.28,1002
2024-12-09,1058,1.26,1.26,1.26,1.26,155
2024-12-09,1102,1.24,1.24,1.24,1.24,220
2024-12-09,1104,1.24,1.24,1.24,1.24,372
2024-12-09,1106,1.2325,1.2325,1.2325,1.2325,7159
2024-12-09,1129,1.2466,1.2466,1.24,1.24,422
2024-12-09,1132,1.25,1.25,1.245,1.245,5122
2024-12-09,1133,1.245,1.245,1.245,1.245,551
2024-12-09,1134,1.24,1.24,1.24,1.24,200
2024-12-09,1144,1.2474,1.25,1.2474,1.25,1201
2024-12-09,1153,1.25,1.25,1.25,1.25,321
2024-12-09,1210,1.25,1.25,1.25,1.25,108
2024-12-09,1224,1.26,1.27,1.26,1.27,1052
2024-12-09,1227,1.24,1.24,1.24,1.24,1101
2024-12-09,1239,1.259,1.26,1.259,1.259,500
2024-12-09,1252,1.25,1.25,1.25,1.25,521
2024-12-09,1301,1.25,1.25,1.25,1.25,109
2024-12-09,1312,1.2595,1.2595,1.2595,1.2595,107
2024-12-09,1349,1.25,1.26,1.25,1.26,1865
2024-12-09,1353,1.265,1.265,1.265,1.265,113
2024-12-09,1404,1.265,1.265,1.265,1.265,565
2024-12-09,1412,1.2699,1.2699,1.2699,1.2699,3000
2024-12-09,1421,1.26,1.2601,1.26,1.2601,2285
2024-12-09,1425,1.26,1.26,1.26,1.26,100
2024-12-09,1429,1.26,1.26,1.26,1.26,100
2024-12-09,1448,1.26,1.26,1.26,1.26,112
2024-12-09,1454,1.26,1.26,1.26,1.26,206
2024-12-09,1455,1.26,1.26,1.26,1.26,200
2024-12-09,1458,1.26,1.26,1.26,1.26,204
2024-12-09,1459,1.26,1.26,1.26,1.26,232
2024-12-09,1524,1.2482,1.2482,1.2482,1.2482,2538
2024-12-09,1530,1.24,1.245,1.24,1.245,401
2024-12-09,1533,1.2495,1.2495,1.2495,1.2495,101
2024-12-09,1535,1.245,1.25,1.245,1.25,391
2024-12-09,1536,1.24,1.24,1.24,1.24,401
2024-12-09,1559,1.26,1.26,1.26,1.26,187
2024-12-09,1600,1.24,1.24,1.24,1.24,451
2024-12-09,1605,1.26,2.01,1.25,1.92,96234
2024-12-09,1606,1.9203,2.5,1.89,2.35,196723
2024-12-09,1607,2.35,2.42,2.2,2.34,142593
2024-12-09,1608,2.32,2.41,2.12,2.23,168147
2024-12-09,1609,2.24,2.27,2.01,2.0399,136436
2024-12-09,1610,2.02,2.14,2.0,2.06,107354
2024-12-09,1611,2.06,2.06,1.9,1.96,122803
2024-12-09,1612,1.9597,2.2191,1.91,2.2,118814
2024-12-09,1613,2.2,2.24,2.06,2.1,89978
2024-12-09,1614,2.0999,2.24,2.06,2.07,121824
2024-12-09,1615,2.06,2.1799,1.99,2.1108,97291
2024-12-09,1616,2.12,2.35,2.11,2.26,175055
2024-12-09,1617,2.26,2.28,2.16,2.2503,128015
2024-12-09,1618,2.2501,2.26,2.02,2.05,92286
2024-12-09,1619,2.05,2.14,1.95,1.99,166294
2024-12-09,1620,1.9505,2.07,1.9503,2.06,62241
2024-12-09,1621,2.07,2.07,1.97,2.02,99397
2024-12-09,1622,2.0497,2.06,1.97,2.02,30736
2024-12-09,1623,2.01,2.13,2.0,2.09,57200
2024-12-09,1624,2.1,2.34,2.09,2.27,200561
2024-12-09,1625,2.28,2.29,2.18,2.21,121658
2024-12-09,1626,2.24,2.32,2.21,2.3,91470
2024-12-09,1627,2.2502,2.3,2.05,2.1,83427
2024-12-09,1628,2.11,2.17,2.03,2.11,72927
2024-12-09,1629,2.0997,2.18,2.0997,2.14,37755
2024-12-09,1630,2.1402,2.1599,2.03,2.1,85655
2024-12-09,1631,2.1,2.1,2.03,2.0792,58284
2024-12-09,1632,2.07,2.09,1.955,2.0199,91218
2024-12-09,1633,2.02,2.03,1.98,1.99,34553
2024-12-09,1634,1.9898,2.09,1.96,2.09,73109
2024-12-09,1635,2.08,2.15,2.05,2.09,72430
2024-12-09,1636,2.09,2.1,2.04,2.05,24170
2024-12-09,1637,2.06,2.06,2.02,2.04,20992
2024-12-09,1638,2.0201,2.06,2.01,2.04,38104
2024-12-09,1639,2.04,2.05,1.98,2.0,66741
2024-12-09,1640,2.01,2.05,1.99,2.02,24278
