date,time,open,high,low,close,volume
2024-12-12,444,2.13,2.13,2.13,2.13,103
2024-12-12,553,2.19,2.27,2.19,2.27,1677
2024-12-12,554,2.27,2.4,2.27,2.4,3000
2024-12-12,555,2.45,2.48,2.27,2.27,6981
2024-12-12,558,2.2,2.2,2.2,2.2,415
2024-12-12,609,2.19,2.19,2.19,2.19,312
2024-12-12,643,2.08,2.1,2.07,2.09,500
2024-12-12,659,2.19,2.19,2.19,2.19,363
2024-12-12,709,2.12,2.12,2.12,2.12,451
2024-12-12,729,2.16,2.16,2.16,2.16,105
2024-12-12,741,2.16,2.16,2.07,2.07,1104
2024-12-12,743,2.05,2.05,2.05,2.05,5009
2024-12-12,744,2.03,2.05,2.03,2.05,235
2024-12-12,745,2.1,2.1,2.1,2.1,395
2024-12-12,747,2.14,2.14,2.13,2.13,385
2024-12-12,753,2.16,2.16,2.12,2.12,975
2024-12-12,800,2.17,2.17,2.16,2.16,1477
2024-12-12,814,2.24,2.24,2.24,2.24,100
2024-12-12,831,2.1954,2.1954,2.1954,2.1954,100
2024-12-12,844,2.06,2.06,2.04,2.04,973
2024-12-12,922,2.18,2.18,2.18,2.18,655
2024-12-12,923,2.18,2.18,2.18,2.18,599
2024-12-12,924,2.18,2.18,2.18,2.18,730
2024-12-12,928,2.2,2.21,2.15,2.15,1003
2024-12-12,929,2.13,2.13,2.13,2.13,2329
2024-12-12,930,2.15,2.1755,2.15,2.1755,13372
2024-12-12,931,2.1115,2.4,2.1115,2.4,16174
2024-12-12,932,2.4,2.6,2.3138,2.56,37200
2024-12-12,933,2.59,2.8,2.45,2.77,38354
2024-12-12,934,2.76,2.77,2.5827,2.74,31511
2024-12-12,935,2.675,2.74,2.54,2.5564,11943
2024-12-12,936,2.52,2.538,2.28,2.53,3779
2024-12-12,937,2.5,2.54,2.41,2.45,2196
2024-12-12,938,2.475,2.4999,2.41,2.41,5725
2024-12-12,939,2.4507,2.4507,2.45,2.45,5519
2024-12-12,940,2.46,2.46,2.41,2.41,7348
2024-12-12,941,2.4755,2.4755,2.4755,2.4755,222
2024-12-12,943,2.4,2.49,2.4,2.49,357
2024-12-12,944,2.47,2.47,2.41,2.41,391
2024-12-12,946,2.4714,2.4714,2.4714,2.4714,401
2024-12-12,947,2.49,2.49,2.49,2.49,153
