date,time,open,high,low,close,volume
2024-12-12,1902,2.88,2.88,2.88,2.88,2040
2024-12-12,1944,2.89,2.89,2.89,2.89,383
2024-12-12,1947,2.88,2.88,2.88,2.88,397
2024-12-13,632,2.89,2.89,2.89,2.89,257
2024-12-13,651,2.91,2.91,2.91,2.91,100
2024-12-13,748,2.91,2.91,2.91,2.91,298
2024-12-13,800,2.92,2.92,2.9008,2.9008,1049
2024-12-13,812,2.91,2.91,2.91,2.91,169
2024-12-13,842,2.9001,2.9001,2.9001,2.9001,376
2024-12-13,849,2.9728,2.9728,2.9728,2.9728,300
2024-12-13,854,2.9,2.9,2.9,2.9,400
2024-12-13,859,2.91,2.91,2.91,2.91,2977
2024-12-13,900,2.88,2.88,2.8,2.8,2843
2024-12-13,901,2.8,2.99,2.8,2.99,4467
2024-12-13,916,2.85,2.91,2.85,2.91,1160
2024-12-13,920,2.91,2.91,2.91,2.91,2981
2024-12-13,927,2.91,2.91,2.91,2.91,250
2024-12-13,928,2.91,2.91,2.91,2.91,1031
2024-12-13,930,2.81,2.81,2.81,2.81,3954
2024-12-13,932,2.86,2.86,2.86,2.86,461
2024-12-13,934,2.86,2.86,2.86,2.86,418
2024-12-13,940,2.95,2.99,2.9192,2.99,1888
2024-12-13,945,2.91,2.95,2.91,2.95,2047
2024-12-13,947,2.9992,2.9992,2.99,2.99,2100
2024-12-13,948,3.0,3.03,3.0,3.03,21795
2024-12-13,949,3.06,3.08,3.06,3.08,1754
2024-12-13,950,3.06,3.07,3.06,3.07,1691
2024-12-13,953,3.0579,3.0579,3.0579,3.0579,106
2024-12-13,954,3.04,3.04,2.97,2.97,307
2024-12-13,957,3.0306,3.0306,3.0,3.0,203
2024-12-13,1002,3.05,3.05,3.05,3.05,254
2024-12-13,1005,3.05,3.05,3.05,3.05,102
2024-12-13,1010,3.0,3.0,3.0,3.0,141
2024-12-13,1013,3.01,3.03,3.01,3.03,3494
2024-12-13,1014,3.03,3.03,3.03,3.03,362
2024-12-13,1018,3.07,3.07,3.028,3.028,3458
2024-12-13,1019,3.0186,3.0186,3.0186,3.0186,3061
2024-12-13,1020,3.028,3.028,3.028,3.028,1002
2024-12-13,1024,3.01,3.01,3.01,3.01,201
2024-12-13,1025,3.05,3.09,3.05,3.07,3074
2024-12-13,1027,3.07,3.07,3.0001,3.0001,4009
2024-12-13,1028,3.08,3.12,3.05,3.12,6497
2024-12-13,1029,3.09,3.13,3.07,3.11,4221
2024-12-13,1030,3.09,3.1,3.08,3.0986,1564
2024-12-13,1031,3.1098,3.11,3.095,3.095,1725
2024-12-13,1032,3.1,3.1,3.08,3.0801,1402
2024-12-13,1034,3.09,3.13,3.09,3.1106,1194
2024-12-13,1035,3.1,3.1,3.1,3.1,2002
2024-12-13,1036,3.09,3.09,3.09,3.09,181
2024-12-13,1040,3.08,3.08,3.05,3.0501,4181
2024-12-13,1043,3.06,3.06,3.06,3.06,600
2024-12-13,1048,3.06,3.1,3.06,3.1,1650
2024-12-13,1049,3.07,3.09,3.04,3.04,6451
2024-12-13,1102,3.0417,3.0417,3.0417,3.0417,348
2024-12-13,1104,3.04,3.04,3.04,3.04,232
2024-12-13,1105,3.04,3.04,3.04,3.04,707
2024-12-13,1108,3.04,3.04,3.04,3.04,194
2024-12-13,1130,3.04,3.04,3.04,3.04,1033
2024-12-13,1136,3.04,3.04,3.04,3.04,101
2024-12-13,1158,3.04,3.04,3.04,3.04,207
2024-12-13,1204,3.04,3.04,3.04,3.04,170
2024-12-13,1231,3.05,3.05,3.05,3.05,1024
2024-12-13,1251,3.0647,3.0647,3.0647,3.0647,344
2024-12-13,1316,3.02,3.02,3.02,3.02,705
2024-12-13,1325,3.02,3.02,3.02,3.02,200
2024-12-13,1329,3.05,3.05,3.05,3.05,202
2024-12-13,1339,3.0432,3.0432,3.0432,3.0432,4204
2024-12-13,1348,3.06,3.06,3.06,3.06,100
2024-12-13,1350,3.03,3.03,3.03,3.03,120
2024-12-13,1351,3.06,3.08,3.06,3.08,777
2024-12-13,1354,3.07,3.09,3.07,3.09,640
2024-12-13,1357,3.0986,3.0986,3.065,3.065,2001
2024-12-13,1439,3.099,3.12,3.099,3.12,3112
2024-12-13,1444,3.0301,3.0301,3.0301,3.0301,1629
2024-12-13,1445,3.0683,3.0683,3.0683,3.0683,598
2024-12-13,1449,3.1199,3.1199,3.1199,3.1199,132
2024-12-13,1451,3.03,3.03,3.03,3.03,205
2024-12-13,1457,3.1199,3.12,3.03,3.12,2126
2024-12-13,1500,3.1073,3.1073,3.1073,3.1073,811
2024-12-13,1502,3.13,3.13,3.13,3.13,461
2024-12-13,1510,3.1041,3.1041,3.1041,3.1041,627
2024-12-13,1511,3.06,3.06,3.06,3.06,102
2024-12-13,1512,3.127,3.14,3.1066,3.11,5497
2024-12-13,1517,3.12,3.12,3.12,3.12,251
2024-12-13,1521,3.1002,3.1012,3.1002,3.1002,1619
2024-12-13,1522,3.15,3.15,3.15,3.15,504
2024-12-13,1523,3.16,3.16,3.16,3.16,372
2024-12-13,1524,3.1778,3.1778,3.12,3.156,3077
2024-12-13,1529,3.15,3.15,3.15,3.15,322
2024-12-13,1531,3.16,3.18,3.16,3.18,501
2024-12-13,1532,3.18,3.18,3.18,3.18,167
2024-12-13,1533,3.17,3.17,3.17,3.17,1101
2024-12-13,1534,3.1836,3.1836,3.1836,3.1836,2001
2024-12-13,1538,3.17,3.2,3.17,3.2,1428
2024-12-13,1541,3.2,3.24,3.0501,3.16,20033
2024-12-13,1542,3.07,3.2699,3.06,3.2699,2066
2024-12-13,1552,3.19,3.19,3.19,3.19,324
2024-12-13,1553,3.185,3.185,3.185,3.185,122
2024-12-13,1556,3.16,3.16,3.16,3.16,503
2024-12-13,1557,3.12,3.15,3.1,3.15,1057
2024-12-13,1559,3.12,3.12,3.12,3.12,482
2024-12-13,1600,3.11,3.11,3.11,3.11,136
2024-12-13,1732,3.11,3.11,3.11,3.11,104
2024-12-13,1852,3.13,3.13,3.13,3.13,400
2024-12-16,416,3.3,3.3,3.3,3.3,137
2024-12-16,418,3.3,3.3,3.3,3.3,166
2024-12-16,439,3.35,3.35,3.35,3.35,135
2024-12-16,449,3.2,3.2,3.2,3.2,130
2024-12-16,537,3.19,3.19,3.19,3.19,151
2024-12-16,602,3.27,3.27,3.27,3.27,100
2024-12-16,644,3.13,3.13,3.12,3.12,530
2024-12-16,744,3.15,3.15,3.15,3.15,254
2024-12-16,753,3.19,3.19,3.19,3.19,306
2024-12-16,800,3.13,3.13,3.13,3.13,236
2024-12-16,844,3.16,3.16,3.16,3.16,142
2024-12-16,915,3.16,3.16,3.16,3.16,213
2024-12-16,925,3.19,3.2,3.19,3.2,962
2024-12-16,928,3.2,3.2,3.2,3.2,1962
2024-12-16,930,3.25,3.25,3.25,3.25,9271
2024-12-16,935,3.17,3.17,3.16,3.16,203
2024-12-16,942,3.1893,3.1893,3.1893,3.1893,764
2024-12-16,948,3.1815,3.1815,3.1815,3.1815,646
2024-12-16,949,3.15,3.15,3.08,3.094,3308
2024-12-16,952,3.103,3.13,3.103,3.13,1941
2024-12-16,953,3.13,3.13,3.13,3.13,514
2024-12-16,958,3.085,3.085,3.085,3.085,320
2024-12-16,959,3.08,3.08,3.08,3.08,166
2024-12-16,1000,3.09,3.09,3.09,3.09,116
2024-12-16,1002,3.1,3.1,3.1,3.1,2026
2024-12-16,1003,3.13,3.16,3.129,3.1299,4470
2024-12-16,1008,3.13,3.13,3.13,3.13,102
