date,time,open,high,low,close,volume
2024-12-26,410,11.5,11.5,11.5,11.5,13
2024-12-26,710,11.5,11.5,11.5,11.5,13
2024-12-26,800,11.21,11.7,11.21,11.7,409
2024-12-26,804,11.3,11.3,11.3,11.3,48
2024-12-26,806,11.3,11.3,11.3,11.3,50
2024-12-26,814,11.6,11.7,11.6,11.7,27
2024-12-26,823,11.4,11.4,11.4,11.4,11
2024-12-26,842,11.22,11.22,11.22,11.22,30
2024-12-26,930,11.5,11.5,11.5,11.5,15
2024-12-26,931,11.4,11.4,11.4,11.4,89
2024-12-26,936,11.4,11.4,11.4,11.4,101
2024-12-26,937,11.3,11.54,11.3,11.54,98
2024-12-26,943,11.3,11.31,11.3,11.31,54
2024-12-26,944,11.3,11.4,11.3,11.3,41
2024-12-26,946,11.38,11.38,11.38,11.38,10
2024-12-26,947,11.4,11.4,11.2,11.2,89
2024-12-26,948,11.3,11.3,11.3,11.3,22
2024-12-26,951,11.3,11.3,11.2,11.2,202
2024-12-26,952,11.2,11.2,11.2,11.2,51
2024-12-26,953,11.2,11.2,11.2,11.2,125
2024-12-26,1013,11.2,11.2,11.0,11.0,1315
2024-12-26,1018,11.1,11.1,11.1,11.1,131
2024-12-26,1019,11.25,11.25,11.25,11.25,100
2024-12-26,1026,11.2,11.2,11.2,11.2,114
2024-12-26,1032,11.3,11.3,11.3,11.3,30
2024-12-26,1033,11.3,11.3,11.24,11.24,20
2024-12-26,1041,11.39,11.39,11.39,11.39,175
2024-12-26,1044,11.34,11.34,11.34,11.34,100
2024-12-26,1050,11.4,11.4,11.4,11.4,19
2024-12-26,1100,11.35,11.35,11.35,11.35,200
2024-12-26,1102,11.3,11.3,11.3,11.3,138
2024-12-26,1103,11.3,11.3,11.3,11.3,10
2024-12-26,1107,11.2,11.2,11.2,11.2,10
2024-12-26,1115,11.2,11.2,11.2,11.2,15
2024-12-26,1126,11.35,11.35,11.35,11.35,150
2024-12-26,1128,11.3,11.3,10.9,11.0,1926
2024-12-26,1129,11.05,11.05,11.0,11.0,73
2024-12-26,1134,10.94,10.94,10.94,10.94,900
2024-12-26,1137,11.05,11.05,11.05,11.05,16
2024-12-26,1140,11.0,11.0,11.0,11.0,20
2024-12-26,1142,11.1,11.1,11.1,11.1,145
2024-12-26,1145,11.1,11.1,11.1,11.1,23
2024-12-26,1147,11.0,11.0,11.0,11.0,498
2024-12-26,1148,11.0,11.0,11.0,11.0,438
2024-12-26,1149,11.0,11.05,11.0,11.05,389
2024-12-26,1155,11.1,11.1,11.1,11.1,207
2024-12-26,1159,11.1,11.1,11.1,11.1,65
2024-12-26,1205,11.14,11.14,11.14,11.14,10
2024-12-26,1213,11.19,11.4,11.19,11.4,100
2024-12-26,1215,11.2,11.3,11.2,11.3,124
2024-12-26,1226,11.3,11.3,11.3,11.3,19
2024-12-26,1230,11.29,11.29,11.29,11.29,86
2024-12-26,1233,11.25,11.25,11.2,11.2,450
2024-12-26,1244,11.3,11.3,11.3,11.3,60
2024-12-26,1248,11.2,11.2,11.2,11.2,50
2024-12-26,1258,11.2,11.2,11.2,11.2,30
2024-12-26,1259,11.3,11.3,11.3,11.3,30
2024-12-26,1301,11.4,11.4,11.4,11.4,375
2024-12-26,1306,11.25,11.25,11.25,11.25,100
2024-12-26,1314,11.2,11.2,11.0,11.0,995
2024-12-26,1317,11.39,11.39,11.39,11.39,25
2024-12-26,1320,11.3,11.3,11.3,11.3,25
2024-12-26,1329,11.3,11.3,11.2,11.2,112
2024-12-26,1342,11.2,11.2,11.2,11.2,17
2024-12-26,1358,11.25,11.25,11.25,11.25,500
2024-12-26,1408,11.27,11.27,11.27,11.27,10
2024-12-26,1420,11.21,11.21,11.21,11.21,15
2024-12-26,1429,11.25,11.25,11.25,11.25,10
2024-12-26,1437,11.25,11.25,11.25,11.25,50
2024-12-26,1453,11.3,11.3,11.3,11.3,20
2024-12-26,1510,11.3,11.3,11.3,11.3,16
2024-12-26,1518,11.35,11.4,11.35,11.4,32
2024-12-26,1519,11.35,11.35,11.35,11.35,20
2024-12-26,1526,11.4,11.4,11.3,11.3,623
2024-12-26,1541,11.35,11.35,11.35,11.35,10
2024-12-26,1550,11.3,11.3,11.2,11.3,75
2024-12-26,1551,11.25,11.25,11.25,11.25,10
2024-12-26,1554,11.3,11.4,11.1,11.2,452
2024-12-26,1559,11.1,11.25,11.1,11.1,157
2024-12-26,1600,11.3,11.3,11.3,11.3,248
2024-12-26,1726,11.46,11.46,11.46,11.46,50
2024-12-26,1806,11.5,11.5,11.5,11.5,10
2024-12-26,1815,11.42,11.42,11.42,11.42,100
2024-12-27,400,11.5,11.5,11.5,11.5,10
2024-12-27,446,11.2,11.2,11.2,11.2,17
2024-12-27,458,11.2,11.2,11.2,11.2,12
2024-12-27,459,11.2,11.5,11.2,11.5,161
2024-12-27,500,11.5,11.5,11.5,11.5,50
2024-12-27,501,11.6,11.6,11.6,11.6,10
2024-12-27,502,11.6,11.6,11.6,11.6,30
2024-12-27,511,11.6,11.6,11.6,11.6,50
2024-12-27,514,11.9,11.9,11.9,11.9,26
2024-12-27,517,12.1,12.1,12.1,12.1,91
2024-12-27,520,12.1,12.1,12.1,12.1,152
2024-12-27,532,12.25,12.25,12.25,12.25,10
2024-12-27,536,12.2,12.4,12.2,12.4,100
2024-12-27,538,12.4,12.4,12.4,12.4,20
2024-12-27,539,12.4,12.4,12.4,12.4,34
2024-12-27,540,12.3,12.3,12.3,12.3,11
2024-12-27,542,12.4,12.4,12.3,12.3,115
2024-12-27,552,12.1,12.1,12.1,12.1,50
2024-12-27,559,12.2,12.2,12.2,12.2,32
2024-12-27,600,12.2,12.2,12.2,12.2,10
2024-12-27,604,12.3,12.3,12.3,12.3,52
2024-12-27,607,12.4,12.4,12.4,12.4,10
2024-12-27,647,12.2,12.2,12.2,12.2,55
2024-12-27,648,12.2,12.3,12.2,12.3,133
2024-12-27,654,12.2,12.2,12.2,12.2,48
2024-12-27,700,12.0,12.0,11.8,11.8,642
2024-12-27,722,11.8,11.8,11.8,11.8,11
2024-12-27,736,11.8,11.8,11.8,11.8,10
2024-12-27,742,11.8,11.9,11.8,11.9,44
2024-12-27,800,11.9,11.9,11.9,11.9,495
2024-12-27,823,11.9,11.9,11.9,11.9,1000
2024-12-27,824,11.9,12.0,11.9,12.0,1057
2024-12-27,825,12.0,12.0,12.0,12.0,44
2024-12-27,830,12.1,12.2,12.1,12.2,50
2024-12-27,831,12.1,12.1,12.1,12.1,21
2024-12-27,832,12.2,12.2,12.2,12.2,520
2024-12-27,833,12.2,12.2,12.2,12.2,100
