date,time,open,high,low,close,volume
2024-12-26,400,0.94,0.9464,0.94,0.9464,350
2024-12-26,401,0.895,0.8953,0.895,0.895,2113
2024-12-26,402,0.8949,0.8949,0.8949,0.8949,400
2024-12-26,404,0.8949,0.8949,0.8949,0.8949,300
2024-12-26,407,0.895,0.895,0.895,0.895,100
2024-12-26,410,0.895,0.895,0.895,0.895,1000
2024-12-26,411,0.895,0.895,0.895,0.895,489
2024-12-26,417,0.895,0.8953,0.895,0.895,1212
2024-12-26,420,0.895,0.895,0.895,0.895,200
2024-12-26,421,0.895,0.895,0.895,0.895,100
2024-12-26,430,0.895,0.895,0.895,0.895,615
2024-12-26,433,0.8949,0.895,0.8949,0.895,1692
2024-12-26,434,0.895,0.895,0.895,0.895,2089
2024-12-26,441,0.8949,0.895,0.8949,0.895,1814
2024-12-26,512,0.896,0.896,0.896,0.896,503
2024-12-26,559,0.895,0.895,0.895,0.895,440
2024-12-26,634,0.9,0.9,0.9,0.9,200
2024-12-26,700,0.9,0.9,0.9,0.9,323
2024-12-26,712,0.9003,0.9003,0.9,0.9,1849
2024-12-26,719,0.91,0.91,0.91,0.91,200
2024-12-26,722,0.9197,0.9199,0.9,0.9,1900
2024-12-26,732,0.91,0.91,0.91,0.91,100
2024-12-26,745,0.9195,0.9195,0.9195,0.9195,100
2024-12-26,748,0.9,0.9012,0.9,0.9,3430
2024-12-26,749,0.895,0.905,0.895,0.905,970
2024-12-26,800,0.92,0.98,0.89,0.98,7500
2024-12-26,805,0.91,0.91,0.91,0.91,100
2024-12-26,827,0.909,0.909,0.909,0.909,100
2024-12-26,829,0.9,0.9,0.9,0.9,100
2024-12-26,832,0.8999,0.9,0.8999,0.9,800
2024-12-26,853,0.9086,0.9089,0.908,0.9089,1000
2024-12-26,854,0.9089,0.9089,0.9089,0.9089,3000
2024-12-26,859,0.901,0.901,0.891,0.891,1000
2024-12-26,905,0.8997,0.9,0.8997,0.9,600
2024-12-26,909,0.9,0.9,0.9,0.9,1000
2024-12-26,919,0.9,0.9089,0.89,0.89,8169
2024-12-26,921,0.9089,0.9089,0.9,0.9,1231
2024-12-26,923,0.9071,0.909,0.8901,0.8903,5560
2024-12-26,925,0.909,0.93,0.909,0.93,886
2024-12-26,928,0.9097,0.9097,0.9097,0.9097,140
2024-12-26,930,0.91,0.9299,0.9039,0.9198,17727
2024-12-26,931,0.9198,0.9198,0.9001,0.9119,6607
2024-12-26,932,0.904,0.9185,0.904,0.9124,1049
2024-12-26,933,0.9119,0.9122,0.89,0.89,16386
2024-12-26,934,0.901,0.9016,0.89,0.89,1816
2024-12-26,935,0.8972,0.9008,0.895,0.895,754
2024-12-26,936,0.8952,0.8984,0.89,0.89,10092
2024-12-26,937,0.9002,0.9002,0.89,0.89,18480
2024-12-26,938,0.89,0.8975,0.89,0.89,1728
2024-12-26,939,0.8949,0.8949,0.89,0.89,4651
2024-12-26,940,0.8905,0.891,0.8823,0.8824,28526
