date,time,open,high,low,close,volume
2024-12-26,400,8.87,8.87,8.773,8.773,114
2024-12-26,401,8.375,8.375,8.375,8.375,75
2024-12-26,402,8.375,8.375,8.2,8.2,66
2024-12-26,403,8.0,8.0,7.77,8.0,646
2024-12-26,404,8.0,8.199,7.82,7.82,269
2024-12-26,405,7.999,8.0,7.82,7.895,931
2024-12-26,406,7.8,7.999,7.8,7.999,66
2024-12-26,407,7.8,7.808,7.55,7.698,616
2024-12-26,408,7.7,7.7,7.55,7.55,204
2024-12-26,409,7.555,7.905,7.54,7.905,424
2024-12-26,410,7.905,7.999,7.905,7.95,361
2024-12-26,414,7.675,7.905,7.675,7.905,93
2024-12-26,415,7.906,7.906,7.906,7.906,24
2024-12-26,416,7.911,7.911,7.911,7.911,38
2024-12-26,417,8.098,8.098,7.905,7.905,330
2024-12-26,418,7.915,7.915,7.805,7.904,230
2024-12-26,420,7.905,7.905,7.496,7.496,2420
2024-12-26,421,7.501,7.699,7.3,7.699,601
2024-12-26,422,7.6,7.699,7.425,7.698,1034
2024-12-26,423,7.591,7.8,7.525,7.8,1122
2024-12-26,424,7.466,7.565,7.466,7.565,51
2024-12-26,425,7.5,7.5,7.5,7.5,74
2024-12-26,427,7.565,7.8,7.565,7.8,550
2024-12-26,428,7.8,7.8,7.8,7.8,500
2024-12-26,429,7.8,7.8,7.8,7.8,26
2024-12-26,430,7.897,7.897,7.897,7.897,41
2024-12-26,431,7.897,7.909,7.82,7.909,324
2024-12-26,432,7.909,8.0,7.909,8.0,380
2024-12-26,433,8.0,8.0,8.0,8.0,44
2024-12-26,434,8.0,8.0,8.0,8.0,95
2024-12-26,435,8.0,8.0,8.0,8.0,148
2024-12-26,437,8.0,8.221,8.0,8.221,494
2024-12-26,438,8.2,8.2,8.1,8.12,218
2024-12-26,439,8.12,8.12,8.001,8.1,70
2024-12-26,440,8.196,8.197,8.196,8.197,48
2024-12-26,442,8.08,8.08,8.08,8.08,77
2024-12-26,444,8.121,8.121,8.002,8.002,59
2024-12-26,450,8.011,8.015,8.005,8.005,267
2024-12-26,451,8.014,8.015,8.014,8.015,78
2024-12-26,453,8.015,8.015,8.011,8.011,560
2024-12-26,454,8.013,8.121,8.0,8.096,1164
2024-12-26,455,8.001,8.001,7.899,7.9,635
2024-12-26,456,7.9,7.9,7.893,7.893,386
2024-12-26,457,7.898,7.9,7.898,7.9,337
2024-12-26,458,7.899,7.899,7.86,7.86,58
2024-12-26,501,7.899,8.0,7.899,7.9,1423
2024-12-26,502,7.899,7.899,7.899,7.899,15
2024-12-26,506,7.899,7.899,7.899,7.899,32
2024-12-26,508,7.899,7.899,7.85,7.899,79
2024-12-26,509,7.85,7.85,7.8,7.82,186
2024-12-26,511,7.8,7.8,7.8,7.8,603
