date,time,open,high,low,close,volume
2024-12-30,1900,1.2499,1.25,1.2499,1.25,3651
2024-12-30,1903,1.25,1.25,1.25,1.25,500
2024-12-30,1904,1.25,1.25,1.25,1.25,2761
2024-12-30,1905,1.2497,1.2499,1.2497,1.2499,1951
2024-12-30,1906,1.25,1.25,1.25,1.25,1080
2024-12-30,1907,1.25,1.26,1.25,1.26,1030
2024-12-30,1910,1.25,1.26,1.25,1.26,2100
2024-12-30,1913,1.25,1.25,1.25,1.25,100
2024-12-30,1914,1.25,1.25,1.25,1.25,110
2024-12-30,1923,1.25,1.25,1.2499,1.2499,400
2024-12-30,1930,1.25,1.25,1.24,1.24,1208
2024-12-30,1933,1.2401,1.2401,1.2401,1.2401,501
2024-12-30,1935,1.24,1.24,1.24,1.24,139
2024-12-30,1937,1.25,1.25,1.25,1.25,500
2024-12-30,1946,1.25,1.25,1.25,1.25,219
2024-12-30,1950,1.25,1.25,1.25,1.25,525
2024-12-30,1951,1.25,1.25,1.25,1.25,135
2024-12-30,1954,1.24,1.24,1.24,1.24,10960
2024-12-30,1955,1.25,1.25,1.25,1.25,100
2024-12-30,1956,1.25,1.25,1.25,1.25,1000
2024-12-30,1957,1.24,1.24,1.24,1.24,10550
2024-12-30,1959,1.2499,1.25,1.2499,1.25,200
2024-12-31,413,1.255,1.255,1.255,1.255,551
2024-12-31,422,1.26,1.26,1.26,1.26,1136
2024-12-31,430,1.26,1.26,1.26,1.26,300
2024-12-31,502,1.255,1.255,1.255,1.255,540
2024-12-31,504,1.26,1.26,1.255,1.255,2075
2024-12-31,505,1.26,1.26,1.26,1.26,1000
2024-12-31,540,1.26,1.26,1.26,1.26,130
2024-12-31,603,1.25,1.25,1.25,1.25,2000
2024-12-31,604,1.25,1.25,1.25,1.25,8335
2024-12-31,612,1.25,1.25,1.25,1.25,779
2024-12-31,627,1.26,1.26,1.26,1.26,903
2024-12-31,637,1.255,1.255,1.255,1.255,1000
2024-12-31,645,1.26,1.26,1.26,1.26,500
2024-12-31,650,1.26,1.26,1.26,1.26,5002
2024-12-31,657,1.26,1.26,1.26,1.26,245
2024-12-31,700,1.26,1.26,1.25,1.25,929
2024-12-31,710,1.26,1.26,1.26,1.26,1294
2024-12-31,711,1.25,1.25,1.25,1.25,294
2024-12-31,718,1.26,1.26,1.26,1.26,100
2024-12-31,733,1.255,1.26,1.255,1.255,4962
2024-12-31,735,1.26,1.26,1.26,1.26,1562
2024-12-31,740,1.26,1.26,1.26,1.26,1300
2024-12-31,741,1.26,1.26,1.26,1.26,6640
2024-12-31,745,1.26,1.26,1.26,1.26,400
2024-12-31,747,1.26,1.26,1.26,1.26,4000
2024-12-31,749,1.26,1.26,1.26,1.26,3500
2024-12-31,753,1.26,1.26,1.26,1.26,6077
2024-12-31,800,1.26,1.28,1.25,1.28,61417
2024-12-31,801,1.2595,1.2595,1.2595,1.2595,542
2024-12-31,802,1.2595,1.2595,1.2595,1.2595,300
2024-12-31,804,1.26,1.26,1.2596,1.26,3182
2024-12-31,807,1.26,1.26,1.2598,1.2598,2115
2024-12-31,810,1.26,1.26,1.26,1.26,2204
2024-12-31,811,1.2599,1.26,1.2599,1.26,2000
2024-12-31,812,1.2599,1.26,1.2599,1.26,204
2024-12-31,813,1.26,1.26,1.26,1.26,527
2024-12-31,815,1.25,1.2501,1.25,1.2501,2000
2024-12-31,816,1.25,1.25,1.25,1.25,100
2024-12-31,817,1.25,1.25,1.25,1.25,22527
2024-12-31,818,1.25,1.25,1.25,1.25,302
2024-12-31,820,1.24,1.24,1.24,1.24,190
2024-12-31,821,1.25,1.25,1.25,1.25,1000
2024-12-31,822,1.25,1.25,1.25,1.25,1005
2024-12-31,824,1.2497,1.25,1.2497,1.25,7161
2024-12-31,828,1.25,1.25,1.2495,1.25,605
2024-12-31,833,1.25,1.25,1.2497,1.2497,3941
2024-12-31,836,1.2499,1.2499,1.2499,1.2499,529
2024-12-31,837,1.25,1.25,1.25,1.25,1185
2024-12-31,838,1.2499,1.25,1.2499,1.25,400
2024-12-31,840,1.2402,1.2402,1.2402,1.2402,2500
2024-12-31,842,1.2402,1.2402,1.2402,1.2402,1025
2024-12-31,843,1.24,1.24,1.24,1.24,424
2024-12-31,847,1.24,1.25,1.24,1.25,1227
2024-12-31,849,1.24,1.24,1.24,1.24,237
2024-12-31,850,1.2499,1.25,1.2499,1.25,250
2024-12-31,851,1.25,1.25,1.25,1.25,302
2024-12-31,852,1.24,1.24,1.24,1.24,46358
2024-12-31,853,1.25,1.25,1.25,1.25,206
2024-12-31,854,1.25,1.25,1.25,1.25,5715
2024-12-31,856,1.25,1.25,1.25,1.25,1004
2024-12-31,901,1.25,1.25,1.25,1.25,2395
2024-12-31,902,1.24,1.25,1.24,1.25,310
2024-12-31,904,1.24,1.24,1.24,1.24,222
2024-12-31,908,1.25,1.26,1.25,1.25,1699
2024-12-31,914,1.25,1.2591,1.25,1.2591,600
2024-12-31,915,1.25,1.25,1.25,1.25,3481
2024-12-31,916,1.2497,1.25,1.2497,1.25,359
2024-12-31,920,1.24,1.24,1.24,1.24,66455
2024-12-31,921,1.2593,1.2593,1.2593,1.2593,1025
2024-12-31,923,1.2594,1.2594,1.25,1.25,1621
2024-12-31,924,1.26,1.26,1.26,1.26,102
2024-12-31,927,1.26,1.26,1.26,1.26,200
2024-12-31,930,1.25,1.26,1.25,1.26,98286
2024-12-31,931,1.258,1.26,1.25,1.25,5174
2024-12-31,932,1.255,1.26,1.2515,1.26,15967
2024-12-31,933,1.2502,1.26,1.24,1.26,36117
2024-12-31,934,1.26,1.26,1.25,1.26,23765
2024-12-31,935,1.2565,1.26,1.25,1.255,2561
2024-12-31,936,1.2599,1.26,1.245,1.25,42772
2024-12-31,937,1.25,1.25,1.24,1.24,8601
2024-12-31,938,1.245,1.245,1.24,1.245,41659
2024-12-31,939,1.2411,1.25,1.24,1.2499,47375
2024-12-31,940,1.25,1.25,1.24,1.25,63811
2024-12-31,941,1.245,1.25,1.24,1.245,6946
2024-12-31,942,1.24,1.25,1.24,1.245,16673
2024-12-31,943,1.24,1.245,1.24,1.24,3470
2024-12-31,944,1.2433,1.25,1.24,1.245,9868
2024-12-31,945,1.2433,1.255,1.24,1.255,43504
2024-12-31,946,1.25,1.26,1.25,1.255,11395
2024-12-31,947,1.259,1.26,1.25,1.255,75560
2024-12-31,948,1.255,1.26,1.255,1.255,14460
2024-12-31,949,1.2585,1.26,1.25,1.255,15928
2024-12-31,950,1.255,1.26,1.25,1.251,22184
2024-12-31,951,1.25,1.2556,1.25,1.2511,17448
2024-12-31,952,1.25,1.26,1.25,1.25,26715
2024-12-31,953,1.25,1.26,1.25,1.255,3632
2024-12-31,954,1.25,1.26,1.25,1.255,40033
2024-12-31,955,1.255,1.26,1.25,1.25,5298
2024-12-31,956,1.26,1.26,1.2397,1.2397,113166
2024-12-31,957,1.2399,1.24,1.23,1.23,18456
2024-12-31,958,1.235,1.2499,1.2301,1.2499,68404
2024-12-31,959,1.2499,1.25,1.2401,1.2499,4077
2024-12-31,1000,1.2414,1.25,1.2414,1.245,2232
2024-12-31,1001,1.245,1.245,1.2401,1.2401,7306
2024-12-31,1002,1.245,1.25,1.2442,1.245,6855
2024-12-31,1003,1.245,1.2499,1.24,1.24,15352
2024-12-31,1004,1.245,1.2499,1.24,1.24,8631
2024-12-31,1005,1.245,1.2499,1.24,1.24,6783
2024-12-31,1006,1.2403,1.245,1.24,1.245,12341
2024-12-31,1007,1.245,1.245,1.23,1.2334,96942
2024-12-31,1008,1.2399,1.24,1.23,1.23,21996
2024-12-31,1009,1.2324,1.24,1.23,1.235,40318
2024-12-31,1010,1.24,1.24,1.23,1.235,28126
2024-12-31,1011,1.2396,1.24,1.23,1.23,23253
2024-12-31,1012,1.2375,1.24,1.23,1.235,9797
2024-12-31,1013,1.235,1.235,1.23,1.235,4543
2024-12-31,1014,1.2337,1.24,1.23,1.235,26310
2024-12-31,1015,1.235,1.245,1.23,1.2305,133170
2024-12-31,1016,1.23,1.24,1.23,1.24,3928
2024-12-31,1017,1.23,1.24,1.23,1.23,37233
2024-12-31,1018,1.2331,1.24,1.23,1.23,61335
2024-12-31,1019,1.234,1.25,1.234,1.2499,62864
2024-12-31,1020,1.2431,1.25,1.24,1.25,4073
2024-12-31,1021,1.245,1.25,1.24,1.25,3960
2024-12-31,1022,1.2421,1.26,1.2421,1.26,82362
2024-12-31,1023,1.25,1.26,1.25,1.2581,22570
2024-12-31,1024,1.2542,1.27,1.2518,1.27,68658
2024-12-31,1025,1.2628,1.27,1.2618,1.2672,16252
2024-12-31,1026,1.265,1.27,1.26,1.265,25054
2024-12-31,1027,1.262,1.268,1.26,1.2615,8865
2024-12-31,1028,1.27,1.27,1.26,1.27,18522
2024-12-31,1029,1.26,1.27,1.26,1.2699,14482
2024-12-31,1030,1.26,1.2695,1.26,1.2607,62986
2024-12-31,1031,1.27,1.27,1.26,1.2607,14387
2024-12-31,1032,1.2606,1.265,1.26,1.261,45454
2024-12-31,1033,1.2621,1.2621,1.25,1.2559,85710
2024-12-31,1034,1.25,1.255,1.25,1.25,27069
2024-12-31,1035,1.2501,1.26,1.25,1.25,5596
2024-12-31,1036,1.255,1.26,1.25,1.255,39775
2024-12-31,1037,1.25,1.2557,1.25,1.2557,2268
2024-12-31,1038,1.25,1.26,1.25,1.255,3079
2024-12-31,1039,1.255,1.255,1.25,1.25,2775
2024-12-31,1040,1.255,1.255,1.25,1.255,11051
2024-12-31,1041,1.25,1.26,1.25,1.255,61521
2024-12-31,1042,1.25,1.26,1.25,1.255,3625
2024-12-31,1043,1.255,1.255,1.25,1.25,831
2024-12-31,1044,1.255,1.26,1.25,1.2596,53129
2024-12-31,1045,1.25,1.255,1.25,1.25,16769
2024-12-31,1046,1.25,1.256,1.24,1.245,56152
2024-12-31,1047,1.25,1.25,1.24,1.2452,12249
2024-12-31,1048,1.245,1.25,1.24,1.245,32866
2024-12-31,1049,1.245,1.25,1.24,1.245,5502
2024-12-31,1050,1.245,1.2472,1.24,1.245,23084
2024-12-31,1051,1.2401,1.25,1.24,1.24,36404
2024-12-31,1052,1.25,1.25,1.2442,1.245,23199
2024-12-31,1053,1.2497,1.2499,1.24,1.245,13641
2024-12-31,1054,1.245,1.25,1.24,1.24,4793
2024-12-31,1055,1.245,1.25,1.24,1.24,44898
2024-12-31,1056,1.245,1.25,1.24,1.243,18876
2024-12-31,1057,1.24,1.25,1.24,1.24,18114
2024-12-31,1058,1.24,1.25,1.24,1.2433,32906
2024-12-31,1059,1.24,1.24,1.23,1.2369,75719
2024-12-31,1100,1.23,1.24,1.23,1.23,27618
2024-12-31,1101,1.23,1.24,1.23,1.2324,32852
2024-12-31,1102,1.2358,1.24,1.23,1.23,4467
2024-12-31,1103,1.24,1.24,1.23,1.235,5003
2024-12-31,1104,1.23,1.235,1.22,1.22,90437
2024-12-31,1105,1.225,1.23,1.22,1.22,15654
2024-12-31,1106,1.2299,1.23,1.22,1.225,54914
2024-12-31,1107,1.23,1.23,1.22,1.2206,41215
2024-12-31,1108,1.229,1.24,1.22,1.225,243146
2024-12-31,1109,1.22,1.23,1.22,1.2298,29861
2024-12-31,1110,1.224,1.23,1.22,1.225,75376
2024-12-31,1111,1.22,1.23,1.22,1.23,85643
2024-12-31,1112,1.23,1.23,1.22,1.23,51656
2024-12-31,1113,1.229,1.24,1.22,1.2301,139818
2024-12-31,1114,1.2301,1.24,1.23,1.24,71688
