date,time,open,high,low,close,volume
2024-12-30,1903,1.47,1.48,1.47,1.48,405
2024-12-30,1914,1.49,1.49,1.49,1.49,100
2024-12-30,1921,1.54,1.54,1.54,1.54,6506
2024-12-30,1922,1.5299,1.5299,1.5299,1.5299,737
2024-12-30,1925,1.5298,1.5298,1.5298,1.5298,579
2024-12-30,1930,1.52,1.52,1.52,1.52,148
2024-12-30,1947,1.5297,1.5297,1.5297,1.5297,150
2024-12-30,1948,1.53,1.53,1.53,1.53,500
2024-12-30,1949,1.53,1.53,1.53,1.53,1000
2024-12-30,1954,1.51,1.51,1.51,1.51,1382
2024-12-31,404,1.52,1.52,1.52,1.52,204
2024-12-31,407,1.53,1.53,1.53,1.53,861
2024-12-31,408,1.54,1.54,1.54,1.54,183
2024-12-31,414,1.53,1.57,1.52,1.56,2560
2024-12-31,417,1.56,1.56,1.55,1.55,1009
2024-12-31,420,1.59,1.59,1.59,1.59,501
2024-12-31,422,1.55,1.55,1.55,1.55,500
2024-12-31,424,1.52,1.52,1.52,1.52,1061
2024-12-31,428,1.55,1.55,1.55,1.55,418
2024-12-31,436,1.55,1.55,1.55,1.55,717
2024-12-31,437,1.54,1.54,1.54,1.54,101
2024-12-31,438,1.54,1.55,1.54,1.55,1271
2024-12-31,439,1.58,1.58,1.58,1.58,580
2024-12-31,440,1.58,1.59,1.58,1.59,440
2024-12-31,441,1.59,1.6,1.59,1.6,5057
2024-12-31,442,1.6,1.69,1.595,1.68,8574
2024-12-31,443,1.675,1.68,1.675,1.68,6241
2024-12-31,444,1.68,1.7,1.675,1.68,8847
2024-12-31,445,1.69,1.69,1.68,1.68,2016
2024-12-31,446,1.68,1.68,1.67,1.67,6229
2024-12-31,447,1.67,1.67,1.66,1.67,2872
2024-12-31,448,1.67,1.72,1.67,1.7,3998
2024-12-31,449,1.72,1.72,1.69,1.69,1922
2024-12-31,451,1.69,1.69,1.69,1.69,311
2024-12-31,452,1.69,1.69,1.69,1.69,258
2024-12-31,454,1.71,1.72,1.69,1.72,1092
2024-12-31,455,1.71,1.71,1.69,1.69,1678
2024-12-31,456,1.69,1.69,1.68,1.68,639
2024-12-31,457,1.67,1.67,1.66,1.67,3758
2024-12-31,458,1.66,1.67,1.66,1.67,1761
2024-12-31,500,1.68,1.68,1.68,1.68,218
2024-12-31,501,1.68,1.68,1.68,1.68,300
2024-12-31,502,1.72,1.72,1.68,1.68,1293
2024-12-31,504,1.68,1.68,1.68,1.68,290
2024-12-31,506,1.68,1.68,1.68,1.68,203
2024-12-31,508,1.69,1.69,1.68,1.68,1973
2024-12-31,510,1.68,1.68,1.68,1.68,909
2024-12-31,511,1.69,1.69,1.67,1.67,905
2024-12-31,512,1.66,1.66,1.655,1.655,1050
2024-12-31,513,1.65,1.67,1.65,1.67,2075
2024-12-31,514,1.66,1.66,1.66,1.66,310
2024-12-31,517,1.66,1.66,1.66,1.66,278
2024-12-31,518,1.66,1.66,1.66,1.66,942
2024-12-31,519,1.665,1.665,1.65,1.65,3003
2024-12-31,523,1.65,1.65,1.65,1.65,157
2024-12-31,524,1.65,1.65,1.65,1.65,1574
2024-12-31,525,1.64,1.64,1.64,1.64,269
2024-12-31,528,1.61,1.65,1.61,1.65,6550
2024-12-31,529,1.64,1.64,1.64,1.64,129
2024-12-31,531,1.65,1.65,1.65,1.65,200
2024-12-31,534,1.66,1.66,1.66,1.66,468
2024-12-31,535,1.66,1.66,1.66,1.66,1019
2024-12-31,540,1.665,1.67,1.66,1.67,1346
2024-12-31,544,1.68,1.68,1.67,1.67,2409
2024-12-31,546,1.69,1.7,1.69,1.7,5015
2024-12-31,548,1.7,1.7,1.7,1.7,9832
2024-12-31,549,1.69,1.69,1.69,1.69,470
2024-12-31,550,1.69,1.69,1.69,1.69,162
2024-12-31,551,1.69,1.69,1.69,1.69,579
2024-12-31,552,1.69,1.69,1.69,1.69,223
2024-12-31,553,1.685,1.685,1.685,1.685,375
2024-12-31,554,1.685,1.685,1.685,1.685,1010
2024-12-31,555,1.69,1.69,1.69,1.69,392
2024-12-31,556,1.69,1.69,1.69,1.69,126
2024-12-31,558,1.685,1.69,1.685,1.69,626
2024-12-31,559,1.69,1.69,1.69,1.69,440
2024-12-31,601,1.7,1.73,1.7,1.73,376
2024-12-31,602,1.69,1.69,1.685,1.685,5117
2024-12-31,603,1.685,1.69,1.68,1.68,1110
2024-12-31,608,1.68,1.68,1.68,1.68,301
2024-12-31,609,1.68,1.68,1.68,1.68,603
2024-12-31,612,1.68,1.68,1.68,1.68,508
2024-12-31,616,1.69,1.69,1.69,1.69,1794
2024-12-31,617,1.68,1.69,1.68,1.69,1526
2024-12-31,618,1.69,1.69,1.69,1.69,476
2024-12-31,621,1.68,1.68,1.68,1.68,254
2024-12-31,622,1.68,1.68,1.68,1.68,1725
2024-12-31,624,1.68,1.68,1.68,1.68,200
2024-12-31,625,1.67,1.67,1.67,1.67,621
2024-12-31,627,1.665,1.67,1.6,1.6,6812
2024-12-31,628,1.64,1.64,1.63,1.63,964
2024-12-31,629,1.63,1.63,1.62,1.62,800
2024-12-31,630,1.65,1.65,1.65,1.65,732
2024-12-31,631,1.64,1.64,1.63,1.63,552
2024-12-31,632,1.63,1.63,1.62,1.63,2093
2024-12-31,633,1.62,1.625,1.62,1.62,3157
2024-12-31,634,1.62,1.62,1.6,1.6,2856
2024-12-31,635,1.6,1.6,1.6,1.6,429
2024-12-31,636,1.58,1.58,1.57,1.57,908
2024-12-31,637,1.57,1.57,1.56,1.56,700
