date,time,open,high,low,close,volume
2024-12-31,930,1.53,1.55,1.53,1.55,315
2024-12-31,933,1.56,1.56,1.56,1.56,400
2024-12-31,941,1.6,1.6,1.6,1.6,110
2024-12-31,1019,1.53,1.53,1.53,1.53,614
2024-12-31,1216,1.61,1.61,1.5412,1.5412,6844
2024-12-31,1259,1.5404,1.5404,1.5404,1.5404,200
2024-12-31,1333,1.54,1.5401,1.54,1.5401,506
2024-12-31,1351,1.54,1.54,1.54,1.54,181
2024-12-31,1426,1.5401,1.5401,1.5401,1.5401,5000
2024-12-31,1434,1.56,1.56,1.56,1.56,362
2024-12-31,1519,1.5926,1.5926,1.5926,1.5926,100
2024-12-31,1521,1.592,1.592,1.592,1.592,125
2024-12-31,1543,1.57,1.57,1.57,1.57,500
2024-12-31,1551,1.5637,1.5637,1.5637,1.5637,226
2025-01-02,543,1.57,1.57,1.57,1.57,100
2025-01-02,545,1.56,1.56,1.56,1.56,300
2025-01-02,930,1.56,1.56,1.56,1.56,2126
2025-01-02,947,1.57,1.57,1.57,1.57,299
2025-01-02,1206,1.5914,1.5914,1.5914,1.5914,250
2025-01-02,1207,1.64,1.64,1.638,1.638,1000
2025-01-02,1218,1.6,1.6,1.6,1.6,200
2025-01-02,1301,1.59,1.59,1.59,1.59,100
2025-01-02,1304,1.61,1.61,1.61,1.61,200
2025-01-02,1310,1.59,1.59,1.59,1.59,261
2025-01-02,1333,1.5902,1.5902,1.5901,1.5902,500
2025-01-02,1401,1.59,1.59,1.59,1.59,331
2025-01-02,1422,1.57,1.5701,1.57,1.5701,450
2025-01-02,1511,1.57,1.57,1.57,1.57,100
2025-01-02,1530,1.57,1.5701,1.564,1.564,797
2025-01-02,1640,1.6,1.6,1.6,1.6,100
2025-01-03,930,1.48,1.535,1.48,1.535,828
2025-01-03,1003,1.508,1.508,1.508,1.508,600
2025-01-03,1004,1.4901,1.4901,1.4901,1.4901,500
2025-01-03,1023,1.5,1.5,1.4918,1.4918,550
2025-01-03,1024,1.5,1.5,1.48,1.48,1007
2025-01-03,1025,1.42,1.42,1.42,1.42,350
2025-01-03,1026,1.42,1.42,1.42,1.42,755
2025-01-03,1027,1.42,1.42,1.42,1.42,300
2025-01-03,1028,1.42,1.42,1.42,1.42,100
2025-01-03,1030,1.41,1.41,1.41,1.41,700
2025-01-03,1048,1.48,1.48,1.48,1.48,250
2025-01-03,1114,1.4951,1.4999,1.4951,1.4951,750
2025-01-03,1141,1.47,1.47,1.47,1.47,187
2025-01-03,1159,1.47,1.47,1.47,1.47,100
