date,time,open,high,low,close,volume
2024-12-30,1900,10.38,10.4,10.38,10.4,26
2024-12-30,1901,10.4,10.5,10.25,10.5,2298
2024-12-30,1902,10.48,10.58,10.45,10.5,321
2024-12-30,1903,10.5,10.63,10.5,10.63,2504
2024-12-30,1904,10.6,10.6,10.5,10.52,1482
2024-12-30,1905,10.52,10.63,10.52,10.58,1744
2024-12-30,1906,10.58,10.58,10.25,10.48,1391
2024-12-30,1907,10.48,10.48,10.45,10.48,142
2024-12-30,1908,10.45,10.48,10.25,10.45,652
2024-12-30,1909,10.45,10.45,10.45,10.45,93
2024-12-30,1910,10.45,10.48,10.45,10.48,210
2024-12-30,1911,10.45,10.45,10.27,10.45,685
2024-12-30,1912,10.45,10.48,10.45,10.45,49
2024-12-30,1913,10.45,10.45,10.27,10.27,97
2024-12-30,1914,10.45,10.45,10.27,10.27,129
2024-12-30,1915,10.45,10.45,10.43,10.43,17
2024-12-30,1916,10.43,10.45,10.25,10.45,322
2024-12-30,1917,10.43,10.45,10.43,10.43,1092
2024-12-30,1918,10.43,10.43,10.4,10.43,57
2024-12-30,1919,10.4,10.43,10.38,10.4,142
2024-12-30,1920,10.43,10.43,10.4,10.4,145
2024-12-30,1921,10.38,10.4,10.33,10.33,157
2024-12-30,1922,10.35,10.35,10.33,10.35,29
2024-12-30,1923,10.35,10.38,10.35,10.38,44
2024-12-30,1924,10.27,10.38,10.25,10.38,109
2024-12-30,1925,10.38,10.43,10.27,10.4,209
2024-12-30,1926,10.38,10.45,10.27,10.43,105
2024-12-30,1927,10.43,10.43,10.38,10.38,610
2024-12-30,1928,10.4,10.4,10.25,10.27,1161
2024-12-30,1929,10.4,10.4,10.35,10.38,101
2024-12-30,1930,10.35,10.38,10.35,10.35,31
2024-12-30,1931,10.35,10.38,10.35,10.35,97
2024-12-30,1932,10.35,10.38,10.35,10.35,65
2024-12-30,1933,10.38,10.38,10.35,10.35,345
2024-12-30,1934,10.38,10.4,10.38,10.38,411
2024-12-30,1935,10.38,10.4,10.38,10.4,320
2024-12-30,1936,10.4,10.52,10.38,10.5,849
2024-12-30,1937,10.5,10.52,10.5,10.52,1726
2024-12-30,1938,10.5,10.5,10.35,10.35,26
2024-12-30,1939,10.35,10.38,10.35,10.35,126
2024-12-30,1940,10.38,10.5,10.38,10.4,181
2024-12-30,1941,10.43,10.5,10.43,10.5,1260
2024-12-30,1942,10.48,10.48,10.48,10.48,19
2024-12-30,1943,10.45,10.52,10.45,10.52,813
2024-12-30,1944,10.5,10.52,10.48,10.52,344
2024-12-30,1945,10.52,10.52,10.5,10.52,1112
2024-12-30,1946,10.48,10.5,10.48,10.48,62
2024-12-30,1947,10.48,10.5,10.45,10.5,272
