date,time,open,high,low,close,volume
2025-01-02,525,5.07,5.07,5.07,5.07,110
2025-01-02,526,5.07,5.07,5.05,5.05,490
2025-01-02,817,5.0499,5.0499,5.0499,5.0499,500
2025-01-02,818,5.03,5.03,5.03,5.03,100
2025-01-02,930,5.04,5.04,5.04,5.04,5465
2025-01-02,932,5.005,5.005,5.005,5.005,113
2025-01-02,933,5.0383,5.0383,5.0383,5.0383,993
2025-01-02,934,5.005,5.06,5.005,5.06,2518
2025-01-02,935,5.1,5.17,5.1,5.17,574
2025-01-02,937,5.0948,5.0948,5.0948,5.0948,115
2025-01-02,939,5.11,5.11,5.11,5.11,1991
2025-01-02,940,5.15,5.2,5.15,5.18,2620
2025-01-02,941,5.241,5.241,5.205,5.205,752
2025-01-02,943,5.1851,5.32,5.1851,5.32,2172
2025-01-02,944,5.34,5.34,5.34,5.34,525
2025-01-02,945,5.3131,5.3493,5.281,5.281,1403
2025-01-02,946,5.3,5.3,5.3,5.3,1100
2025-01-02,947,5.35,5.37,5.35,5.3605,1660
2025-01-02,948,5.35,5.37,5.3401,5.3401,748
2025-01-02,949,5.37,5.4,5.3444,5.3444,700
2025-01-02,952,5.36,5.392,5.36,5.392,323
2025-01-02,953,5.34,5.34,5.34,5.34,301
2025-01-02,954,5.34,5.34,5.28,5.28,2028
2025-01-02,956,5.2801,5.325,5.2801,5.325,5632
2025-01-02,957,5.35,5.425,5.35,5.42,4290
2025-01-02,958,5.41,5.41,5.345,5.3862,4571
2025-01-02,1000,5.38,5.43,5.38,5.43,3599
2025-01-02,1001,5.43,5.43,5.42,5.42,650
2025-01-02,1002,5.39,5.39,5.39,5.39,384
2025-01-02,1005,5.37,5.37,5.37,5.37,142
2025-01-02,1009,5.385,5.385,5.385,5.385,508
2025-01-02,1010,5.3662,5.3662,5.3662,5.3662,313
2025-01-02,1011,5.41,5.41,5.41,5.41,114
2025-01-02,1012,5.385,5.385,5.36,5.36,980
2025-01-02,1013,5.36,5.424,5.36,5.424,1992
2025-01-02,1016,5.405,5.42,5.405,5.42,400
2025-01-02,1017,5.4,5.4,5.4,5.4,200
2025-01-02,1018,5.3974,5.3974,5.37,5.37,1250
2025-01-02,1019,5.395,5.42,5.395,5.405,1300
2025-01-02,1020,5.44,5.44,5.37,5.405,3106
2025-01-02,1021,5.4,5.42,5.4,5.4,2174
2025-01-02,1022,5.37,5.4,5.37,5.4,2060
2025-01-02,1023,5.4,5.4,5.4,5.4,189
2025-01-02,1024,5.37,5.4,5.37,5.4,513
2025-01-02,1025,5.4,5.42,5.35,5.375,2624
2025-01-02,1026,5.33,5.33,5.33,5.33,198
2025-01-02,1027,5.36,5.41,5.34,5.41,2820
2025-01-02,1028,5.38,5.38,5.38,5.38,390
2025-01-02,1030,5.375,5.375,5.375,5.375,377
2025-01-02,1034,5.38,5.38,5.38,5.38,547
2025-01-02,1035,5.36,5.36,5.36,5.36,200
2025-01-02,1036,5.38,5.39,5.38,5.39,395
2025-01-02,1039,5.36,5.36,5.35,5.35,373
2025-01-02,1040,5.33,5.33,5.26,5.26,2684
2025-01-02,1041,5.26,5.26,5.26,5.26,206
2025-01-02,1043,5.26,5.26,5.26,5.26,222
2025-01-02,1045,5.23,5.23,5.23,5.23,250
2025-01-02,1047,5.22,5.22,5.22,5.22,127
2025-01-02,1048,5.21,5.21,5.16,5.16,350
2025-01-02,1053,5.25,5.25,5.25,5.25,329
2025-01-02,1054,5.17,5.1708,5.17,5.1708,350
2025-01-02,1055,5.215,5.215,5.215,5.215,100
2025-01-02,1056,5.26,5.34,5.23,5.3399,9859
2025-01-02,1058,5.285,5.285,5.285,5.285,263
2025-01-02,1101,5.28,5.28,5.26,5.26,895
2025-01-02,1102,5.275,5.275,5.275,5.275,200
2025-01-02,1103,5.285,5.29,5.285,5.29,200
2025-01-02,1104,5.29,5.29,5.29,5.29,100
2025-01-02,1108,5.33,5.33,5.33,5.33,563
2025-01-02,1110,5.335,5.335,5.335,5.335,100
2025-01-02,1113,5.3101,5.3101,5.3101,5.3101,250
2025-01-02,1115,5.37,5.38,5.37,5.38,400
2025-01-02,1116,5.37,5.38,5.37,5.38,235
2025-01-02,1117,5.355,5.38,5.31,5.31,6991
2025-01-02,1118,5.292,5.33,5.25,5.25,8704
2025-01-02,1119,5.26,5.275,5.25,5.27,12946
2025-01-02,1120,5.29,5.31,5.22,5.27,5223
