date,time,open,high,low,close,volume
2025-01-02,646,0.6513,0.6513,0.6513,0.6513,269
2025-01-02,747,0.65,0.65,0.65,0.65,200
2025-01-02,807,0.6873,0.6873,0.6873,0.6873,5800
2025-01-02,810,0.679,0.679,0.679,0.679,200
2025-01-02,815,0.686,0.686,0.655,0.655,550
2025-01-02,819,0.686,0.686,0.686,0.686,200
2025-01-02,821,0.686,0.686,0.686,0.686,201
2025-01-02,824,0.686,0.686,0.686,0.686,100
2025-01-02,844,0.6763,0.6763,0.6763,0.6763,300
2025-01-02,847,0.66,0.66,0.66,0.66,200
2025-01-02,908,0.65,0.65,0.65,0.65,400
2025-01-02,916,0.66,0.66,0.66,0.66,260
2025-01-02,925,0.6699,0.6699,0.6699,0.6699,1000
2025-01-02,930,0.66,0.66,0.66,0.66,656
2025-01-02,932,0.655,0.655,0.655,0.655,215
2025-01-02,938,0.6501,0.652,0.6429,0.6429,12949
2025-01-02,940,0.6503,0.6503,0.6495,0.6495,966
2025-01-02,943,0.645,0.645,0.64,0.64,3086
2025-01-02,948,0.645,0.6594,0.645,0.6594,2184
2025-01-02,958,0.6585,0.6585,0.6585,0.6585,350
2025-01-02,1001,0.6544,0.6544,0.645,0.6501,3448
2025-01-02,1003,0.6502,0.6503,0.645,0.645,1500
2025-01-02,1011,0.65,0.65,0.65,0.65,500
2025-01-02,1012,0.645,0.645,0.645,0.645,250
2025-01-02,1014,0.6435,0.6435,0.64,0.6409,750
2025-01-02,1015,0.6392,0.6396,0.63,0.63,17630
2025-01-02,1017,0.623,0.633,0.623,0.633,795
2025-01-02,1021,0.633,0.633,0.633,0.633,549
2025-01-02,1025,0.6383,0.6383,0.6383,0.6383,250
2025-01-02,1030,0.633,0.6405,0.633,0.6405,1190
2025-01-02,1034,0.6405,0.6405,0.6405,0.6405,1000
2025-01-02,1035,0.6325,0.6325,0.6325,0.6325,500
2025-01-02,1040,0.6405,0.6405,0.6405,0.6405,100
2025-01-02,1051,0.65,0.65,0.65,0.65,100
2025-01-02,1052,0.6409,0.6409,0.6409,0.6409,532
2025-01-02,1053,0.6405,0.6405,0.6405,0.6405,533
2025-01-02,1104,0.6404,0.6404,0.6404,0.6404,308
2025-01-02,1108,0.6404,0.6404,0.6404,0.6404,150
2025-01-02,1111,0.6332,0.6332,0.6332,0.6332,660
2025-01-02,1118,0.64,0.64,0.64,0.64,100
2025-01-02,1119,0.64,0.64,0.6399,0.6399,1600
2025-01-02,1120,0.64,0.64,0.64,0.64,550
2025-01-02,1124,0.6404,0.6404,0.6404,0.6404,176
2025-01-02,1128,0.64,0.64,0.6332,0.6375,3238
2025-01-02,1129,0.64,0.64,0.64,0.64,800
2025-01-02,1132,0.64,0.64,0.64,0.64,110
2025-01-02,1141,0.6327,0.6327,0.63,0.6327,2004
2025-01-02,1144,0.63,0.63,0.63,0.63,1737
2025-01-02,1145,0.63,0.63,0.63,0.63,200
2025-01-02,1157,0.6416,0.6416,0.6416,0.6416,100
2025-01-02,1203,0.642,0.642,0.642,0.642,101
2025-01-02,1208,0.6421,0.6421,0.6421,0.6421,260
2025-01-02,1210,0.6421,0.6421,0.6421,0.6421,1609
2025-01-02,1211,0.649,0.649,0.649,0.649,100
2025-01-02,1213,0.6452,0.6452,0.645,0.6451,534
2025-01-02,1216,0.649,0.649,0.649,0.649,2615
2025-01-02,1218,0.6488,0.6488,0.6488,0.6488,5000
2025-01-02,1219,0.649,0.65,0.649,0.65,9249
2025-01-02,1220,0.6498,0.6501,0.6498,0.65,13554
2025-01-02,1222,0.6501,0.651,0.6495,0.6495,14748
2025-01-02,1225,0.6475,0.6475,0.6475,0.6475,100
2025-01-02,1235,0.6445,0.6445,0.6445,0.6445,100
2025-01-02,1238,0.6475,0.6475,0.6475,0.6475,800
2025-01-02,1240,0.6426,0.6426,0.6426,0.6426,183
2025-01-02,1242,0.641,0.641,0.641,0.641,1090
2025-01-02,1245,0.641,0.641,0.64,0.64,801
2025-01-02,1246,0.64,0.64,0.64,0.64,100
2025-01-02,1247,0.635,0.635,0.635,0.635,200
2025-01-02,1252,0.635,0.64,0.635,0.64,1100
2025-01-02,1253,0.6374,0.6375,0.635,0.6375,4326
2025-01-02,1255,0.6375,0.6375,0.6375,0.6375,150
2025-01-02,1257,0.6399,0.6399,0.6399,0.6399,313
2025-01-02,1302,0.6345,0.6345,0.6336,0.6336,200
2025-01-02,1303,0.6336,0.6336,0.6318,0.6318,418
2025-01-02,1305,0.6335,0.6335,0.6295,0.6317,1923
2025-01-02,1306,0.6317,0.6317,0.6279,0.631,800
2025-01-02,1307,0.6323,0.6323,0.6259,0.6259,752
2025-01-02,1309,0.6592,0.6592,0.6592,0.6592,100
2025-01-02,1310,0.6595,0.6595,0.6595,0.6595,5000
2025-01-02,1315,0.626,0.6271,0.623,0.623,14586
2025-01-02,1316,0.6477,0.648,0.6358,0.6358,3045
2025-01-02,1317,0.6449,0.6449,0.6449,0.6449,2000
2025-01-02,1318,0.6235,0.6235,0.6235,0.6235,150
2025-01-02,1319,0.6236,0.6357,0.6236,0.6357,250
2025-01-02,1320,0.6357,0.6357,0.6357,0.6357,150
2025-01-02,1321,0.6333,0.6479,0.6333,0.6479,250
2025-01-02,1322,0.6357,0.6357,0.6357,0.6357,100
2025-01-02,1323,0.6236,0.6236,0.6236,0.6236,100
2025-01-02,1324,0.6235,0.6479,0.6235,0.6479,400
2025-01-02,1325,0.6236,0.6475,0.6236,0.6475,400
2025-01-02,1326,0.6357,0.6357,0.6235,0.6235,250
2025-01-02,1327,0.648,0.648,0.6357,0.6357,250
2025-01-02,1328,0.6357,0.6357,0.6357,0.6357,100
2025-01-02,1329,0.6236,0.6236,0.6236,0.6236,100
2025-01-02,1330,0.6236,0.6236,0.6236,0.6236,100
2025-01-02,1331,0.6238,0.648,0.6236,0.6236,708
2025-01-02,1332,0.626,0.626,0.6236,0.6236,200
2025-01-02,1333,0.6357,0.6357,0.6236,0.6236,200
2025-01-02,1334,0.624,0.63,0.624,0.6264,450
2025-01-02,1335,0.636,0.636,0.6241,0.6241,200
2025-01-02,1336,0.6241,0.6241,0.6241,0.6241,200
2025-01-02,1337,0.6241,0.636,0.6241,0.636,200
2025-01-02,1338,0.6241,0.6241,0.6241,0.6241,100
2025-01-02,1339,0.6241,0.6241,0.6241,0.6241,100
2025-01-02,1342,0.624,0.624,0.624,0.624,320
2025-01-02,1343,0.6421,0.6421,0.6421,0.6421,200
2025-01-02,1346,0.6367,0.637,0.6367,0.637,600
2025-01-02,1347,0.6367,0.648,0.6367,0.648,300
2025-01-02,1353,0.627,0.627,0.627,0.627,280
2025-01-02,1355,0.6392,0.6392,0.6392,0.6392,200
2025-01-02,1358,0.648,0.648,0.648,0.648,100
2025-01-02,1410,0.645,0.645,0.645,0.645,100
2025-01-02,1413,0.627,0.627,0.627,0.627,200
2025-01-02,1414,0.6265,0.6265,0.6265,0.6265,200
2025-01-02,1416,0.6265,0.6265,0.6265,0.6265,1000
2025-01-02,1418,0.6265,0.6265,0.6265,0.6265,350
2025-01-02,1419,0.6265,0.6265,0.6265,0.6265,100
2025-01-02,1425,0.6284,0.6284,0.6284,0.6284,500
2025-01-02,1427,0.627,0.627,0.627,0.627,225
2025-01-02,1429,0.6265,0.6265,0.624,0.624,2100
2025-01-02,1430,0.6236,0.6236,0.6236,0.6236,400
2025-01-02,1442,0.624,0.6241,0.624,0.6241,1132
2025-01-02,1448,0.6236,0.6236,0.6231,0.6231,2168
2025-01-02,1502,0.63,0.63,0.63,0.63,140
2025-01-02,1503,0.6231,0.6231,0.623,0.623,302
2025-01-02,1505,0.63,0.63,0.63,0.63,250
2025-01-02,1508,0.63,0.63,0.63,0.63,944
2025-01-02,1515,0.6265,0.6265,0.6265,0.6265,200
2025-01-02,1520,0.623,0.623,0.623,0.623,3050
2025-01-02,1524,0.63,0.63,0.63,0.63,6437
2025-01-02,1526,0.6299,0.6299,0.6264,0.6264,4000
2025-01-02,1528,0.63,0.63,0.63,0.63,100
2025-01-02,1537,0.63,0.63,0.63,0.63,500
2025-01-02,1540,0.63,0.63,0.63,0.63,100
2025-01-02,1542,0.63,0.63,0.63,0.63,2000
2025-01-02,1545,0.627,0.627,0.6234,0.6234,1276
2025-01-02,1549,0.624,0.624,0.624,0.624,200
2025-01-02,1551,0.6299,0.6299,0.6299,0.6299,1000
2025-01-02,1554,0.63,0.63,0.63,0.63,272
2025-01-02,1555,0.63,0.63,0.63,0.63,250
2025-01-02,1556,0.63,0.648,0.63,0.648,3365
2025-01-02,1557,0.6478,0.6479,0.6478,0.6479,600
2025-01-02,1559,0.645,0.645,0.645,0.645,235
2025-01-02,1600,0.6255,0.6255,0.6255,0.6255,137
2025-01-02,1620,0.645,0.645,0.645,0.645,205
2025-01-02,1716,0.6259,0.6259,0.6259,0.6259,1000
