date,time,open,high,low,close,volume
2025-01-02,542,1.11,1.11,1.11,1.11,100
2025-01-02,726,1.12,1.12,1.12,1.12,176
2025-01-02,930,1.13,1.13,1.13,1.13,2657
2025-01-02,943,1.13,1.13,1.13,1.13,612
2025-01-02,944,1.167,1.167,1.167,1.167,335
2025-01-02,950,1.1095,1.1095,1.1095,1.1095,116
2025-01-02,953,1.2038,1.2038,1.2038,1.2038,500
2025-01-02,954,1.2,1.2,1.2,1.2,717
2025-01-02,956,1.115,1.115,1.115,1.115,510
2025-01-02,957,1.205,1.205,1.205,1.205,501
2025-01-02,1000,1.22,1.22,1.22,1.22,116
2025-01-02,1003,1.22,1.235,1.22,1.235,4621
2025-01-02,1006,1.2226,1.2226,1.2226,1.2226,1500
2025-01-02,1008,1.22,1.22,1.22,1.22,2036
2025-01-02,1016,1.22,1.22,1.22,1.22,300
2025-01-02,1018,1.2499,1.2499,1.2499,1.2499,399
2025-01-02,1025,1.2,1.25,1.2,1.215,4392
2025-01-02,1027,1.18,1.18,1.17,1.17,210
2025-01-02,1034,1.22,1.22,1.22,1.22,3800
2025-01-02,1037,1.21,1.21,1.21,1.21,300
2025-01-02,1038,1.23,1.23,1.23,1.23,2324
2025-01-02,1045,1.21,1.21,1.21,1.21,902
2025-01-02,1053,1.223,1.223,1.223,1.223,668
2025-01-02,1059,1.2233,1.2233,1.2233,1.2233,500
2025-01-02,1127,1.235,1.235,1.235,1.235,450
2025-01-02,1153,1.2293,1.2293,1.2293,1.2293,789
2025-01-02,1214,1.22,1.22,1.22,1.22,214
2025-01-02,1221,1.2235,1.2235,1.2235,1.2235,429
2025-01-02,1224,1.225,1.225,1.225,1.225,109
2025-01-02,1247,1.2249,1.2249,1.2249,1.2249,250
2025-01-02,1302,1.23,1.23,1.23,1.23,1585
2025-01-02,1424,1.23,1.23,1.23,1.23,215
2025-01-02,1457,1.231,1.2365,1.23,1.2365,11593
2025-01-02,1506,1.23,1.23,1.22,1.22,506
2025-01-02,1514,1.2,1.2,1.2,1.2,885
2025-01-02,1516,1.2,1.2,1.15,1.1501,3436
2025-01-02,1528,1.2,1.2,1.2,1.2,420
2025-01-02,1546,1.16,1.2,1.16,1.2,526
2025-01-02,1548,1.1999,1.1999,1.1999,1.1999,840
2025-01-02,1549,1.16,1.16,1.16,1.16,102
2025-01-02,1559,1.18,1.18,1.18,1.18,236
2025-01-03,938,1.19,1.19,1.19,1.19,223
2025-01-03,1053,1.16,1.16,1.16,1.16,100
2025-01-03,1054,1.2186,1.2186,1.2186,1.2186,238
2025-01-03,1057,1.2,1.2,1.2,1.2,500
2025-01-03,1101,1.2,1.2,1.2,1.2,420
2025-01-03,1134,1.2,1.2,1.2,1.2,100
2025-01-03,1137,1.2,1.2,1.2,1.2,140
2025-01-03,1145,1.21,1.22,1.21,1.22,364
2025-01-03,1150,1.21,1.21,1.21,1.21,200
2025-01-03,1153,1.22,1.22,1.22,1.22,427
2025-01-03,1212,1.2101,1.22,1.17,1.17,4697
2025-01-03,1221,1.1806,1.1806,1.1806,1.1806,793
2025-01-03,1236,1.2,1.2,1.2,1.2,3000
2025-01-03,1237,1.2,1.21,1.2,1.21,13457
2025-01-03,1238,1.19,1.19,1.19,1.19,514
2025-01-03,1302,1.2,1.2062,1.16,1.1601,13628
2025-01-03,1303,1.15,1.15,1.15,1.15,200
2025-01-03,1309,1.166,1.166,1.166,1.166,200
2025-01-03,1326,1.17,1.17,1.17,1.17,667
2025-01-03,1327,1.1601,1.1601,1.16,1.16,2078
2025-01-03,1329,1.17,1.17,1.17,1.17,100
2025-01-03,1332,1.15,1.15,1.14,1.14,1743
2025-01-03,1345,1.1579,1.1579,1.1579,1.1579,102
2025-01-03,1349,1.1691,1.1691,1.1691,1.1691,1115
2025-01-03,1351,1.15,1.15,1.1405,1.1405,2100
2025-01-03,1352,1.14,1.14,1.14,1.14,683
2025-01-03,1353,1.15,1.15,1.15,1.15,250
2025-01-03,1403,1.15,1.15,1.15,1.15,643
2025-01-03,1411,1.15,1.15,1.15,1.15,1112
2025-01-03,1415,1.15,1.15,1.15,1.15,905
2025-01-03,1434,1.15,1.15,1.15,1.15,678
2025-01-03,1442,1.13,1.145,1.12,1.145,1734
2025-01-03,1526,1.1682,1.1682,1.1682,1.1682,375
2025-01-03,1541,1.145,1.145,1.145,1.145,500
2025-01-03,1542,1.1439,1.1439,1.1439,1.1439,1000
2025-01-03,1548,1.14,1.14,1.14,1.14,130
2025-01-03,1555,1.1232,1.1437,1.1232,1.1437,1005
2025-01-06,724,1.2,1.2,1.2,1.2,1112
2025-01-06,930,1.17,1.17,1.17,1.17,3727
2025-01-06,952,1.21,1.23,1.19,1.19,2743
2025-01-06,958,1.19,1.19,1.17,1.17,3273
2025-01-06,959,1.155,1.16,1.155,1.16,629
2025-01-06,1000,1.155,1.155,1.155,1.155,100
2025-01-06,1002,1.15,1.15,1.15,1.15,6742
2025-01-06,1008,1.15,1.15,1.15,1.15,280
2025-01-06,1010,1.17,1.17,1.17,1.17,115
2025-01-06,1014,1.15,1.15,1.15,1.15,200
2025-01-06,1019,1.15,1.15,1.15,1.15,200
2025-01-06,1045,1.1511,1.1511,1.1511,1.1511,150
2025-01-06,1112,1.15,1.15,1.15,1.15,600
2025-01-06,1115,1.141,1.141,1.11,1.11,2656
2025-01-06,1141,1.15,1.15,1.12,1.12,4100
2025-01-06,1149,1.1401,1.1401,1.1401,1.1401,349
2025-01-06,1152,1.12,1.15,1.12,1.14,660
2025-01-06,1156,1.12,1.12,1.12,1.12,221
2025-01-06,1205,1.135,1.135,1.135,1.135,2507
2025-01-06,1211,1.1498,1.1498,1.1498,1.1498,500
2025-01-06,1234,1.15,1.15,1.15,1.15,1017
2025-01-06,1240,1.1498,1.15,1.1498,1.15,10223
2025-01-06,1246,1.1551,1.1551,1.13,1.13,2600
2025-01-06,1252,1.13,1.13,1.13,1.13,300
2025-01-06,1255,1.12,1.12,1.11,1.11,2120
2025-01-06,1256,1.12,1.15,1.12,1.1299,5955
2025-01-06,1258,1.15,1.16,1.15,1.16,25100
2025-01-06,1307,1.1945,1.1945,1.1945,1.1945,650
2025-01-06,1310,1.193,1.193,1.193,1.193,1000
2025-01-06,1312,1.147,1.147,1.147,1.147,1000
2025-01-06,1316,1.1243,1.15,1.1243,1.15,2201
2025-01-06,1317,1.1261,1.1261,1.1261,1.1261,161
2025-01-06,1320,1.13,1.13,1.12,1.12,2173
2025-01-06,1321,1.1999,1.1999,1.1999,1.1999,2196
2025-01-06,1331,1.165,1.165,1.165,1.165,300
2025-01-06,1336,1.15,1.15,1.15,1.15,216
2025-01-06,1343,1.15,1.16,1.15,1.15,15400
2025-01-06,1344,1.15,1.15,1.15,1.15,5000
2025-01-06,1408,1.15,1.16,1.15,1.16,5000
2025-01-06,1420,1.1899,1.1899,1.1899,1.1899,8431
2025-01-06,1421,1.14,1.14,1.11,1.11,2127
2025-01-06,1451,1.15,1.15,1.15,1.15,137
2025-01-06,1452,1.141,1.141,1.141,1.141,100
2025-01-06,1454,1.15,1.15,1.15,1.15,200
2025-01-06,1458,1.15,1.15,1.15,1.15,100
2025-01-06,1508,1.15,1.15,1.15,1.15,209
2025-01-06,1510,1.14,1.14,1.14,1.14,1483
2025-01-06,1549,1.172,1.172,1.172,1.172,2508
2025-01-06,1950,1.19,1.19,1.19,1.19,400
2025-01-07,456,1.18,1.18,1.18,1.18,200
2025-01-07,608,1.18,1.59,1.18,1.59,2306
2025-01-07,609,1.38,1.94,1.38,1.73,44213
2025-01-07,610,1.73,1.96,1.69,1.85,150103
2025-01-07,611,1.84,1.9,1.55,1.66,201379
2025-01-07,612,1.66,1.66,1.24,1.51,182394
2025-01-07,613,1.505,1.52,1.38,1.46,77188
2025-01-07,614,1.48,1.49,1.35,1.42,62882
2025-01-07,615,1.43,1.56,1.37,1.5,63529
2025-01-07,616,1.48,1.58,1.43,1.54,93722
2025-01-07,617,1.54,1.71,1.45,1.68,134944
2025-01-07,618,1.68,1.71,1.47,1.6,123939
2025-01-07,619,1.6,1.84,1.6,1.7,222253
2025-01-07,620,1.72,1.88,1.7,1.765,201677
2025-01-07,621,1.76,1.77,1.58,1.59,192362
2025-01-07,622,1.59,1.6,1.48,1.52,192722
2025-01-07,623,1.515,1.56,1.42,1.55,132083
2025-01-07,624,1.55,1.57,1.485,1.53,46322
2025-01-07,625,1.53,1.63,1.53,1.595,86216
2025-01-07,626,1.59,1.59,1.47,1.47,64708
2025-01-07,627,1.47,1.47,1.39,1.44,94571
2025-01-07,628,1.43,1.47,1.37,1.4,92609
2025-01-07,629,1.4,1.48,1.385,1.43,42796
2025-01-07,630,1.43,1.45,1.425,1.44,30793
2025-01-07,631,1.445,1.45,1.31,1.32,124904
2025-01-07,632,1.315,1.34,1.17,1.21,195865
2025-01-07,633,1.21,1.24,1.16,1.21,92558
2025-01-07,634,1.21,1.24,1.2,1.22,45834
2025-01-07,635,1.22,1.26,1.2,1.21,29550
2025-01-07,636,1.2,1.2,1.16,1.17,59167
2025-01-07,637,1.175,1.18,1.14,1.15,54352
2025-01-07,638,1.15,1.15,1.1,1.12,79469
2025-01-07,639,1.12,1.14,1.12,1.13,25757
2025-01-07,640,1.14,1.14,1.11,1.11,14008
2025-01-07,641,1.12,1.12,1.08,1.1,33733
2025-01-07,642,1.1,1.12,1.08,1.08,18701
2025-01-07,643,1.09,1.11,1.06,1.11,26473
2025-01-07,644,1.11,1.13,1.11,1.12,9221
2025-01-07,645,1.12,1.13,1.08,1.09,14930
2025-01-07,646,1.08,1.1,1.07,1.08,17815
2025-01-07,647,1.09,1.1,1.08,1.1,3517
2025-01-07,648,1.1,1.1,1.09,1.1,3109
2025-01-07,649,1.1,1.11,1.09,1.11,8460
2025-01-07,650,1.11,1.11,1.05,1.06,27678
2025-01-07,651,1.06,1.09,1.06,1.09,15699
2025-01-07,652,1.08,1.08,1.07,1.07,3702
2025-01-07,653,1.08,1.08,1.06,1.07,6201
2025-01-07,654,1.07,1.08,1.06,1.08,8332
2025-01-07,655,1.08,1.08,1.07,1.07,3543
2025-01-07,656,1.07,1.07,1.06,1.06,4309
2025-01-07,657,1.07,1.07,1.05,1.05,7107
2025-01-07,658,1.06,1.07,1.06,1.07,7442
2025-01-07,659,1.06,1.07,1.06,1.07,3197
2025-01-07,700,1.06,1.06,1.06,1.06,332
2025-01-07,701,1.06,1.08,1.06,1.07,4294
2025-01-07,702,1.07,1.07,1.07,1.07,582
2025-01-07,703,1.07,1.07,1.06,1.06,3161
2025-01-07,704,1.05,1.05,0.95,0.97,64797
2025-01-07,705,0.97,0.9981,0.8815,0.8893,60813
2025-01-07,706,0.89,0.9293,0.879,0.879,30246
2025-01-07,707,0.8879,0.9393,0.8879,0.9299,27450
2025-01-07,708,0.92,0.9287,0.92,0.92,5832
2025-01-07,709,0.92,0.9383,0.91,0.93,9670
2025-01-07,710,0.9325,0.9383,0.93,0.9339,5261
2025-01-07,711,0.9339,0.9339,0.8803,0.8976,11466
2025-01-07,712,0.8854,0.92,0.88,0.9198,39466
2025-01-07,713,0.92,0.92,0.9091,0.9091,3342
2025-01-07,714,0.9013,0.9017,0.9002,0.9002,2604
2025-01-07,715,0.9003,0.91,0.9002,0.9003,8991
2025-01-07,716,0.9003,0.9003,0.9001,0.9001,853
2025-01-07,717,0.9132,0.9147,0.9105,0.9105,1113
2025-01-07,718,0.9199,0.925,0.917,0.925,1298
2025-01-07,719,0.9144,0.925,0.9144,0.925,1648
2025-01-07,720,0.92,0.925,0.9199,0.92,1553
2025-01-07,721,0.9202,0.925,0.92,0.925,3273
2025-01-07,722,0.925,0.9301,0.925,0.93,2142
2025-01-07,723,0.93,0.9368,0.9295,0.93,3138
2025-01-07,725,0.9267,0.9267,0.9251,0.9251,400
2025-01-07,726,0.93,0.93,0.93,0.93,336
2025-01-07,727,0.9296,0.93,0.9296,0.93,981
2025-01-07,728,0.9398,0.9399,0.9386,0.9392,938
2025-01-07,729,0.9416,0.9486,0.9416,0.9486,426
2025-01-07,730,0.9462,0.9478,0.9397,0.9397,1586
2025-01-07,731,0.9439,0.9486,0.9439,0.9486,1793
2025-01-07,732,0.9399,0.94,0.9381,0.9399,1623
2025-01-07,733,0.9375,0.94,0.9375,0.94,551
2025-01-07,734,0.9399,0.9582,0.9399,0.9582,5259
2025-01-07,735,0.96,0.97,0.9554,0.9554,974
2025-01-07,737,0.9781,0.987,0.97,0.98,2934
2025-01-07,738,0.9858,0.9882,0.97,0.9882,9191
2025-01-07,739,0.99,1.02,0.99,1.02,10719
2025-01-07,740,1.01,1.01,1.0,1.0,18634
2025-01-07,741,1.01,1.01,1.01,1.01,6598
2025-01-07,742,1.01,1.01,0.95,0.99,5498
2025-01-07,743,0.95,0.96,0.93,0.933,14907
2025-01-07,744,0.98,0.98,0.932,0.96,4352
2025-01-07,745,0.95,0.97,0.95,0.97,696
2025-01-07,746,0.9601,0.9601,0.9601,0.9601,370
2025-01-07,747,0.9841,0.9841,0.97,0.97,230
2025-01-07,749,0.95,0.95,0.932,0.932,2672
2025-01-07,750,0.932,0.932,0.932,0.932,447
2025-01-07,755,0.96,0.96,0.95,0.95,3100
2025-01-07,757,0.96,0.9858,0.96,0.98,3050
2025-01-07,758,0.9759,0.985,0.97,0.98,2000
2025-01-07,759,0.9759,0.98,0.97,0.979,4136
2025-01-07,800,1.06,1.21,0.8793,0.985,145735
2025-01-07,802,0.9566,0.9566,0.9566,0.9566,847
2025-01-07,803,0.96,0.96,0.9565,0.9565,500
2025-01-07,805,0.9565,0.9566,0.9565,0.9566,276
2025-01-07,806,0.9565,0.9565,0.9565,0.9565,3929
2025-01-07,807,0.9565,0.9565,0.9565,0.9565,554
2025-01-07,808,0.955,0.955,0.9533,0.9533,1870
2025-01-07,809,0.9529,0.9529,0.95,0.95,3929
2025-01-07,810,0.95,0.95,0.945,0.945,1550
2025-01-07,811,0.945,0.945,0.94,0.945,2407
2025-01-07,812,0.94,0.94,0.9302,0.932,1316
2025-01-07,813,1.48,1.87,0.93,0.935,19460
2025-01-07,814,0.945,1.01,0.945,0.9999,10007
