date,time,open,high,low,close,volume
2025-01-02,739,0.42,0.42,0.42,0.42,700
2025-01-02,930,0.41,0.41,0.41,0.41,1444
2025-01-02,931,0.4119,0.4119,0.4119,0.4119,100
2025-01-02,932,0.412,0.412,0.412,0.412,100
2025-01-02,937,0.4,0.4,0.4,0.4,2000
2025-01-02,940,0.401,0.401,0.398,0.398,6482
2025-01-02,941,0.4118,0.4118,0.4,0.4,200
2025-01-02,942,0.4099,0.4099,0.4099,0.4099,150
2025-01-02,950,0.4097,0.4098,0.4001,0.4001,5100
2025-01-02,951,0.4002,0.4049,0.4,0.4049,15269
2025-01-02,953,0.4001,0.4096,0.4001,0.4096,200
2025-01-02,1007,0.4096,0.4096,0.4096,0.4096,3006
2025-01-02,1026,0.4087,0.4087,0.4049,0.4049,211
2025-01-02,1028,0.4097,0.412,0.4097,0.412,2048
2025-01-02,1033,0.42,0.42,0.419,0.42,700
2025-01-02,1043,0.4101,0.4101,0.4101,0.4101,1000
2025-01-02,1051,0.41,0.41,0.41,0.41,500
2025-01-02,1109,0.401,0.4072,0.3944,0.4072,21206
2025-01-02,1116,0.4172,0.4172,0.4172,0.4172,17999
2025-01-02,1117,0.4101,0.415,0.4,0.4,18914
2025-01-02,1120,0.3944,0.3944,0.39,0.39,487
2025-01-02,1121,0.42,0.42,0.42,0.42,3000
2025-01-02,1139,0.4173,0.4173,0.4173,0.4173,700
2025-01-02,1140,0.39,0.39,0.39,0.39,100
2025-01-02,1146,0.413,0.4173,0.4,0.4,3400
2025-01-02,1149,0.401,0.4095,0.4001,0.4001,6300
2025-01-02,1153,0.4173,0.4173,0.4173,0.4173,2000
2025-01-02,1157,0.4001,0.4001,0.4001,0.4001,1000
2025-01-02,1209,0.4,0.4,0.4,0.4,4000
2025-01-02,1216,0.411,0.411,0.411,0.411,2500
2025-01-02,1217,0.4188,0.4188,0.4188,0.4188,900
2025-01-02,1220,0.4187,0.4187,0.4187,0.4187,200
2025-01-02,1237,0.418,0.4189,0.418,0.418,1520
2025-01-02,1319,0.419,0.419,0.419,0.419,249
2025-01-02,1322,0.4077,0.4077,0.4077,0.4077,2000
2025-01-02,1333,0.4032,0.4032,0.4032,0.4032,5000
2025-01-02,1336,0.4031,0.4031,0.4031,0.4031,100
2025-01-02,1337,0.4189,0.4189,0.4189,0.4189,500
2025-01-02,1341,0.419,0.419,0.419,0.419,1051
2025-01-02,1346,0.4154,0.4154,0.4154,0.4154,200
2025-01-02,1349,0.4171,0.4171,0.4171,0.4171,500
2025-01-02,1358,0.4183,0.4183,0.4183,0.4183,2300
2025-01-02,1359,0.42,0.42,0.4199,0.4199,6000
2025-01-02,1400,0.42,0.42,0.4115,0.4115,8059
2025-01-02,1401,0.42,0.4215,0.42,0.4215,700
2025-01-02,1402,0.44,0.44,0.4216,0.4216,500
2025-01-02,1404,0.4398,0.4398,0.4398,0.4398,200
2025-01-02,1405,0.4398,0.4398,0.4398,0.4398,500
2025-01-02,1406,0.4215,0.4398,0.4215,0.4398,500
2025-01-02,1407,0.44,0.44,0.4399,0.4399,1000
2025-01-02,1409,0.4299,0.4299,0.4299,0.4299,500
2025-01-02,1413,0.429,0.43,0.429,0.4299,2800
2025-01-02,1415,0.4298,0.4298,0.4031,0.4031,1000
2025-01-02,1416,0.4297,0.4297,0.4164,0.4164,502
2025-01-02,1417,0.4165,0.4165,0.4165,0.4165,200
2025-01-02,1418,0.4191,0.4191,0.4191,0.4191,200
2025-01-02,1431,0.4297,0.4297,0.4297,0.4297,200
2025-01-02,1433,0.4297,0.4297,0.4297,0.4297,400
2025-01-02,1436,0.4298,0.4298,0.4297,0.4298,1200
2025-01-02,1449,0.4166,0.4299,0.4166,0.4299,1500
2025-01-02,1453,0.4298,0.4298,0.4298,0.4298,500
2025-01-02,1456,0.4299,0.4299,0.4299,0.4299,500
2025-01-02,1458,0.43,0.43,0.43,0.43,1126
2025-01-02,1459,0.4215,0.4399,0.4215,0.4399,801
2025-01-02,1501,0.4399,0.4399,0.4399,0.4399,200
2025-01-02,1502,0.4031,0.4031,0.4031,0.4031,200
2025-01-02,1503,0.4279,0.4279,0.4279,0.4279,200
2025-01-02,1509,0.4399,0.4399,0.4399,0.4399,700
2025-01-02,1510,0.4399,0.4399,0.4399,0.4399,400
2025-01-02,1518,0.44,0.44,0.44,0.44,4920
2025-01-02,1522,0.422,0.422,0.422,0.422,200
2025-01-02,1524,0.422,0.422,0.404,0.404,308
2025-01-02,1525,0.422,0.422,0.422,0.422,300
2025-01-02,1526,0.4399,0.4399,0.4399,0.4399,500
2025-01-02,1531,0.4399,0.4399,0.4399,0.4399,200
2025-01-02,1532,0.422,0.422,0.422,0.422,800
2025-01-02,1533,0.422,0.4399,0.422,0.4399,400
2025-01-02,1541,0.4218,0.4362,0.4218,0.4362,400
2025-01-02,1546,0.4362,0.4362,0.4362,0.4362,120
2025-01-02,1547,0.4218,0.4397,0.4218,0.4397,400
2025-01-02,1548,0.439,0.439,0.439,0.439,458
2025-01-02,1556,0.439,0.44,0.4329,0.4397,1100
2025-01-02,1558,0.4397,0.4397,0.4397,0.4397,156
2025-01-02,1743,0.4399,0.4399,0.4399,0.4399,3000
2025-01-02,1755,0.44,0.44,0.44,0.44,2000
2025-01-02,1836,0.4374,0.4374,0.4374,0.4374,300
2025-01-02,1925,0.4399,0.4399,0.4399,0.4399,100
2025-01-02,1940,0.44,0.44,0.44,0.44,200
2025-01-03,427,0.4485,0.46,0.4485,0.46,3000
2025-01-03,432,0.45,0.46,0.45,0.46,1000
2025-01-03,520,0.45,0.47,0.45,0.47,2500
2025-01-03,523,0.47,0.47,0.47,0.47,500
2025-01-03,700,0.44,0.44,0.44,0.44,100
2025-01-03,739,0.4397,0.4397,0.4397,0.4397,300
2025-01-03,811,0.4397,0.4397,0.4397,0.4397,100
2025-01-03,814,0.4397,0.4397,0.4397,0.4397,100
2025-01-03,931,0.4112,0.43,0.409,0.43,8350
2025-01-03,936,0.4287,0.477,0.4287,0.477,77825
2025-01-03,937,0.4702,0.488,0.4515,0.4515,55766
2025-01-03,938,0.4497,0.488,0.4497,0.47,14661
2025-01-03,939,0.475,0.475,0.4601,0.47,6391
2025-01-03,940,0.4601,0.47,0.46,0.46,16058
2025-01-03,941,0.4651,0.4651,0.455,0.455,12252
2025-01-03,942,0.452,0.47,0.446,0.4557,8293
2025-01-03,943,0.47,0.47,0.4558,0.4558,1866
2025-01-03,944,0.47,0.47,0.47,0.47,220
2025-01-03,945,0.4602,0.4602,0.4536,0.4536,3956
2025-01-03,946,0.47,0.47,0.45,0.4517,24430
2025-01-03,949,0.46,0.46,0.4502,0.4502,5035
2025-01-03,950,0.4502,0.46,0.4502,0.46,5000
2025-01-03,951,0.46,0.46,0.46,0.46,5300
2025-01-03,952,0.47,0.47,0.47,0.47,121
2025-01-03,953,0.4601,0.469,0.4601,0.469,545
2025-01-03,954,0.469,0.469,0.469,0.469,100
2025-01-03,956,0.4699,0.4699,0.4699,0.4699,170
2025-01-03,957,0.4598,0.4598,0.4598,0.4598,241
2025-01-03,958,0.4673,0.4673,0.4602,0.4602,6159
2025-01-03,959,0.4602,0.4693,0.4602,0.4693,400
2025-01-03,1000,0.4693,0.4693,0.4693,0.4693,300
2025-01-03,1002,0.4693,0.4693,0.4693,0.4693,10000
2025-01-03,1003,0.4601,0.4601,0.4601,0.4601,4363
2025-01-03,1004,0.4647,0.4647,0.4647,0.4647,2000
2025-01-03,1006,0.469,0.4693,0.469,0.4693,891
2025-01-03,1007,0.4646,0.4646,0.4646,0.4646,2052
2025-01-03,1008,0.4646,0.4662,0.4638,0.4662,1136
2025-01-03,1011,0.4692,0.4692,0.4662,0.4662,1494
2025-01-03,1013,0.4662,0.4662,0.4662,0.4662,100
2025-01-03,1015,0.4662,0.4662,0.4662,0.4662,100
2025-01-03,1016,0.4692,0.4692,0.4692,0.4692,1100
2025-01-03,1024,0.45,0.45,0.45,0.45,100
2025-01-03,1029,0.4505,0.4505,0.4505,0.4505,750
2025-01-03,1030,0.4505,0.4505,0.4505,0.4505,1752
2025-01-03,1032,0.4505,0.4505,0.4505,0.4505,8200
2025-01-03,1043,0.4507,0.4507,0.4505,0.4505,23428
2025-01-03,1044,0.4505,0.4505,0.4505,0.4505,3000
2025-01-03,1045,0.4505,0.4506,0.4505,0.4506,2200
2025-01-03,1046,0.467,0.467,0.467,0.467,200
2025-01-03,1047,0.4688,0.4688,0.4688,0.4688,1000
2025-01-03,1049,0.4535,0.4535,0.4535,0.4535,300
2025-01-03,1107,0.4601,0.4602,0.4601,0.4601,400
2025-01-03,1108,0.4606,0.4606,0.4601,0.4602,447
2025-01-03,1114,0.4601,0.4616,0.4601,0.4616,260
2025-01-03,1116,0.465,0.465,0.4569,0.4569,2433
2025-01-03,1117,0.4587,0.4587,0.4587,0.4587,550
2025-01-03,1121,0.4641,0.4641,0.4641,0.4641,350
2025-01-03,1123,0.4576,0.4576,0.4576,0.4576,340
2025-01-03,1124,0.4601,0.4601,0.4576,0.4576,300
2025-01-03,1127,0.4602,0.4602,0.4602,0.4602,500
2025-01-03,1134,0.4603,0.4603,0.4603,0.4603,1000
2025-01-03,1138,0.4603,0.4603,0.455,0.455,1699
2025-01-03,1139,0.4557,0.4557,0.4557,0.4557,500
2025-01-03,1142,0.4575,0.4575,0.4575,0.4575,140
2025-01-03,1144,0.4598,0.4598,0.4598,0.4598,100
2025-01-03,1145,0.46,0.46,0.4575,0.46,7556
2025-01-03,1146,0.4575,0.4575,0.4575,0.4575,100
2025-01-03,1147,0.4551,0.4552,0.4551,0.4551,1500
2025-01-03,1155,0.46,0.46,0.46,0.46,800
2025-01-03,1159,0.4551,0.4575,0.455,0.4575,5500
2025-01-03,1203,0.4551,0.4551,0.4551,0.4551,258
2025-01-03,1204,0.4592,0.4592,0.4592,0.4592,200
2025-01-03,1205,0.4557,0.4557,0.4557,0.4557,907
2025-01-03,1211,0.4579,0.4579,0.4579,0.4579,468
2025-01-03,1215,0.4558,0.459,0.4558,0.459,220
2025-01-03,1232,0.46,0.46,0.456,0.46,834
2025-01-03,1236,0.4563,0.4563,0.4563,0.4563,110
2025-01-03,1237,0.456,0.456,0.456,0.456,215
2025-01-03,1240,0.4557,0.4557,0.4557,0.4557,100
2025-01-03,1241,0.4558,0.4579,0.4558,0.4579,1985
2025-01-03,1242,0.46,0.46,0.4568,0.4568,1900
2025-01-03,1248,0.4579,0.4579,0.4579,0.4579,108
2025-01-03,1249,0.4579,0.4579,0.4579,0.4579,216
2025-01-03,1258,0.4561,0.4561,0.4561,0.4561,100
2025-01-03,1301,0.4564,0.4564,0.4564,0.4564,110
2025-01-03,1303,0.458,0.458,0.458,0.458,700
2025-01-03,1309,0.46,0.46,0.46,0.46,134
2025-01-03,1314,0.458,0.4605,0.458,0.4599,10666
2025-01-03,1315,0.4641,0.4641,0.4571,0.4571,2500
2025-01-03,1316,0.4571,0.4579,0.4564,0.4571,1600
2025-01-03,1319,0.456,0.456,0.452,0.452,8623
2025-01-03,1320,0.4548,0.4548,0.4516,0.4516,200
2025-01-03,1354,0.455,0.455,0.455,0.455,389
2025-01-03,1355,0.46,0.46,0.46,0.46,469
2025-01-03,1356,0.4505,0.4505,0.4505,0.4505,500
2025-01-03,1404,0.4513,0.4513,0.441,0.441,13345
2025-01-03,1405,0.458,0.458,0.4504,0.4504,4000
2025-01-03,1406,0.4448,0.4467,0.4448,0.4448,900
2025-01-03,1408,0.4463,0.4463,0.4448,0.4448,1300
2025-01-03,1414,0.4448,0.4448,0.4448,0.4448,501
2025-01-03,1415,0.449,0.449,0.449,0.449,186
2025-01-03,1418,0.443,0.443,0.443,0.443,234
2025-01-03,1441,0.4545,0.455,0.452,0.452,10134
2025-01-03,1442,0.4505,0.4505,0.4505,0.4505,300
2025-01-03,1543,0.4432,0.4432,0.4432,0.4432,439
2025-01-03,1544,0.4483,0.4483,0.4483,0.4483,2467
2025-01-03,1552,0.4432,0.4466,0.4432,0.4466,921
2025-01-03,1558,0.4497,0.4498,0.4496,0.4497,1994
2025-01-03,1559,0.4497,0.45,0.4496,0.4498,8477
2025-01-03,1613,0.4444,0.4444,0.4431,0.4431,1600
2025-01-03,1618,0.4431,0.4431,0.4431,0.4431,301
2025-01-03,1620,0.44,0.44,0.44,0.44,1074
2025-01-03,1621,0.432,0.432,0.431,0.431,2926
2025-01-03,1624,0.431,0.431,0.431,0.431,400
2025-01-03,1625,0.4311,0.4311,0.4311,0.4311,150
2025-01-03,1632,0.431,0.431,0.431,0.431,100
2025-01-03,1639,0.44,0.44,0.4399,0.4399,200
2025-01-03,1701,0.4301,0.4301,0.4301,0.4301,100
2025-01-03,1737,0.43,0.43,0.422,0.422,235
2025-01-03,1746,0.44,0.44,0.4399,0.4399,200
2025-01-03,1828,0.4399,0.4399,0.4399,0.4399,3500
2025-01-03,1829,0.44,0.44,0.44,0.44,1905
2025-01-03,1830,0.4499,0.4499,0.4499,0.4499,4000
2025-01-03,1846,0.44,0.44,0.43,0.4399,2355
2025-01-03,1847,0.4069,0.42,0.405,0.42,1775
2025-01-03,1854,0.4499,0.4499,0.4499,0.4499,701
2025-01-06,410,0.4466,0.4466,0.4466,0.4466,100
2025-01-06,521,0.4432,0.45,0.4411,0.45,468
2025-01-06,650,0.444,0.444,0.4432,0.4432,300
2025-01-06,652,0.4411,0.4411,0.4411,0.4411,600
2025-01-06,654,0.4411,0.4411,0.4411,0.4411,100
2025-01-06,700,0.4411,0.4411,0.4411,0.4411,100
2025-01-06,710,0.4411,0.4411,0.4411,0.4411,1300
2025-01-06,717,0.45,0.45,0.45,0.45,400
2025-01-06,748,0.468,0.4689,0.468,0.4689,500
2025-01-06,800,0.4411,0.4411,0.4411,0.4411,2720
2025-01-06,807,0.45,0.45,0.45,0.45,1000
2025-01-06,826,0.4724,0.4724,0.4724,0.4724,1500
2025-01-06,845,0.462,0.462,0.452,0.452,300
2025-01-06,904,0.452,0.4521,0.452,0.4521,1700
2025-01-06,915,0.47,0.47,0.47,0.47,500
2025-01-06,917,0.469,0.469,0.469,0.469,100
2025-01-06,926,0.44,0.44,0.44,0.44,150
2025-01-06,930,0.441,0.441,0.441,0.441,3301
2025-01-06,932,0.44,0.44,0.44,0.44,400
2025-01-06,944,0.4412,0.4412,0.4411,0.4411,2350
2025-01-06,951,0.4455,0.4455,0.4455,0.4455,850
2025-01-06,952,0.4454,0.4454,0.4454,0.4454,100
2025-01-06,955,0.4455,0.4455,0.4455,0.4455,125
2025-01-06,1013,0.45,0.45,0.45,0.45,100
2025-01-06,1015,0.46,0.46,0.46,0.46,3000
2025-01-06,1017,0.4502,0.4502,0.4502,0.4502,3500
2025-01-06,1020,0.4537,0.4537,0.4537,0.4537,4000
2025-01-06,1024,0.47,0.47,0.469,0.47,3445
2025-01-06,1025,0.485,0.485,0.4701,0.4701,6280
2025-01-06,1026,0.4701,0.4701,0.4701,0.4701,700
2025-01-06,1027,0.4701,0.4702,0.47,0.4702,2400
2025-01-06,1028,0.47,0.47,0.47,0.47,2216
2025-01-06,1044,0.451,0.451,0.451,0.451,150
2025-01-06,1054,0.451,0.451,0.451,0.451,700
2025-01-06,1057,0.46,0.46,0.46,0.46,1200
2025-01-06,1101,0.469,0.469,0.469,0.469,100
2025-01-06,1133,0.4697,0.4697,0.4697,0.4697,2000
2025-01-06,1134,0.4668,0.4668,0.4668,0.4668,4000
2025-01-06,1137,0.466,0.466,0.4547,0.4585,6222
2025-01-06,1139,0.466,0.466,0.466,0.466,3000
2025-01-06,1140,0.468,0.4688,0.468,0.4688,1300
2025-01-06,1141,0.4688,0.4698,0.4688,0.4698,800
2025-01-06,1142,0.47,0.484,0.47,0.484,13618
2025-01-06,1143,0.485,0.485,0.4849,0.4849,4010
2025-01-06,1144,0.466,0.466,0.466,0.466,245
2025-01-06,1150,0.4698,0.4698,0.4698,0.4698,100
2025-01-06,1155,0.48,0.48,0.48,0.48,134
2025-01-06,1157,0.48,0.485,0.4799,0.485,2866
2025-01-06,1203,0.485,0.485,0.485,0.485,6750
2025-01-06,1204,0.485,0.485,0.4849,0.485,1930
2025-01-06,1205,0.485,0.485,0.475,0.485,2371
2025-01-06,1206,0.48,0.48,0.48,0.48,5800
2025-01-06,1217,0.485,0.485,0.485,0.485,445
2025-01-06,1219,0.4762,0.4762,0.4762,0.4762,100
2025-01-06,1220,0.485,0.485,0.485,0.485,100
2025-01-06,1224,0.48,0.48,0.48,0.48,550
2025-01-06,1235,0.4848,0.4848,0.4825,0.4825,4000
2025-01-06,1237,0.4801,0.4801,0.4801,0.4801,100
2025-01-06,1242,0.4825,0.4825,0.4825,0.4825,120
2025-01-06,1243,0.4826,0.4826,0.4826,0.4826,466
2025-01-06,1244,0.4801,0.4801,0.4801,0.4801,1906
2025-01-06,1245,0.4801,0.4802,0.4761,0.4761,5700
2025-01-06,1246,0.4796,0.4796,0.4751,0.4789,7642
2025-01-06,1248,0.4841,0.4841,0.4841,0.4841,106
2025-01-06,1250,0.484,0.484,0.484,0.484,1000
2025-01-06,1251,0.485,0.485,0.485,0.485,9418
2025-01-06,1252,0.489,0.489,0.489,0.489,300
2025-01-06,1303,0.4949,0.495,0.4949,0.495,8915
2025-01-06,1304,0.495,0.495,0.495,0.495,104
2025-01-06,1305,0.498,0.4999,0.4951,0.4999,1200
2025-01-06,1306,0.4999,0.4999,0.4999,0.4999,500
2025-01-06,1307,0.4998,0.4999,0.4998,0.4999,6000
2025-01-06,1308,0.4999,0.4999,0.4989,0.4999,7213
2025-01-06,1309,0.4999,0.5,0.4998,0.4999,11488
2025-01-06,1310,0.4999,0.4999,0.4974,0.4999,12325
2025-01-06,1312,0.4951,0.4951,0.495,0.495,3100
2025-01-06,1316,0.495,0.4998,0.495,0.4998,2372
2025-01-06,1317,0.4961,0.4961,0.4961,0.4961,5000
2025-01-06,1318,0.4999,0.4999,0.4983,0.4983,675
2025-01-06,1322,0.4968,0.4968,0.4968,0.4968,220
2025-01-06,1325,0.4972,0.4972,0.4972,0.4972,1000
2025-01-06,1326,0.4992,0.4992,0.4992,0.4992,200
2025-01-06,1327,0.4998,0.5,0.4997,0.4999,20668
2025-01-06,1328,0.4999,0.4999,0.4998,0.4998,11200
2025-01-06,1329,0.4999,0.4999,0.4999,0.4999,600
2025-01-06,1330,0.4994,0.4994,0.4994,0.4994,500
2025-01-06,1331,0.4981,0.4981,0.4981,0.4981,100
2025-01-06,1333,0.4978,0.4983,0.4978,0.4983,3300
2025-01-06,1335,0.4968,0.4968,0.4968,0.4968,5120
2025-01-06,1337,0.4999,0.4999,0.4995,0.4995,13700
2025-01-06,1338,0.4968,0.4968,0.496,0.496,1242
2025-01-06,1339,0.4999,0.5,0.4999,0.4999,4317
2025-01-06,1340,0.4997,0.4997,0.4997,0.4997,521
2025-01-06,1341,0.4954,0.4998,0.484,0.4951,20018
2025-01-06,1345,0.49,0.49,0.49,0.49,382
2025-01-06,1346,0.49,0.49,0.49,0.49,2015
2025-01-06,1349,0.485,0.485,0.485,0.485,2000
2025-01-06,1351,0.4999,0.4999,0.4999,0.4999,100
2025-01-06,1356,0.49,0.49,0.49,0.49,500
2025-01-06,1400,0.486,0.486,0.484,0.484,3139
2025-01-06,1402,0.4899,0.4899,0.4898,0.4898,505
2025-01-06,1405,0.49,0.49,0.49,0.49,100
