date,time,open,high,low,close,volume
2025-01-02,402,1.81,1.81,1.81,1.81,519
2025-01-02,403,1.81,1.81,1.81,1.81,202
2025-01-02,411,1.81,1.81,1.81,1.81,150
2025-01-02,416,1.81,1.81,1.81,1.81,101
2025-01-02,424,1.81,1.81,1.81,1.81,390
2025-01-02,429,1.81,1.82,1.81,1.82,574
2025-01-02,457,1.77,1.77,1.77,1.77,250
2025-01-02,459,1.82,1.83,1.82,1.83,2661
2025-01-02,503,1.83,1.83,1.83,1.83,110
2025-01-02,510,1.83,1.83,1.83,1.83,260
2025-01-02,513,1.86,1.86,1.86,1.86,763
2025-01-02,534,1.78,1.78,1.78,1.78,130
2025-01-02,539,1.78,1.78,1.78,1.78,625
2025-01-02,614,1.82,2.25,1.82,2.16,28311
2025-01-02,615,2.17,2.63,2.16,2.34,114858
2025-01-02,616,2.31,2.59,2.16,2.4,94224
2025-01-02,617,2.37,2.86,2.35,2.62,169620
2025-01-02,618,2.62,2.64,2.3,2.3,146210
2025-01-02,619,2.3,2.305,2.07,2.21,139321
2025-01-02,620,2.23,2.3,2.0,2.0,91382
2025-01-02,621,2.0,2.05,1.81,1.86,177014
2025-01-02,622,1.87,1.95,1.59,1.65,113026
2025-01-02,623,1.6,1.9,1.59,1.83,56699
2025-01-02,624,1.85,1.88,1.74,1.75,31272
2025-01-02,625,1.74,1.82,1.74,1.815,19860
2025-01-02,626,1.81,1.81,1.71,1.71,24540
2025-01-02,627,1.7,1.76,1.65,1.71,20677
2025-01-02,628,1.72,1.73,1.64,1.68,14991
2025-01-02,629,1.66,1.72,1.66,1.7,3491
2025-01-02,630,1.7,1.77,1.66,1.68,7210
2025-01-02,631,1.68,1.69,1.68,1.69,936
2025-01-02,632,1.68,1.69,1.63,1.64,10446
2025-01-02,633,1.64,1.64,1.56,1.6,26895
2025-01-02,634,1.6,1.64,1.58,1.61,8306
2025-01-02,635,1.6,1.63,1.6,1.63,6811
2025-01-02,636,1.64,1.67,1.64,1.67,2710
2025-01-02,637,1.67,1.67,1.63,1.63,765
2025-01-02,638,1.63,1.63,1.63,1.63,371
2025-01-02,639,1.63,1.66,1.62,1.63,3894
2025-01-02,640,1.62,1.63,1.62,1.62,907
2025-01-02,641,1.63,1.68,1.63,1.65,2628
2025-01-02,642,1.67,1.74,1.66,1.7,13070
