date,time,open,high,low,close,volume
2025-01-02,801,1.6499,1.6499,1.6499,1.6499,183
2025-01-02,804,1.65,1.65,1.65,1.65,147
2025-01-02,807,1.6599,1.66,1.6599,1.66,400
2025-01-02,813,1.6999,1.6999,1.6999,1.6999,800
2025-01-02,901,1.66,1.66,1.63,1.63,580
2025-01-02,912,1.68,1.68,1.68,1.68,800
2025-01-02,924,1.6504,1.6504,1.6504,1.6504,5000
2025-01-02,927,1.65,1.65,1.64,1.64,1882
2025-01-02,930,1.63,1.64,1.61,1.64,35843
2025-01-02,931,1.64,1.66,1.64,1.66,6260
2025-01-02,932,1.66,1.68,1.66,1.68,2033
2025-01-02,933,1.68,1.7,1.6717,1.69,1648
2025-01-02,934,1.6813,1.7,1.6812,1.7,1636
2025-01-02,935,1.69,1.69,1.69,1.69,1628
2025-01-02,936,1.69,1.71,1.69,1.7006,28112
2025-01-02,937,1.71,1.71,1.7,1.705,10113
2025-01-02,938,1.705,1.705,1.705,1.705,889
2025-01-02,939,1.7,1.705,1.69,1.69,1314
2025-01-02,940,1.685,1.685,1.685,1.685,3536
2025-01-02,941,1.69,1.705,1.69,1.7,14046
2025-01-02,942,1.71,1.71,1.71,1.71,717
2025-01-02,943,1.71,1.72,1.71,1.72,5504
2025-01-02,944,1.7107,1.7107,1.7107,1.7107,521
2025-01-02,945,1.72,1.72,1.715,1.72,989
2025-01-02,946,1.72,1.74,1.72,1.74,3087
2025-01-02,947,1.74,1.75,1.74,1.75,703
2025-01-02,948,1.75,1.75,1.745,1.745,582
2025-01-02,949,1.745,1.745,1.735,1.735,3287
2025-01-02,950,1.735,1.735,1.735,1.735,2495
2025-01-02,951,1.735,1.74,1.73,1.735,3828
2025-01-02,952,1.735,1.735,1.731,1.732,1667
2025-01-02,953,1.735,1.735,1.72,1.7209,7361
2025-01-02,954,1.73,1.73,1.72,1.725,3454
2025-01-02,955,1.725,1.725,1.725,1.725,247
2025-01-02,956,1.7201,1.7201,1.71,1.71,12627
2025-01-02,957,1.71,1.715,1.705,1.705,23832
2025-01-02,958,1.705,1.7083,1.695,1.695,6207
2025-01-02,959,1.695,1.705,1.695,1.705,3239
2025-01-02,1000,1.709,1.709,1.705,1.705,11736
2025-01-02,1001,1.705,1.71,1.705,1.705,1101
2025-01-02,1002,1.7,1.7,1.6838,1.695,8819
2025-01-02,1003,1.695,1.7,1.695,1.695,6499
2025-01-02,1004,1.695,1.705,1.695,1.695,7634
2025-01-02,1005,1.695,1.7,1.69,1.69,691
2025-01-02,1006,1.69,1.69,1.69,1.69,1257
2025-01-02,1007,1.69,1.695,1.69,1.695,490
2025-01-02,1008,1.695,1.695,1.69,1.69,3313
2025-01-02,1009,1.69,1.692,1.69,1.692,1508
2025-01-02,1010,1.69,1.695,1.68,1.685,6258
2025-01-02,1011,1.685,1.695,1.685,1.695,3488
2025-01-02,1012,1.695,1.695,1.695,1.695,405
2025-01-02,1013,1.695,1.695,1.695,1.695,2717
2025-01-02,1014,1.695,1.695,1.695,1.695,600
2025-01-02,1015,1.7,1.7,1.695,1.695,1384
2025-01-02,1016,1.7,1.7,1.69,1.695,2601
2025-01-02,1017,1.695,1.7,1.695,1.7,1605
2025-01-02,1018,1.695,1.71,1.695,1.695,26118
2025-01-02,1019,1.695,1.7,1.695,1.695,1100
2025-01-02,1020,1.695,1.695,1.685,1.685,2787
2025-01-02,1021,1.685,1.685,1.68,1.68,1317
2025-01-02,1022,1.685,1.685,1.68,1.68,700
2025-01-02,1023,1.6875,1.6875,1.685,1.685,219
2025-01-02,1024,1.68,1.685,1.68,1.68,1500
2025-01-02,1025,1.69,1.69,1.68,1.68,3220
2025-01-02,1026,1.68,1.69,1.68,1.685,1118
2025-01-02,1027,1.69,1.69,1.68,1.68,2478
2025-01-02,1028,1.69,1.69,1.675,1.675,8780
2025-01-02,1029,1.675,1.68,1.675,1.675,4122
2025-01-02,1030,1.675,1.675,1.675,1.675,401
2025-01-02,1031,1.68,1.68,1.675,1.675,841
2025-01-02,1032,1.68,1.68,1.675,1.675,5815
2025-01-02,1033,1.68,1.69,1.68,1.69,3202
2025-01-02,1034,1.685,1.69,1.685,1.69,1575
2025-01-02,1035,1.685,1.69,1.685,1.685,1625
2025-01-02,1036,1.685,1.69,1.6841,1.685,2600
2025-01-02,1037,1.69,1.69,1.675,1.675,7229
2025-01-02,1038,1.675,1.675,1.675,1.675,300
2025-01-02,1039,1.675,1.675,1.675,1.675,913
2025-01-02,1041,1.67,1.67,1.665,1.665,4115
2025-01-02,1042,1.665,1.665,1.665,1.665,300
2025-01-02,1043,1.665,1.665,1.665,1.665,532
2025-01-02,1045,1.66,1.665,1.66,1.66,332
2025-01-02,1047,1.665,1.67,1.665,1.665,1575
2025-01-02,1048,1.665,1.67,1.665,1.665,2294
2025-01-02,1049,1.665,1.68,1.665,1.68,5636
2025-01-02,1050,1.675,1.68,1.675,1.68,700
2025-01-02,1051,1.675,1.68,1.675,1.675,859
2025-01-02,1052,1.68,1.685,1.675,1.6809,3237
2025-01-02,1053,1.685,1.69,1.675,1.68,2652
2025-01-02,1054,1.675,1.69,1.675,1.69,2845
2025-01-02,1055,1.6875,1.69,1.68,1.68,2389
2025-01-02,1056,1.685,1.69,1.685,1.69,600
2025-01-02,1057,1.685,1.69,1.685,1.69,609
2025-01-02,1058,1.68,1.69,1.68,1.69,670
2025-01-02,1059,1.685,1.685,1.68,1.68,1348
2025-01-02,1100,1.685,1.69,1.685,1.69,812
2025-01-02,1101,1.68,1.685,1.68,1.685,1535
2025-01-02,1102,1.685,1.686,1.685,1.685,1048
2025-01-02,1103,1.68,1.68,1.675,1.675,5165
2025-01-02,1104,1.68,1.68,1.675,1.68,2335
2025-01-02,1105,1.675,1.685,1.675,1.685,3041
2025-01-02,1106,1.6858,1.72,1.6858,1.72,19902
2025-01-02,1107,1.715,1.73,1.715,1.73,6880
2025-01-02,1108,1.73,1.74,1.73,1.73,17642
2025-01-02,1109,1.735,1.74,1.735,1.74,1883
2025-01-02,1110,1.74,1.74,1.735,1.74,900
2025-01-02,1111,1.735,1.7397,1.73,1.735,19748
2025-01-02,1112,1.74,1.74,1.735,1.7384,1883
2025-01-02,1113,1.73,1.74,1.73,1.74,2505
2025-01-02,1114,1.735,1.735,1.73,1.735,2105
2025-01-02,1115,1.74,1.74,1.73,1.735,3724
2025-01-02,1116,1.735,1.74,1.73,1.74,1296
2025-01-02,1118,1.73,1.74,1.73,1.735,14340
2025-01-02,1119,1.735,1.74,1.735,1.735,1350
