date,time,open,high,low,close,volume
2025-01-02,830,0.91,0.91,0.88,0.88,2000
2025-01-02,845,0.949,1.1,0.949,1.05,57952
2025-01-02,846,1.05,1.07,0.9899,0.9899,41220
2025-01-02,847,0.9899,1.06,0.96,1.0492,45413
2025-01-02,848,1.03,1.04,0.95,0.97,31654
2025-01-02,849,0.9643,1.0,0.9643,0.9901,15818
2025-01-02,850,0.989,0.99,0.95,0.9758,7543
2025-01-02,851,0.975,0.98,0.925,0.929,24949
2025-01-02,852,0.929,0.93,0.91,0.9299,10153
2025-01-02,853,0.9299,0.9772,0.911,0.96,6852
2025-01-02,854,0.96,0.96,0.9599,0.9599,866
2025-01-02,855,0.94,0.94,0.94,0.94,1177
2025-01-02,856,0.92,0.92,0.9118,0.9118,550
2025-01-02,857,0.9111,0.9299,0.9111,0.9111,1204
2025-01-02,858,0.9208,0.93,0.9111,0.92,13799
2025-01-02,859,0.9399,0.95,0.9399,0.95,1044
2025-01-02,900,0.9499,0.9499,0.9499,0.9499,262
2025-01-02,906,0.91,0.91,0.91,0.91,3012
2025-01-02,907,0.9102,0.911,0.91,0.91,731
2025-01-02,910,0.94,0.94,0.91,0.92,6207
2025-01-02,911,0.919,0.919,0.919,0.919,302
2025-01-02,912,0.91,0.92,0.91,0.92,2100
2025-01-02,913,0.92,0.92,0.92,0.92,8000
2025-01-02,914,0.9199,0.92,0.9199,0.92,654
2025-01-02,915,0.9199,0.929,0.9199,0.92,1848
2025-01-02,916,0.92,0.92,0.92,0.92,144
2025-01-02,917,0.92,0.92,0.92,0.92,100
2025-01-02,919,0.9154,0.9154,0.9,0.9,1806
2025-01-02,923,0.91,0.92,0.91,0.92,2914
2025-01-02,924,0.92,0.92,0.92,0.92,100
2025-01-02,928,0.91,0.91,0.91,0.91,2137
2025-01-02,929,0.9,0.9,0.9,0.9,100
2025-01-02,930,0.89,0.91,0.89,0.91,3126
2025-01-02,932,0.9051,0.9099,0.9051,0.9099,2016
2025-01-02,933,0.91,0.91,0.91,0.91,809
2025-01-02,935,0.9198,0.9198,0.9198,0.9198,236
2025-01-02,936,0.913,0.913,0.913,0.913,580
2025-01-02,938,0.9191,0.9199,0.9191,0.9199,200
2025-01-02,940,0.9191,0.9191,0.908,0.909,2000
2025-01-02,941,0.908,0.93,0.908,0.9299,6679
2025-01-02,942,0.93,0.9418,0.9124,0.93,1531
2025-01-02,944,0.916,0.916,0.915,0.915,5371
2025-01-02,945,0.9269,0.9269,0.9269,0.9269,191
2025-01-02,948,0.922,0.93,0.922,0.93,250
2025-01-02,949,0.9335,0.9335,0.9335,0.9335,2000
2025-01-02,950,0.9399,0.9399,0.9399,0.9399,5000
2025-01-02,951,0.94,0.94,0.94,0.94,700
2025-01-02,953,0.9331,0.9331,0.9331,0.9331,161
2025-01-02,954,0.9365,0.9365,0.9365,0.9365,350
2025-01-02,955,0.9365,0.94,0.93,0.93,1300
2025-01-02,956,0.9331,0.9331,0.9301,0.9302,2000
2025-01-02,957,0.935,0.9418,0.935,0.9415,6000
2025-01-02,958,0.93,0.93,0.93,0.93,2000
2025-01-02,1000,0.946,0.946,0.932,0.932,4212
2025-01-02,1006,0.95,0.958,0.95,0.958,1249
2025-01-02,1007,0.958,0.96,0.958,0.96,450
2025-01-02,1010,0.9457,0.9457,0.9457,0.9457,300
2025-01-02,1011,0.954,0.9549,0.9458,0.9458,11300
2025-01-02,1012,0.9323,0.9323,0.9323,0.9323,350
2025-01-02,1013,0.9321,0.9321,0.92,0.92,8847
2025-01-02,1020,0.937,0.937,0.9301,0.9301,5112
2025-01-02,1023,0.955,0.955,0.955,0.955,301
2025-01-02,1024,0.9301,0.9301,0.9301,0.9301,500
2025-01-02,1027,0.915,0.9301,0.9021,0.93,3574
2025-01-02,1029,0.93,0.93,0.93,0.93,1927
2025-01-02,1037,0.9549,0.9549,0.93,0.93,1373
2025-01-02,1054,0.9302,0.9302,0.9302,0.9302,120
2025-01-02,1102,0.9401,0.9401,0.9401,0.9401,453
2025-01-02,1103,0.9402,0.9402,0.9402,0.9402,107
2025-01-02,1106,0.9401,0.9401,0.9401,0.9401,3062
2025-01-02,1108,0.9401,0.9696,0.9401,0.9696,19774
2025-01-02,1109,0.9611,0.973,0.9611,0.9632,3033
2025-01-02,1112,0.9632,0.9632,0.9632,0.9632,131
2025-01-02,1117,0.9525,0.9525,0.9525,0.9525,1018
2025-01-02,1120,0.953,0.953,0.953,0.953,1011
2025-01-02,1121,0.9601,0.965,0.9601,0.9606,1039
2025-01-02,1122,0.9561,0.9561,0.9401,0.9401,1300
2025-01-02,1125,0.9481,0.9481,0.9481,0.9481,300
2025-01-02,1131,0.9401,0.9401,0.9401,0.9401,654
2025-01-02,1132,0.9481,0.9481,0.9481,0.9481,2702
2025-01-02,1133,0.9481,0.9481,0.9481,0.9481,387
2025-01-02,1142,0.95,0.9608,0.95,0.9566,13727
2025-01-02,1143,0.9482,0.9482,0.9482,0.9482,110
2025-01-02,1145,0.9482,0.9482,0.9482,0.9482,9093
2025-01-02,1151,0.965,0.965,0.965,0.965,200
2025-01-02,1155,0.9402,0.9402,0.9402,0.9402,2039
2025-01-02,1201,0.949,0.949,0.949,0.949,2501
2025-01-02,1219,0.9575,0.9575,0.9575,0.9575,527
2025-01-02,1239,0.9501,0.9502,0.9402,0.9402,2235
2025-01-02,1244,0.9403,0.9403,0.9403,0.9403,500
2025-01-02,1257,0.9451,0.9451,0.9451,0.9451,173
2025-01-02,1304,0.9499,0.95,0.9451,0.9451,8430
