date,time,open,high,low,close,volume
2025-01-02,400,1.21,1.21,1.21,1.21,918
2025-01-02,401,1.21,1.21,1.21,1.21,363
2025-01-02,402,1.21,1.22,1.21,1.22,392
2025-01-02,403,1.21,1.21,1.21,1.21,179
2025-01-02,404,1.21,1.21,1.2,1.2,1075
2025-01-02,409,1.19,1.19,1.19,1.19,177
2025-01-02,410,1.19,1.19,1.19,1.19,302
2025-01-02,411,1.19,1.19,1.19,1.19,481
2025-01-02,412,1.21,1.21,1.21,1.21,171
2025-01-02,413,1.17,1.17,1.15,1.15,3350
2025-01-02,415,1.19,1.19,1.19,1.19,511
2025-01-02,416,1.19,1.19,1.19,1.19,189
2025-01-02,419,1.19,1.19,1.19,1.19,493
2025-01-02,420,1.19,1.19,1.19,1.19,308
2025-01-02,422,1.18,1.18,1.18,1.18,374
2025-01-02,424,1.18,1.2,1.18,1.2,3465
2025-01-02,427,1.19,1.19,1.13,1.13,5855
2025-01-02,428,1.12,1.12,1.12,1.12,530
2025-01-02,429,1.12,1.12,1.11,1.11,2611
2025-01-02,430,1.11,1.12,1.1,1.11,7618
2025-01-02,431,1.14,1.14,1.09,1.09,4386
2025-01-02,432,1.09,1.1,1.06,1.06,3376
2025-01-02,436,1.09,1.1,1.09,1.09,1261
2025-01-02,442,1.14,1.14,1.1,1.1,761
2025-01-02,444,1.1,1.1,1.1,1.1,256
2025-01-02,454,1.1,1.11,1.1,1.1,882
2025-01-02,455,1.1,1.1,1.1,1.1,1683
2025-01-02,456,1.1,1.1,1.1,1.1,1320
2025-01-02,457,1.14,1.14,1.14,1.14,120
2025-01-02,500,1.14,1.14,1.14,1.14,100
2025-01-02,508,1.11,1.11,1.1,1.1,1563
2025-01-02,511,1.11,1.11,1.08,1.08,4396
2025-01-02,514,1.1,1.1,1.1,1.1,1815
2025-01-02,515,1.1,1.1,1.1,1.1,324
2025-01-02,516,1.1,1.1,1.1,1.1,1020
2025-01-02,517,1.09,1.09,1.09,1.09,1450
2025-01-02,518,1.1,1.1,1.1,1.1,150
2025-01-02,519,1.1,1.1,1.1,1.1,200
2025-01-02,521,1.1,1.1,1.1,1.1,726
2025-01-02,522,1.1,1.1,1.1,1.1,2189
2025-01-02,523,1.1,1.1,1.1,1.1,801
2025-01-02,524,1.1,1.1,1.1,1.1,1146
2025-01-02,525,1.1,1.1,1.1,1.1,541
2025-01-02,526,1.1,1.1,1.1,1.1,100
2025-01-02,533,1.1,1.1,1.1,1.1,1000
2025-01-02,534,1.1,1.1,1.1,1.1,460
2025-01-02,535,1.1,1.1,1.1,1.1,1209
2025-01-02,536,1.1,1.1,1.1,1.1,13120
2025-01-02,537,1.11,1.11,1.11,1.11,284
2025-01-02,538,1.115,1.12,1.115,1.12,716
2025-01-02,554,1.11,1.11,1.11,1.11,334
2025-01-02,555,1.11,1.11,1.11,1.11,1000
2025-01-02,556,1.12,1.13,1.12,1.12,1000
2025-01-02,558,1.11,1.11,1.11,1.11,402
2025-01-02,607,1.13,1.13,1.13,1.13,800
2025-01-02,610,1.13,1.13,1.13,1.13,145
2025-01-02,614,1.14,1.14,1.14,1.14,150
2025-01-02,618,1.11,1.11,1.11,1.11,300
2025-01-02,627,1.12,1.12,1.11,1.11,569
2025-01-02,630,1.13,1.13,1.13,1.13,794
2025-01-02,633,1.11,1.11,1.11,1.11,932
2025-01-02,639,1.13,1.14,1.13,1.14,3690
2025-01-02,640,1.13,1.13,1.13,1.13,124
2025-01-02,642,1.14,1.14,1.14,1.14,205
2025-01-02,643,1.14,1.14,1.14,1.14,320
2025-01-02,653,1.14,1.14,1.14,1.14,1631
2025-01-02,654,1.14,1.14,1.14,1.14,549
2025-01-02,655,1.14,1.14,1.14,1.14,471
2025-01-02,700,1.15,1.15,1.15,1.15,1014
2025-01-02,704,1.15,1.15,1.15,1.15,231
2025-01-02,706,1.14,1.14,1.13,1.13,885
2025-01-02,710,1.15,1.15,1.14,1.14,1230
2025-01-02,711,1.13,1.14,1.13,1.14,2054
2025-01-02,712,1.141,1.141,1.13,1.14,2151
2025-01-02,713,1.14,1.14,1.13,1.14,1260
2025-01-02,714,1.13,1.13,1.13,1.13,650
2025-01-02,717,1.12,1.12,1.12,1.12,2569
2025-01-02,718,1.12,1.12,1.12,1.12,1000
2025-01-02,719,1.12,1.15,1.12,1.15,10854
2025-01-02,720,1.15,1.15,1.14,1.15,3069
2025-01-02,721,1.15,1.15,1.15,1.15,470
2025-01-02,723,1.15,1.15,1.15,1.15,2231
2025-01-02,728,1.15,1.15,1.15,1.15,600
2025-01-02,729,1.15,1.15,1.15,1.15,1129
2025-01-02,736,1.14,1.14,1.14,1.14,400
2025-01-02,738,1.16,1.16,1.16,1.16,221
2025-01-02,745,1.17,1.17,1.17,1.17,1143
2025-01-02,746,1.175,1.25,1.17,1.25,12816
2025-01-02,747,1.25,1.26,1.25,1.26,2276
2025-01-02,754,1.2,1.2,1.2,1.2,380
2025-01-02,756,1.19,1.21,1.19,1.21,1449
2025-01-02,758,1.21,1.21,1.21,1.21,180
2025-01-02,800,1.14,1.37,1.12,1.37,69644
2025-01-02,802,1.2,1.2,1.2,1.2,195
2025-01-02,806,1.22,1.22,1.22,1.22,384
2025-01-02,810,1.23,1.23,1.22,1.22,1383
2025-01-02,812,1.23,1.23,1.23,1.23,2601
2025-01-02,814,1.22,1.22,1.22,1.22,115
2025-01-02,815,1.21,1.21,1.21,1.21,202
2025-01-02,816,1.2299,1.2299,1.2299,1.2299,161
2025-01-02,817,1.23,1.23,1.2101,1.2294,2766
2025-01-02,818,1.21,1.21,1.21,1.21,613
2025-01-02,819,1.2198,1.2198,1.2,1.2,4782
2025-01-02,820,1.2,1.2,1.2,1.2,101
2025-01-02,825,1.19,1.19,1.15,1.15,2266
2025-01-02,826,1.19,1.19,1.19,1.19,110
2025-01-02,827,1.17,1.21,1.17,1.2099,4140
2025-01-02,828,1.17,1.17,1.17,1.17,209
2025-01-02,829,1.1717,1.1717,1.1717,1.1717,301
2025-01-02,831,1.19,1.22,1.18,1.18,1400
2025-01-02,834,1.18,1.2,1.18,1.2,370
2025-01-02,835,1.17,1.22,1.17,1.22,2001
2025-01-02,836,1.209,1.209,1.209,1.209,200
2025-01-02,837,1.1701,1.1701,1.1701,1.1701,216
2025-01-02,838,1.17,1.17,1.17,1.17,1800
2025-01-02,839,1.209,1.209,1.209,1.209,201
2025-01-02,840,1.2,1.2,1.17,1.17,11816
2025-01-02,842,1.17,1.17,1.17,1.17,1357
2025-01-02,843,1.17,1.2091,1.17,1.2091,233
2025-01-02,844,1.17,1.17,1.15,1.15,824
2025-01-02,846,1.18,1.19,1.18,1.19,556
2025-01-02,850,1.17,1.17,1.17,1.17,381
2025-01-02,851,1.18,1.18,1.18,1.18,101
2025-01-02,853,1.2,1.2,1.2,1.2,574
2025-01-02,854,1.21,1.21,1.2099,1.2099,200
2025-01-02,855,1.2003,1.2003,1.2003,1.2003,2250
2025-01-02,856,1.21,1.22,1.21,1.22,1633
2025-01-02,901,1.22,1.22,1.2199,1.2199,566
2025-01-02,902,1.21,1.21,1.21,1.21,23293
2025-01-02,903,1.21,1.21,1.21,1.21,7631
2025-01-02,907,1.21,1.21,1.21,1.21,346
2025-01-02,910,1.24,1.24,1.24,1.24,808
2025-01-02,911,1.23,1.28,1.23,1.2688,8978
2025-01-02,912,1.25,1.26,1.25,1.26,10221
2025-01-02,914,1.2485,1.2485,1.2485,1.2485,303
2025-01-02,915,1.24,1.24,1.24,1.24,477
2025-01-02,917,1.2204,1.2204,1.2204,1.2204,632
2025-01-02,920,1.24,1.24,1.22,1.22,487
2025-01-02,922,1.24,1.24,1.22,1.22,993
2025-01-02,923,1.24,1.24,1.23,1.24,1480
2025-01-02,924,1.22,1.23,1.22,1.23,3487
2025-01-02,926,1.24,1.25,1.24,1.25,547
2025-01-02,927,1.25,1.25,1.24,1.24,1178
2025-01-02,928,1.25,1.25,1.25,1.25,200
2025-01-02,929,1.25,1.25,1.25,1.25,320
2025-01-02,930,1.23,1.24,1.23,1.2301,28868
2025-01-02,931,1.2301,1.24,1.2301,1.2394,3408
2025-01-02,932,1.2486,1.2486,1.2325,1.2325,1266
2025-01-02,933,1.24,1.24,1.23,1.2354,12063
2025-01-02,934,1.24,1.25,1.235,1.24,33332
2025-01-02,936,1.2321,1.24,1.2321,1.2325,7217
2025-01-02,937,1.2314,1.25,1.2301,1.2311,16489
2025-01-02,938,1.23,1.249,1.23,1.249,7503
2025-01-02,939,1.24,1.24,1.2338,1.2338,441
2025-01-02,940,1.236,1.2363,1.2,1.2,15241
2025-01-02,941,1.23,1.24,1.21,1.2348,3175
2025-01-02,942,1.22,1.23,1.2101,1.213,19680
2025-01-02,943,1.2205,1.23,1.2126,1.23,1727
2025-01-02,946,1.22,1.22,1.15,1.15,83381
2025-01-02,947,1.1825,1.1825,1.176,1.1809,1143
2025-01-02,949,1.18,1.18,1.18,1.18,426
2025-01-02,950,1.22,1.22,1.18,1.18,1444
2025-01-02,952,1.2168,1.2168,1.1945,1.1945,1203
2025-01-02,953,1.201,1.201,1.18,1.1815,5735
2025-01-02,955,1.18,1.18,1.18,1.18,305
2025-01-02,956,1.1787,1.1787,1.1787,1.1787,196
2025-01-02,958,1.1788,1.1788,1.167,1.1692,675
2025-01-02,959,1.16,1.17,1.16,1.17,1997
2025-01-02,1001,1.16,1.1642,1.16,1.16,1654
2025-01-02,1002,1.1602,1.1602,1.15,1.16,6960
2025-01-02,1003,1.1592,1.1599,1.155,1.155,1435
2025-01-02,1004,1.1593,1.1593,1.15,1.1501,3922
2025-01-02,1005,1.1574,1.1598,1.1574,1.1598,1975
2025-01-02,1006,1.155,1.155,1.15,1.15,2881
2025-01-02,1007,1.15,1.1501,1.15,1.1501,990
2025-01-02,1008,1.153,1.153,1.153,1.153,184
2025-01-02,1009,1.1564,1.1564,1.1564,1.1564,150
2025-01-02,1010,1.1598,1.1598,1.1598,1.1598,538
2025-01-02,1011,1.1594,1.19,1.1594,1.1601,33691
2025-01-02,1014,1.1717,1.1717,1.1717,1.1717,187
2025-01-02,1015,1.18,1.18,1.18,1.18,212
2025-01-02,1016,1.1801,1.1801,1.1801,1.1801,1432
2025-01-02,1019,1.1899,1.1899,1.18,1.18,1422
2025-01-02,1020,1.175,1.175,1.165,1.17,7587
2025-01-02,1021,1.18,1.19,1.175,1.175,1120
2025-01-02,1022,1.16,1.16,1.16,1.16,188
2025-01-02,1023,1.175,1.175,1.175,1.175,502
2025-01-02,1024,1.163,1.17,1.163,1.17,3148
2025-01-02,1025,1.17,1.189,1.17,1.189,1319
2025-01-02,1027,1.18,1.18,1.18,1.18,2406
2025-01-02,1028,1.17,1.18,1.17,1.18,3422
2025-01-02,1029,1.17,1.17,1.17,1.17,313
2025-01-02,1030,1.165,1.17,1.16,1.17,854
2025-01-02,1031,1.17,1.17,1.1601,1.17,1104
2025-01-02,1032,1.1622,1.1622,1.1622,1.1622,2510
2025-01-02,1033,1.16,1.1799,1.16,1.1799,1351
2025-01-02,1034,1.1755,1.19,1.1699,1.19,2921
2025-01-02,1035,1.18,1.18,1.175,1.175,2376
2025-01-02,1036,1.17,1.1789,1.17,1.1789,1312
2025-01-02,1038,1.1601,1.1601,1.1601,1.1601,3000
2025-01-02,1039,1.17,1.17,1.17,1.17,101
2025-01-02,1040,1.16,1.1606,1.15,1.15,11480
2025-01-02,1041,1.15,1.168,1.15,1.1502,4418
2025-01-02,1042,1.16,1.16,1.16,1.16,6055
2025-01-02,1043,1.15,1.1691,1.15,1.1691,4568
2025-01-02,1044,1.16,1.16,1.1553,1.1553,1395
2025-01-02,1045,1.16,1.16,1.16,1.16,291
2025-01-02,1046,1.16,1.16,1.16,1.16,140
2025-01-02,1047,1.16,1.16,1.16,1.16,201
2025-01-02,1048,1.16,1.17,1.16,1.17,2800
2025-01-02,1049,1.16,1.165,1.16,1.165,1353
2025-01-02,1051,1.1601,1.1699,1.1601,1.165,7813
2025-01-02,1052,1.1699,1.1699,1.1699,1.1699,142
2025-01-02,1053,1.165,1.165,1.15,1.155,8433
2025-01-02,1054,1.16,1.16,1.1502,1.1502,1634
2025-01-02,1055,1.155,1.155,1.15,1.15,21052
2025-01-02,1056,1.155,1.155,1.155,1.155,4049
2025-01-02,1057,1.155,1.1594,1.155,1.1594,355
2025-01-02,1058,1.15,1.15,1.15,1.15,344
2025-01-02,1059,1.1528,1.16,1.1528,1.16,16100
2025-01-02,1100,1.16,1.18,1.16,1.17,1210
2025-01-02,1102,1.1789,1.1789,1.1789,1.1789,175
2025-01-02,1103,1.16,1.1602,1.16,1.1602,751
2025-01-02,1104,1.16,1.16,1.16,1.16,611
2025-01-02,1106,1.1667,1.1767,1.1667,1.1767,4852
2025-01-02,1107,1.17,1.17,1.17,1.17,109
2025-01-02,1108,1.1692,1.1692,1.1692,1.1692,2002
2025-01-02,1109,1.1601,1.17,1.1601,1.17,950
