date,time,open,high,low,close,volume
2025-01-02,727,7.4,7.4,7.4,7.4,600
2025-01-02,930,7.45,7.49,7.29,7.49,12858
2025-01-02,931,7.3874,7.49,7.31,7.49,314
2025-01-02,932,7.316,7.3665,7.31,7.3137,535
2025-01-02,933,7.48,7.48,7.325,7.384,1178
2025-01-02,934,7.48,7.48,7.3615,7.48,503
2025-01-02,935,7.4,7.48,7.325,7.48,604
2025-01-02,936,7.325,7.4,7.325,7.4,507
2025-01-02,937,7.345,7.345,7.345,7.345,172
2025-01-02,938,7.35,7.41,7.35,7.41,477
2025-01-02,939,7.36,7.48,7.35,7.37,1827
2025-01-02,940,7.385,7.48,7.385,7.48,9158
2025-01-02,941,7.4,7.4,7.4,7.4,776
2025-01-02,942,7.48,7.53,7.48,7.5,24635
2025-01-02,943,7.52,7.52,7.52,7.52,201
2025-01-02,944,7.53,7.53,7.53,7.53,703
2025-01-02,946,7.53,7.56,7.53,7.56,2486
2025-01-02,947,7.58,7.58,7.57,7.57,688
2025-01-02,948,7.59,7.59,7.57,7.57,1028
2025-01-02,949,7.59,7.59,7.59,7.59,292
2025-01-02,950,7.59,7.6,7.59,7.6,1367
2025-01-02,951,7.58,7.58,7.58,7.58,1652
2025-01-02,952,7.57,7.59,7.57,7.59,612
2025-01-02,954,7.57,7.585,7.57,7.585,809
2025-01-02,955,7.59,7.59,7.59,7.59,408
2025-01-02,956,7.57,7.585,7.57,7.585,3319
2025-01-02,957,7.58,7.585,7.53,7.53,7854
2025-01-02,958,7.53,7.53,7.48,7.48,947
2025-01-02,959,7.4905,7.495,7.48,7.48,1246
2025-01-02,1001,7.48,7.48,7.46,7.46,1970
2025-01-02,1002,7.46,7.46,7.46,7.46,438
2025-01-02,1003,7.46,7.47,7.46,7.465,2635
2025-01-02,1004,7.48,7.4801,7.46,7.46,3938
2025-01-02,1005,7.46,7.47,7.445,7.445,5616
2025-01-02,1006,7.445,7.45,7.445,7.445,3922
2025-01-02,1007,7.44,7.44,7.43,7.43,571
2025-01-02,1008,7.425,7.43,7.425,7.43,1106
2025-01-02,1009,7.43,7.4387,7.43,7.4387,304
2025-01-02,1011,7.44,7.45,7.43,7.445,2575
2025-01-02,1012,7.445,7.445,7.445,7.445,298
2025-01-02,1013,7.45,7.45,7.445,7.445,659
2025-01-02,1014,7.46,7.46,7.45,7.45,308
2025-01-02,1015,7.4598,7.4598,7.4598,7.4598,340
2025-01-02,1016,7.455,7.455,7.45,7.45,1497
2025-01-02,1018,7.445,7.45,7.445,7.45,2357
2025-01-02,1019,7.46,7.5,7.46,7.48,5184
2025-01-02,1020,7.48,7.48,7.48,7.48,235
2025-01-02,1021,7.48,7.48,7.48,7.48,919
2025-01-02,1022,7.47,7.47,7.46,7.47,1020
2025-01-02,1028,7.48,7.48,7.48,7.48,111
2025-01-02,1030,7.475,7.475,7.475,7.475,915
2025-01-02,1031,7.47,7.47,7.46,7.46,1499
2025-01-02,1032,7.47,7.47,7.47,7.47,900
2025-01-02,1034,7.4999,7.5,7.49,7.49,2924
2025-01-02,1035,7.48,7.48,7.475,7.48,770
2025-01-02,1036,7.48,7.48,7.48,7.48,902
2025-01-02,1037,7.49,7.49,7.49,7.49,277
2025-01-02,1039,7.48,7.48,7.48,7.48,608
2025-01-02,1041,7.47,7.47,7.47,7.47,1506
2025-01-02,1044,7.461,7.461,7.461,7.461,725
2025-01-02,1045,7.46,7.47,7.46,7.47,1490
2025-01-02,1047,7.47,7.47,7.47,7.47,304
2025-01-02,1048,7.48,7.48,7.48,7.48,543
2025-01-02,1049,7.5,7.5,7.5,7.5,1018
2025-01-02,1051,7.5,7.51,7.5,7.51,3106
2025-01-02,1052,7.52,7.52,7.52,7.52,253
2025-01-02,1053,7.52,7.52,7.48,7.49,2809
2025-01-02,1054,7.49,7.5,7.49,7.5,2469
2025-01-02,1055,7.505,7.505,7.5,7.5,1135
2025-01-02,1056,7.5,7.5,7.5,7.5,839
2025-01-02,1057,7.5,7.5,7.5,7.5,349
2025-01-02,1058,7.5,7.5,7.49,7.49,998
2025-01-02,1059,7.48,7.48,7.48,7.48,157
2025-01-02,1100,7.49,7.49,7.49,7.49,1440
2025-01-02,1101,7.49,7.49,7.49,7.49,227
2025-01-02,1102,7.48,7.49,7.48,7.49,595
2025-01-02,1103,7.49,7.49,7.49,7.49,500
2025-01-02,1104,7.48,7.48,7.48,7.48,203
2025-01-02,1106,7.49,7.505,7.49,7.505,2810
