date,time,open,high,low,close,volume
2025-01-02,400,18.0,18.0,18.0,18.0,32
2025-01-02,415,18.0,18.0,18.0,18.0,412
2025-01-02,420,18.0,18.0,18.0,18.0,42
2025-01-02,431,18.0,18.0,18.0,18.0,50
2025-01-02,459,18.46,18.46,18.46,18.46,12
2025-01-02,503,18.62,18.62,18.62,18.62,27
2025-01-02,505,18.62,18.62,18.62,18.62,5
2025-01-02,506,18.62,18.62,18.62,18.62,10
2025-01-02,513,18.62,18.62,18.62,18.62,12
2025-01-02,524,18.62,18.62,18.62,18.62,15
2025-01-02,525,18.42,18.42,18.42,18.42,19
2025-01-02,554,18.6,18.6,18.6,18.6,12
2025-01-02,555,18.2,18.2,18.2,18.2,12
2025-01-02,556,18.6,18.6,18.6,18.6,50
2025-01-02,601,18.0,18.0,18.0,18.0,10
2025-01-02,657,18.0,18.0,18.0,18.0,5
2025-01-02,658,18.2,18.2,18.2,18.2,5
2025-01-02,700,18.04,18.04,18.04,18.04,15
2025-01-02,702,18.0,18.0,18.0,18.0,24
2025-01-02,721,17.86,17.86,17.86,17.86,13
2025-01-02,738,17.86,17.86,17.86,17.86,9
2025-01-02,740,17.8,17.8,17.8,17.8,5
2025-01-02,753,17.8,17.8,17.8,17.8,25
2025-01-02,800,18.0,18.2,18.0,18.2,67
2025-01-02,811,17.84,17.84,17.84,17.84,7
2025-01-02,843,17.84,17.84,17.84,17.84,10
2025-01-02,845,18.04,18.04,18.04,18.04,12
2025-01-02,852,17.84,17.84,17.84,17.84,47
2025-01-02,857,17.84,17.84,17.84,17.84,10
2025-01-02,858,17.84,17.84,17.84,17.84,37
2025-01-02,904,17.88,17.88,17.88,17.88,8
2025-01-02,930,18.44,18.44,17.96,18.04,196
2025-01-02,933,17.84,17.84,17.84,17.84,19
2025-01-02,934,18.3,18.3,18.3,18.3,5
2025-01-02,935,17.88,17.88,17.8,17.8,282
2025-01-02,937,17.82,17.82,17.82,17.82,20
2025-01-02,938,17.82,17.82,17.24,17.53,295
2025-01-02,939,17.8,17.8,17.8,17.8,30
2025-01-02,940,17.6,17.6,17.6,17.6,9
2025-01-02,941,17.8,17.8,17.8,17.8,27
2025-01-02,942,17.8,17.8,17.8,17.8,15
2025-01-02,943,17.8,17.8,17.8,17.8,20
2025-01-02,945,17.6,17.6,17.6,17.6,37
2025-01-02,947,17.8,17.8,17.8,17.8,30
2025-01-02,948,17.8,17.84,17.8,17.84,20
2025-01-02,949,17.8,17.8,17.8,17.8,35
2025-01-02,950,17.8,17.8,17.8,17.8,25
2025-01-02,951,17.8,17.8,17.8,17.8,38
2025-01-02,953,17.8,17.8,17.8,17.8,50
2025-01-02,954,17.76,17.8,17.76,17.8,57
2025-01-02,956,17.8,17.8,17.6,17.6,89
2025-01-02,958,17.8,17.8,17.8,17.8,132
2025-01-02,959,18.0,18.0,18.0,18.0,60
2025-01-02,1001,18.2,18.4,18.2,18.4,296
2025-01-02,1003,18.3,18.3,18.15,18.15,45
2025-01-02,1004,18.3,18.3,18.3,18.3,25
2025-01-02,1005,18.1,18.1,18.1,18.1,5
2025-01-02,1011,18.0,18.0,18.0,18.0,10
2025-01-02,1013,18.5,18.5,18.5,18.5,50
2025-01-02,1016,18.0,18.0,18.0,18.0,10
2025-01-02,1017,18.4,18.4,18.4,18.4,50
2025-01-02,1018,18.4,18.4,18.4,18.4,44
2025-01-02,1022,18.2,18.2,18.2,18.2,20
2025-01-02,1023,18.21,18.21,18.21,18.21,25
2025-01-02,1024,18.3,18.3,18.23,18.25,47
2025-01-02,1030,18.25,18.25,18.25,18.25,5
2025-01-02,1032,18.37,18.37,18.37,18.37,7
2025-01-02,1034,18.25,18.29,18.0,18.15,240
2025-01-02,1035,18.15,18.15,18.15,18.15,5
2025-01-02,1041,18.39,18.39,18.39,18.39,25
2025-01-02,1042,18.4,18.4,18.35,18.35,58
2025-01-02,1045,18.3,18.3,18.3,18.3,18
2025-01-02,1046,18.2,18.2,18.2,18.2,40
2025-01-02,1047,18.2,18.2,18.2,18.2,5
2025-01-02,1049,18.4,18.4,18.29,18.37,95
2025-01-02,1051,18.37,18.37,18.37,18.37,500
2025-01-02,1052,18.2,18.2,18.2,18.2,50
2025-01-02,1056,18.2,18.2,18.2,18.2,10
2025-01-02,1104,18.2,18.2,18.2,18.2,10
2025-01-02,1105,18.37,18.37,18.37,18.37,10
2025-01-02,1108,18.37,18.37,18.37,18.37,500
2025-01-02,1109,18.36,18.4,18.36,18.4,987
2025-01-02,1110,18.5,18.5,18.5,18.5,100
2025-01-02,1111,18.4,18.45,18.4,18.45,87
2025-01-02,1112,18.45,18.45,18.45,18.45,20
2025-01-02,1113,18.45,18.45,18.45,18.45,10
2025-01-02,1117,18.5,18.5,18.46,18.46,106
2025-01-02,1118,18.5,18.5,18.48,18.48,290
2025-01-02,1119,18.5,18.5,18.4,18.47,290
2025-01-02,1122,18.35,18.41,18.2,18.35,20
2025-01-02,1137,18.5,18.5,18.5,18.5,25
2025-01-02,1140,18.2,18.2,18.2,18.2,5
2025-01-02,1142,18.5,18.5,18.5,18.5,5
2025-01-02,1145,18.5,18.5,18.5,18.5,76
2025-01-02,1146,18.5,18.5,18.4,18.4,139
