date,time,open,high,low,close,volume
2025-01-07,808,1.6503,1.6503,1.6503,1.6503,100
2025-01-07,931,1.56,1.56,1.56,1.56,455
2025-01-07,936,1.6422,1.65,1.6422,1.65,1602
2025-01-07,943,1.6,1.6,1.6,1.6,311
2025-01-07,1001,1.57,1.57,1.56,1.56,400
2025-01-07,1003,1.55,1.55,1.54,1.54,1148
2025-01-07,1004,1.54,1.57,1.54,1.57,429
2025-01-07,1011,1.55,1.55,1.55,1.55,500
2025-01-07,1021,1.55,1.55,1.54,1.54,550
2025-01-07,1022,1.54,1.54,1.54,1.54,201
2025-01-07,1039,1.53,1.5301,1.53,1.53,703
2025-01-07,1040,1.5912,1.5912,1.5912,1.5912,200
2025-01-07,1041,1.57,1.57,1.57,1.57,225
2025-01-07,1050,1.55,1.55,1.55,1.55,200
2025-01-07,1054,1.57,1.57,1.57,1.57,100
2025-01-07,1057,1.5368,1.5368,1.5368,1.5368,100
2025-01-07,1058,1.56,1.56,1.56,1.56,200
2025-01-07,1102,1.565,1.565,1.565,1.565,100
2025-01-07,1108,1.56,1.56,1.56,1.56,300
2025-01-07,1126,1.57,1.57,1.57,1.57,350
2025-01-07,1201,1.565,1.565,1.565,1.565,200
2025-01-07,1252,1.5575,1.5575,1.5575,1.5575,200
2025-01-07,1325,1.55,1.55,1.55,1.55,300
2025-01-07,1350,1.55,1.55,1.55,1.55,300
2025-01-07,1407,1.5913,1.5913,1.5913,1.5913,113
2025-01-07,1410,1.54,1.54,1.51,1.51,2412
2025-01-07,1411,1.55,1.5885,1.55,1.5885,300
2025-01-07,1443,1.51,1.5567,1.51,1.5567,1099
2025-01-07,1444,1.51,1.52,1.5,1.5,2736
2025-01-07,1445,1.49,1.53,1.45,1.53,3139
2025-01-07,1458,1.56,1.56,1.56,1.56,4000
2025-01-07,1512,1.51,1.51,1.51,1.51,400
2025-01-07,1514,1.5317,1.5317,1.5317,1.5317,100
2025-01-07,1529,1.535,1.535,1.535,1.535,523
2025-01-07,1537,1.5628,1.5628,1.5628,1.5628,300
2025-01-07,1549,1.5502,1.5502,1.5502,1.5502,100
2025-01-07,1553,1.51,1.51,1.51,1.51,301
2025-01-07,1555,1.53,1.53,1.53,1.53,225
2025-01-07,1559,1.5,1.5,1.5,1.5,366
2025-01-07,1631,1.6,1.6,1.6,1.6,206
2025-01-07,1648,1.79,1.79,1.78,1.79,1301
2025-01-07,1649,1.84,1.88,1.84,1.88,2177
2025-01-07,1650,1.88,2.05,1.87,2.05,5551
2025-01-07,1651,2.0,2.0,1.6,1.6,3702
2025-01-07,1652,1.69,1.7,1.6,1.7,1673
2025-01-07,1655,1.84,1.84,1.84,1.84,292
2025-01-07,1659,1.73,1.73,1.65,1.65,808
2025-01-07,1702,1.66,1.66,1.66,1.66,115
2025-01-07,1703,1.65,1.65,1.6,1.63,18356
2025-01-07,1704,1.63,1.63,1.63,1.63,210
2025-01-07,1705,1.57,1.57,1.57,1.57,180
2025-01-07,1706,1.51,1.51,1.51,1.51,292
2025-01-07,1707,1.4201,1.49,1.41,1.49,1204
2025-01-07,1708,1.51,1.51,1.5099,1.5099,408
2025-01-07,1719,1.69,1.7,1.69,1.7,483
2025-01-07,1721,1.54,1.54,1.54,1.54,290
2025-01-07,1753,1.62,1.62,1.62,1.62,221
2025-01-07,1800,1.8,1.8,1.75,1.8,1033
2025-01-07,1806,1.56,1.56,1.56,1.56,230
2025-01-07,1820,1.65,1.65,1.65,1.65,100
2025-01-07,1949,1.56,1.56,1.56,1.56,400
2025-01-07,1950,1.56,1.56,1.56,1.56,156
2025-01-08,737,1.51,1.51,1.51,1.51,270
2025-01-08,930,1.51,1.51,1.51,1.51,2002
2025-01-08,933,1.52,1.52,1.51,1.51,285
2025-01-08,934,1.5,1.5865,1.5,1.5865,3284
2025-01-08,935,1.535,1.535,1.5,1.5,823
2025-01-08,936,1.53,1.53,1.53,1.53,500
2025-01-08,939,1.5,1.5,1.39,1.47,18103
2025-01-08,940,1.46,1.46,1.42,1.42,1100
2025-01-08,941,1.45,1.45,1.44,1.4405,1500
2025-01-08,942,1.46,1.46,1.46,1.46,345
2025-01-08,949,1.47,1.47,1.47,1.47,700
