date,time,open,high,low,close,volume
2025-01-06,1917,1.85,1.85,1.85,1.85,341
2025-01-06,1956,1.8987,1.8987,1.8987,1.8987,123
2025-01-06,1959,1.9,1.9,1.9,1.9,200
2025-01-07,402,1.82,1.83,1.82,1.83,386
2025-01-07,403,1.82,1.82,1.82,1.82,116
2025-01-07,825,1.83,1.83,1.83,1.83,400
2025-01-07,851,1.84,1.84,1.84,1.84,300
2025-01-07,919,1.84,1.84,1.84,1.84,200
2025-01-07,922,1.83,1.83,1.83,1.83,989
2025-01-07,924,1.83,1.83,1.83,1.83,112
2025-01-07,925,1.82,1.8201,1.82,1.8201,826
2025-01-07,927,1.82,1.82,1.82,1.82,1029
2025-01-07,930,1.88,1.88,1.88,1.88,525
2025-01-07,933,1.85,1.85,1.85,1.85,556
2025-01-07,934,1.841,1.841,1.841,1.841,200
2025-01-07,935,1.85,1.85,1.85,1.85,804
2025-01-07,937,1.8409,1.8409,1.84,1.84,499
2025-01-07,940,1.84,1.84,1.84,1.84,2048
2025-01-07,941,1.82,1.82,1.79,1.79,1857
2025-01-07,951,1.82,1.82,1.81,1.81,600
2025-01-07,953,1.8,1.8,1.8,1.8,199
2025-01-07,955,1.8,1.8,1.8,1.8,100
2025-01-07,956,1.8175,1.8175,1.8175,1.8175,503
2025-01-07,1000,1.81,1.81,1.79,1.79,630
2025-01-07,1006,1.805,1.805,1.805,1.805,600
2025-01-07,1009,1.83,1.83,1.83,1.83,221
2025-01-07,1010,1.82,1.82,1.82,1.82,263
2025-01-07,1011,1.8188,1.8188,1.8188,1.8188,205
2025-01-07,1014,1.78,1.78,1.77,1.77,3155
2025-01-07,1015,1.8092,1.8092,1.8092,1.8092,260
2025-01-07,1017,1.8,1.81,1.8,1.81,1424
2025-01-07,1022,1.793,1.793,1.793,1.793,410
2025-01-07,1025,1.8,1.805,1.8,1.805,604
2025-01-07,1027,1.81,1.81,1.81,1.81,202
2025-01-07,1028,1.81,1.81,1.81,1.81,490
2025-01-07,1032,1.81,1.81,1.81,1.81,111
2025-01-07,1033,1.826,1.826,1.826,1.826,157
2025-01-07,1034,1.8265,1.8265,1.8265,1.8265,120
2025-01-07,1040,1.8,1.8,1.8,1.8,905
2025-01-07,1041,1.7904,1.7904,1.7904,1.7904,100
2025-01-07,1043,1.79,1.79,1.79,1.79,2081
2025-01-07,1045,1.79,1.79,1.79,1.79,400
2025-01-07,1047,1.78,1.7845,1.78,1.7845,2201
2025-01-07,1049,1.77,1.77,1.77,1.77,785
2025-01-07,1050,1.76,1.76,1.75,1.75,3602
2025-01-07,1051,1.76,1.76,1.76,1.76,263
2025-01-07,1052,1.7565,1.7565,1.75,1.75,545
2025-01-07,1053,1.732,1.732,1.732,1.732,910
2025-01-07,1054,1.735,1.76,1.735,1.76,1975
2025-01-07,1057,1.7769,1.7769,1.7769,1.7769,1000
2025-01-07,1106,1.7505,1.7505,1.7505,1.7505,275
2025-01-07,1117,1.7521,1.7521,1.7521,1.7521,300
2025-01-07,1120,1.7606,1.7606,1.7606,1.7606,177
2025-01-07,1125,1.77,1.77,1.77,1.77,138
2025-01-07,1128,1.778,1.778,1.778,1.778,100
2025-01-07,1136,1.76,1.76,1.76,1.76,100
2025-01-07,1142,1.7799,1.7799,1.7632,1.7632,2380
2025-01-07,1143,1.76,1.76,1.76,1.76,1393
2025-01-07,1145,1.7579,1.76,1.755,1.76,1229
2025-01-07,1151,1.765,1.765,1.765,1.765,250
2025-01-07,1158,1.77,1.7799,1.77,1.7799,4000
2025-01-07,1205,1.7786,1.7786,1.7786,1.7786,500
2025-01-07,1209,1.78,1.78,1.78,1.78,100
2025-01-07,1212,1.77,1.77,1.77,1.77,2290
2025-01-07,1215,1.7715,1.7715,1.7715,1.7715,1000
2025-01-07,1225,1.78,1.78,1.78,1.78,318
2025-01-07,1227,1.77,1.78,1.77,1.78,1878
2025-01-07,1228,1.775,1.775,1.775,1.775,100
2025-01-07,1229,1.78,1.78,1.78,1.78,500
2025-01-07,1236,1.79,1.79,1.79,1.79,200
2025-01-07,1238,1.7999,1.7999,1.7996,1.7999,2025
2025-01-07,1239,1.799,1.8,1.79,1.7999,2350
2025-01-07,1254,1.79,1.79,1.79,1.79,1000
2025-01-07,1255,1.78,1.78,1.78,1.78,200
2025-01-07,1302,1.77,1.77,1.77,1.77,100
2025-01-07,1304,1.78,1.78,1.78,1.78,100
2025-01-07,1307,1.78,1.79,1.78,1.79,600
2025-01-07,1311,1.79,1.82,1.79,1.82,750
2025-01-07,1322,1.8,1.8,1.8,1.8,110
2025-01-07,1323,1.81,1.81,1.81,1.81,1000
2025-01-07,1324,1.81,1.81,1.81,1.81,100
2025-01-07,1328,1.81,1.81,1.81,1.81,688
2025-01-07,1339,1.835,1.835,1.835,1.835,895
2025-01-07,1350,1.8209,1.8209,1.8209,1.8209,150
2025-01-07,1356,1.84,1.84,1.84,1.84,508
2025-01-07,1414,1.8301,1.8301,1.8301,1.8301,900
2025-01-07,1423,1.83,1.83,1.83,1.83,100
2025-01-07,1426,1.8201,1.8201,1.8201,1.8201,1150
2025-01-07,1448,1.8203,1.8251,1.8201,1.8251,748
2025-01-07,1452,1.83,1.83,1.83,1.83,447
2025-01-07,1503,1.8265,1.8265,1.8265,1.8265,100
2025-01-07,1505,1.82,1.82,1.81,1.81,999
