date,time,open,high,low,close,volume
2025-01-08,1943,2.3606,2.3606,2.3606,2.3606,788
2025-01-10,800,2.67,3.1,2.67,3.1,4389
2025-01-10,801,3.1,6.2396,3.1,5.78,271721
2025-01-10,802,5.7899,6.08,4.81,5.14,399679
2025-01-10,803,5.135,5.17,3.77,4.07,403406
2025-01-10,804,4.07,4.2,3.56,4.025,305800
2025-01-10,805,4.025,4.03,3.0,3.52,343168
2025-01-10,806,3.52,3.74,3.27,3.5972,140387
2025-01-10,807,3.62,3.62,3.21,3.46,98672
2025-01-10,808,3.47,3.5,3.27,3.46,98878
2025-01-10,809,3.48,3.88,3.43,3.64,176090
2025-01-10,810,3.65,3.66,3.5,3.6,82243
2025-01-10,811,3.57,3.66,3.41,3.45,81007
2025-01-10,812,3.44,3.6,3.38,3.53,55174
2025-01-10,813,3.53,3.96,3.53,3.82,222248
2025-01-10,814,3.85,4.0,3.8,3.81,175632
2025-01-10,815,3.82,3.82,3.5,3.57,129841
2025-01-10,816,3.59,3.6092,3.35,3.3801,160619
2025-01-10,817,3.38,3.4,3.11,3.16,158098
2025-01-10,818,3.16,3.27,3.1403,3.1403,65340
2025-01-10,819,3.1407,3.2,3.09,3.0901,56444
2025-01-10,820,3.12,3.1983,3.07,3.09,45432
2025-01-10,821,3.08,3.19,2.94,3.19,98780
2025-01-10,822,3.18,3.2,3.0,3.04,39220
2025-01-10,823,3.035,3.035,2.78,2.84,66746
2025-01-10,824,2.85,2.86,2.7,2.8195,108765
2025-01-10,825,2.82,2.85,2.75,2.78,29516
2025-01-10,826,2.76,2.78,2.66,2.66,35047
2025-01-10,827,2.6499,2.66,2.52,2.63,120352
2025-01-10,828,2.61,2.8,2.61,2.75,71564
2025-01-10,829,2.75,2.75,2.61,2.62,16231
2025-01-10,830,2.6101,2.68,2.6101,2.63,6418
2025-01-10,831,2.67,2.75,2.66,2.7,12734
2025-01-10,832,2.74,2.74,2.7,2.7003,8659
2025-01-10,833,2.71,2.71,2.6,2.61,13659
2025-01-10,834,2.63,2.64,2.54,2.55,26893
