date,time,open,high,low,close,volume
2025-01-08,1913,4.827,4.827,4.827,4.827,66
2025-01-08,1914,4.827,4.827,4.827,4.827,21
2025-01-10,410,4.845,4.845,4.845,4.845,28
2025-01-10,800,4.931,4.947,4.827,4.947,111
2025-01-10,804,4.943,4.943,4.943,4.943,110
2025-01-10,835,4.707,4.707,4.707,4.707,8
2025-01-10,839,4.941,4.941,4.941,4.941,66
2025-01-10,840,4.709,4.709,4.709,4.709,19
2025-01-10,841,4.651,4.651,4.651,4.651,13
2025-01-10,848,4.884,4.884,4.884,4.884,13
2025-01-10,855,4.682,4.682,4.682,4.682,66
2025-01-10,921,4.65,4.65,4.65,4.65,66
2025-01-10,930,4.638,4.682,4.638,4.68,764
2025-01-10,933,4.651,4.651,4.651,4.651,333
2025-01-10,938,4.826,4.826,4.826,4.826,200
2025-01-10,942,4.65,4.65,4.65,4.65,35
2025-01-10,943,4.65,4.68,4.545,4.545,1100
2025-01-10,944,4.545,4.545,4.545,4.545,750
2025-01-10,945,4.545,4.637,4.5,4.5,1054
2025-01-10,947,4.542,4.542,4.482,4.484,635
2025-01-10,948,4.484,4.484,4.484,4.484,16
2025-01-10,951,4.484,4.89,4.484,4.89,970
2025-01-10,952,4.484,4.484,4.484,4.484,3546
2025-01-10,953,4.83,4.83,4.442,4.442,61
2025-01-10,1009,4.486,4.486,4.486,4.486,166
2025-01-10,1014,4.486,4.486,4.486,4.486,24
2025-01-10,1019,4.485,4.485,4.469,4.469,40
2025-01-10,1029,4.469,4.469,4.469,4.469,6
2025-01-10,1035,4.497,4.497,4.497,4.497,400
2025-01-10,1044,4.499,4.725,4.499,4.725,362
2025-01-10,1050,4.5,4.65,4.5,4.65,30
2025-01-10,1101,4.629,4.724,4.629,4.724,1333
2025-01-10,1108,4.59,4.59,4.575,4.575,679
2025-01-10,1115,4.515,4.515,4.464,4.464,471
2025-01-10,1118,4.433,4.433,4.433,4.433,12
2025-01-10,1120,4.427,4.427,4.427,4.427,13
2025-01-10,1121,4.461,4.461,4.461,4.461,32
2025-01-10,1122,4.461,4.548,4.44,4.548,795
2025-01-10,1133,4.595,4.595,4.502,4.502,206
2025-01-10,1139,4.5,4.5,4.5,4.5,333
2025-01-10,1144,4.548,4.548,4.548,4.548,13
2025-01-10,1154,4.5,4.5,4.5,4.5,153
2025-01-10,1159,4.425,4.425,4.425,4.425,23
2025-01-10,1204,4.425,4.425,4.373,4.373,270
2025-01-10,1207,4.457,4.473,4.457,4.473,73
2025-01-10,1211,4.475,4.475,4.475,4.475,333
2025-01-10,1216,4.43,4.43,4.43,4.43,6
2025-01-10,1226,4.476,4.476,4.476,4.476,80
2025-01-10,1233,4.373,4.373,4.373,4.373,12
2025-01-10,1236,4.373,4.373,4.373,4.373,6
2025-01-10,1237,4.481,4.481,4.481,4.481,320
2025-01-10,1247,4.373,4.428,4.373,4.428,22
