date,time,open,high,low,close,volume
2025-01-13,644,2.22,2.22,2.22,2.22,140
2025-01-13,842,2.6091,2.6091,2.6091,2.6091,350
2025-01-13,854,2.34,2.34,2.34,2.34,100
2025-01-13,900,2.21,2.21,2.21,2.21,145
2025-01-13,906,2.25,2.3397,2.25,2.3397,200
2025-01-13,928,2.21,2.21,2.21,2.21,148
2025-01-13,929,2.21,2.21,2.21,2.21,100
2025-01-13,930,2.15,2.21,2.15,2.21,3193
2025-01-13,934,2.2,2.2,2.18,2.1806,2966
2025-01-13,935,2.25,2.25,2.25,2.25,320
2025-01-13,938,2.32,2.33,2.25,2.3,5242
2025-01-13,939,2.3299,2.3299,2.3,2.3,1700
2025-01-13,942,2.28,2.28,2.28,2.28,132
2025-01-13,945,2.28,2.28,2.28,2.28,158
2025-01-13,947,2.23,2.23,2.23,2.23,100
2025-01-13,948,2.19,2.22,2.17,2.18,2161
2025-01-13,956,2.22,2.22,2.22,2.22,500
2025-01-13,957,2.1502,2.1502,2.1502,2.1502,500
2025-01-13,958,2.1509,2.1509,2.1509,2.1509,500
2025-01-13,1000,2.185,2.185,2.185,2.185,505
2025-01-13,1002,2.15,2.15,2.15,2.15,3424
2025-01-13,1006,2.127,2.127,2.1,2.1,535
2025-01-13,1008,2.1883,2.1883,2.1883,2.1883,152
2025-01-13,1011,2.1518,2.1518,2.1518,2.1518,500
2025-01-13,1015,2.1515,2.1515,2.1515,2.1515,501
2025-01-13,1016,2.1504,2.1504,2.1504,2.1504,100
2025-01-13,1018,2.1517,2.1517,2.1517,2.1517,526
2025-01-13,1025,2.151,2.151,2.151,2.151,501
2025-01-13,1028,2.1518,2.1518,2.1518,2.1518,500
2025-01-13,1030,2.1516,2.1516,2.1516,2.1516,503
2025-01-13,1031,2.2,2.21,2.1765,2.1765,615
2025-01-13,1044,2.2,2.2,2.2,2.2,400
2025-01-13,1053,2.1507,2.1507,2.15,2.15,1056
2025-01-13,1054,2.1,2.1,2.1,2.1,500
2025-01-13,1104,2.12,2.12,2.12,2.12,1000
2025-01-13,1115,2.1201,2.1201,2.1201,2.1201,1000
2025-01-13,1121,2.1219,2.1219,2.1219,2.1219,1414
2025-01-13,1129,2.121,2.1292,2.121,2.1292,780
2025-01-13,1130,2.13,2.13,2.13,2.13,200
2025-01-13,1154,2.1213,2.1213,2.1213,2.1213,500
2025-01-13,1155,2.125,2.125,2.06,2.12,6448
2025-01-13,1158,2.07,2.07,2.07,2.07,230
2025-01-13,1214,2.0718,2.0718,2.0718,2.0718,1029
2025-01-13,1225,2.1781,2.1781,2.1781,2.1781,585
2025-01-13,1256,2.16,2.17,2.16,2.17,462
2025-01-13,1324,2.1,2.1,2.1,2.1,278
2025-01-13,1347,2.125,2.125,2.125,2.125,1300
2025-01-13,1404,2.125,2.125,2.125,2.125,193
2025-01-13,1527,2.09,2.09,1.98,1.99,5000
2025-01-13,1530,2.04,2.04,1.99,2.01,3520
2025-01-13,1532,2.04,2.08,2.04,2.08,487
2025-01-13,1545,2.09,2.1,2.09,2.0999,1394
2025-01-13,1553,2.0971,2.0971,2.0971,2.0971,120
2025-01-13,1600,2.1,2.1,2.1,2.1,1226
2025-01-13,1622,2.12,2.12,2.12,2.12,500
2025-01-13,1641,2.1187,2.1187,2.1187,2.1187,300
2025-01-14,408,2.07,2.07,2.07,2.07,320
2025-01-14,808,2.12,2.12,2.12,2.12,500
2025-01-14,809,2.12,2.12,2.12,2.12,234
2025-01-14,913,2.02,2.02,2.02,2.02,250
2025-01-14,930,2.06,2.06,2.06,2.06,955
2025-01-14,934,2.15,2.15,2.15,2.15,1000
2025-01-14,936,2.15,2.15,2.15,2.15,1002
2025-01-14,943,2.0853,2.0853,2.04,2.04,1039
2025-01-14,947,2.11,2.11,2.11,2.11,256
2025-01-14,1004,2.0744,2.0744,2.0744,2.0744,1016
2025-01-14,1017,2.0754,2.0754,2.0754,2.0754,100
2025-01-14,1018,2.07,2.07,2.07,2.07,509
2025-01-14,1113,2.06,2.06,2.0505,2.0505,448
2025-01-14,1114,2.06,2.06,2.06,2.06,150
2025-01-14,1120,2.06,2.06,2.06,2.06,294
2025-01-14,1124,2.07,2.07,2.07,2.07,300
2025-01-14,1129,2.08,2.08,2.08,2.08,100
2025-01-14,1134,2.07,2.07,2.07,2.07,589
2025-01-14,1135,2.05,2.05,2.05,2.05,100
2025-01-14,1151,2.04,2.04,2.04,2.04,153
2025-01-14,1206,2.0563,2.0563,2.0563,2.0563,125
2025-01-14,1211,2.0527,2.0527,2.03,2.03,1476
2025-01-14,1212,2.0357,2.0357,2.0357,2.0357,125
2025-01-14,1325,2.0746,2.0746,2.0746,2.0746,500
2025-01-14,1327,2.06,2.06,2.06,2.06,500
2025-01-14,1330,2.0732,2.08,2.04,2.04,741
2025-01-14,1413,2.066,2.066,2.066,2.066,300
2025-01-14,1450,2.0667,2.0667,2.0667,2.0667,250
2025-01-14,1504,2.03,2.03,2.03,2.03,100
2025-01-14,1508,2.0302,2.0302,2.0301,2.0301,1278
2025-01-14,1509,2.03,2.03,2.03,2.03,100
2025-01-14,1515,2.0201,2.0201,2.0201,2.0201,1001
2025-01-14,1516,2.02,2.02,2.02,2.02,200
2025-01-14,1528,2.02,2.02,2.02,2.02,253
2025-01-14,1548,2.06,2.06,2.04,2.05,806
2025-01-14,1557,2.05,2.05,2.0479,2.0479,566
2025-01-14,1559,2.02,2.02,2.02,2.02,103
2025-01-14,1600,2.02,2.02,2.02,2.02,673
2025-01-14,1611,2.0,2.0,2.0,2.0,100
2025-01-14,1649,2.02,2.02,2.0,2.0,500
2025-01-15,511,2.04,2.04,2.04,2.04,166
2025-01-15,909,2.19,2.19,2.19,2.19,100
2025-01-15,928,2.12,2.12,2.12,2.12,548
2025-01-15,930,2.1,2.1202,2.1,2.12,1710
2025-01-15,931,2.1899,2.1899,2.1899,2.1899,1300
2025-01-15,933,2.1611,2.1894,2.1611,2.1894,320
2025-01-15,934,2.18,2.18,2.18,2.18,300
2025-01-15,936,2.13,2.13,2.13,2.13,392
2025-01-15,939,2.17,2.22,2.17,2.22,7204
2025-01-15,943,2.2,2.2487,2.2,2.2487,1011
2025-01-15,946,2.2778,2.28,2.27,2.27,3991
2025-01-15,958,2.235,2.235,2.235,2.235,600
2025-01-15,1002,2.24,2.24,2.24,2.24,331
2025-01-15,1020,2.235,2.235,2.235,2.235,2000
