date,time,open,high,low,close,volume
2025-01-21,455,2.32,2.32,2.32,2.32,208
2025-01-21,835,2.86,2.86,2.86,2.86,300
2025-01-21,850,2.76,2.76,2.76,2.76,134
2025-01-21,930,2.61,2.61,2.61,2.61,413
2025-01-21,934,2.61,2.61,2.585,2.585,403
2025-01-21,947,2.56,2.56,2.56,2.56,300
2025-01-21,952,2.475,2.475,2.475,2.475,315
2025-01-21,1001,2.3975,2.3975,2.3971,2.3971,1450
2025-01-21,1003,2.5484,2.5484,2.5484,2.5484,602
2025-01-21,1009,2.5363,2.5363,2.5363,2.5363,200
2025-01-21,1011,2.539,2.539,2.391,2.391,1850
2025-01-21,1027,2.4886,2.4886,2.4886,2.4886,600
2025-01-21,1029,2.4994,2.4994,2.4994,2.4994,100
2025-01-21,1031,2.4884,2.4884,2.4884,2.4884,500
2025-01-21,1041,2.5,2.5,2.5,2.5,500
2025-01-21,1101,2.3614,2.3614,2.3614,2.3614,525
2025-01-21,1112,2.36,2.36,2.32,2.32,500
2025-01-21,1118,2.3113,2.3113,2.3113,2.3113,500
2025-01-21,1124,2.5,2.5,2.5,2.5,101
2025-01-21,1128,2.374,2.374,2.374,2.374,1000
2025-01-21,1139,2.3014,2.3014,2.3014,2.3014,2000
2025-01-21,1144,2.291,2.291,2.291,2.291,128
2025-01-21,1156,2.35,2.35,2.35,2.35,200
2025-01-21,1225,2.4858,2.4858,2.4858,2.4858,100
2025-01-21,1237,2.3584,2.3584,2.3584,2.3584,300
2025-01-21,1238,2.3,2.3,2.21,2.21,1130
2025-01-21,1239,2.25,2.35,2.25,2.2794,1533
2025-01-21,1240,2.35,2.35,2.2299,2.27,3600
2025-01-21,1241,2.36,2.36,2.36,2.36,1000
2025-01-21,1242,2.28,2.36,2.28,2.3163,377
2025-01-21,1254,2.3483,2.3483,2.3483,2.3483,300
2025-01-21,1311,2.24,2.24,2.23,2.23,383
2025-01-21,1327,2.4,2.4,2.36,2.36,400
2025-01-21,1330,2.34,2.34,2.34,2.34,300
2025-01-21,1331,2.35,2.35,2.35,2.35,174
2025-01-21,1338,2.3676,2.3676,2.3676,2.3676,101
2025-01-21,1343,2.44,2.44,2.44,2.44,300
2025-01-21,1344,2.4772,2.4772,2.4772,2.4772,450
2025-01-21,1401,2.42,2.42,2.42,2.42,221
2025-01-21,1409,2.4815,2.4815,2.4815,2.4815,300
2025-01-21,1420,2.41,2.41,2.4,2.4,400
2025-01-21,1421,2.49,2.49,2.49,2.49,300
2025-01-21,1433,2.45,2.45,2.45,2.45,329
2025-01-21,1440,2.4872,2.4872,2.4872,2.4872,500
2025-01-21,1443,2.5,2.5,2.5,2.5,100
2025-01-21,1444,2.5,2.5,2.5,2.5,250
2025-01-21,1451,2.53,2.58,2.53,2.58,200
2025-01-21,1455,2.61,2.61,2.61,2.61,100
2025-01-21,1459,2.61,2.61,2.61,2.61,118
2025-01-21,1513,2.51,2.51,2.51,2.51,100
2025-01-21,1535,2.5215,2.5215,2.5215,2.5215,450
