date,time,open,high,low,close,volume
2025-01-22,415,99.12,99.12,99.12,99.12,7
2025-01-22,514,99.4,99.4,99.4,99.4,6
2025-01-22,518,100.24,100.24,100.24,100.24,5
2025-01-22,554,100.52,100.52,100.52,100.52,10
2025-01-22,555,100.52,100.52,100.52,100.52,7
2025-01-22,800,100.52,100.52,100.52,100.52,18
2025-01-22,908,100.8,100.8,100.8,100.8,3
2025-01-22,915,99.4,99.4,99.4,99.4,35
2025-01-22,923,100.52,100.52,100.52,100.52,35
2025-01-22,932,98.0,98.0,98.0,98.0,5
2025-01-22,937,99.26,99.96,99.26,99.96,36
2025-01-22,941,97.57,97.57,97.57,97.57,71
2025-01-22,1001,98.34,98.34,98.34,98.34,26
2025-01-22,1003,101.16,101.16,101.16,101.16,35
2025-01-22,1005,98.74,98.74,98.74,98.74,41
2025-01-22,1011,100.57,100.57,100.57,100.57,25
2025-01-22,1020,99.54,99.54,98.0,98.0,122
2025-01-22,1021,98.0,99.45,96.88,98.7,112
2025-01-22,1022,97.38,97.38,97.16,97.16,39
2025-01-22,1031,97.16,97.16,97.16,97.16,3
2025-01-22,1036,97.38,97.38,96.88,96.88,18
2025-01-22,1042,99.4,99.4,99.4,99.4,21
2025-01-22,1044,97.55,97.55,97.55,97.55,3
2025-01-22,1046,100.96,100.96,100.96,100.96,10
2025-01-22,1054,97.16,97.16,97.16,97.16,3
2025-01-22,1056,97.72,97.72,97.72,97.72,9
2025-01-22,1058,97.16,97.16,97.16,97.16,8
2025-01-22,1103,97.16,97.16,97.16,97.16,3
2025-01-22,1106,97.16,97.16,97.16,97.16,3
2025-01-22,1107,99.14,99.14,98.84,99.12,21
2025-01-22,1124,97.2,97.2,97.2,97.2,42
2025-01-22,1134,97.16,98.57,97.16,97.16,17
2025-01-22,1143,97.16,98.84,97.16,98.84,23
2025-01-22,1146,98.84,98.84,98.84,98.84,21
2025-01-22,1203,98.84,98.84,98.84,98.84,14
2025-01-22,1212,97.16,97.16,97.16,97.16,17
2025-01-22,1221,97.44,97.44,97.44,97.44,3
2025-01-22,1231,98.84,98.84,98.84,98.84,17
2025-01-22,1232,98.84,98.84,98.84,98.84,14
2025-01-22,1233,98.84,98.84,98.84,98.84,79
2025-01-22,1242,98.84,98.84,98.84,98.84,21
2025-01-22,1334,97.77,97.77,97.77,97.77,17
2025-01-22,1409,100.24,100.24,97.16,97.16,110
2025-01-22,1411,97.16,98.84,97.16,98.84,107
