date,time,open,high,low,close,volume
2025-02-21,807,5.436,5.436,5.436,5.436,9
2025-02-21,854,6.12,6.12,6.12,6.12,41
2025-02-21,855,6.12,6.12,6.12,6.12,36
2025-02-21,955,5.789,5.789,5.789,5.789,20
2025-02-21,958,5.796,5.796,5.52,5.52,525
2025-02-21,959,5.544,5.544,5.544,5.544,8
2025-02-21,1000,5.52,5.52,5.52,5.52,44
2025-02-21,1007,5.528,5.528,5.528,5.528,8
2025-02-21,1013,5.528,5.528,5.528,5.528,16
2025-02-21,1037,5.528,5.528,5.528,5.528,28
2025-02-21,1057,5.52,5.69,5.52,5.616,257
2025-02-21,1100,5.448,5.526,5.436,5.526,25
2025-02-21,1110,5.622,5.622,5.622,5.622,33
2025-02-21,1111,5.622,5.622,5.448,5.448,58
2025-02-21,1145,5.729,5.729,5.52,5.52,625
2025-02-21,1146,5.532,5.532,5.532,5.532,8
2025-02-21,1149,5.64,5.64,5.52,5.52,325
2025-02-21,1150,5.544,5.544,5.436,5.436,66
2025-02-21,1206,5.436,5.436,5.436,5.436,8
2025-02-21,1207,5.538,5.64,5.538,5.64,26
2025-02-21,1215,5.568,5.568,5.448,5.448,98
2025-02-21,1245,5.52,5.52,5.52,5.52,45
2025-02-21,1346,5.436,5.436,5.436,5.436,8
2025-02-21,1416,5.444,5.444,5.444,5.444,16
2025-02-21,1433,5.538,5.64,5.538,5.542,35
2025-02-21,1448,5.542,5.542,5.542,5.542,24
2025-02-21,1501,5.52,5.52,5.52,5.52,8
2025-02-21,1503,5.519,5.52,5.519,5.52,108
2025-02-21,1517,5.526,5.526,5.526,5.526,33
2025-02-21,1555,5.401,5.401,5.401,5.401,9
2025-02-21,1556,5.767,5.767,5.767,5.767,208
2025-02-21,1557,5.401,5.401,5.401,5.401,8
2025-02-21,1559,5.401,5.401,5.401,5.401,21
2025-02-21,1755,5.401,5.401,5.401,5.401,9
2025-02-24,930,5.5,5.5,5.5,5.5,90
2025-02-24,932,5.401,5.401,5.401,5.401,91
2025-02-24,940,5.52,5.52,5.52,5.52,16
2025-02-24,942,5.401,5.401,5.401,5.401,250
2025-02-24,953,5.4,5.401,5.4,5.4,216
2025-02-24,954,5.328,5.328,5.321,5.321,18
2025-02-24,1000,5.321,5.321,5.321,5.321,48
2025-02-24,1003,5.28,5.28,5.28,5.28,516
2025-02-24,1005,5.28,5.28,5.28,5.28,41
2025-02-24,1008,5.28,5.28,5.28,5.28,8
2025-02-24,1017,5.28,5.376,5.28,5.376,25
2025-02-24,1019,5.28,5.28,5.28,5.28,74
2025-02-24,1021,5.28,5.28,5.28,5.28,8
2025-02-24,1025,5.281,5.281,5.281,5.281,166
2025-02-24,1030,5.28,5.28,5.28,5.28,8
2025-02-24,1032,5.4,5.4,5.28,5.28,100
2025-02-24,1033,5.31,5.31,5.31,5.31,33
2025-02-24,1042,5.36,5.36,5.36,5.36,83
2025-02-24,1047,5.34,5.34,5.34,5.34,23
2025-02-24,1054,5.34,5.34,5.34,5.34,37
2025-02-24,1121,5.339,5.339,5.28,5.28,29
2025-02-24,1126,5.294,5.294,5.294,5.294,27
2025-02-24,1136,5.28,5.28,5.208,5.28,97
2025-02-24,1138,5.28,5.28,5.28,5.28,8
2025-02-24,1142,5.28,5.28,5.28,5.28,182
2025-02-24,1156,5.28,5.28,5.28,5.28,8
2025-02-24,1158,5.399,5.399,5.399,5.399,9
2025-02-24,1159,5.34,5.34,5.294,5.294,118
2025-02-24,1200,5.28,5.28,5.28,5.28,86
2025-02-24,1201,5.287,5.287,5.28,5.28,116
2025-02-24,1202,5.28,5.28,5.28,5.28,8
2025-02-24,1220,5.28,5.28,5.28,5.28,46
2025-02-24,1227,5.34,5.34,5.34,5.34,25
2025-02-24,1232,5.4,5.4,5.4,5.4,83
2025-02-24,1330,5.52,5.52,5.52,5.52,44
2025-02-24,1354,5.76,5.76,5.4,5.4,908
2025-02-24,1355,5.4,5.64,5.4,5.64,694
2025-02-24,1357,5.76,5.76,5.402,5.402,1518
2025-02-24,1358,5.52,5.52,5.4,5.4,185
2025-02-24,1408,5.406,5.418,5.406,5.418,103
2025-02-24,1410,5.408,5.418,5.408,5.418,58
2025-02-24,1447,5.845,5.845,5.845,5.845,12
2025-02-24,1500,5.64,5.64,5.616,5.616,29
2025-02-24,1525,5.999,5.999,5.999,5.999,16
2025-02-24,1526,5.64,5.64,5.64,5.64,8
2025-02-24,1535,5.52,5.52,5.52,5.52,9
2025-02-24,1539,5.52,5.52,5.52,5.52,10
2025-02-24,1547,5.52,5.52,5.52,5.52,8
2025-02-24,1550,5.52,5.52,5.52,5.52,16
2025-02-24,1554,5.532,5.532,5.532,5.532,16
2025-02-24,1559,5.52,5.52,5.4,5.4,146
2025-02-24,1600,5.628,5.628,5.628,5.628,11
2025-02-25,930,5.378,5.52,5.378,5.474,128
2025-02-25,934,5.4,5.4,5.4,5.4,142
2025-02-25,937,5.287,5.287,5.287,5.287,35
2025-02-25,948,5.364,5.364,5.364,5.364,25
2025-02-25,953,5.292,5.292,5.292,5.292,8
2025-02-25,1005,5.212,5.212,5.212,5.212,145
2025-02-25,1016,5.208,5.208,5.208,5.208,14
2025-02-25,1017,5.208,5.208,5.16,5.16,42
2025-02-25,1023,5.194,5.194,5.194,5.194,8
2025-02-25,1033,5.28,5.28,5.176,5.176,19
2025-02-25,1039,5.174,5.174,5.174,5.174,16
2025-02-25,1042,5.28,5.28,5.28,5.28,41
2025-02-25,1049,5.198,5.198,5.198,5.198,8
2025-02-25,1055,5.219,5.219,5.219,5.219,25
2025-02-25,1056,5.28,5.28,5.28,5.28,33
2025-02-25,1113,5.279,5.279,5.279,5.279,50
2025-02-25,1125,5.172,5.172,5.17,5.17,16
2025-02-25,1142,5.172,5.172,5.172,5.172,12
2025-02-25,1203,5.203,5.203,5.203,5.203,8
2025-02-25,1218,5.168,5.168,5.168,5.168,8
2025-02-25,1238,5.07,5.114,5.07,5.07,230
2025-02-25,1239,5.07,5.114,5.07,5.07,139
2025-02-25,1240,5.072,5.072,5.072,5.072,8
2025-02-25,1250,5.302,5.302,5.302,5.302,25
2025-02-25,1255,5.188,5.188,5.188,5.188,28
2025-02-25,1309,5.188,5.303,5.188,5.303,83
2025-02-25,1320,5.299,5.299,5.07,5.07,66
2025-02-25,1327,5.07,5.07,5.052,5.052,113
2025-02-25,1329,5.052,5.052,5.052,5.052,14
2025-02-25,1347,5.053,5.053,5.053,5.053,14
2025-02-25,1408,5.22,5.22,5.22,5.22,38
2025-02-25,1419,5.22,5.22,5.058,5.058,40
2025-02-25,1423,5.22,5.22,5.22,5.22,35
2025-02-25,1425,5.059,5.304,5.058,5.058,478
2025-02-25,1426,5.058,5.058,5.058,5.058,8
2025-02-25,1429,5.059,5.059,5.059,5.059,31
2025-02-25,1435,5.059,5.064,5.052,5.052,62
2025-02-25,1450,5.052,5.052,5.052,5.052,23
2025-02-25,1458,5.052,5.052,5.052,5.052,8
2025-02-25,1506,5.052,5.052,5.052,5.052,8
2025-02-25,1508,5.052,5.052,5.052,5.052,263
2025-02-25,1512,5.041,5.041,5.041,5.041,55
2025-02-25,1543,5.466,5.466,5.466,5.466,9
2025-02-25,1559,5.041,5.041,5.04,5.04,50
2025-02-26,932,5.149,5.149,5.148,5.148,58
2025-02-26,935,5.288,5.288,5.288,5.288,91
2025-02-26,958,5.4,5.4,5.4,5.4,28
2025-02-26,1004,5.208,5.208,5.045,5.045,101
2025-02-26,1005,5.04,5.04,5.04,5.04,56
2025-02-26,1019,5.32,5.32,5.32,5.32,50
2025-02-26,1028,5.04,5.04,5.04,5.04,8
2025-02-26,1038,5.264,5.264,5.264,5.264,12
2025-02-26,1039,5.4,5.4,5.4,5.4,13
2025-02-26,1040,5.394,5.394,5.394,5.394,166
2025-02-26,1041,5.219,5.219,5.219,5.219,41
2025-02-26,1042,5.22,5.22,5.22,5.22,8
2025-02-26,1043,5.4,5.4,5.4,5.4,89
2025-02-26,1053,5.52,5.52,5.52,5.52,26
2025-02-26,1057,5.705,5.705,5.705,5.705,23
2025-02-26,1058,5.76,5.76,5.7,5.7,35
2025-02-26,1102,5.705,5.705,5.705,5.705,13
2025-02-26,1103,5.76,5.76,5.76,5.76,16
2025-02-26,1106,5.64,5.64,5.64,5.64,27
2025-02-26,1117,5.4,5.4,5.399,5.399,50
2025-02-26,1120,5.52,5.52,5.52,5.52,16
2025-02-26,1201,5.64,5.64,5.64,5.64,16
2025-02-26,1204,5.47,5.47,5.47,5.47,8
2025-02-26,1206,5.468,5.468,5.468,5.468,8
2025-02-26,1212,5.58,5.659,5.58,5.659,54
2025-02-26,1232,5.677,5.677,5.677,5.677,83
2025-02-26,1240,5.678,5.678,5.677,5.677,33
2025-02-26,1241,5.678,5.678,5.678,5.678,47
2025-02-26,1256,5.743,5.76,5.743,5.76,87
2025-02-26,1305,5.28,5.28,5.28,5.28,16
2025-02-26,1306,5.281,5.281,5.281,5.281,16
2025-02-26,1308,5.281,5.281,5.281,5.281,16
2025-02-26,1315,5.52,5.52,5.52,5.52,16
2025-02-26,1325,5.4,5.4,5.4,5.4,14
2025-02-26,1326,5.282,5.575,5.282,5.575,250
2025-02-26,1327,5.305,5.305,5.282,5.282,263
2025-02-26,1330,5.537,5.537,5.537,5.537,16
2025-02-26,1345,5.538,5.538,5.538,5.538,8
