date,time,open,high,low,close,volume
2025-03-19,800,17.98,17.98,17.98,17.98,27
2025-03-19,807,17.6,17.6,17.6,17.6,17
2025-03-19,930,18.56,18.56,18.56,18.56,34
2025-03-19,940,18.08,18.08,18.08,18.08,11
2025-03-19,943,18.08,18.08,18.08,18.08,82
2025-03-19,946,17.92,17.92,17.92,17.92,10
2025-03-19,950,17.92,18.08,17.92,18.08,26
2025-03-19,953,17.6,17.6,17.6,17.6,260
2025-03-19,956,18.08,18.08,18.08,18.08,184
2025-03-19,957,18.2,18.2,18.2,18.2,37
2025-03-19,958,18.08,18.08,18.08,18.08,6
2025-03-19,1012,17.6,17.6,17.6,17.6,19
2025-03-19,1016,18.16,18.16,18.16,18.16,6
2025-03-19,1022,17.92,17.92,17.76,17.84,57
2025-03-19,1028,17.84,17.84,17.84,17.84,17
2025-03-19,1029,17.76,17.92,17.76,17.92,24
2025-03-19,1036,17.92,17.92,17.92,17.92,12
2025-03-19,1037,17.76,17.76,17.76,17.76,9
2025-03-19,1039,17.76,17.76,17.76,17.76,297
2025-03-19,1040,17.6,17.6,17.6,17.6,259
2025-03-19,1041,17.6,17.6,17.6,17.6,302
2025-03-19,1043,17.44,17.44,17.44,17.44,12
2025-03-19,1050,17.44,17.44,17.44,17.44,6
2025-03-19,1052,17.58,17.58,17.58,17.58,12
2025-03-19,1055,17.28,17.28,16.8,17.12,71
2025-03-19,1107,17.12,17.12,17.12,17.12,87
2025-03-19,1115,16.96,16.96,16.88,16.96,43
2025-03-19,1116,17.12,17.12,17.12,17.12,44
2025-03-19,1119,17.2,17.2,16.99,16.99,26
2025-03-19,1123,17.28,17.28,17.28,17.28,33
2025-03-19,1124,17.28,17.28,17.28,17.28,218
2025-03-19,1125,17.12,17.12,17.12,17.12,26
2025-03-19,1143,17.2,17.28,17.2,17.28,37
2025-03-19,1153,17.27,17.27,17.27,17.27,6
2025-03-19,1156,17.12,17.12,17.12,17.12,14
2025-03-19,1200,17.28,17.28,17.28,17.28,16
2025-03-19,1209,17.28,17.28,17.28,17.28,14
2025-03-19,1226,17.6,17.6,17.44,17.44,86
2025-03-19,1227,17.28,17.28,17.28,17.28,18
2025-03-19,1228,17.28,17.28,17.28,17.28,57
2025-03-19,1231,17.22,17.22,17.22,17.22,125
2025-03-19,1238,17.12,17.12,17.12,17.12,6
2025-03-19,1302,17.28,17.28,17.12,17.12,41
2025-03-19,1320,17.28,17.28,17.28,17.28,50
2025-03-19,1321,17.44,17.44,17.44,17.44,10
2025-03-19,1401,17.84,17.84,17.84,17.84,200
2025-03-19,1403,17.28,17.28,17.28,17.28,12
2025-03-19,1406,17.6,17.6,17.6,17.6,7
2025-03-19,1433,17.12,17.12,17.12,17.12,12
2025-03-19,1435,17.84,17.84,17.84,17.84,18
2025-03-19,1440,17.6,17.6,17.6,17.6,18
2025-03-19,1449,17.6,17.6,17.6,17.6,7
2025-03-19,1457,18.08,18.08,18.08,18.08,9
2025-03-19,1500,18.24,18.24,18.24,18.24,464
2025-03-19,1501,18.08,18.08,18.08,18.08,22
2025-03-19,1539,17.28,17.28,17.28,17.28,6
2025-03-19,1541,17.68,17.68,17.68,17.68,9
2025-03-19,1546,17.28,17.92,17.28,17.92,167
2025-03-19,1559,17.6,17.6,17.28,17.28,108
2025-03-19,1600,17.28,17.28,17.28,17.28,278
2025-03-19,1750,17.44,17.44,17.44,17.44,40
2025-03-19,1822,17.28,17.28,17.28,17.28,18
2025-03-19,1823,17.12,17.12,17.12,17.12,17
2025-03-19,1837,17.12,17.12,17.12,17.12,9
2025-03-19,1928,16.64,16.64,16.64,16.64,56
2025-03-19,1930,16.64,16.64,16.64,16.64,80
2025-03-19,1945,16.16,16.16,16.0,16.0,83
2025-03-20,449,16.16,16.16,16.16,16.16,23
2025-03-20,839,16.64,16.64,16.64,16.64,19
2025-03-20,927,16.8,16.8,16.8,16.8,6
2025-03-20,930,18.08,18.08,18.08,18.08,421
2025-03-20,936,17.6,17.6,17.6,17.6,43
2025-03-20,943,17.6,17.92,17.6,17.92,19
2025-03-20,1000,17.52,17.52,17.52,17.52,37
2025-03-20,1005,17.92,17.92,17.92,17.92,11
2025-03-20,1024,17.6,17.6,17.6,17.6,6
2025-03-20,1025,17.44,17.44,17.44,17.44,21
