date,time,open,high,low,close,volume
2025-03-31,407,3.836,3.836,3.836,3.836,12
2025-03-31,450,3.836,3.836,3.836,3.836,4
2025-03-31,454,3.6,3.6,3.6,3.6,162
2025-03-31,455,3.6,3.6,3.6,3.6,110
2025-03-31,456,3.6,3.6,3.6,3.6,197
2025-03-31,555,3.612,3.996,3.612,3.996,414
2025-03-31,600,4.144,4.16,4.144,4.16,174
2025-03-31,602,4.156,4.168,4.148,4.168,465
2025-03-31,609,4.2,4.2,4.2,4.2,34
2025-03-31,628,4.16,4.16,4.16,4.16,387
2025-03-31,631,4.16,4.16,4.16,4.16,211
2025-03-31,633,4.2,4.236,4.2,4.236,53
2025-03-31,634,4.288,4.288,4.288,4.288,24
2025-03-31,636,4.2,4.2,4.196,4.2,19
2025-03-31,638,4.16,4.16,4.16,4.16,150
2025-03-31,644,4.28,4.28,4.28,4.28,50
2025-03-31,652,4.284,4.288,4.196,4.196,79
2025-03-31,654,4.16,4.2,4.16,4.2,88
2025-03-31,701,4.08,4.08,4.08,4.08,68
2025-03-31,702,4.16,4.16,4.16,4.16,266
2025-03-31,711,4.116,4.116,4.116,4.116,11
2025-03-31,728,4.04,4.04,4.04,4.04,17
2025-03-31,739,3.88,3.88,3.88,3.88,3
2025-03-31,800,4.068,4.084,3.996,4.04,157
2025-03-31,804,3.92,3.92,3.92,3.92,12
2025-03-31,805,3.88,3.88,3.88,3.88,11
2025-03-31,806,3.8,3.88,3.8,3.84,24
2025-03-31,814,3.92,3.92,3.92,3.92,5
2025-03-31,815,4.04,4.04,4.04,4.04,2
2025-03-31,816,4.04,4.04,4.04,4.04,130
2025-03-31,828,4.04,4.04,4.04,4.04,38
2025-03-31,831,4.16,4.16,4.16,4.16,32
2025-03-31,834,4.12,4.12,4.116,4.116,8
2025-03-31,848,4.156,4.156,4.116,4.116,200
2025-03-31,851,4.16,4.16,4.16,4.16,26
2025-03-31,856,4.16,4.16,4.16,4.16,15
2025-03-31,859,4.04,4.04,4.04,4.04,6
2025-03-31,909,4.0,4.16,4.0,4.16,252
2025-03-31,916,4.04,4.04,4.04,4.04,126
2025-03-31,917,4.156,4.16,4.156,4.16,37
2025-03-31,923,4.04,4.04,4.04,4.04,9
