date,time,open,high,low,close,volume
2025-04-01,400,1.91,2.21,1.88,1.98,6503
2025-04-01,401,1.98,2.03,1.91,1.91,2270
2025-04-01,402,2.0,2.0,2.0,2.0,407
2025-04-01,403,1.93,1.94,1.89,1.93,1784
2025-04-01,404,1.93,2.0,1.93,2.0,1988
2025-04-01,405,1.98,2.01,1.98,2.0,1184
2025-04-01,406,2.01,2.01,2.0,2.0,1229
2025-04-01,407,2.0,2.01,1.97,2.01,1170
2025-04-01,409,1.99,2.07,1.89,1.89,3413
2025-04-01,410,1.98,1.98,1.98,1.98,280
2025-04-01,411,1.98,2.0,1.98,2.0,911
2025-04-01,413,2.0,2.0,2.0,2.0,1252
2025-04-01,415,2.03,2.03,1.94,1.94,532
2025-04-01,416,2.01,2.03,1.93,2.03,993
2025-04-01,419,1.99,1.99,1.94,1.94,492
2025-04-01,420,2.0,2.0,1.92,1.92,1496
2025-04-01,421,1.92,1.93,1.9,1.9,3568
2025-04-01,422,1.9,1.91,1.9,1.91,2349
2025-04-01,423,1.9,1.91,1.9,1.9,3611
2025-04-01,424,1.94,1.94,1.91,1.91,581
2025-04-01,425,1.94,1.94,1.94,1.94,347
2025-04-01,426,1.93,1.93,1.93,1.93,290
2025-04-01,428,1.92,1.92,1.92,1.92,1061
2025-04-01,429,1.91,1.91,1.91,1.91,565
2025-04-01,431,1.92,1.92,1.92,1.92,560
2025-04-01,432,1.91,1.91,1.91,1.91,892
2025-04-01,433,1.91,1.91,1.91,1.91,349
2025-04-01,434,1.95,2.0,1.95,2.0,1420
2025-04-01,435,1.95,1.95,1.95,1.95,425
2025-04-01,436,1.93,1.95,1.93,1.95,650
2025-04-01,438,1.95,1.95,1.95,1.95,1403
2025-04-01,439,1.95,1.95,1.95,1.95,115
2025-04-01,441,1.94,1.94,1.94,1.94,300
2025-04-01,447,1.95,1.95,1.95,1.95,144
2025-04-01,448,1.95,1.95,1.91,1.92,4835
2025-04-01,450,1.92,1.92,1.92,1.92,215
2025-04-01,451,1.91,1.91,1.9,1.9,4763
2025-04-01,452,1.95,1.95,1.89,1.89,2393
2025-04-01,453,1.89,1.89,1.89,1.89,1052
2025-04-01,454,1.9,1.91,1.9,1.91,515
2025-04-01,457,1.91,1.91,1.91,1.91,370
