date,time,open,high,low,close,volume
2025-04-25,802,0.924,0.924,0.924,0.924,550
2025-04-25,809,0.89,0.89,0.89,0.89,400
2025-04-25,930,0.892,0.892,0.892,0.892,116
2025-04-25,931,0.9,0.9,0.9,0.9,5067
2025-04-25,932,0.9187,0.9249,0.9186,0.9249,610
2025-04-25,933,0.91,0.91,0.91,0.91,301
2025-04-25,935,0.93,0.93,0.929,0.929,502
2025-04-25,936,0.92,0.92,0.92,0.92,500
2025-04-25,941,0.92,0.9201,0.92,0.9201,5501
2025-04-25,947,0.8901,0.8901,0.8901,0.8901,1000
2025-04-25,951,0.9201,0.9201,0.9201,0.9201,380
2025-04-25,953,0.92,0.92,0.92,0.92,1000
2025-04-25,959,0.915,0.915,0.915,0.915,475
2025-04-25,1000,0.9,0.9,0.9,0.9,533
2025-04-25,1010,0.912,0.927,0.912,0.927,9500
2025-04-25,1018,0.9277,0.9277,0.9277,0.9277,156
2025-04-25,1025,0.9059,0.9059,0.9059,0.9059,232
2025-04-25,1033,0.911,0.911,0.911,0.911,200
2025-04-25,1042,0.9277,0.929,0.9196,0.9196,6153
2025-04-25,1043,0.93,0.93,0.93,0.93,518
2025-04-25,1056,0.929,0.929,0.929,0.929,840
2025-04-25,1057,0.9145,0.9145,0.9145,0.9145,300
2025-04-25,1105,0.9299,0.9299,0.9299,0.9299,200
2025-04-25,1112,0.9,0.9,0.9,0.9,5000
2025-04-25,1121,0.93,0.9301,0.93,0.9301,2700
2025-04-25,1122,0.918,0.918,0.918,0.918,240
2025-04-25,1126,0.93,0.93,0.93,0.93,500
2025-04-25,1135,0.9405,0.9405,0.9405,0.9405,100
2025-04-25,1149,0.925,0.925,0.925,0.925,306
2025-04-25,1150,0.9374,0.9374,0.9374,0.9374,700
2025-04-25,1151,0.9146,0.9146,0.9146,0.9146,2655
2025-04-25,1152,0.9301,0.9301,0.93,0.93,334
2025-04-25,1225,0.9149,0.9149,0.9149,0.9149,465
2025-04-25,1228,0.9149,0.9149,0.9149,0.9149,2733
2025-04-25,1229,0.9149,0.9149,0.9149,0.9149,100
2025-04-25,1234,0.9266,0.9266,0.9266,0.9266,100
2025-04-25,1246,0.93,0.93,0.93,0.93,200
2025-04-25,1248,0.9,0.9,0.9,0.9,155
2025-04-25,1257,0.9165,0.9165,0.9165,0.9165,267
