date,time,open,high,low,close,volume
2025-05-14,653,0.955,0.955,0.955,0.955,251
2025-05-14,930,0.924,0.924,0.924,0.924,192
2025-05-14,932,0.924,0.924,0.924,0.924,753
2025-05-14,940,0.86,0.86,0.86,0.86,1828
2025-05-14,1040,0.8625,0.8625,0.8625,0.8625,400
2025-05-14,1048,0.8701,0.9006,0.8701,0.9006,223
2025-05-14,1106,0.8613,0.8613,0.8613,0.8613,100
2025-05-14,1130,0.8792,0.8792,0.8792,0.8792,200
2025-05-14,1140,0.867,0.867,0.867,0.867,250
2025-05-14,1254,0.869,0.869,0.869,0.869,295
2025-05-14,1345,0.8501,0.86,0.8401,0.8401,10015
2025-05-14,1346,0.8692,0.8692,0.8692,0.8692,100
2025-05-14,1347,0.8692,0.8692,0.8692,0.8692,150
2025-05-14,1428,0.8415,0.8415,0.8401,0.8401,838
2025-05-14,1430,0.8401,0.8401,0.8401,0.8401,546
2025-05-14,1443,0.8402,0.8402,0.8402,0.8402,541
2025-05-14,1448,0.8433,0.8433,0.8433,0.8433,628
2025-05-14,1452,0.8588,0.8588,0.8588,0.8588,300
2025-05-14,1454,0.866,0.866,0.866,0.866,1000
2025-05-14,1455,0.8692,0.8692,0.8692,0.8692,100
2025-05-14,1500,0.8401,0.8401,0.8401,0.8401,200
2025-05-14,1505,0.8555,0.8555,0.8555,0.8555,300
2025-05-14,1506,0.8555,0.8555,0.8555,0.8555,602
2025-05-14,1510,0.8433,0.8433,0.8433,0.8433,300
2025-05-14,1512,0.8554,0.8554,0.8388,0.8388,1296
2025-05-14,1533,0.8388,0.8388,0.8388,0.8388,300
2025-05-14,1545,0.8386,0.8386,0.8378,0.8378,523
2025-05-14,1553,0.83,0.83,0.83,0.83,457
2025-05-14,1557,0.8021,0.8021,0.8021,0.8021,200
2025-05-14,1558,0.8041,0.8041,0.8041,0.8041,302
2025-05-14,1559,0.8608,0.8608,0.8608,0.8608,150
2025-05-14,1701,0.8401,0.8401,0.8401,0.8401,188
2025-05-15,942,0.8,0.8005,0.8,0.8005,442
2025-05-15,946,0.8165,0.8165,0.8165,0.8165,596
2025-05-15,955,0.7348,0.7348,0.7348,0.7348,102
2025-05-15,956,0.7448,0.8164,0.7448,0.8164,2100
2025-05-15,1003,0.7348,0.7348,0.7348,0.7348,201
2025-05-15,1004,0.7495,0.7495,0.7495,0.7495,897
2025-05-15,1010,0.7536,0.7536,0.7536,0.7536,200
2025-05-15,1018,0.81,0.81,0.81,0.81,794
2025-05-15,1052,0.81,0.8101,0.8001,0.8001,1244
2025-05-15,1053,0.8001,0.8001,0.8001,0.8001,295
2025-05-15,1054,0.8,0.8,0.8,0.8,200
2025-05-15,1055,0.8037,0.8037,0.8037,0.8037,540
2025-05-15,1106,0.8001,0.8001,0.8001,0.8001,200
2025-05-15,1121,0.8001,0.8001,0.8001,0.8001,100
2025-05-15,1126,0.8001,0.8001,0.8001,0.8001,100
