date,time,open,high,low,close,volume
2025-06-12,546,2.12,2.12,2.12,2.12,300
2025-06-12,624,2.12,2.12,2.12,2.12,203
2025-06-12,800,2.1208,2.1208,2.1208,2.1208,761
2025-06-12,801,2.0803,2.0803,2.0803,2.0803,1000
2025-06-12,825,2.03,2.03,2.03,2.03,428
2025-06-12,827,2.07,2.07,2.07,2.07,600
2025-06-12,840,2.08,2.12,2.08,2.12,249
2025-06-12,859,2.02,2.02,2.02,2.02,362
2025-06-12,930,2.1,2.1,2.1,2.1,564
2025-06-12,931,2.1,2.1,2.08,2.0909,1740
2025-06-12,932,2.07,2.07,2.03,2.03,4145
2025-06-12,936,2.0732,2.0732,2.0732,2.0732,100
2025-06-12,940,2.07,2.07,2.07,2.07,341
2025-06-12,941,2.055,2.055,2.055,2.055,100
2025-06-12,942,2.05,2.05,2.0497,2.05,2587
2025-06-12,947,2.035,2.035,2.035,2.035,2165
2025-06-12,948,2.03,2.05,2.03,2.04,4418
2025-06-12,949,2.03,2.05,2.03,2.03,1820
2025-06-12,950,2.03,2.03,2.03,2.03,2234
2025-06-12,951,2.0301,2.0301,2.025,2.0299,5726
2025-06-12,953,2.02,2.02,2.02,2.02,550
2025-06-12,954,2.0274,2.03,2.0102,2.03,9919
2025-06-12,955,2.03,2.03,2.03,2.03,500
2025-06-12,956,2.03,2.03,2.03,2.03,100
2025-06-12,959,2.035,2.035,2.0,2.02,12879
2025-06-12,1000,2.025,2.025,2.0124,2.025,600
2025-06-12,1001,2.0124,2.02,2.0124,2.0124,491
2025-06-12,1002,2.0026,2.0026,2.0026,2.0026,510
2025-06-12,1004,2.025,2.025,2.025,2.025,100
2025-06-12,1005,2.0117,2.03,2.01,2.03,1694
2025-06-12,1006,2.01,2.02,1.99,2.02,21557
2025-06-12,1007,2.02,2.02,2.0,2.0,1232
2025-06-12,1008,2.02,2.02,1.9974,1.9974,300
2025-06-12,1009,2.005,2.005,2.005,2.005,559
2025-06-12,1011,2.016,2.016,2.016,2.016,254
2025-06-12,1013,2.0005,2.005,1.99,1.99,5218
2025-06-12,1014,2.01,2.01,2.01,2.01,124
2025-06-12,1016,2.015,2.015,2.015,2.015,100
2025-06-12,1017,2.015,2.015,2.015,2.015,100
2025-06-12,1018,2.02,2.02,2.015,2.02,950
2025-06-12,1019,2.02,2.02,2.015,2.015,650
2025-06-12,1020,2.0016,2.0016,2.0016,2.0016,500
2025-06-12,1021,2.0007,2.0007,2.0007,2.0007,503
2025-06-12,1022,2.015,2.015,2.0,2.0,301
2025-06-12,1023,2.0,2.01,2.0,2.005,500
2025-06-12,1026,2.0,2.0,2.0,2.0,100
2025-06-12,1029,2.0002,2.01,2.0,2.01,8000
2025-06-12,1030,1.9918,1.9918,1.9918,1.9918,100
2025-06-12,1031,2.01,2.01,2.01,2.01,100
2025-06-12,1033,2.0261,2.0261,2.0261,2.0261,500
2025-06-12,1035,2.01,2.01,2.01,2.01,100
2025-06-12,1036,2.0067,2.0067,2.0067,2.0067,2525
2025-06-12,1038,2.01,2.01,2.01,2.01,250
2025-06-12,1039,1.9975,1.9975,1.9975,1.9975,100
2025-06-12,1041,2.01,2.01,2.0009,2.0009,800
2025-06-12,1042,2.0,2.0,2.0,2.0,144
2025-06-12,1045,2.005,2.005,2.005,2.005,200
2025-06-12,1050,2.0,2.0,1.99,1.99,1261
2025-06-12,1059,2.005,2.005,2.005,2.005,200
2025-06-12,1102,2.0,2.0,2.0,2.0,1307
2025-06-12,1103,1.99,1.99,1.99,1.99,100
2025-06-12,1106,2.01,2.01,2.0,2.0,1054
2025-06-12,1107,1.9993,1.9993,1.9993,1.9993,499
2025-06-12,1108,1.9999,1.9999,1.9908,1.9908,1000
2025-06-12,1109,2.0,2.02,2.0,2.02,3390
2025-06-12,1110,2.025,2.025,2.01,2.01,500
2025-06-12,1112,2.0,2.01,2.0,2.01,1249
2025-06-12,1114,1.9925,2.005,1.9925,2.005,1100
2025-06-12,1115,2.0,2.0,2.0,2.0,105
2025-06-12,1118,2.0094,2.01,2.0094,2.01,1381
2025-06-12,1119,2.0,2.0,2.0,2.0,180
2025-06-12,1120,2.005,2.005,2.005,2.005,1000
2025-06-12,1121,2.0,2.0,2.0,2.0,1510
2025-06-12,1123,2.0,2.0,2.0,2.0,4050
2025-06-12,1124,2.005,2.005,2.005,2.005,684
2025-06-12,1128,2.0,2.0,2.0,2.0,100
2025-06-12,1133,2.0,2.0,2.0,2.0,2195
2025-06-12,1136,2.0,2.0,2.0,2.0,123
2025-06-12,1140,2.0199,2.0199,1.99,1.99,540
2025-06-12,1142,2.0086,2.0086,2.0086,2.0086,100
2025-06-12,1152,1.995,1.995,1.99,1.99,300
2025-06-12,1154,2.0,2.0,2.0,2.0,100
2025-06-12,1157,1.99,1.99,1.96,1.98,18969
2025-06-12,1158,1.96,1.97,1.96,1.9602,6415
2025-06-12,1159,1.96,1.96,1.9501,1.9524,2018
2025-06-12,1200,1.9507,1.9508,1.9507,1.9507,2407
2025-06-12,1201,1.9501,1.97,1.95,1.97,4035
2025-06-12,1202,1.97,1.97,1.97,1.97,105
2025-06-12,1205,1.95,1.98,1.95,1.98,1600
2025-06-12,1206,1.965,1.9737,1.965,1.9737,1910
2025-06-12,1207,1.98,1.98,1.98,1.98,100
2025-06-12,1208,1.98,1.98,1.98,1.98,100
2025-06-12,1211,1.965,1.965,1.965,1.965,5006
2025-06-12,1214,1.9792,1.9792,1.965,1.965,5108
2025-06-12,1215,1.98,1.98,1.965,1.965,5227
2025-06-12,1217,1.95,1.95,1.95,1.95,100
2025-06-12,1218,1.98,1.98,1.98,1.98,100
2025-06-12,1219,1.98,1.98,1.98,1.98,206
