date,time,open,high,low,close,volume
2025-07-07,416,11.18,11.18,11.18,11.18,3
2025-07-07,417,11.17,11.17,11.17,11.17,2
2025-07-07,435,11.11,11.11,11.11,11.11,2
2025-07-07,508,11.15,11.17,11.15,11.17,6
2025-07-07,511,11.17,11.17,11.17,11.17,8
2025-07-07,747,10.99,10.99,10.99,10.99,4
2025-07-07,800,11.0,11.0,11.0,11.0,12
2025-07-07,806,11.0,11.0,11.0,11.0,2
2025-07-07,812,10.99,11.0,10.99,11.0,5
2025-07-07,828,11.0,11.0,11.0,11.0,2
2025-07-07,833,11.0,11.0,11.0,11.0,2
2025-07-07,930,10.95,11.0,10.95,11.0,411
2025-07-07,932,10.95,10.95,10.95,10.95,2
2025-07-07,933,11.01,11.01,11.01,11.01,200
2025-07-07,934,11.01,11.01,11.01,11.01,52
2025-07-07,935,11.08,11.08,11.08,11.08,45
2025-07-07,938,11.15,11.15,11.15,11.15,2
2025-07-07,939,11.15,11.2,11.15,11.16,244
2025-07-07,940,11.16,11.16,11.16,11.16,3
2025-07-07,941,11.08,11.09,11.08,11.09,9
2025-07-07,945,11.04,11.04,11.04,11.04,42
2025-07-07,956,11.01,11.01,11.01,11.01,10
2025-07-07,1001,11.01,11.01,11.0,11.0,297
2025-07-07,1004,10.95,10.95,10.72,10.72,208
2025-07-07,1005,10.67,10.72,10.67,10.72,6
2025-07-07,1010,10.67,10.72,10.36,10.67,198
2025-07-07,1012,10.47,10.67,10.47,10.67,148
2025-07-07,1013,10.67,10.67,10.67,10.67,11
2025-07-07,1014,10.76,10.76,10.76,10.76,10
2025-07-07,1020,10.76,10.76,10.76,10.76,2
2025-07-07,1024,10.71,10.71,10.71,10.71,20
2025-07-07,1025,10.74,10.74,10.74,10.74,2
2025-07-07,1027,10.74,10.82,10.74,10.82,358
2025-07-07,1029,10.73,10.73,10.73,10.73,204
2025-07-07,1030,10.7,10.7,10.7,10.7,4
2025-07-07,1031,10.7,10.7,10.67,10.67,278
2025-07-07,1037,10.68,10.68,10.5,10.5,199
2025-07-07,1039,10.17,10.17,10.17,10.17,2
2025-07-07,1040,10.27,10.5,10.27,10.5,143
2025-07-07,1051,10.37,10.37,10.37,10.37,10
2025-07-07,1053,10.5,10.5,10.46,10.46,42
2025-07-07,1054,10.46,10.46,10.46,10.46,14
2025-07-07,1056,10.46,10.46,10.46,10.46,6
2025-07-07,1057,10.46,10.46,10.46,10.46,4
2025-07-07,1058,10.48,10.48,10.48,10.48,42
2025-07-07,1059,10.48,10.51,10.48,10.5,537
2025-07-07,1100,10.5,10.5,10.5,10.5,321
2025-07-07,1103,10.48,10.5,10.47,10.47,65
2025-07-07,1104,10.48,10.5,10.48,10.5,41
2025-07-07,1105,10.48,10.48,10.48,10.48,20
2025-07-07,1108,10.48,10.48,10.48,10.48,6
2025-07-07,1109,10.48,10.48,10.48,10.48,7
2025-07-07,1110,10.48,10.48,10.48,10.48,3
2025-07-07,1111,10.48,10.48,10.48,10.48,4
2025-07-07,1112,10.48,10.48,10.48,10.48,10
2025-07-07,1114,10.49,10.5,10.49,10.49,24
2025-07-07,1115,10.49,10.49,10.49,10.49,8
