date,time,open,high,low,close,volume
2025-07-22,400,5.8,5.879,5.3,5.4,333
2025-07-22,401,5.3,5.3,5.2,5.2,229
2025-07-22,402,5.237,5.4,5.237,5.237,150
2025-07-22,403,5.238,5.238,5.238,5.238,33
2025-07-22,404,5.205,5.205,5.203,5.203,57
2025-07-22,405,5.21,5.28,5.199,5.28,279
2025-07-22,406,5.28,5.28,5.28,5.28,26
2025-07-22,407,5.105,5.105,5.105,5.105,103
2025-07-22,408,5.1,5.1,5.1,5.1,348
2025-07-22,409,5.1,5.28,5.1,5.112,206
2025-07-22,410,5.113,5.113,5.113,5.113,11
2025-07-22,411,5.12,5.12,5.113,5.113,122
2025-07-22,412,5.113,5.113,5.113,5.113,119
2025-07-22,413,5.113,5.28,5.113,5.28,72
2025-07-22,416,5.115,5.115,5.115,5.115,24
2025-07-22,417,5.115,5.115,5.115,5.115,89
2025-07-22,418,5.113,5.113,5.112,5.112,65
2025-07-22,422,5.117,5.117,4.93,4.93,400
2025-07-22,423,4.929,4.929,4.394,4.494,732
2025-07-22,424,4.49,4.532,4.392,4.532,639
2025-07-22,425,4.775,4.799,4.775,4.799,100
2025-07-22,426,4.5,4.5,4.5,4.5,381
2025-07-22,428,4.502,4.502,4.502,4.502,19
2025-07-22,429,4.502,4.695,4.502,4.502,133
2025-07-22,431,4.502,4.502,4.502,4.502,151
2025-07-22,433,4.5,4.5,4.5,4.5,863
2025-07-22,434,4.49,4.499,4.365,4.499,190
2025-07-22,435,4.499,4.5,4.22,4.5,203
2025-07-22,436,4.5,4.554,4.5,4.554,82
2025-07-22,438,4.554,4.554,4.5,4.5,147
2025-07-22,441,4.505,4.505,4.505,4.505,13
2025-07-22,443,4.502,4.502,4.502,4.502,48
2025-07-22,448,4.588,4.588,4.588,4.588,21
2025-07-22,449,4.51,4.51,4.51,4.51,59
2025-07-22,450,4.51,4.51,4.51,4.51,62
2025-07-22,451,4.501,4.511,4.5,4.502,302
2025-07-22,455,4.502,4.502,4.5,4.5,117
2025-07-22,458,4.502,4.502,4.502,4.502,44
2025-07-22,505,4.588,4.688,4.588,4.688,110
2025-07-22,506,4.502,4.688,4.502,4.688,64
2025-07-22,507,4.688,4.688,4.504,4.504,123
2025-07-22,513,4.51,4.51,4.51,4.51,17
2025-07-22,514,4.504,4.504,4.504,4.504,10
2025-07-22,522,4.504,4.504,4.504,4.504,12
2025-07-22,528,4.569,4.669,4.569,4.669,50
2025-07-22,529,4.669,4.788,4.669,4.788,244
2025-07-22,530,4.788,4.788,4.788,4.788,32
2025-07-22,557,4.53,4.53,4.53,4.53,40
2025-07-22,600,4.78,4.788,4.78,4.788,40
2025-07-22,604,4.838,4.838,4.838,4.838,50
2025-07-22,610,4.672,4.672,4.672,4.672,29
2025-07-22,612,4.821,4.831,4.821,4.831,50
2025-07-22,613,4.7,4.7,4.7,4.7,10
2025-07-22,615,4.7,4.7,4.7,4.7,20
2025-07-22,616,4.8,4.8,4.8,4.8,50
2025-07-22,617,4.8,4.838,4.8,4.838,151
2025-07-22,618,4.809,4.838,4.809,4.838,148
2025-07-22,619,4.689,4.689,4.689,4.689,12
2025-07-22,621,4.828,4.838,4.828,4.838,50
2025-07-22,622,4.838,4.838,4.838,4.838,50
2025-07-22,624,4.836,4.838,4.836,4.838,50
2025-07-22,629,4.838,4.838,4.838,4.838,50
2025-07-22,642,4.644,4.838,4.534,4.838,90
2025-07-22,643,4.678,4.678,4.542,4.542,30
2025-07-22,644,4.833,4.838,4.833,4.838,50
2025-07-22,655,4.837,4.837,4.837,4.837,10
2025-07-22,700,4.838,5.0,4.542,4.542,513
2025-07-22,701,5.09,5.09,4.677,5.0,50
2025-07-22,708,4.989,5.089,4.989,5.089,40
2025-07-22,711,5.0,5.0,5.0,5.0,11
2025-07-22,714,4.837,4.936,4.837,4.936,64
2025-07-22,716,4.7,4.7,4.7,4.7,30
2025-07-22,717,5.08,5.08,5.08,5.08,20
2025-07-22,724,5.086,5.1,5.086,5.1,24
2025-07-22,740,4.975,4.975,4.975,4.975,67
2025-07-22,743,4.975,5.11,4.975,5.11,330
2025-07-22,746,5.19,5.19,5.11,5.11,210
2025-07-22,752,5.004,5.2,5.004,5.2,300
2025-07-22,758,5.076,5.076,5.076,5.076,10
2025-07-22,800,4.7,5.669,4.504,5.669,656
2025-07-22,802,5.007,5.007,5.007,5.007,28
2025-07-22,803,5.0,5.0,4.9,4.9,348
2025-07-22,806,4.897,4.897,4.897,4.897,20
2025-07-22,807,4.99,4.99,4.99,4.99,20
2025-07-22,808,4.896,4.994,4.75,4.994,1198
2025-07-22,810,4.75,4.994,4.75,4.76,68
2025-07-22,812,4.994,4.994,4.994,4.994,20
2025-07-22,813,4.994,4.994,4.75,4.994,120
2025-07-22,815,4.75,4.75,4.75,4.75,348
2025-07-22,817,5.0,5.0,5.0,5.0,20
2025-07-22,820,4.7,4.7,4.7,4.7,20
2025-07-22,822,4.6,4.6,4.6,4.6,36
2025-07-22,823,4.601,4.601,4.601,4.601,40
2025-07-22,824,4.502,4.665,4.5,4.665,568
2025-07-22,825,4.6,4.965,4.6,4.965,168
2025-07-22,828,5.0,5.0,5.0,5.0,20
2025-07-22,829,4.6,5.08,4.544,5.08,320
2025-07-22,847,4.834,4.834,4.833,4.833,32
2025-07-22,851,4.83,4.83,4.83,4.83,20
2025-07-22,852,4.8,4.8,4.8,4.8,100
2025-07-22,855,4.687,5.1,4.687,5.1,220
2025-07-22,901,4.7,4.7,4.7,4.7,40
2025-07-22,904,4.738,4.738,4.738,4.738,200
2025-07-22,905,4.743,4.743,4.366,4.6,1287
2025-07-22,906,4.78,5.08,4.76,5.0,300
2025-07-22,910,4.923,4.924,4.61,4.61,230
2025-07-22,915,4.9,4.9,4.9,4.9,20
2025-07-22,916,4.933,4.933,4.933,4.933,102
2025-07-22,930,5.0,5.0,4.8,4.8,160
2025-07-22,932,4.9,4.9,4.9,4.9,99
2025-07-22,934,4.81,4.81,4.81,4.81,14
2025-07-22,935,4.875,4.875,4.8,4.8,469
2025-07-22,938,4.8,4.8,4.61,4.61,2000
2025-07-22,941,4.61,4.61,4.61,4.61,186
2025-07-22,942,4.625,4.625,4.625,4.625,21
2025-07-22,943,4.626,4.788,4.626,4.788,400
2025-07-22,944,4.8,4.8,4.8,4.8,300
2025-07-22,946,4.656,4.656,4.656,4.656,22
2025-07-22,948,4.625,4.625,4.625,4.625,60
2025-07-22,949,4.71,4.71,4.61,4.61,999
2025-07-22,951,4.734,4.734,4.734,4.734,66
2025-07-22,953,4.648,4.648,4.648,4.648,33
2025-07-22,958,4.62,4.62,4.62,4.62,78
2025-07-22,1001,4.62,4.62,4.6,4.6,1383
2025-07-22,1002,4.592,4.592,4.592,4.592,51
2025-07-22,1004,4.592,4.592,4.592,4.592,1507
2025-07-22,1016,4.592,4.592,4.592,4.592,11
2025-07-22,1023,4.592,4.665,4.581,4.665,400
2025-07-22,1024,4.634,4.634,4.634,4.634,505
2025-07-22,1029,4.712,4.712,4.712,4.712,10
2025-07-22,1034,4.582,4.582,4.582,4.582,30
2025-07-22,1038,4.582,4.582,4.582,4.582,300
2025-07-22,1040,4.671,4.671,4.671,4.671,10
2025-07-22,1049,4.612,4.612,4.582,4.582,113
2025-07-22,1101,4.6,4.6,4.6,4.6,118
2025-07-22,1109,4.583,4.583,4.583,4.583,76
2025-07-22,1117,4.584,4.584,4.584,4.584,47
2025-07-22,1128,4.582,4.582,4.57,4.57,159
2025-07-22,1133,4.582,4.582,4.582,4.582,45
2025-07-22,1140,4.582,4.582,4.582,4.582,12
2025-07-22,1155,4.759,4.759,4.759,4.759,19
2025-07-22,1201,4.662,4.662,4.662,4.662,20
2025-07-22,1211,4.662,4.662,4.662,4.662,60
2025-07-22,1212,4.662,4.662,4.662,4.662,60
2025-07-22,1213,4.662,4.662,4.662,4.662,60
2025-07-22,1214,4.662,4.662,4.662,4.662,79
2025-07-22,1215,4.662,4.662,4.662,4.662,69
2025-07-22,1216,4.669,4.669,4.669,4.669,99
2025-07-22,1217,4.669,4.669,4.669,4.669,89
2025-07-22,1218,4.669,4.669,4.669,4.669,69
2025-07-22,1219,4.759,4.759,4.67,4.67,40
2025-07-22,1220,4.67,4.832,4.664,4.7,1015
2025-07-22,1221,4.7,4.764,4.7,4.764,69
2025-07-22,1222,4.7,4.757,4.567,4.757,576
2025-07-22,1223,4.7,4.757,4.7,4.757,119
2025-07-22,1224,4.7,4.757,4.7,4.757,109
2025-07-22,1225,4.757,4.757,4.7,4.757,99
2025-07-22,1226,4.7,4.757,4.7,4.757,70
2025-07-22,1227,4.757,4.849,4.7,4.7,99
2025-07-22,1228,4.757,4.757,4.7,4.757,74
2025-07-22,1229,4.757,4.849,4.7,4.757,89
2025-07-22,1230,4.757,4.757,4.757,4.757,59
2025-07-22,1231,4.757,4.849,4.7,4.7,166
2025-07-22,1232,4.762,4.766,4.757,4.757,60
2025-07-22,1233,4.757,4.757,4.7,4.757,99
2025-07-22,1234,4.757,4.757,4.757,4.757,79
2025-07-22,1235,4.759,4.759,4.759,4.759,59
2025-07-22,1236,4.757,4.757,4.757,4.757,79
2025-07-22,1237,4.757,4.757,4.757,4.757,60
2025-07-22,1238,4.757,4.849,4.757,4.757,69
2025-07-22,1239,4.757,4.757,4.757,4.757,60
2025-07-22,1240,4.757,4.849,4.7,4.7,289
2025-07-22,1241,4.7,4.757,4.7,4.7,129
2025-07-22,1242,4.707,4.707,4.7,4.7,99
2025-07-22,1243,4.707,4.849,4.707,4.815,109
2025-07-22,1244,4.708,4.84,4.7,4.7,79
2025-07-22,1245,4.708,4.849,4.708,4.84,59
2025-07-22,1246,4.6,4.773,4.6,4.773,1132
2025-07-22,1247,4.7,4.757,4.567,4.757,129
2025-07-22,1248,4.757,4.757,4.757,4.757,59
2025-07-22,1249,4.757,4.758,4.757,4.758,60
2025-07-22,1250,4.758,4.758,4.758,4.758,69
2025-07-22,1251,4.758,4.758,4.758,4.758,79
2025-07-22,1252,4.758,4.758,4.758,4.758,50
2025-07-22,1253,4.758,4.758,4.758,4.758,60
2025-07-22,1254,4.758,4.758,4.7,4.758,70
2025-07-22,1255,4.758,4.849,4.7,4.758,60
2025-07-22,1256,4.758,4.758,4.758,4.758,60
2025-07-22,1257,4.758,4.758,4.758,4.758,56
2025-07-22,1258,4.758,4.758,4.758,4.758,60
2025-07-22,1259,4.758,4.758,4.758,4.758,50
2025-07-22,1300,4.758,4.774,4.7,4.774,70
2025-07-22,1301,4.774,4.849,4.774,4.849,60
2025-07-22,1302,4.775,4.775,4.7,4.774,70
2025-07-22,1303,4.774,4.775,4.7,4.774,199
2025-07-22,1304,4.849,4.849,4.7,4.775,829
2025-07-22,1305,4.775,4.94,4.775,4.94,176
2025-07-22,1306,4.93,4.95,4.778,4.778,129
2025-07-22,1307,4.759,4.845,4.754,4.801,124
2025-07-22,1308,4.85,4.875,4.8,4.85,1232
2025-07-22,1309,4.8,4.85,4.8,4.85,89
2025-07-22,1310,4.8,4.85,4.759,4.759,109
2025-07-22,1311,4.759,4.759,4.759,4.759,59
2025-07-22,1312,4.759,4.825,4.759,4.825,99
2025-07-22,1313,4.825,4.825,4.8,4.825,169
2025-07-22,1314,4.825,4.95,4.8,4.8,119
2025-07-22,1315,4.9,4.95,4.8,4.95,99
2025-07-22,1316,4.8,4.95,4.8,4.8,170
2025-07-22,1317,4.8,4.95,4.8,4.95,120
2025-07-22,1318,4.95,4.95,4.9,4.95,150
2025-07-22,1319,4.95,4.95,4.9,4.9,493
2025-07-22,1320,4.95,4.95,4.95,4.95,60
2025-07-22,1321,4.9,4.95,4.9,4.9,89
2025-07-22,1322,4.9,4.9,4.9,4.9,77
2025-07-22,1325,4.89,4.89,4.89,4.89,50
2025-07-22,1329,4.89,4.89,4.89,4.89,10
2025-07-22,1331,4.803,4.803,4.803,4.803,340
2025-07-22,1342,5.0,5.0,5.0,5.0,30
2025-07-22,1349,4.89,4.89,4.89,4.89,74
2025-07-22,1350,4.89,4.89,4.89,4.89,10
2025-07-22,1352,4.89,4.89,4.89,4.89,20
2025-07-22,1353,4.901,4.901,4.901,4.901,20
2025-07-22,1355,4.89,5.0,4.89,4.89,50
2025-07-22,1413,4.916,4.916,4.916,4.916,100
2025-07-22,1449,4.89,4.89,4.89,4.89,12
2025-07-22,1454,4.805,4.805,4.805,4.805,700
2025-07-22,1501,4.83,4.83,4.8,4.8,2385
2025-07-22,1502,4.801,4.801,4.8,4.801,105
2025-07-22,1531,5.1,5.1,5.1,5.1,52
2025-07-22,1540,4.905,4.905,4.905,4.905,22
2025-07-22,1542,4.8,4.954,4.8,4.832,450
2025-07-22,1546,4.88,4.88,4.8,4.88,151
2025-07-22,1547,4.846,4.846,4.846,4.846,50
2025-07-22,1550,4.795,4.98,4.795,4.98,1779
2025-07-22,1551,4.985,4.99,4.985,4.99,220
2025-07-22,1552,4.99,4.992,4.941,4.992,381
2025-07-22,1558,4.992,4.992,4.992,4.992,17
2025-07-22,1601,4.992,4.992,4.992,4.992,10
2025-07-22,1629,4.992,4.992,4.992,4.992,20
2025-07-22,1638,5.09,5.09,5.09,5.09,20
2025-07-22,1644,5.095,5.095,5.095,5.095,80
2025-07-22,1700,5.1,5.1,5.1,5.1,20
2025-07-22,1723,5.012,5.012,4.8,4.8,436
2025-07-22,1741,4.9,4.9,4.9,4.9,20
2025-07-22,1838,4.9,4.9,4.9,4.9,117
2025-07-22,1937,4.998,4.998,4.998,4.998,10
2025-07-22,1941,4.905,4.905,4.905,4.905,10
2025-07-22,1945,4.9,4.9,4.9,4.9,256
2025-07-22,1946,4.9,4.9,4.9,4.9,77
2025-07-22,1948,4.9,4.9,4.9,4.9,77
2025-07-23,446,4.958,4.958,4.809,4.809,35
2025-07-23,447,4.809,4.809,4.809,4.809,33
2025-07-23,648,4.958,4.958,4.958,4.958,11
2025-07-23,733,4.82,4.82,4.82,4.82,50
2025-07-23,735,4.8,4.8,4.8,4.8,375
2025-07-23,800,4.809,4.809,4.8,4.8,61
2025-07-23,803,4.809,4.809,4.751,4.751,80
2025-07-23,811,4.75,4.75,4.75,4.75,45
2025-07-23,813,4.751,4.751,4.751,4.751,10
2025-07-23,821,4.988,4.988,4.988,4.988,30
2025-07-23,825,4.8,4.8,4.8,4.8,98
2025-07-23,831,4.751,4.751,4.751,4.751,25
2025-07-23,853,4.75,4.75,4.75,4.75,10
