date,time,open,high,low,close,volume
2025-07-28,700,9.72,9.72,9.72,9.72,11
2025-07-28,800,9.897,9.897,9.875,9.875,24
2025-07-28,838,9.723,9.723,9.723,9.723,20
2025-07-28,910,9.005,9.005,9.005,9.005,7
2025-07-28,930,9.75,9.75,9.75,9.75,4
2025-07-28,932,9.01,9.01,9.01,9.01,632
2025-07-28,1006,9.38,9.38,9.38,9.38,4
2025-07-28,1042,9.38,9.38,9.378,9.378,24
2025-07-28,1045,9.375,9.378,9.375,9.378,68
2025-07-28,1118,9.225,9.225,9.225,9.225,103
2025-07-28,1140,9.638,9.638,9.638,9.638,62
2025-07-28,1151,9.488,9.488,9.488,9.488,10
2025-07-28,1224,9.488,9.488,9.488,9.488,104
2025-07-28,1242,9.225,9.225,9.225,9.225,200
2025-07-28,1312,9.25,9.25,9.25,9.25,80
2025-07-28,1345,9.253,9.253,9.253,9.253,30
2025-07-28,1417,9.253,9.253,9.215,9.215,98
2025-07-28,1430,9.178,9.178,9.178,9.178,31
2025-07-28,1431,9.17,9.17,9.17,9.17,19
2025-07-28,1432,9.17,9.195,9.158,9.158,64
2025-07-28,1443,9.452,9.452,9.452,9.452,5
2025-07-28,1510,9.158,9.158,9.158,9.158,18
2025-07-28,1529,9.725,9.75,9.725,9.75,404
2025-07-28,1559,9.495,9.495,9.25,9.475,115
2025-07-29,945,9.253,9.253,9.253,9.253,5
2025-07-29,948,9.47,10.27,9.47,10.21,1170
2025-07-29,949,9.5,9.5,9.5,9.5,7
2025-07-29,1010,9.5,9.525,9.5,9.5,1184
2025-07-29,1041,9.5,9.5,9.5,9.5,60
2025-07-29,1050,9.25,9.25,9.25,9.25,40
2025-07-29,1054,9.25,9.25,9.25,9.25,20
2025-07-29,1105,9.5,9.5,9.5,9.5,44
2025-07-29,1129,9.5,9.5,9.205,9.205,133
2025-07-29,1130,9.253,9.253,9.253,9.253,8
2025-07-29,1131,9.253,9.253,9.253,9.253,13
2025-07-29,1144,9.47,9.47,9.47,9.47,4
2025-07-29,1326,9.253,9.253,9.253,9.253,20
2025-07-29,1416,9.253,9.253,9.253,9.253,8
2025-07-29,1451,9.36,9.36,9.36,9.36,7
2025-07-29,1452,9.36,9.36,9.36,9.36,4
2025-07-29,1525,9.375,9.375,9.375,9.375,104
2025-07-29,1547,9.36,9.36,9.36,9.36,20
2025-07-29,1557,9.362,9.362,9.362,9.362,8
2025-07-30,527,9.362,9.362,9.362,9.362,117
2025-07-30,830,9.205,9.205,9.195,9.195,60
2025-07-30,930,9.9,9.9,9.1,9.1,16
2025-07-30,937,8.923,8.923,8.923,8.923,4
2025-07-30,943,8.925,8.925,8.925,8.925,120
2025-07-30,950,9.043,9.043,9.043,9.043,28
2025-07-30,951,9.265,9.267,9.265,9.267,8
2025-07-30,1001,9.0,9.0,9.0,9.0,8
2025-07-30,1011,9.25,9.25,9.25,9.25,4
2025-07-30,1013,9.25,9.25,9.25,9.25,11
2025-07-30,1022,9.18,9.18,9.095,9.095,56
2025-07-30,1034,9.095,9.095,9.095,9.095,4
2025-07-30,1037,9.095,9.128,8.97,9.0,324
2025-07-30,1038,9.0,9.0,9.0,9.0,138
2025-07-30,1039,9.0,9.0,8.755,8.755,309
2025-07-30,1041,8.755,8.755,8.578,8.578,1100
2025-07-30,1042,8.578,8.578,8.578,8.578,32
2025-07-30,1044,8.578,8.952,8.578,8.753,41
2025-07-30,1045,8.95,8.95,8.555,8.555,66
2025-07-30,1046,8.558,8.558,8.558,8.558,224
2025-07-30,1047,8.558,8.558,8.558,8.558,21
2025-07-30,1048,8.638,8.638,8.638,8.638,12
2025-07-30,1050,8.578,8.753,8.578,8.753,36
2025-07-30,1058,8.558,8.558,8.505,8.505,178
2025-07-30,1059,8.505,8.505,8.505,8.505,4
2025-07-30,1100,8.63,8.63,8.63,8.63,52
2025-07-30,1102,8.51,8.51,8.51,8.51,70
2025-07-30,1106,8.51,8.51,8.51,8.51,12
2025-07-30,1112,8.61,8.61,8.61,8.61,49
2025-07-30,1115,8.715,8.715,8.715,8.715,32
2025-07-30,1124,9.248,9.248,9.248,9.248,108
2025-07-30,1155,8.938,9.248,8.938,9.248,40
2025-07-30,1226,8.625,8.625,8.625,8.625,4
2025-07-30,1313,9.01,9.01,9.01,9.01,8
2025-07-30,1353,9.015,9.015,9.015,9.015,10
2025-07-30,1402,8.528,8.528,8.528,8.528,4
2025-07-30,1411,8.622,8.622,8.622,8.622,4
2025-07-30,1420,8.745,8.745,8.745,8.745,11
2025-07-30,1424,8.532,8.532,8.532,8.532,4
