date,time,open,high,low,close,volume
2025-07-29,845,9.62,9.62,9.61,9.61,4056
2025-07-29,846,9.5,9.7,9.5,9.7,400
2025-07-29,849,9.49,9.49,9.49,9.49,301
2025-07-29,851,9.35,9.59,9.35,9.59,300
2025-07-29,853,9.4,9.4,9.4,9.4,100
2025-07-29,858,9.59,9.59,9.59,9.59,100
2025-07-29,915,9.59,9.6,9.59,9.6,1454
2025-07-29,930,9.34,9.34,9.34,9.34,955
2025-07-29,940,9.02,9.03,8.99,9.0,2671
2025-07-29,941,8.7551,8.7551,8.7551,8.7551,178
2025-07-29,942,8.8,8.8,8.8,8.8,656
2025-07-29,944,8.6392,8.6392,8.55,8.55,3527
2025-07-29,949,8.8,8.8,8.8,8.8,200
2025-07-29,950,8.85,8.85,8.51,8.6,1800
2025-07-29,952,8.5,8.5,8.05,8.3341,1101
2025-07-29,954,8.11,8.11,8.09,8.09,250
2025-07-29,956,8.2772,8.2772,8.2772,8.2772,604
2025-07-29,957,8.21,8.21,8.11,8.11,700
2025-07-29,958,8.02,8.02,8.02,8.02,804
2025-07-29,1000,7.97,8.0,7.75,7.75,1047
2025-07-29,1005,7.8251,7.8251,7.8251,7.8251,2003
2025-07-29,1007,7.8389,8.02,7.8389,8.02,7768
2025-07-29,1015,7.87,7.87,7.87,7.87,150
2025-07-29,1016,7.7961,7.7961,7.7961,7.7961,126
2025-07-29,1018,7.9993,7.9993,7.9993,7.9993,253
2025-07-29,1019,7.7801,8.02,7.7801,8.02,1520
2025-07-29,1020,8.0443,8.1867,8.0443,8.1867,1300
2025-07-29,1024,8.32,8.32,8.32,8.32,250
2025-07-29,1036,8.26,8.26,8.19,8.19,813
2025-07-29,1037,7.73,7.9844,7.73,7.9844,654
2025-07-29,1038,7.757,7.995,7.7301,7.7565,3000
2025-07-29,1041,7.84,7.84,7.82,7.82,599
2025-07-29,1049,7.97,7.98,7.96,7.96,325
2025-07-29,1050,7.98,8.0,7.925,8.0,4146
2025-07-29,1052,8.01,8.01,7.85,7.85,852
2025-07-29,1053,7.8549,7.8549,7.8549,7.8549,856
2025-07-29,1054,7.8,7.8,7.78,7.78,1201
2025-07-29,1055,7.79,7.79,7.6693,7.6693,446
2025-07-29,1058,7.67,7.67,7.67,7.67,163
2025-07-29,1059,7.63,7.63,7.63,7.63,210
2025-07-29,1105,7.66,7.66,7.56,7.6356,1016
2025-07-29,1107,7.69,7.69,7.69,7.69,500
2025-07-29,1109,7.8,7.8711,7.8,7.8711,1000
2025-07-29,1113,7.75,7.75,7.75,7.75,200
2025-07-29,1114,7.75,7.75,7.75,7.75,207
2025-07-29,1118,7.58,7.59,7.58,7.59,275
2025-07-29,1119,7.6,7.6,7.6,7.6,101
2025-07-29,1121,7.77,7.7999,7.7206,7.7206,1302
2025-07-29,1122,7.75,7.75,7.75,7.75,101
2025-07-29,1125,7.7,7.7,7.7,7.7,100
2025-07-29,1127,7.77,7.77,7.77,7.77,100
2025-07-29,1131,7.7472,7.7472,7.7472,7.7472,201
2025-07-29,1133,7.74,7.74,7.69,7.69,900
2025-07-29,1134,7.6342,7.6342,7.6342,7.6342,300
2025-07-29,1140,7.7,7.7,7.7,7.7,111
2025-07-29,1141,7.66,7.7,7.66,7.7,4676
2025-07-29,1142,8.4,8.4,7.8,7.8,913
2025-07-29,1143,7.8,7.8,7.8,7.8,106
2025-07-29,1144,7.8,7.8,7.56,7.56,1052
2025-07-29,1145,7.56,7.56,7.24,7.24,2096
2025-07-29,1148,7.3258,7.3258,7.3258,7.3258,500
2025-07-29,1153,7.31,7.31,7.31,7.31,100
2025-07-29,1154,7.35,7.4115,7.35,7.4115,215
2025-07-29,1155,7.42,7.42,7.42,7.42,200
2025-07-29,1156,7.42,7.42,7.3425,7.3425,486
2025-07-29,1209,7.3402,7.4134,7.3402,7.4134,650
2025-07-29,1212,7.45,7.45,7.45,7.45,760
2025-07-29,1216,7.39,7.5,7.39,7.5,3822
2025-07-29,1224,7.56,7.56,7.52,7.52,1079
2025-07-29,1225,7.45,7.45,7.45,7.45,100
2025-07-29,1236,7.39,7.39,7.39,7.39,100
2025-07-29,1241,7.31,7.35,7.3,7.32,2359
2025-07-29,1253,7.38,7.38,7.38,7.38,220
2025-07-29,1305,7.42,7.49,7.42,7.49,1000
2025-07-29,1307,7.35,7.35,7.35,7.35,3368
2025-07-29,1309,7.4886,7.4886,7.4886,7.4886,1001
2025-07-29,1321,7.415,7.415,7.415,7.415,113
2025-07-29,1322,7.42,7.43,7.39,7.39,987
2025-07-29,1323,7.45,7.45,7.45,7.45,4000
2025-07-29,1325,7.38,7.48,7.38,7.48,1626
2025-07-29,1326,7.47,7.47,7.47,7.47,8250
2025-07-29,1327,7.53,7.53,7.38,7.38,640
2025-07-29,1328,7.42,7.42,7.42,7.42,4634
2025-07-29,1331,7.41,7.41,7.41,7.41,100
2025-07-29,1334,7.382,7.382,7.382,7.382,101
2025-07-29,1336,7.3501,7.3501,7.3501,7.3501,100
2025-07-29,1340,7.39,7.39,7.39,7.39,100
2025-07-29,1341,7.385,7.385,7.385,7.385,100
2025-07-29,1350,7.36,7.405,7.35,7.405,7089
2025-07-29,1354,7.43,7.45,7.43,7.43,772
2025-07-29,1357,7.42,7.46,7.42,7.46,350
2025-07-29,1359,7.42,7.42,7.42,7.42,200
2025-07-29,1406,7.39,7.39,7.38,7.38,226
2025-07-29,1416,7.46,7.46,7.4,7.4,7926
2025-07-29,1424,7.25,7.26,7.25,7.26,300
2025-07-29,1435,7.25,7.25,7.25,7.25,252
2025-07-29,1436,7.32,7.32,7.32,7.32,100
2025-07-29,1445,7.325,7.325,7.325,7.325,350
2025-07-29,1448,7.2601,7.2601,7.2601,7.2601,250
2025-07-29,1449,7.26,7.26,7.25,7.25,716
2025-07-29,1452,7.2,7.2,7.2,7.2,200
2025-07-29,1455,7.2,7.2,7.2,7.2,200
2025-07-29,1456,7.235,7.235,7.235,7.235,101
2025-07-29,1503,7.15,7.15,7.15,7.15,1005
2025-07-29,1510,7.21,7.21,7.21,7.21,100
2025-07-29,1511,7.2,7.2,7.2,7.2,117
2025-07-29,1518,7.11,7.11,7.11,7.11,304
2025-07-29,1519,7.2174,7.2174,7.2174,7.2174,500
2025-07-29,1523,7.2,7.2,7.11,7.11,200
2025-07-29,1524,7.4,7.4,7.4,7.4,200
2025-07-29,1528,7.1,7.11,7.1,7.1,500
2025-07-29,1532,7.13,7.13,7.13,7.13,300
2025-07-29,1534,7.225,7.225,7.225,7.225,200
2025-07-29,1539,7.2331,7.2331,7.05,7.05,1201
2025-07-29,1540,7.05,7.05,7.05,7.05,508
2025-07-29,1545,7.11,7.11,7.11,7.11,581
2025-07-29,1548,7.0,7.0,7.0,7.0,506
2025-07-29,1553,7.02,7.02,7.02,7.02,100
2025-07-29,1555,7.1875,7.1875,7.1875,7.1875,129
2025-07-29,1557,7.33,7.33,7.29,7.29,284
2025-07-29,1559,7.04,7.04,7.01,7.03,701
2025-07-30,930,7.24,7.24,7.24,7.24,138
2025-07-30,951,7.5888,7.5888,7.5888,7.5888,100
2025-07-30,953,7.59,7.59,7.59,7.59,112
2025-07-30,955,7.5515,7.5515,7.5515,7.5515,100
2025-07-30,1005,7.25,7.25,7.232,7.232,943
2025-07-30,1007,7.4282,7.4282,7.4282,7.4282,131
2025-07-30,1019,7.12,7.12,7.12,7.12,201
2025-07-30,1020,7.308,7.308,7.308,7.308,194
2025-07-30,1022,7.12,7.1535,7.12,7.1535,571
2025-07-30,1024,7.18,7.18,7.13,7.13,762
2025-07-30,1025,7.1308,7.1308,7.1308,7.1308,330
2025-07-30,1026,7.2984,7.2984,7.2984,7.2984,185
2025-07-30,1027,7.1898,7.1898,7.1898,7.1898,564
2025-07-30,1028,7.0893,7.19,7.0893,7.19,518
2025-07-30,1029,7.08,7.08,7.06,7.06,567
2025-07-30,1030,7.1381,7.1381,7.1381,7.1381,293
2025-07-30,1031,7.0275,7.0275,7.0275,7.0275,280
2025-07-30,1033,7.0248,7.0248,7.0248,7.0248,152
2025-07-30,1035,7.0,7.0,7.0,7.0,366
2025-07-30,1036,6.99,6.99,6.99,6.99,305
2025-07-30,1037,7.0,7.0,7.0,7.0,179
2025-07-30,1041,7.245,7.245,7.245,7.245,210
2025-07-30,1042,7.5298,7.5298,6.9607,6.9607,996
2025-07-30,1043,7.11,7.11,7.01,7.01,548
2025-07-30,1044,7.5204,7.5204,7.1776,7.1776,700
2025-07-30,1045,7.5083,7.5083,7.1246,7.1246,585
2025-07-30,1046,7.4528,7.4528,7.4528,7.4528,200
2025-07-30,1049,7.3747,7.3747,7.3747,7.3747,310
2025-07-30,1050,6.9274,6.9274,6.9274,6.9274,200
2025-07-30,1051,7.3659,7.3659,7.3659,7.3659,105
2025-07-30,1110,6.86,6.8868,6.86,6.8868,520
2025-07-30,1117,7.3,7.3,7.3,7.3,200
2025-07-30,1119,7.1186,7.1186,7.1186,7.1186,263
2025-07-30,1121,7.1705,7.1705,7.1705,7.1705,200
2025-07-30,1122,6.93,7.1186,6.93,7.1186,620
2025-07-30,1123,6.93,7.0504,6.86,6.86,973
2025-07-30,1124,6.8,6.8,6.78,6.78,1368
2025-07-30,1125,6.76,6.77,6.76,6.77,692
2025-07-30,1126,6.6768,6.6768,6.6428,6.6428,977
2025-07-30,1129,6.6021,6.6021,6.6021,6.6021,510
2025-07-30,1130,6.666,6.666,6.666,6.666,500
2025-07-30,1131,6.6738,6.6738,6.55,6.55,2330
2025-07-30,1132,6.514,6.514,6.514,6.514,300
2025-07-30,1133,6.7554,6.7554,6.5188,6.5188,901
2025-07-30,1134,6.5927,6.5927,6.5,6.5927,715
2025-07-30,1135,6.3448,6.3448,6.3448,6.3448,472
2025-07-30,1137,6.4043,6.4043,6.2,6.2,837
2025-07-30,1140,6.1503,6.1503,6.1503,6.1503,205
2025-07-30,1141,6.1201,6.1201,6.1201,6.1201,500
2025-07-30,1142,6.2285,6.2285,6.2285,6.2285,432
2025-07-30,1143,6.1201,6.1481,6.1201,6.1481,915
2025-07-30,1144,6.1201,6.285,6.1201,6.13,1224
2025-07-30,1145,6.1201,6.1535,6.1201,6.1535,1108
2025-07-30,1146,6.15,6.188,6.12,6.13,2000
2025-07-30,1147,6.1935,6.1935,6.12,6.121,3500
2025-07-30,1149,6.15,6.15,5.91,5.91,3048
2025-07-30,1151,5.7753,5.7753,5.7753,5.7753,516
2025-07-30,1152,5.8034,5.8034,5.8034,5.8034,3516
2025-07-30,1153,5.8704,5.8704,5.8704,5.8704,513
