date,time,open,high,low,close,volume
2025-08-04,400,2.988,3.8,2.96,3.466,92573
2025-08-04,401,3.466,3.626,3.29,3.296,65680
2025-08-04,402,3.296,3.574,3.25,3.424,80378
2025-08-04,403,3.442,3.462,3.366,3.39,50134
2025-08-04,404,3.39,3.408,3.2,3.4,45898
2025-08-04,405,3.4,3.402,3.242,3.298,40287
2025-08-04,406,3.296,3.36,3.246,3.29,39641
2025-08-04,407,3.29,3.29,3.172,3.194,60431
2025-08-04,408,3.188,3.29,3.16,3.278,34436
2025-08-04,409,3.276,3.3,3.206,3.206,13666
2025-08-04,410,3.208,3.33,3.2,3.318,23598
2025-08-04,411,3.318,3.318,3.242,3.312,21610
2025-08-04,412,3.308,3.312,3.148,3.148,23911
2025-08-04,413,3.168,3.196,3.08,3.084,39387
2025-08-04,414,3.084,3.146,3.084,3.104,16024
2025-08-04,415,3.104,3.166,3.09,3.166,11853
2025-08-04,416,3.168,3.198,3.092,3.1,11131
2025-08-04,417,3.1,3.102,2.936,2.952,37650
2025-08-04,418,2.954,3.058,2.95,3.022,15913
2025-08-04,419,3.028,3.06,3.022,3.038,6447
2025-08-04,420,3.026,3.036,3.004,3.004,6410
2025-08-04,421,3.006,3.02,3.0,3.0,7088
2025-08-04,422,3.0,3.032,2.932,2.994,18513
2025-08-04,423,2.99,3.02,2.98,3.02,5092
2025-08-04,424,3.014,3.018,2.99,2.992,7407
2025-08-04,425,2.99,2.992,2.98,2.98,4888
2025-08-04,426,2.986,3.02,2.98,3.018,4539
2025-08-04,427,3.026,3.154,3.012,3.104,8991
2025-08-04,428,3.114,3.176,3.114,3.158,25787
2025-08-04,429,3.152,3.158,3.052,3.1,15260
2025-08-04,430,3.1,3.11,3.044,3.054,7152
2025-08-04,431,3.054,3.054,3.0,3.02,7960
2025-08-04,432,3.02,3.054,3.016,3.03,1786
2025-08-04,433,3.046,3.078,3.002,3.076,3209
2025-08-04,434,3.074,3.096,3.044,3.072,3670
2025-08-04,435,3.048,3.076,3.048,3.052,2083
2025-08-04,436,3.05,3.06,3.034,3.056,3892
2025-08-04,437,3.064,3.098,3.054,3.094,3503
2025-08-04,438,3.09,3.142,3.09,3.126,8065
2025-08-04,439,3.132,3.158,3.106,3.106,15094
2025-08-04,440,3.106,3.114,3.068,3.07,3602
2025-08-04,441,3.072,3.1,3.048,3.078,6801
2025-08-04,442,3.086,3.1,3.054,3.054,2352
2025-08-04,443,3.056,3.056,3.022,3.024,4382
2025-08-04,444,3.022,3.048,3.01,3.036,3099
2025-08-04,445,3.036,3.1,3.034,3.056,4854
2025-08-04,446,3.056,3.06,3.038,3.04,1300
2025-08-04,447,3.04,3.042,3.022,3.028,3124
2025-08-04,448,3.024,3.06,3.022,3.024,2129
2025-08-04,449,3.034,3.046,3.024,3.026,1922
2025-08-04,450,3.026,3.034,3.022,3.024,1566
2025-08-04,451,3.022,3.12,3.022,3.106,9210
2025-08-04,452,3.106,3.12,3.064,3.08,9334
2025-08-04,453,3.088,3.088,3.03,3.032,1463
2025-08-04,454,3.038,3.074,3.032,3.032,5608
2025-08-04,455,3.034,3.038,3.002,3.016,7200
2025-08-04,456,3.014,3.028,3.002,3.028,3790
2025-08-04,457,3.016,3.02,3.002,3.016,1941
2025-08-04,458,3.016,3.03,3.012,3.03,3053
2025-08-04,459,3.052,3.064,3.026,3.046,1486
2025-08-04,500,3.022,3.06,3.022,3.06,2921
2025-08-04,501,3.056,3.098,3.05,3.06,6165
2025-08-04,502,3.06,3.09,3.05,3.06,6182
2025-08-04,503,3.054,3.06,3.016,3.028,2403
2025-08-04,504,3.026,3.03,3.016,3.03,3207
2025-08-04,505,3.034,3.056,3.028,3.056,2801
2025-08-04,506,3.032,3.088,3.032,3.064,1600
2025-08-04,507,3.07,3.114,3.064,3.104,3824
2025-08-04,508,3.104,3.108,3.04,3.062,4073
2025-08-04,509,3.06,3.126,3.06,3.116,10220
2025-08-04,510,3.114,3.116,3.054,3.064,6620
2025-08-04,511,3.066,3.08,3.064,3.078,4097
2025-08-04,512,3.078,3.08,3.066,3.08,1293
2025-08-04,513,3.072,3.114,3.07,3.11,2962
2025-08-04,514,3.098,3.126,3.088,3.12,4942
2025-08-04,515,3.122,3.188,3.1,3.136,14565
2025-08-04,516,3.14,3.196,3.128,3.19,19962
2025-08-04,517,3.194,3.24,3.17,3.24,42553
2025-08-04,518,3.246,3.398,3.192,3.24,48517
2025-08-04,519,3.238,3.238,3.172,3.202,21448
2025-08-04,520,3.202,3.202,3.08,3.086,20604
2025-08-04,521,3.082,3.146,3.078,3.144,22290
2025-08-04,522,3.146,3.218,3.132,3.186,19870
2025-08-04,523,3.188,3.188,3.12,3.126,10060
2025-08-04,524,3.126,3.14,3.104,3.104,7579
2025-08-04,525,3.106,3.12,3.07,3.08,14091
2025-08-04,526,3.078,3.096,3.076,3.08,9428
2025-08-04,527,3.088,3.158,3.086,3.154,4763
2025-08-04,528,3.154,3.2,3.13,3.198,11632
2025-08-04,529,3.198,3.306,3.192,3.292,48184
2025-08-04,530,3.292,3.31,3.24,3.288,36230
2025-08-04,531,3.288,3.322,3.23,3.318,51937
2025-08-04,532,3.31,3.318,3.206,3.274,25743
2025-08-04,533,3.274,3.274,3.22,3.262,19712
2025-08-04,534,3.262,3.31,3.226,3.27,17864
2025-08-04,535,3.264,3.28,3.238,3.258,9105
2025-08-04,536,3.256,3.298,3.248,3.254,20850
2025-08-04,537,3.254,3.268,3.166,3.244,25212
2025-08-04,538,3.244,3.286,3.22,3.254,14458
2025-08-04,539,3.25,3.37,3.24,3.332,36244
2025-08-04,540,3.338,3.468,3.296,3.456,73658
2025-08-04,541,3.456,3.49,3.41,3.476,80912
2025-08-04,542,3.484,3.498,3.426,3.44,43118
2025-08-04,543,3.442,3.492,3.388,3.486,54417
2025-08-04,544,3.492,3.514,3.428,3.452,53789
2025-08-04,545,3.446,3.454,3.38,3.38,38535
2025-08-04,546,3.382,3.45,3.37,3.416,26154
2025-08-04,547,3.416,3.424,3.394,3.394,9863
2025-08-04,548,3.394,3.414,3.38,3.394,13417
2025-08-04,549,3.394,3.394,3.28,3.34,45143
2025-08-04,550,3.338,3.386,3.33,3.374,21964
2025-08-04,551,3.372,3.374,3.26,3.262,15225
2025-08-04,552,3.262,3.304,3.252,3.28,14792
2025-08-04,553,3.282,3.33,3.214,3.32,14075
2025-08-04,554,3.322,3.322,3.184,3.206,14690
2025-08-04,555,3.206,3.322,3.2,3.286,30371
2025-08-04,556,3.286,3.322,3.286,3.304,11864
2025-08-04,557,3.304,3.31,3.214,3.234,16307
2025-08-04,558,3.24,3.266,3.238,3.26,5112
2025-08-04,559,3.258,3.26,3.25,3.252,5936
2025-08-04,600,3.254,3.254,3.248,3.25,6665
2025-08-04,601,3.25,3.25,3.098,3.1,32761
2025-08-04,602,3.1,3.1,3.03,3.072,50869
2025-08-04,603,3.072,3.132,3.072,3.114,18106
2025-08-04,604,3.118,3.128,3.09,3.096,17306
2025-08-04,605,3.1,3.104,3.016,3.016,26892
2025-08-04,606,3.016,3.018,2.958,3.0,44455
2025-08-04,607,2.998,3.04,2.992,3.028,9859
2025-08-04,608,3.024,3.034,3.004,3.004,9754
2025-08-04,609,3.002,3.002,2.964,2.984,15156
2025-08-04,610,2.984,3.04,2.98,3.024,9548
2025-08-04,611,3.024,3.132,3.022,3.048,11882
2025-08-04,612,3.05,3.052,3.026,3.026,7994
2025-08-04,613,3.024,3.064,3.006,3.056,10946
2025-08-04,614,3.056,3.066,3.042,3.066,2631
2025-08-04,615,3.068,3.068,3.05,3.056,4176
2025-08-04,616,3.056,3.09,3.048,3.084,9062
2025-08-04,617,3.082,3.1,3.082,3.086,4779
2025-08-04,618,3.086,3.088,3.08,3.082,9383
2025-08-04,619,3.08,3.082,3.06,3.06,5185
2025-08-04,620,3.06,3.072,3.06,3.06,3082
2025-08-04,621,3.062,3.062,3.04,3.052,5253
2025-08-04,622,3.052,3.102,3.048,3.096,5656
2025-08-04,623,3.096,3.124,3.046,3.096,5621
2025-08-04,624,3.096,3.1,3.088,3.09,5055
2025-08-04,625,3.094,3.098,3.09,3.092,4952
2025-08-04,626,3.094,3.118,3.074,3.076,7517
2025-08-04,627,3.072,3.08,3.06,3.08,2379
2025-08-04,628,3.08,3.08,3.058,3.06,2745
2025-08-04,629,3.06,3.084,3.05,3.068,6049
2025-08-04,630,3.07,3.096,3.07,3.076,3656
2025-08-04,631,3.074,3.074,3.014,3.016,5709
