date,time,open,high,low,close,volume
2025-08-05,800,0.4255,0.4255,0.4255,0.4255,100
2025-08-05,827,0.4,0.4,0.4,0.4,150
2025-08-05,930,0.43,0.43,0.43,0.43,216
2025-08-05,934,0.4,0.4,0.4,0.4,713
2025-08-05,937,0.409,0.409,0.409,0.409,444
2025-08-05,942,0.4389,0.4389,0.4389,0.4389,1000
2025-08-05,944,0.4038,0.4038,0.4038,0.4038,1233
2025-08-05,1049,0.4244,0.4244,0.4244,0.4244,208
2025-08-05,1057,0.4101,0.4101,0.4101,0.4101,123
2025-08-05,1140,0.4159,0.4159,0.4159,0.4159,1011
2025-08-05,1142,0.4199,0.4199,0.4199,0.4199,110
2025-08-05,1214,0.42,0.42,0.42,0.42,9728
2025-08-05,1220,0.42,0.42,0.42,0.42,900
2025-08-05,1303,0.42,0.42,0.42,0.42,100
2025-08-05,1321,0.4129,0.4129,0.4129,0.4129,300
2025-08-05,1330,0.4089,0.4089,0.4089,0.4089,1600
2025-08-05,1342,0.43,0.43,0.43,0.43,200
2025-08-05,1401,0.4091,0.4091,0.4091,0.4091,755
2025-08-05,1411,0.43,0.43,0.43,0.43,165
2025-08-05,1421,0.43,0.43,0.43,0.43,225
2025-08-05,1423,0.405,0.405,0.405,0.405,200
2025-08-05,1426,0.405,0.405,0.405,0.405,225
2025-08-05,1427,0.4051,0.4051,0.4051,0.4051,1000
2025-08-05,1520,0.4102,0.4102,0.4102,0.4102,901
2025-08-05,1551,0.4171,0.4171,0.4171,0.4171,600
2025-08-05,1557,0.43,0.43,0.43,0.43,163
2025-08-05,1558,0.4193,0.4193,0.4193,0.4193,101
2025-08-05,1842,0.4199,0.4199,0.4199,0.4199,550
2025-08-06,800,0.4282,0.4389,0.4282,0.4389,1134
2025-08-06,820,0.425,0.425,0.425,0.425,101
2025-08-06,829,0.4392,0.4392,0.4392,0.4392,430
2025-08-06,915,0.4299,0.4299,0.4299,0.4299,300
2025-08-06,917,0.4302,0.4302,0.4302,0.4302,1510
2025-08-06,945,0.4189,0.4189,0.4189,0.4189,250
2025-08-06,947,0.4095,0.4095,0.4095,0.4095,1193
2025-08-06,948,0.4095,0.4095,0.4095,0.4095,200
2025-08-06,1003,0.419,0.419,0.419,0.419,110
2025-08-06,1018,0.4001,0.4001,0.4001,0.4001,768
2025-08-06,1020,0.4001,0.4001,0.4001,0.4001,100
2025-08-06,1022,0.4001,0.4001,0.4001,0.4001,1000
2025-08-06,1024,0.4095,0.4095,0.4095,0.4095,999
2025-08-06,1025,0.4001,0.4001,0.4001,0.4001,983
2025-08-06,1026,0.4095,0.4095,0.4095,0.4095,500
2025-08-06,1034,0.4095,0.4095,0.4095,0.4095,500
2025-08-06,1037,0.419,0.419,0.4,0.4001,9247
2025-08-06,1039,0.4001,0.4001,0.4001,0.4001,2000
2025-08-06,1042,0.4001,0.4001,0.4001,0.4001,1000
2025-08-06,1049,0.4,0.4,0.4,0.4,1000
2025-08-06,1102,0.4125,0.4125,0.4125,0.4125,1002
2025-08-06,1107,0.41,0.41,0.41,0.41,901
2025-08-06,1113,0.4125,0.4125,0.4125,0.4125,730
2025-08-06,1116,0.4125,0.4125,0.4125,0.4125,255
2025-08-06,1118,0.4125,0.4125,0.4063,0.4125,900
2025-08-06,1135,0.4,0.425,0.4,0.425,1200
2025-08-06,1145,0.42,0.42,0.4,0.4,320
2025-08-06,1148,0.4,0.4,0.4,0.4,1000
2025-08-06,1203,0.4001,0.401,0.4,0.4,1000
2025-08-06,1221,0.4,0.401,0.4,0.4,1000
2025-08-06,1222,0.42,0.42,0.42,0.42,1350
2025-08-06,1226,0.41,0.41,0.41,0.41,500
2025-08-06,1227,0.4,0.4,0.4,0.4,2500
2025-08-06,1246,0.4,0.4,0.4,0.4,1021
2025-08-06,1253,0.4099,0.4099,0.4099,0.4099,999
2025-08-06,1258,0.41,0.41,0.41,0.41,100
2025-08-06,1305,0.4001,0.4001,0.4001,0.4001,1000
2025-08-06,1307,0.4176,0.4176,0.4176,0.4176,500
2025-08-06,1323,0.4003,0.4003,0.4003,0.4003,1000
2025-08-06,1330,0.405,0.405,0.405,0.405,999
2025-08-06,1341,0.4,0.4,0.4,0.4,1000
2025-08-06,1359,0.4095,0.4095,0.4095,0.4095,999
2025-08-06,1400,0.4,0.4,0.4,0.4,1000
2025-08-06,1407,0.4,0.4,0.4,0.4,100
2025-08-06,1419,0.4,0.4,0.4,0.4,1000
2025-08-06,1421,0.41,0.41,0.41,0.41,1000
2025-08-06,1432,0.4189,0.4189,0.4189,0.4189,1000
2025-08-06,1433,0.4189,0.4189,0.4189,0.4189,100
2025-08-06,1438,0.4,0.4,0.4,0.4,990
2025-08-06,1440,0.4095,0.4095,0.4095,0.4095,100
2025-08-06,1455,0.4004,0.4004,0.4,0.4,2400
2025-08-06,1457,0.4,0.4,0.4,0.4,990
2025-08-06,1502,0.404,0.404,0.404,0.404,999
2025-08-06,1514,0.4,0.401,0.4,0.4,1001
2025-08-06,1516,0.41,0.41,0.41,0.41,903
2025-08-06,1529,0.4,0.4,0.4,0.4,990
2025-08-06,1541,0.4,0.4,0.4,0.4,960
2025-08-06,1550,0.419,0.419,0.419,0.419,200
2025-08-06,1552,0.419,0.419,0.419,0.419,1858
2025-08-06,1553,0.4,0.4,0.4,0.4,980
2025-08-06,1558,0.4,0.4,0.4,0.4,960
2025-08-06,1559,0.4038,0.4038,0.4038,0.4038,343
2025-08-06,1632,0.4002,0.404,0.4,0.4,2610
2025-08-06,1633,0.391,0.391,0.3,0.312,26756
2025-08-06,1640,0.3664,0.3664,0.3664,0.3664,999
2025-08-06,1650,0.3737,0.3737,0.3737,0.3737,1998
2025-08-06,1651,0.3737,0.3737,0.3737,0.3737,1818
2025-08-06,1656,0.3737,0.3737,0.3737,0.3737,3100
2025-08-06,1657,0.3737,0.3737,0.3737,0.3737,3100
2025-08-06,1700,0.3596,0.3596,0.3434,0.3434,3540
2025-08-06,1701,0.3126,0.3127,0.3122,0.3122,2400
2025-08-06,1702,0.3123,0.3123,0.3122,0.3122,1800
2025-08-06,1703,0.3145,0.33,0.3145,0.33,1000
2025-08-06,1705,0.3145,0.3145,0.3123,0.3123,500
2025-08-06,1707,0.3185,0.3225,0.3123,0.3123,919
2025-08-06,1708,0.3123,0.315,0.3123,0.315,2000
2025-08-06,1709,0.3326,0.3326,0.3325,0.3325,1099
2025-08-06,1710,0.35,0.365,0.35,0.365,1200
2025-08-06,1711,0.35,0.35,0.35,0.35,1434
2025-08-06,1712,0.3265,0.3265,0.3265,0.3265,2010
2025-08-06,1713,0.3275,0.3275,0.3275,0.3275,4099
2025-08-06,1714,0.3275,0.3275,0.325,0.325,600
2025-08-06,1715,0.313,0.313,0.313,0.313,110
2025-08-06,1718,0.3125,0.313,0.3125,0.313,300
2025-08-06,1727,0.3264,0.3264,0.3264,0.3264,1029
2025-08-06,1728,0.322,0.322,0.322,0.322,210
2025-08-06,1729,0.333,0.333,0.322,0.322,1300
2025-08-06,1730,0.32,0.32,0.32,0.32,1000
2025-08-06,1731,0.3201,0.3201,0.3201,0.3201,1641
2025-08-06,1732,0.32,0.3264,0.3128,0.3128,5853
2025-08-06,1738,0.3254,0.3254,0.3254,0.3254,1109
2025-08-06,1739,0.3126,0.3188,0.3126,0.3188,4298
2025-08-06,1740,0.3188,0.326,0.3188,0.3188,400
2025-08-06,1741,0.3188,0.3188,0.3188,0.3188,500
2025-08-06,1742,0.3188,0.3247,0.3188,0.3188,3399
2025-08-06,1743,0.3188,0.3188,0.3188,0.3188,5000
2025-08-06,1744,0.3188,0.3239,0.3188,0.3188,1499
2025-08-06,1745,0.3188,0.3244,0.3188,0.3188,300
2025-08-06,1746,0.3188,0.3243,0.3188,0.3188,600
2025-08-06,1747,0.3188,0.3188,0.3188,0.3188,300
2025-08-06,1748,0.3188,0.3188,0.3188,0.3188,210
2025-08-06,1749,0.3229,0.3229,0.3188,0.3188,1130
2025-08-06,1752,0.3234,0.3234,0.3234,0.3234,111
2025-08-06,1757,0.3298,0.3298,0.3298,0.3298,2010
2025-08-06,1802,0.3298,0.3298,0.3298,0.3298,4000
2025-08-06,1803,0.3298,0.3298,0.3298,0.3298,700
2025-08-06,1804,0.3299,0.3299,0.3298,0.3299,600
2025-08-06,1805,0.3298,0.3298,0.3298,0.3298,1299
2025-08-06,1806,0.3298,0.3298,0.3298,0.3298,120
2025-08-06,1808,0.3298,0.3298,0.3246,0.3246,999
2025-08-06,1811,0.3202,0.3202,0.3202,0.3202,1100
2025-08-06,1812,0.3202,0.3202,0.3188,0.3188,400
2025-08-06,1813,0.3188,0.32,0.3188,0.32,300
2025-08-06,1814,0.3202,0.3202,0.32,0.3202,500
2025-08-06,1815,0.3202,0.3202,0.3132,0.3132,1386
2025-08-06,1816,0.3132,0.3132,0.3132,0.3132,1300
2025-08-06,1817,0.3133,0.3133,0.312,0.312,5700
2025-08-06,1818,0.3121,0.3121,0.312,0.312,1500
2025-08-06,1819,0.312,0.3185,0.312,0.3185,224
2025-08-06,1820,0.3183,0.3183,0.3183,0.3183,410
2025-08-06,1821,0.3221,0.3221,0.3221,0.3221,1009
2025-08-06,1823,0.3183,0.3183,0.3183,0.3183,101
2025-08-06,1824,0.3286,0.3286,0.3214,0.3214,1000
2025-08-06,1828,0.3278,0.3278,0.3278,0.3278,100
2025-08-06,1829,0.3587,0.3684,0.3587,0.3684,1998
2025-08-06,1830,0.3681,0.3681,0.3677,0.3677,1998
2025-08-06,1831,0.3673,0.3673,0.3666,0.3666,2997
2025-08-06,1832,0.3662,0.3662,0.3217,0.3217,3998
2025-08-06,1833,0.3656,0.3656,0.32,0.32,1299
