date,time,open,high,low,close,volume
2025-09-29,408,2.993,2.993,2.987,2.987,563
2025-09-29,413,2.987,2.987,2.987,2.987,36
2025-09-29,800,3.01,3.01,2.987,2.987,343
2025-09-29,805,3.06,3.06,3.06,3.06,20
2025-09-29,806,3.06,3.06,3.06,3.06,10
2025-09-29,809,3.06,3.06,3.06,3.06,104
2025-09-29,823,3.06,3.06,3.06,3.06,10
2025-09-29,825,2.999,2.999,2.999,2.999,10
2025-09-29,839,3.057,3.058,3.049,3.058,932
2025-09-29,840,2.997,2.997,2.997,2.997,10
2025-09-29,850,3.056,3.058,3.056,3.058,1000
2025-09-29,854,3.057,3.08,3.057,3.08,180
2025-09-29,901,3.058,3.058,3.057,3.057,2000
2025-09-29,908,3.057,3.057,3.057,3.057,35
2025-09-29,909,3.057,3.057,3.057,3.057,10
2025-09-29,917,3.056,3.056,3.056,3.056,15
2025-09-29,925,3.03,3.03,3.03,3.03,160
2025-09-29,930,2.987,3.05,2.983,2.983,1556
2025-09-29,931,2.986,2.986,2.986,2.986,1400
2025-09-29,934,2.98,2.984,2.98,2.984,404
2025-09-29,937,2.988,2.988,2.988,2.988,40
2025-09-29,938,3.0,3.0,2.993,2.993,27
2025-09-29,939,2.998,2.998,2.998,2.998,200
2025-09-29,943,2.999,2.999,2.981,2.981,520
2025-09-29,949,2.98,2.98,2.98,2.98,10
2025-09-29,952,2.981,2.981,2.98,2.98,200
2025-09-29,955,2.98,2.98,2.98,2.98,10
2025-09-29,1002,2.981,3.017,2.981,3.017,208
2025-09-29,1004,3.015,3.042,3.015,3.042,82
2025-09-29,1006,2.98,3.015,2.98,2.995,114
2025-09-29,1007,2.997,2.997,2.997,2.997,30
2025-09-29,1009,3.015,3.015,3.015,3.015,30
2025-09-29,1011,3.0,3.0,3.0,3.0,200
2025-09-29,1015,2.998,2.998,2.998,2.998,43
2025-09-29,1016,3.007,3.007,3.007,3.007,500
2025-09-29,1018,3.0,3.0,3.0,3.0,398
2025-09-29,1021,2.981,2.981,2.981,2.981,12
2025-09-29,1028,2.98,2.98,2.98,2.98,25
2025-09-29,1030,2.981,2.981,2.981,2.981,284
2025-09-29,1035,2.98,2.98,2.98,2.98,29
2025-09-29,1036,2.98,2.98,2.98,2.98,123
2025-09-29,1037,2.98,2.981,2.965,2.967,1969
2025-09-29,1038,2.967,2.967,2.967,2.967,190
2025-09-29,1041,3.014,3.014,3.014,3.014,25
2025-09-29,1055,2.966,2.97,2.965,2.966,2116
2025-09-29,1056,2.99,2.99,2.99,2.99,500
2025-09-29,1107,2.99,2.99,2.99,2.99,850
2025-09-29,1108,3.008,3.008,3.008,3.008,39
2025-09-29,1110,2.967,2.967,2.951,2.952,2242
2025-09-29,1113,2.951,2.951,2.95,2.95,1500
2025-09-29,1116,2.968,2.968,2.968,2.968,500
2025-09-29,1118,2.967,2.967,2.967,2.967,50
2025-09-29,1121,2.967,2.967,2.967,2.967,30
2025-09-29,1125,2.984,2.984,2.984,2.984,10
2025-09-29,1200,2.95,2.95,2.92,2.92,1500
2025-09-29,1213,2.931,2.931,2.931,2.931,33
2025-09-29,1215,2.953,2.953,2.953,2.953,50
2025-09-29,1221,2.936,2.936,2.936,2.936,13
2025-09-29,1224,2.931,2.931,2.93,2.93,2509
2025-09-29,1228,2.931,2.931,2.93,2.93,2750
2025-09-29,1229,2.93,2.93,2.93,2.93,69
2025-09-29,1231,2.928,2.928,2.928,2.928,50
2025-09-29,1235,2.915,2.928,2.901,2.928,1175
2025-09-29,1245,2.903,2.912,2.9,2.905,2852
2025-09-29,1246,2.905,2.905,2.902,2.902,225
2025-09-29,1251,2.9,2.9,2.9,2.9,10
2025-09-29,1253,2.901,2.901,2.901,2.901,179
2025-09-29,1255,2.901,2.901,2.901,2.901,20
2025-09-29,1256,2.9,2.9,2.9,2.9,100
2025-09-29,1259,2.9,2.9,2.9,2.9,1904
2025-09-29,1303,2.901,2.901,2.901,2.901,20
2025-09-29,1307,2.901,2.901,2.901,2.901,18
2025-09-29,1308,2.901,2.901,2.901,2.901,69
2025-09-29,1309,2.9,2.9,2.9,2.9,18
2025-09-29,1312,2.9,2.9,2.9,2.9,111
2025-09-29,1315,2.9,2.901,2.9,2.9,570
2025-09-29,1318,2.9,2.901,2.9,2.9,149
2025-09-29,1326,2.9,2.9,2.9,2.9,3063
2025-09-29,1329,2.9,2.9,2.9,2.9,10
2025-09-29,1331,2.901,2.901,2.901,2.901,24
2025-09-29,1332,2.9,2.901,2.89,2.893,836
2025-09-29,1333,2.883,2.883,2.878,2.878,818
2025-09-29,1340,2.9,2.9,2.9,2.9,14
2025-09-29,1354,2.901,2.901,2.901,2.901,10
2025-09-29,1356,2.901,2.901,2.901,2.901,4117
2025-09-29,1358,2.9,2.9,2.9,2.9,28
2025-09-29,1359,2.9,2.9,2.9,2.9,159
2025-09-29,1405,2.9,2.925,2.877,2.906,2562
2025-09-29,1406,2.883,2.883,2.868,2.868,1800
2025-09-29,1412,2.87,2.87,2.868,2.868,20
2025-09-29,1413,2.89,2.89,2.89,2.89,45
2025-09-29,1419,2.913,2.913,2.913,2.913,50
2025-09-29,1420,2.913,2.913,2.869,2.869,1001
2025-09-29,1421,2.868,2.89,2.868,2.89,110
2025-09-29,1424,2.913,2.913,2.913,2.913,52
2025-09-29,1432,2.89,2.908,2.89,2.908,50
2025-09-29,1436,2.884,2.884,2.884,2.884,13
2025-09-29,1442,2.9,2.9,2.9,2.9,900
2025-09-29,1443,2.871,2.873,2.87,2.87,31
2025-09-29,1447,2.87,2.9,2.87,2.9,211
2025-09-29,1448,2.9,2.9,2.899,2.899,230
2025-09-29,1449,2.9,2.9,2.899,2.9,218
2025-09-29,1459,2.925,2.925,2.925,2.925,124
2025-09-29,1506,2.917,2.925,2.917,2.925,712
2025-09-29,1513,2.924,2.925,2.924,2.925,125
2025-09-29,1514,2.9,2.909,2.87,2.9,2388
2025-09-29,1518,2.901,2.983,2.901,2.983,1525
2025-09-29,1519,2.98,2.985,2.904,2.904,248
2025-09-29,1520,2.95,2.95,2.901,2.901,335
2025-09-29,1521,2.973,2.973,2.973,2.973,19
2025-09-29,1523,2.984,2.984,2.984,2.984,10
2025-09-29,1525,2.973,2.973,2.973,2.973,18
2025-09-29,1527,2.9,2.9,2.9,2.9,1885
2025-09-29,1528,2.971,2.971,2.971,2.971,10
2025-09-29,1530,2.971,2.971,2.971,2.971,10
2025-09-29,1532,2.901,2.901,2.896,2.896,3913
2025-09-29,1536,2.971,2.971,2.971,2.971,10
2025-09-29,1542,2.973,2.973,2.973,2.973,10
2025-09-29,1544,2.973,2.973,2.973,2.973,10
2025-09-29,1546,2.971,2.971,2.971,2.971,10
2025-09-29,1547,2.971,2.971,2.971,2.971,10
2025-09-29,1549,2.974,2.974,2.904,2.904,532
2025-09-29,1550,2.896,2.896,2.895,2.895,486
2025-09-29,1552,2.883,2.883,2.882,2.882,810
2025-09-29,1555,2.87,2.87,2.87,2.87,200
2025-09-29,1557,2.973,2.973,2.973,2.973,10
2025-09-29,1558,2.87,2.87,2.87,2.87,36
2025-09-29,1600,2.97,2.97,2.97,2.97,107
2025-09-29,1623,2.973,2.973,2.973,2.973,11
2025-09-29,1737,2.91,2.91,2.91,2.91,100
2025-09-29,1739,2.91,2.91,2.91,2.91,100
2025-09-29,1758,2.9,2.9,2.9,2.9,200
2025-09-29,1820,2.973,2.973,2.973,2.973,18
2025-09-29,1842,2.973,2.973,2.973,2.973,50
2025-09-29,1843,2.973,2.973,2.973,2.973,50
2025-09-29,1927,2.974,2.974,2.974,2.974,92
2025-09-29,1932,2.932,2.932,2.932,2.932,200
2025-09-30,448,2.98,2.98,2.98,2.98,10
2025-09-30,504,2.98,2.98,2.98,2.98,15
2025-09-30,659,2.98,2.98,2.98,2.98,20
2025-09-30,700,2.98,2.98,2.98,2.98,23
2025-09-30,736,2.98,2.98,2.98,2.98,44
