date,time,open,high,low,close,volume
2025-10-01,538,2.14,2.14,2.14,2.14,100
2025-10-01,819,2.1,2.1,2.09,2.09,400
2025-10-01,930,2.14,2.14,2.14,2.14,1181
2025-10-01,934,2.1,2.1,2.1,2.1,125
2025-10-01,937,2.12,2.12,2.12,2.12,122
2025-10-01,940,2.11,2.12,2.11,2.12,301
2025-10-01,947,2.12,2.12,2.12,2.12,630
2025-10-01,950,2.11,2.11,2.11,2.11,340
2025-10-01,957,2.11,2.11,2.11,2.11,2880
2025-10-01,1020,2.11,2.11,2.11,2.11,173
2025-10-01,1025,2.1,2.1,2.1,2.1,191
2025-10-01,1026,2.11,2.11,2.11,2.11,523
2025-10-01,1028,2.1195,2.1195,2.1195,2.1195,200
2025-10-01,1037,2.1218,2.1218,2.1218,2.1218,1100
2025-10-01,1038,2.12,2.12,2.1107,2.1107,300
2025-10-01,1040,2.115,2.115,2.115,2.115,150
2025-10-01,1049,2.11,2.11,2.11,2.11,302
2025-10-01,1052,2.103,2.103,2.103,2.103,100
2025-10-01,1100,2.105,2.105,2.1,2.1,2001
2025-10-01,1101,2.105,2.105,2.105,2.105,3131
2025-10-01,1119,2.11,2.11,2.11,2.11,100
2025-10-01,1120,2.1193,2.1193,2.1193,2.1193,100
2025-10-01,1122,2.115,2.15,2.115,2.15,2268
2025-10-01,1125,2.17,2.17,2.17,2.17,400
2025-10-01,1137,2.135,2.135,2.09,2.11,16335
2025-10-01,1143,2.135,2.135,2.135,2.135,100
2025-10-01,1159,2.1347,2.1347,2.1335,2.1335,600
2025-10-01,1305,2.14,2.14,2.14,2.14,100
2025-10-01,1317,2.13,2.13,2.13,2.13,200
2025-10-01,1321,2.14,2.14,2.14,2.14,200
2025-10-01,1406,2.15,2.15,2.15,2.15,186
2025-10-01,1413,2.132,2.132,2.132,2.132,253
2025-10-01,1433,2.15,2.15,2.15,2.15,100
2025-10-01,1437,2.159,2.159,2.159,2.159,500
2025-10-01,1440,2.16,2.16,2.16,2.16,269
2025-10-01,1447,2.1685,2.1685,2.1685,2.1685,500
2025-10-01,1449,2.17,2.17,2.17,2.17,1116
2025-10-01,1452,2.16,2.17,2.16,2.16,1623
2025-10-01,1504,2.1601,2.1601,2.1601,2.1601,105
2025-10-01,1524,2.1601,2.1601,2.1601,2.1601,363
2025-10-01,1544,2.17,2.17,2.17,2.17,1500
2025-10-01,1547,2.17,2.17,2.17,2.17,400
2025-10-01,1548,2.17,2.17,2.17,2.17,100
2025-10-01,1553,2.17,2.17,2.17,2.17,600
2025-10-01,1555,2.18,2.18,2.18,2.18,262
2025-10-01,1556,2.18,2.18,2.18,2.18,328
2025-10-01,1557,2.18,2.18,2.18,2.18,100
2025-10-01,1558,2.18,2.18,2.18,2.18,100
2025-10-01,1559,2.2,2.2,2.17,2.175,562
2025-10-01,1639,2.19,2.19,2.19,2.19,794
2025-10-01,1640,2.19,2.19,2.19,2.19,100
2025-10-01,1814,2.19,2.19,2.19,2.19,668
2025-10-01,1923,2.19,2.19,2.19,2.19,100
2025-10-02,930,2.16,2.17,2.16,2.17,1555
2025-10-02,941,2.16,2.175,2.16,2.175,1086
2025-10-02,945,2.17,2.17,2.17,2.17,150
2025-10-02,953,2.18,2.18,2.18,2.18,334
2025-10-02,954,2.2,2.2,2.2,2.2,220
2025-10-02,958,2.19,2.19,2.19,2.19,304
2025-10-02,1005,2.1872,2.1872,2.18,2.18,208
2025-10-02,1007,2.17,2.17,2.17,2.17,335
2025-10-02,1012,2.17,2.17,2.17,2.17,1680
2025-10-02,1025,2.19,2.19,2.19,2.19,208
2025-10-02,1028,2.18,2.18,2.18,2.18,100
2025-10-02,1038,2.18,2.18,2.18,2.18,100
2025-10-02,1041,2.18,2.18,2.18,2.18,500
2025-10-02,1100,2.18,2.18,2.18,2.18,787
2025-10-02,1106,2.19,2.19,2.19,2.19,792
2025-10-02,1109,2.2,2.2,2.2,2.2,100
2025-10-02,1113,2.1984,2.1984,2.1984,2.1984,560
2025-10-02,1114,2.19,2.19,2.19,2.19,268
2025-10-02,1117,2.19,2.19,2.19,2.19,400
2025-10-02,1120,2.19,2.19,2.19,2.19,516
2025-10-02,1121,2.19,2.19,2.19,2.19,100
2025-10-02,1129,2.19,2.19,2.19,2.19,470
2025-10-02,1134,2.19,2.19,2.1805,2.19,4002
2025-10-02,1139,2.19,2.19,2.19,2.19,308
2025-10-02,1148,2.19,2.19,2.19,2.19,100
2025-10-02,1202,2.19,2.19,2.19,2.19,100
2025-10-02,1206,2.19,2.19,2.19,2.19,100
2025-10-02,1207,2.19,2.19,2.19,2.19,205
2025-10-02,1208,2.1977,2.1977,2.19,2.19,301
2025-10-02,1209,2.19,2.19,2.19,2.19,201
2025-10-02,1210,2.19,2.19,2.19,2.19,300
2025-10-02,1217,2.1979,2.1979,2.1979,2.1979,100
2025-10-02,1235,2.2,2.2,2.2,2.2,1152
2025-10-02,1236,2.2156,2.2156,2.2156,2.2156,543
2025-10-02,1242,2.22,2.22,2.22,2.22,3441
2025-10-02,1246,2.2171,2.2171,2.2171,2.2171,200
2025-10-02,1259,2.21,2.21,2.21,2.21,200
2025-10-02,1332,2.22,2.22,2.22,2.22,162
2025-10-02,1345,2.23,2.23,2.23,2.23,100
2025-10-02,1346,2.227,2.227,2.227,2.227,150
2025-10-02,1347,2.22,2.22,2.22,2.22,645
2025-10-02,1351,2.23,2.24,2.23,2.24,1750
