date,time,open,high,low,close,volume
2025-10-01,438,3.66,3.66,3.66,3.66,100
2025-10-01,450,3.57,3.57,3.57,3.57,100
2025-10-01,614,3.67,3.67,3.67,3.67,100
2025-10-01,817,3.57,3.57,3.57,3.57,251
2025-10-01,852,3.57,3.57,3.57,3.57,784
2025-10-01,900,3.58,3.58,3.58,3.58,358
2025-10-01,903,3.57,3.57,3.57,3.57,300
2025-10-01,914,3.58,3.58,3.57,3.57,432
2025-10-01,917,3.64,3.64,3.64,3.64,100
2025-10-01,930,3.64,3.64,3.64,3.64,691
2025-10-01,933,3.6,3.65,3.58,3.65,1234
2025-10-01,943,3.6194,3.6194,3.6194,3.6194,1000
2025-10-01,945,3.6375,3.6375,3.6375,3.6375,318
2025-10-01,949,3.63,3.665,3.63,3.665,1491
2025-10-01,954,3.63,3.66,3.63,3.655,1598
2025-10-01,955,3.62,3.62,3.62,3.62,113
2025-10-01,956,3.62,3.62,3.62,3.62,276
2025-10-01,958,3.65,3.67,3.62,3.65,1315
2025-10-01,1000,3.6625,3.6625,3.655,3.655,325
2025-10-01,1008,3.65,3.7,3.62,3.655,3490
2025-10-01,1009,3.655,3.655,3.655,3.655,100
2025-10-01,1010,3.61,3.65,3.61,3.65,488
2025-10-01,1011,3.65,3.69,3.62,3.6475,4150
2025-10-01,1012,3.645,3.645,3.645,3.645,153
2025-10-01,1023,3.655,3.655,3.65,3.65,310
2025-10-01,1024,3.655,3.655,3.655,3.655,127
2025-10-01,1025,3.64,3.67,3.64,3.66,1983
2025-10-01,1026,3.635,3.66,3.635,3.635,1250
2025-10-01,1027,3.64,3.64,3.64,3.64,564
2025-10-01,1028,3.64,3.68,3.635,3.68,1270
2025-10-01,1029,3.66,3.66,3.66,3.66,250
2025-10-01,1033,3.66,3.67,3.66,3.67,404
2025-10-01,1034,3.67,3.67,3.67,3.67,130
2025-10-01,1102,3.71,3.72,3.71,3.72,625
2025-10-01,1111,3.7199,3.7199,3.7199,3.7199,100
2025-10-01,1124,3.67,3.67,3.67,3.67,200
2025-10-01,1128,3.675,3.675,3.675,3.675,290
2025-10-01,1134,3.655,3.655,3.655,3.655,100
2025-10-01,1135,3.65,3.65,3.65,3.65,200
2025-10-01,1137,3.635,3.635,3.635,3.635,221
2025-10-01,1140,3.6101,3.6101,3.6101,3.6101,146
2025-10-01,1144,3.64,3.64,3.64,3.64,202
2025-10-01,1145,3.64,3.65,3.64,3.65,400
2025-10-01,1146,3.64,3.655,3.64,3.655,200
2025-10-01,1147,3.64,3.65,3.64,3.65,313
2025-10-01,1150,3.66,3.69,3.66,3.69,711
2025-10-01,1202,3.6515,3.6515,3.6515,3.6515,250
2025-10-01,1209,3.66,3.68,3.66,3.68,1928
2025-10-01,1230,3.6375,3.6375,3.6375,3.6375,139
2025-10-01,1236,3.6925,3.6925,3.6925,3.6925,100
2025-10-01,1242,3.62,3.62,3.62,3.62,160
2025-10-01,1254,3.6726,3.6726,3.6726,3.6726,550
2025-10-01,1257,3.6316,3.6316,3.6316,3.6316,200
2025-10-01,1303,3.6825,3.6825,3.665,3.665,300
2025-10-01,1307,3.69,3.69,3.64,3.64,363
2025-10-01,1312,3.66,3.665,3.65,3.665,350
2025-10-01,1323,3.6718,3.6718,3.64,3.64,1550
2025-10-01,1333,3.65,3.65,3.65,3.65,100
2025-10-01,1354,3.64,3.64,3.64,3.64,120
2025-10-01,1358,3.66,3.66,3.66,3.66,100
2025-10-01,1403,3.622,3.622,3.622,3.622,110
2025-10-01,1408,3.645,3.645,3.645,3.645,150
2025-10-01,1416,3.66,3.66,3.66,3.66,200
2025-10-01,1427,3.6525,3.6525,3.6525,3.6525,100
2025-10-01,1432,3.63,3.64,3.63,3.64,1004
2025-10-01,1451,3.63,3.63,3.57,3.6,6364
2025-10-01,1453,3.5778,3.5778,3.5778,3.5778,195
2025-10-01,1454,3.57,3.605,3.57,3.58,600
2025-10-01,1501,3.59,3.59,3.59,3.59,150
2025-10-01,1504,3.61,3.61,3.5,3.51,7640
2025-10-01,1505,3.51,3.56,3.51,3.51,480
2025-10-01,1506,3.51,3.51,3.51,3.51,140
2025-10-01,1515,3.55,3.55,3.55,3.55,160
2025-10-01,1516,3.55,3.55,3.55,3.55,415
2025-10-01,1517,3.55,3.55,3.55,3.55,510
2025-10-01,1518,3.55,3.55,3.55,3.55,270
2025-10-01,1522,3.55,3.55,3.55,3.55,100
2025-10-01,1523,3.51,3.55,3.51,3.55,772
2025-10-01,1525,3.515,3.55,3.515,3.55,370
2025-10-01,1527,3.53,3.545,3.52,3.545,3589
2025-10-01,1528,3.51,3.545,3.51,3.545,1080
2025-10-01,1529,3.545,3.545,3.545,3.545,365
2025-10-01,1544,3.5312,3.54,3.53,3.54,383
