date,time,open,high,low,close,volume
2025-10-01,930,2.15,2.15,2.12,2.12,7061
2025-10-01,931,2.13,2.13,2.13,2.13,229
2025-10-01,932,2.125,2.13,2.125,2.13,589
2025-10-01,933,2.13,2.13,2.13,2.13,107
2025-10-01,934,2.125,2.14,2.125,2.14,954
2025-10-01,935,2.1474,2.18,2.14,2.18,51102
2025-10-01,936,2.18,2.245,2.18,2.24,61923
2025-10-01,937,2.25,2.26,2.21,2.21,28732
2025-10-01,938,2.21,2.22,2.205,2.22,6478
2025-10-01,939,2.225,2.2358,2.21,2.21,1976
2025-10-01,940,2.21,2.21,2.195,2.195,3860
2025-10-01,941,2.1991,2.2387,2.195,2.2387,17292
2025-10-01,942,2.23,2.23,2.205,2.205,1849
2025-10-01,943,2.2,2.24,2.2,2.235,11229
2025-10-01,944,2.24,2.25,2.23,2.24,10585
2025-10-01,945,2.24,2.2598,2.2351,2.245,12716
2025-10-01,946,2.258,2.3,2.23,2.28,26346
2025-10-01,947,2.29,2.29,2.2814,2.29,7582
2025-10-01,948,2.2905,2.2905,2.29,2.29,542
2025-10-01,949,2.2886,2.29,2.2802,2.2802,2926
2025-10-01,950,2.28,2.29,2.274,2.29,2575
2025-10-01,951,2.2867,2.295,2.2867,2.295,3621
2025-10-01,952,2.29,2.29,2.28,2.28,2109
2025-10-01,953,2.2996,2.2996,2.2906,2.2906,498
2025-10-01,954,2.2987,2.34,2.2987,2.32,15949
2025-10-01,955,2.3218,2.3218,2.3,2.3,4261
2025-10-01,956,2.3186,2.3186,2.3,2.305,9881
2025-10-01,957,2.3,2.3054,2.3,2.3054,1146
2025-10-01,958,2.3,2.32,2.29,2.32,16201
2025-10-01,959,2.325,2.34,2.325,2.34,10000
2025-10-01,1000,2.335,2.335,2.335,2.335,569
2025-10-01,1001,2.34,2.34,2.34,2.34,4332
2025-10-01,1002,2.335,2.37,2.335,2.3602,19918
2025-10-01,1003,2.36,2.36,2.35,2.35,7321
2025-10-01,1004,2.36,2.38,2.36,2.38,33442
2025-10-01,1005,2.37,2.37,2.345,2.3556,30512
2025-10-01,1006,2.355,2.3709,2.35,2.3709,6333
2025-10-01,1008,2.3798,2.3798,2.36,2.36,2375
2025-10-01,1009,2.3798,2.3798,2.3638,2.3638,3183
2025-10-01,1010,2.37,2.3899,2.37,2.375,6118
2025-10-01,1011,2.39,2.39,2.37,2.37,1004
2025-10-01,1012,2.375,2.375,2.375,2.375,283
2025-10-01,1013,2.375,2.435,2.375,2.435,39806
2025-10-01,1014,2.44,2.44,2.4387,2.44,3686
2025-10-01,1015,2.4499,2.4499,2.4393,2.44,1306
2025-10-01,1016,2.44,2.4699,2.4363,2.4699,18129
2025-10-01,1017,2.465,2.48,2.46,2.46,5967
2025-10-01,1018,2.465,2.465,2.43,2.44,22643
2025-10-01,1019,2.44,2.44,2.3991,2.3991,23185
2025-10-01,1020,2.39,2.39,2.31,2.37,85788
2025-10-01,1021,2.37,2.37,2.3501,2.3501,17300
2025-10-01,1022,2.351,2.36,2.351,2.36,915
