date,time,open,high,low,close,volume
2025-10-02,718,4.6,4.6,4.6,4.6,271
2025-10-02,800,4.6,4.6,4.6,4.6,352
2025-10-02,805,4.61,4.61,4.61,4.61,206
2025-10-02,930,4.66,4.66,4.5441,4.5441,1692
2025-10-02,933,4.61,4.61,4.61,4.61,109
2025-10-02,942,4.5997,4.5997,4.5997,4.5997,101
2025-10-02,951,4.5,4.5,4.5,4.5,130
2025-10-02,952,4.55,4.55,4.55,4.55,136
2025-10-02,1004,4.5499,4.5499,4.5499,4.5499,506
2025-10-02,1008,4.5185,4.5185,4.5185,4.5185,2276
2025-10-02,1013,4.5,4.5,4.42,4.4975,2695
2025-10-02,1014,4.4901,4.4901,4.45,4.46,3316
2025-10-02,1020,4.45,4.45,4.45,4.45,113
2025-10-02,1025,4.36,4.36,4.3506,4.3506,1639
2025-10-02,1032,4.42,4.42,4.42,4.42,402
2025-10-02,1037,4.405,4.405,4.405,4.405,113
2025-10-02,1043,4.36,4.36,4.36,4.36,370
2025-10-02,1112,4.46,4.46,4.36,4.36,1505
2025-10-02,1135,4.4,4.4,4.3906,4.3906,231
2025-10-02,1211,4.4234,4.4234,4.4234,4.4234,406
2025-10-02,1220,4.42,4.42,4.38,4.38,2268
2025-10-02,1224,4.45,4.45,4.45,4.45,120
2025-10-02,1317,4.425,4.425,4.425,4.425,285
2025-10-02,1327,4.4,4.4,4.4,4.4,295
2025-10-02,1328,4.38,4.38,4.38,4.38,1249
2025-10-02,1329,4.37,4.37,4.365,4.37,1803
2025-10-02,1333,4.4002,4.4002,4.4002,4.4002,300
2025-10-02,1336,4.395,4.4193,4.395,4.4,627
2025-10-02,1338,4.41,4.45,4.41,4.45,3255
2025-10-02,1348,4.435,4.435,4.35,4.35,860
2025-10-02,1408,4.37,4.44,4.36,4.44,5802
2025-10-02,1413,4.47,4.47,4.47,4.47,100
2025-10-02,1416,4.42,4.42,4.42,4.42,252
2025-10-02,1418,4.45,4.45,4.45,4.45,101
2025-10-02,1423,4.445,4.445,4.445,4.445,847
2025-10-02,1426,4.44,4.44,4.44,4.44,1248
2025-10-02,1427,4.44,4.44,4.41,4.44,2545
2025-10-02,1440,4.4,4.4,4.4,4.4,118
