date,time,open,high,low,close,volume
2025-10-02,930,3.11,3.11,3.11,3.11,260
2025-10-02,1018,3.11,3.11,3.09,3.1,10297
2025-10-02,1032,3.14,3.14,3.14,3.14,100
2025-10-02,1040,3.1,3.1,3.1,3.1,2219
2025-10-02,1041,3.1,3.1,3.1,3.1,5072
2025-10-02,1044,3.0957,3.0957,3.0957,3.0957,525
2025-10-02,1047,3.0813,3.0813,3.0813,3.0813,164
2025-10-02,1053,3.1,3.1,3.1,3.1,3957
2025-10-02,1112,3.15,3.15,3.15,3.15,200
2025-10-02,1127,3.13,3.13,3.13,3.13,163
2025-10-02,1130,3.1084,3.1084,3.1084,3.1084,179
2025-10-02,1131,3.1,3.1,3.1,3.1,1317
2025-10-02,1151,3.08,3.08,3.08,3.08,1013
2025-10-02,1201,3.1,3.1,3.1,3.1,271
2025-10-02,1209,3.1,3.1,3.0958,3.0958,2130
2025-10-02,1249,3.1,3.1,3.1,3.1,282
2025-10-02,1317,3.1,3.1,3.1,3.1,1971
2025-10-02,1329,3.0901,3.1,3.0901,3.1,200
2025-10-02,1332,3.0907,3.0907,3.0907,3.0907,525
2025-10-02,1444,3.1,3.25,3.1,3.25,17382
2025-10-02,1452,3.25,3.25,3.2,3.24,2295
2025-10-02,1500,3.25,3.29,3.25,3.29,1000
2025-10-02,1516,3.26,3.26,3.221,3.221,259
2025-10-02,1538,3.29,3.29,3.29,3.29,328
2025-10-02,1549,3.29,3.29,3.29,3.29,1652
2025-10-02,1558,3.29,3.29,3.29,3.29,1047
2025-10-02,1559,3.29,3.29,3.2896,3.2896,700
2025-10-03,555,3.31,3.31,3.31,3.31,100
2025-10-03,930,3.26,3.26,3.22,3.22,443
2025-10-03,1025,3.162,3.2,3.07,3.13,6753
2025-10-03,1026,3.0601,3.0616,3.0601,3.0616,700
2025-10-03,1027,3.06,3.06,2.94,2.99,5411
2025-10-03,1028,3.0,3.0,2.91,2.91,1091
2025-10-03,1029,2.86,2.94,2.81,2.81,6189
2025-10-03,1030,3.0,3.0,2.99,2.99,1703
