date,time,open,high,low,close,volume
2025-10-02,930,4.6,4.6,4.6,4.6,42
2025-10-02,949,4.6,4.6,4.6,4.6,25
2025-10-02,1415,4.6,4.6,4.6,4.6,25
2025-10-02,1451,4.62,4.68,4.62,4.68,1343
2025-10-03,804,4.6,4.6,4.6,4.6,45
2025-10-03,932,4.889,4.889,4.889,4.889,62
2025-10-03,1222,4.68,4.68,4.68,4.68,125
2025-10-03,1341,4.7,4.7,4.7,4.7,150
2025-10-06,937,4.88,4.88,4.88,4.88,25
2025-10-06,944,4.8,4.8,4.4,4.4,1096
2025-10-06,948,4.856,4.856,4.856,4.856,62
2025-10-06,949,4.44,4.44,4.44,4.44,25
2025-10-06,1001,4.8,4.84,4.8,4.84,100
2025-10-06,1010,4.842,4.842,4.842,4.842,37
2025-10-06,1031,4.84,4.84,4.84,4.84,130
2025-10-06,1211,4.76,4.76,4.76,4.76,139
2025-10-06,1341,4.48,4.48,4.48,4.48,50
2025-10-06,1501,4.6,4.72,4.6,4.72,265
2025-10-06,1600,4.56,4.56,4.56,4.56,40
2025-10-07,930,4.6,4.6,4.6,4.6,185
2025-10-07,934,4.68,4.68,4.68,4.68,340
2025-10-07,959,4.74,4.74,4.74,4.74,175
2025-10-07,1010,4.74,4.74,4.74,4.74,74
2025-10-07,1039,4.68,4.68,4.68,4.68,35
2025-10-07,1324,4.684,4.684,4.684,4.684,375
2025-10-07,1408,4.7,4.7,4.7,4.7,25
2025-10-07,1445,4.72,4.72,4.72,4.72,84
2025-10-07,1501,4.72,5.058,4.72,5.058,2914
2025-10-07,1503,5.08,5.158,5.08,5.158,571
2025-10-07,1505,5.16,5.2,5.16,5.2,326
2025-10-07,1507,5.1,5.1,5.1,5.1,70
2025-10-07,1511,5.12,5.12,5.12,5.12,275
2025-10-07,1513,5.175,5.175,5.175,5.175,130
2025-10-07,1515,4.975,4.975,4.975,4.975,136
2025-10-07,1528,5.184,5.4,5.16,5.4,2802
2025-10-07,1529,5.614,5.64,5.555,5.555,1226
2025-10-07,1530,5.44,5.52,5.44,5.52,1141
2025-10-07,1531,5.4,5.4,5.4,5.4,25
2025-10-07,1532,5.405,5.405,5.405,5.405,250
2025-10-07,1536,5.52,5.52,5.404,5.404,500
2025-10-07,1537,5.4,5.42,5.4,5.4,1407
2025-10-07,1538,5.4,5.4,5.4,5.4,92
2025-10-07,1541,5.16,5.4,5.16,5.4,275
2025-10-07,1542,5.389,5.4,5.389,5.4,2549
2025-10-07,1545,5.604,5.84,5.604,5.84,1857
2025-10-07,1546,5.84,5.84,5.72,5.72,200
2025-10-07,1547,5.925,6.278,5.925,6.02,1834
2025-10-07,1548,6.04,6.04,5.84,5.92,726
2025-10-07,1549,6.16,6.16,6.12,6.12,570
2025-10-07,1550,6.16,6.16,6.04,6.12,593
2025-10-07,1551,6.0,6.0,6.0,6.0,188
2025-10-07,1552,5.84,5.94,5.84,5.94,587
2025-10-07,1553,5.816,5.92,5.8,5.8,262
2025-10-07,1556,5.804,5.804,5.72,5.72,489
2025-10-07,1557,5.6,5.6,5.6,5.6,824
2025-10-07,1602,5.4,5.4,5.4,5.4,253
2025-10-07,1607,5.44,5.44,5.44,5.44,91
2025-10-07,1630,5.402,5.402,5.402,5.402,266
2025-10-07,1633,6.24,6.32,6.24,6.32,750
2025-10-07,1634,6.0,6.0,6.0,6.0,46
2025-10-07,1650,6.28,6.28,6.28,6.28,25
2025-10-07,1703,6.28,6.28,6.28,6.28,250
2025-10-07,1732,5.64,5.64,5.64,5.64,127
2025-10-07,1739,5.96,6.4,5.96,6.4,511
2025-10-07,1740,6.4,6.6,6.08,6.08,905
2025-10-07,1744,5.64,5.64,5.64,5.64,82
2025-10-07,1753,6.12,6.12,6.12,6.12,25
2025-10-07,1801,6.08,9.8,6.08,9.8,14089
2025-10-07,1802,10.44,10.44,7.52,9.44,36295
2025-10-07,1803,9.6,9.6,7.64,9.44,46909
2025-10-07,1804,9.52,9.52,8.12,8.16,34583
2025-10-07,1805,8.16,8.88,7.96,8.8,14803
2025-10-07,1806,8.84,9.08,7.92,9.0,27491
2025-10-07,1807,9.0,10.24,8.96,9.96,52724
2025-10-07,1808,9.84,9.88,8.6,9.36,32812
2025-10-07,1809,9.32,9.36,8.68,8.88,16249
2025-10-07,1810,8.92,8.96,8.2,8.76,25369
2025-10-07,1811,8.76,9.2,8.48,8.8,12378
2025-10-07,1812,8.76,9.6,8.76,9.32,20658
2025-10-07,1813,9.36,9.36,8.88,9.12,11995
2025-10-07,1814,9.08,9.28,9.008,9.12,8491
2025-10-07,1815,9.08,11.6,9.04,11.52,43725
2025-10-07,1816,11.48,11.56,10.48,11.0,53721
2025-10-07,1817,10.96,11.32,10.68,11.2,31242
2025-10-07,1818,11.16,14.0,11.0,13.88,84839
2025-10-07,1819,13.9,16.0,13.88,16.0,94303
2025-10-07,1820,15.96,16.8,13.64,14.24,79588
2025-10-07,1821,14.24,14.4,11.68,12.64,79537
2025-10-07,1822,12.68,14.32,12.6,13.92,37710
2025-10-07,1823,13.88,13.88,12.88,13.2,22376
2025-10-07,1824,13.24,13.24,12.0,12.0,26114
2025-10-07,1825,11.96,15.28,11.92,14.96,43684
2025-10-07,1826,14.96,20.52,14.6,19.32,102634
2025-10-07,1827,19.36,20.48,17.64,18.76,86885
2025-10-07,1828,18.68,20.48,18.0,18.84,64128
2025-10-07,1829,18.84,21.16,18.84,20.0,72826
2025-10-07,1830,19.92,20.56,19.04,19.08,46142
2025-10-07,1831,19.04,21.36,17.2,20.8,72694
2025-10-07,1832,20.8,22.0,19.48,20.68,61651
2025-10-07,1833,20.48,21.2,19.52,19.88,41088
2025-10-07,1834,19.88,21.2,19.8,20.28,38103
2025-10-07,1835,20.36,20.45,19.48,20.0,29475
2025-10-07,1836,20.0,20.0,18.16,19.8,40511
2025-10-07,1837,19.8,19.8,18.0,18.2,19863
2025-10-07,1838,18.12,18.28,16.8,16.84,34210
2025-10-07,1839,16.96,17.8,16.52,17.64,26348
2025-10-07,1840,17.68,18.16,17.4,17.64,22256
2025-10-07,1841,17.64,19.6,17.64,18.72,52625
2025-10-07,1842,18.68,19.52,18.52,19.28,18620
2025-10-07,1843,19.28,19.92,18.92,18.96,33305
2025-10-07,1844,18.96,19.8,17.92,18.36,29782
2025-10-07,1845,18.37,18.8,17.32,17.92,23297
2025-10-07,1846,17.92,18.4,17.48,17.6,15841
2025-10-07,1847,17.64,17.72,17.36,17.48,15050
2025-10-07,1848,17.44,18.32,16.84,18.0,26639
2025-10-07,1849,18.0,18.08,17.32,17.76,11165
2025-10-07,1850,17.76,17.92,16.28,16.28,19481
2025-10-07,1851,16.28,16.96,16.04,16.64,21075
2025-10-07,1852,16.6,16.64,16.12,16.16,12224
2025-10-07,1853,16.16,16.64,15.68,16.44,16261
2025-10-07,1854,16.44,16.64,16.0,16.0,12415
2025-10-07,1855,16.16,16.52,15.92,16.24,5933
2025-10-07,1856,16.24,16.36,15.92,16.3,5587
2025-10-07,1857,16.24,18.24,16.24,18.12,27422
2025-10-07,1858,18.04,18.4,17.36,17.36,25865
2025-10-07,1859,17.44,17.44,15.8,16.96,22972
2025-10-07,1900,16.96,16.96,15.84,16.0,7697
2025-10-07,1901,15.96,16.2,15.88,16.16,6955
2025-10-07,1902,16.16,16.16,15.8,16.0,5484
2025-10-07,1903,15.96,15.96,15.72,15.8,2871
2025-10-07,1904,15.72,15.72,14.76,14.86,11778
2025-10-07,1905,14.8,14.88,13.44,13.44,15684
2025-10-07,1906,13.72,14.4,13.44,14.16,13383
2025-10-07,1907,14.08,14.16,13.72,13.8,5137
2025-10-07,1908,13.84,14.76,13.84,14.53,6896
2025-10-07,1909,14.6,14.96,14.56,14.8,6944
2025-10-07,1910,14.73,15.08,14.68,15.0,7176
2025-10-07,1911,14.96,15.24,14.6,14.64,8167
2025-10-07,1912,14.6,14.6,14.4,14.52,3769
2025-10-07,1913,14.52,14.92,14.4,14.92,4531
2025-10-07,1914,14.92,14.92,14.44,14.44,2373
2025-10-07,1915,14.47,14.6,14.44,14.6,1969
2025-10-07,1916,14.6,14.8,14.4,14.4,3107
2025-10-07,1917,14.4,14.6,14.36,14.52,1055
2025-10-07,1918,14.52,14.56,14.24,14.24,1723
2025-10-07,1919,14.24,14.24,13.8,13.84,3525
2025-10-07,1920,13.88,14.08,13.8,14.04,6137
2025-10-07,1921,14.04,15.0,14.0,15.0,5026
2025-10-07,1922,15.0,15.24,14.84,15.08,7304
2025-10-07,1923,15.12,15.88,15.08,15.84,12307
2025-10-07,1924,15.84,18.12,15.8,17.68,30179
2025-10-07,1925,17.68,18.0,16.96,16.96,21879
2025-10-07,1926,16.76,16.96,15.28,15.72,21424
2025-10-07,1927,15.64,17.64,15.56,17.32,19428
2025-10-07,1928,17.44,18.0,16.36,17.68,22202
2025-10-07,1929,17.76,20.4,17.76,20.4,50160
2025-10-07,1930,20.4,20.6,18.88,19.2,26470
2025-10-07,1931,19.2,20.04,17.24,17.76,28112
2025-10-07,1932,17.76,19.64,17.52,18.4,17209
2025-10-07,1933,18.48,20.0,18.36,19.0,13960
2025-10-07,1934,19.0,19.64,18.84,19.44,10602
2025-10-07,1935,19.24,19.44,18.64,18.92,10950
2025-10-07,1936,18.8,19.32,18.68,19.16,9120
2025-10-07,1937,19.31,19.6,18.64,19.04,12471
2025-10-07,1938,19.08,19.4,18.0,18.6,14172
2025-10-07,1939,18.45,18.68,18.0,18.32,7928
2025-10-07,1940,18.32,18.64,18.28,18.48,4839
2025-10-07,1941,18.56,19.56,18.4,19.4,16646
2025-10-07,1942,19.4,20.0,18.88,19.88,18135
2025-10-07,1943,19.88,19.92,18.52,19.2,10919
2025-10-07,1944,19.08,19.32,18.8,18.96,4437
2025-10-07,1945,18.96,19.04,18.4,18.5,6967
2025-10-07,1946,18.44,19.24,18.4,19.16,5606
2025-10-07,1947,19.16,20.0,19.0,19.84,22338
2025-10-07,1948,19.84,23.16,19.84,22.68,41437
2025-10-07,1949,22.76,25.49,22.12,25.28,47324
2025-10-07,1950,25.16,26.6,22.64,22.64,24201
2025-10-07,1951,22.64,23.2,22.4,23.04,8576
2025-10-07,1952,22.8,24.48,22.8,23.68,17755
2025-10-07,1953,24.2,24.4,22.8,23.0,6460
2025-10-07,1954,22.92,23.2,22.0,22.28,7755
2025-10-07,1955,22.16,22.52,20.92,21.56,8742
2025-10-07,1956,21.48,22.36,21.36,21.92,3990
2025-10-07,1957,21.84,21.84,21.28,21.4,3621
2025-10-07,1958,21.6,23.52,21.56,22.4,4519
2025-10-07,1959,22.56,22.76,22.0,22.4,8554
2025-10-08,400,18.0,22.4,17.96,19.32,59329
2025-10-08,401,19.32,19.92,16.52,16.8,45351
2025-10-08,402,16.8,17.48,16.32,16.76,37611
2025-10-08,403,16.96,16.96,15.4,16.56,59301
2025-10-08,404,16.56,16.68,15.0,15.4,28455
2025-10-08,405,15.32,16.08,15.04,15.76,24333
2025-10-08,406,15.8,16.56,15.68,15.96,27380
2025-10-08,407,16.0,16.2,15.84,16.04,16888
2025-10-08,408,16.0,16.4,15.28,15.76,29482
2025-10-08,409,15.68,15.8,15.22,15.48,20163
2025-10-08,410,15.44,15.48,14.8,15.4,33806
2025-10-08,411,15.28,15.28,14.04,14.4,66400
2025-10-08,412,14.52,15.0,14.4,14.66,19236
2025-10-08,413,14.64,15.4,14.64,15.4,23823
2025-10-08,414,15.36,15.4,14.52,14.68,28750
2025-10-08,415,14.72,15.08,14.52,14.92,13935
2025-10-08,416,14.96,15.0,14.64,14.68,11214
2025-10-08,417,14.72,14.92,14.12,14.28,32720
2025-10-08,418,14.24,14.4,13.64,13.64,31836
2025-10-08,419,13.64,13.8,13.0,13.72,71913
2025-10-08,420,13.68,13.72,13.24,13.46,27448
2025-10-08,421,13.48,13.6,13.24,13.28,16239
2025-10-08,422,13.26,13.4,13.08,13.16,18761
2025-10-08,423,13.16,13.2,12.72,13.08,29701
2025-10-08,424,13.08,13.16,12.82,12.96,24740
2025-10-08,425,13.0,13.6,12.82,13.22,25317
2025-10-08,426,13.28,13.44,13.12,13.28,18114
2025-10-08,427,13.24,13.76,13.24,13.76,22082
2025-10-08,428,13.72,13.8,13.48,13.6,22518
2025-10-08,429,13.64,13.64,13.24,13.4,9811
2025-10-08,430,13.44,13.48,12.76,12.9,24928
2025-10-08,431,12.92,13.08,12.9,12.96,9082
2025-10-08,432,12.96,12.96,12.62,12.68,23965
2025-10-08,433,12.68,12.92,12.64,12.76,9030
2025-10-08,434,12.8,12.8,12.42,12.6,22333
2025-10-08,435,12.6,12.68,12.32,12.36,18156
2025-10-08,436,12.36,12.6,12.36,12.46,12280
2025-10-08,437,12.48,12.76,12.48,12.66,10747
2025-10-08,438,12.64,12.72,12.62,12.68,5837
2025-10-08,439,12.72,12.76,12.4,12.44,9838
2025-10-08,440,12.48,12.64,11.84,11.86,40516
2025-10-08,441,11.86,12.2,11.84,12.16,22097
2025-10-08,442,12.16,12.36,12.16,12.28,12137
2025-10-08,443,12.24,12.4,12.24,12.4,7483
2025-10-08,444,12.4,12.48,12.24,12.36,17156
2025-10-08,445,12.4,12.44,12.08,12.12,11033
2025-10-08,446,12.08,12.12,11.8,11.88,22377
2025-10-08,447,11.88,11.92,11.24,11.48,59246
2025-10-08,448,11.48,11.6,11.14,11.22,20467
2025-10-08,449,11.24,11.56,11.24,11.44,12482
2025-10-08,450,11.48,11.52,11.38,11.44,12373
2025-10-08,451,11.44,11.52,11.32,11.52,10749
2025-10-08,452,11.52,11.6,11.44,11.6,6261
2025-10-08,453,11.6,11.6,11.08,11.12,24399
2025-10-08,454,11.16,11.22,10.68,10.92,42538
2025-10-08,455,10.92,11.0,10.88,10.96,14496
2025-10-08,456,10.96,11.0,10.6,10.72,28809
2025-10-08,457,10.68,10.84,10.64,10.72,17009
2025-10-08,458,10.68,10.84,10.64,10.8,13040
2025-10-08,459,10.76,10.92,10.76,10.92,9935
2025-10-08,500,10.92,11.16,10.84,11.08,27959
2025-10-08,501,11.12,11.12,10.64,10.8,15086
2025-10-08,502,10.8,10.96,10.8,10.92,5906
2025-10-08,503,10.92,10.92,10.32,10.68,22511
2025-10-08,504,10.64,10.68,10.16,10.24,27196
2025-10-08,505,10.24,10.48,10.2,10.44,16174
2025-10-08,506,10.44,10.68,10.44,10.68,9330
2025-10-08,507,10.68,10.72,10.48,10.68,14859
2025-10-08,508,10.68,10.96,10.64,10.92,17211
2025-10-08,509,10.92,10.96,10.8,10.88,9835
2025-10-08,510,10.92,10.92,10.72,10.76,5966
2025-10-08,511,10.8,11.52,10.8,11.04,19753
2025-10-08,512,11.08,12.16,11.04,11.88,97727
2025-10-08,513,11.92,12.12,11.8,12.12,42827
2025-10-08,514,12.12,12.4,11.88,12.16,62853
2025-10-08,515,12.2,12.28,11.48,11.64,43318
2025-10-08,516,11.68,11.68,11.24,11.48,21311
2025-10-08,517,11.48,11.52,11.28,11.4,9111
2025-10-08,518,11.44,11.56,11.16,11.16,14624
2025-10-08,519,11.16,11.64,11.16,11.52,14061
2025-10-08,520,11.54,11.6,11.28,11.36,7735
2025-10-08,521,11.4,11.44,11.24,11.28,6695
2025-10-08,522,11.24,11.32,11.18,11.28,9280
2025-10-08,523,11.28,11.28,10.92,11.04,17459
2025-10-08,524,11.04,11.08,10.92,10.96,12816
2025-10-08,525,10.96,11.12,10.92,10.92,6002
2025-10-08,526,10.92,10.92,10.76,10.8,9473
2025-10-08,527,10.8,10.88,10.8,10.84,5109
2025-10-08,528,10.84,10.96,10.84,10.88,1819
2025-10-08,529,10.88,10.92,10.76,10.84,10491
2025-10-08,530,10.88,11.0,10.88,11.0,4623
2025-10-08,531,11.0,11.32,11.0,11.28,9609
2025-10-08,532,11.28,11.44,11.12,11.4,17672
2025-10-08,533,11.4,11.48,11.2,11.24,15798
2025-10-08,534,11.24,11.24,11.08,11.16,10095
2025-10-08,535,11.16,11.24,11.12,11.24,3735
