date,time,open,high,low,close,volume
2025-10-09,412,20.8,21.0,20.8,21.0,25
2025-10-09,413,20.6,20.6,20.6,20.6,9
2025-10-09,417,21.0,21.0,21.0,21.0,17
2025-10-09,458,20.6,21.0,20.6,20.8,45
2025-10-09,517,20.6,20.6,20.6,20.6,15
2025-10-09,611,20.8,20.8,20.8,20.8,19
2025-10-09,708,20.6,20.6,20.6,20.6,77
2025-10-09,746,20.4,20.4,20.4,20.4,10
2025-10-09,750,20.2,20.2,20.2,20.2,14
2025-10-09,800,20.8,21.0,19.6,19.6,513
2025-10-09,806,19.6,19.6,19.6,19.6,15
2025-10-09,810,20.2,20.2,20.2,20.2,5
2025-10-09,818,20.6,20.6,20.6,20.6,10
2025-10-09,842,19.9,19.9,19.9,19.9,150
2025-10-09,850,20.6,20.6,20.6,20.6,10
2025-10-09,851,20.6,20.6,20.4,20.4,55
2025-10-09,857,20.4,20.4,20.4,20.4,125
2025-10-09,859,19.8,19.8,19.8,19.8,10
2025-10-09,905,19.8,19.8,19.8,19.8,5
2025-10-09,909,20.39,20.39,20.39,20.39,25
2025-10-09,914,20.0,20.0,20.0,20.0,25
2025-10-09,918,20.0,20.0,20.0,20.0,21
2025-10-09,923,20.4,20.4,20.4,20.4,5
2025-10-09,924,20.4,20.6,20.4,20.4,55
2025-10-09,928,20.58,20.58,20.58,20.58,7
2025-10-09,930,20.4,20.4,20.3,20.4,1605
2025-10-09,932,20.24,20.4,20.24,20.4,30
2025-10-09,933,20.58,20.58,20.58,20.58,22
2025-10-09,934,20.2,20.4,20.2,20.4,137
2025-10-09,936,20.6,20.6,20.6,20.6,171
2025-10-09,937,20.6,21.0,20.4,20.8,826
2025-10-09,938,20.9,21.4,20.84,21.0,896
2025-10-09,939,21.3,21.3,21.3,21.3,17
2025-10-09,940,20.56,20.56,20.56,20.56,23
2025-10-09,941,21.13,21.13,21.13,21.13,25
2025-10-09,942,20.91,20.91,20.68,20.9,123
2025-10-09,943,20.8,20.8,20.6,20.6,59
2025-10-09,944,20.4,20.59,20.4,20.59,38
2025-10-09,945,20.4,20.4,20.4,20.4,145
2025-10-09,946,20.2,20.2,20.02,20.12,2529
2025-10-09,947,20.6,20.6,20.3,20.3,260
2025-10-09,948,20.3,20.59,20.02,20.59,1055
2025-10-09,949,20.4,20.4,19.9,19.9,1489
2025-10-09,950,20.0,20.0,19.91,19.91,252
2025-10-09,951,20.0,20.0,20.0,20.0,12
2025-10-09,952,19.91,19.91,19.7,19.7,373
2025-10-09,953,19.7,19.7,19.7,19.7,5
2025-10-09,954,19.7,19.85,19.6,19.6,494
2025-10-09,955,19.6,19.78,19.6,19.78,162
2025-10-09,956,20.0,20.0,19.6,19.7,39
2025-10-09,957,19.6,19.67,19.44,19.45,514
2025-10-09,958,19.46,19.72,19.45,19.72,300
2025-10-09,959,19.46,19.63,19.46,19.47,280
2025-10-09,1000,19.45,19.46,19.45,19.45,86
2025-10-09,1001,19.72,19.82,19.45,19.72,200
2025-10-09,1002,19.45,19.72,19.45,19.72,253
2025-10-09,1003,19.57,19.72,19.57,19.72,449
2025-10-09,1004,19.73,19.74,19.73,19.74,100
2025-10-09,1005,19.72,19.73,19.72,19.72,153
2025-10-09,1006,19.72,19.72,19.72,19.72,150
2025-10-09,1008,19.72,19.73,19.68,19.73,3623
2025-10-09,1009,19.72,19.72,19.68,19.68,30
2025-10-09,1010,19.68,19.68,19.68,19.68,48
2025-10-09,1011,19.68,19.68,19.68,19.68,100
2025-10-09,1012,19.68,19.68,19.6,19.6,101
2025-10-09,1013,19.6,19.6,19.0,19.0,1388
2025-10-09,1014,19.01,19.4,19.0,19.0,1114
2025-10-09,1015,19.02,19.08,19.0,19.0,202
2025-10-09,1016,19.0,19.0,17.63,18.6,3704
2025-10-09,1017,18.6,18.6,18.41,18.6,2550
2025-10-09,1018,18.79,18.79,18.4,18.42,257
2025-10-09,1019,18.36,18.79,18.36,18.58,536
2025-10-09,1020,18.36,18.43,18.36,18.43,59
2025-10-09,1021,18.36,18.4,18.36,18.4,144
2025-10-09,1022,18.4,18.4,18.08,18.08,1673
2025-10-09,1023,18.4,18.54,18.38,18.4,209
2025-10-09,1024,18.3,18.3,18.02,18.02,803
2025-10-09,1025,18.4,18.4,18.08,18.26,529
2025-10-09,1026,18.27,18.27,18.02,18.02,556
2025-10-09,1027,18.2,18.2,17.62,17.62,237
2025-10-09,1028,18.0,18.0,17.8,17.8,251
2025-10-09,1029,17.8,17.83,17.79,17.83,1886
2025-10-09,1030,17.83,17.83,17.62,17.62,481
2025-10-09,1031,17.66,17.66,17.38,17.4,2139
2025-10-09,1032,17.39,17.39,16.78,17.02,1172
2025-10-09,1033,16.93,17.31,16.93,17.31,119
2025-10-09,1034,17.34,17.34,16.92,16.93,361
2025-10-09,1035,17.33,17.33,17.0,17.0,2038
2025-10-09,1036,17.2,17.2,17.1,17.1,328
2025-10-09,1037,17.14,17.2,17.14,17.2,529
2025-10-09,1038,17.41,17.52,17.39,17.39,807
2025-10-09,1039,17.52,17.56,17.2,17.55,1219
2025-10-09,1040,17.6,17.71,17.6,17.71,72
