date,time,open,high,low,close,volume
2025-10-28,402,3.22,3.22,3.22,3.22,1125
2025-10-28,404,3.26,3.26,3.21,3.21,4654
2025-10-28,405,3.23,3.23,3.23,3.23,159
2025-10-28,406,3.23,3.23,3.23,3.23,1603
2025-10-28,407,3.24,3.24,3.24,3.24,250
2025-10-28,408,3.24,3.24,3.22,3.22,2646
2025-10-28,409,3.22,3.22,3.22,3.22,350
2025-10-28,425,3.27,3.27,3.27,3.27,500
2025-10-28,431,3.27,3.27,3.27,3.27,140
2025-10-28,433,3.28,3.28,3.28,3.28,300
2025-10-28,434,3.3,3.3,3.3,3.3,400
2025-10-28,436,3.31,3.31,3.29,3.29,2246
2025-10-28,441,3.29,3.29,3.29,3.29,3000
2025-10-28,456,3.27,3.27,3.26,3.26,999
2025-10-28,500,3.26,3.26,3.26,3.26,191
2025-10-28,507,3.32,3.45,3.32,3.44,14398
2025-10-28,508,3.44,3.44,3.39,3.39,1302
2025-10-28,532,3.37,3.37,3.37,3.37,500
2025-10-28,547,3.32,3.33,3.32,3.33,300
2025-10-28,549,3.32,3.37,3.32,3.36,10452
2025-10-28,556,3.35,3.37,3.35,3.37,2636
2025-10-28,557,3.38,3.38,3.37,3.37,2486
2025-10-28,558,3.37,3.38,3.37,3.38,1073
2025-10-28,559,3.38,3.38,3.38,3.38,100
2025-10-28,610,3.39,3.4,3.39,3.4,2946
2025-10-28,619,3.39,3.39,3.39,3.39,280
2025-10-28,620,3.39,3.39,3.38,3.38,1706
2025-10-28,627,3.38,3.38,3.38,3.38,322
2025-10-28,629,3.4,3.4,3.38,3.38,1460
2025-10-28,633,3.38,3.38,3.38,3.38,196
2025-10-28,637,3.39,3.39,3.39,3.39,300
2025-10-28,646,3.38,3.38,3.38,3.38,129
2025-10-28,647,3.38,3.38,3.38,3.38,100
2025-10-28,652,3.38,3.38,3.36,3.36,2494
2025-10-28,654,3.35,3.35,3.35,3.35,100
2025-10-28,700,3.33,3.33,3.29,3.29,1143
2025-10-28,703,3.29,3.3,3.29,3.29,4258
2025-10-28,706,3.28,3.28,3.28,3.28,204
2025-10-28,707,3.279,3.279,3.26,3.265,982
2025-10-28,708,3.27,3.27,3.27,3.27,2368
2025-10-28,710,3.28,3.28,3.26,3.26,4000
2025-10-28,716,3.28,3.28,3.28,3.28,100
2025-10-28,718,3.27,3.27,3.26,3.26,2939
2025-10-28,719,3.25,3.25,3.25,3.25,3013
2025-10-28,720,3.249,3.249,3.23,3.23,1000
2025-10-28,722,3.23,3.23,3.23,3.23,1700
2025-10-28,723,3.24,3.24,3.221,3.221,1945
2025-10-28,725,3.22,3.22,3.22,3.22,693
2025-10-28,728,3.235,3.235,3.23,3.235,572
2025-10-28,729,3.26,3.26,3.245,3.26,5597
2025-10-28,730,3.27,3.29,3.26,3.29,7001
2025-10-28,732,3.27,3.27,3.27,3.27,624
2025-10-28,734,3.27,3.27,3.27,3.27,667
2025-10-28,738,3.275,3.29,3.275,3.29,2575
2025-10-28,739,3.28,3.28,3.28,3.28,612
2025-10-28,740,3.25,3.25,3.25,3.25,667
2025-10-28,742,3.249,3.26,3.249,3.26,1882
2025-10-28,743,3.25,3.25,3.25,3.25,100
2025-10-28,747,3.26,3.26,3.26,3.26,100
2025-10-28,748,3.26,3.26,3.26,3.26,286
2025-10-28,749,3.26,3.26,3.26,3.26,708
2025-10-28,754,3.26,3.26,3.26,3.26,100
2025-10-28,758,3.26,3.26,3.26,3.26,132
2025-10-28,800,3.29,3.43,3.14,3.38,89606
2025-10-28,802,3.285,3.29,3.285,3.29,417
2025-10-28,803,3.28,3.28,3.28,3.28,113
2025-10-28,806,3.28,3.28,3.28,3.28,4186
2025-10-28,807,3.28,3.28,3.28,3.28,14254
2025-10-28,810,3.28,3.28,3.28,3.28,602
2025-10-28,813,3.28,3.29,3.28,3.29,2781
2025-10-28,815,3.28,3.2801,3.28,3.2801,200
2025-10-28,816,3.285,3.29,3.28,3.28,3556
2025-10-28,817,3.28,3.28,3.28,3.28,503
2025-10-28,818,3.28,3.28,3.28,3.28,663
2025-10-28,819,3.27,3.27,3.26,3.26,907
2025-10-28,820,3.26,3.26,3.24,3.24,1512
2025-10-28,823,3.259,3.26,3.259,3.26,200
2025-10-28,824,3.24,3.24,3.24,3.24,808
2025-10-28,825,3.23,3.259,3.23,3.259,516
2025-10-28,826,3.26,3.26,3.26,3.26,1436
2025-10-28,827,3.26,3.26,3.23,3.2399,671
2025-10-28,828,3.24,3.24,3.24,3.24,5345
2025-10-28,829,3.23,3.27,3.23,3.27,7616
2025-10-28,832,3.26,3.26,3.2589,3.2589,201
2025-10-28,833,3.2511,3.2511,3.25,3.25,1404
2025-10-28,834,3.24,3.24,3.24,3.24,4820
2025-10-28,835,3.259,3.28,3.24,3.2412,10660
2025-10-28,836,3.2402,3.2402,3.2402,3.2402,215
2025-10-28,837,3.27,3.27,3.27,3.27,336
2025-10-28,838,3.27,3.27,3.27,3.27,290
2025-10-28,839,3.27,3.27,3.27,3.27,1006
2025-10-28,841,3.26,3.26,3.25,3.25,1010
2025-10-28,843,3.25,3.25,3.24,3.24,274
2025-10-28,844,3.24,3.25,3.2,3.22,20353
2025-10-28,845,3.21,3.21,3.21,3.21,1014
2025-10-28,846,3.229,3.23,3.229,3.23,330
2025-10-28,848,3.22,3.22,3.2,3.2,6040
2025-10-28,849,3.205,3.205,3.205,3.205,100
2025-10-28,850,3.2012,3.2012,3.2,3.2,4294
2025-10-28,851,3.2,3.23,3.2,3.2262,5142
2025-10-28,852,3.2294,3.2299,3.2,3.2,2459
2025-10-28,853,3.2294,3.2294,3.2,3.2,937
2025-10-28,854,3.2,3.21,3.1911,3.21,8808
2025-10-28,855,3.209,3.21,3.1904,3.191,5410
2025-10-28,857,3.19,3.19,3.19,3.19,513
2025-10-28,858,3.19,3.19,3.1899,3.1899,2532
2025-10-28,859,3.19,3.19,3.18,3.18,6179
2025-10-28,900,3.1811,3.2,3.1811,3.2,1656
2025-10-28,901,3.21,3.21,3.21,3.21,941
2025-10-28,902,3.2097,3.2097,3.2097,3.2097,270
2025-10-28,903,3.2,3.21,3.2,3.2001,1330
2025-10-28,904,3.191,3.1998,3.19,3.19,893
2025-10-28,905,3.2,3.2,3.2,3.2,2542
2025-10-28,907,3.2,3.21,3.2,3.21,3790
2025-10-28,908,3.22,3.23,3.22,3.23,1645
2025-10-28,909,3.2111,3.2111,3.2111,3.2111,1059
2025-10-28,910,3.211,3.211,3.19,3.19,3215
2025-10-28,911,3.18,3.18,3.18,3.18,6301
2025-10-28,912,3.19,3.2,3.19,3.19,4657
2025-10-28,913,3.19,3.1901,3.19,3.1901,293
2025-10-28,914,3.19,3.19,3.17,3.17,1387
2025-10-28,915,3.18,3.18,3.18,3.18,602
2025-10-28,916,3.1816,3.1816,3.1816,3.1816,202
2025-10-28,917,3.2,3.22,3.2,3.22,1446
2025-10-28,918,3.21,3.21,3.2,3.2,1302
2025-10-28,920,3.2098,3.2098,3.2098,3.2098,400
2025-10-28,921,3.21,3.21,3.21,3.21,259
2025-10-28,922,3.2195,3.2195,3.2195,3.2195,3025
2025-10-28,923,3.22,3.22,3.22,3.22,1500
2025-10-28,924,3.21,3.21,3.21,3.21,141
2025-10-28,927,3.22,3.22,3.22,3.22,1372
2025-10-28,928,3.2786,3.2786,3.22,3.22,822
2025-10-28,930,3.27,3.4,3.25,3.4,204557
2025-10-28,931,3.39,3.5,3.39,3.48,67419
2025-10-28,932,3.4799,3.48,3.36,3.36,23896
2025-10-28,933,3.36,3.36,3.31,3.3147,41913
2025-10-28,934,3.31,3.31,3.23,3.26,59657
2025-10-28,935,3.26,3.3297,3.24,3.3066,64789
2025-10-28,936,3.3299,3.35,3.31,3.34,4250
2025-10-28,937,3.3499,3.3499,3.29,3.2999,28321
2025-10-28,938,3.29,3.29,3.23,3.24,75091
2025-10-28,939,3.235,3.239,3.21,3.231,51112
2025-10-28,940,3.23,3.25,3.23,3.2481,9120
2025-10-28,941,3.23,3.2499,3.23,3.24,22763
2025-10-28,942,3.24,3.26,3.23,3.2317,8842
2025-10-28,943,3.2301,3.24,3.19,3.19,62565
2025-10-28,944,3.21,3.2341,3.21,3.23,18958
2025-10-28,945,3.23,3.24,3.22,3.23,12585
2025-10-28,946,3.24,3.2699,3.23,3.2686,16175
2025-10-28,947,3.265,3.285,3.26,3.27,12497
