date,time,open,high,low,close,volume
2025-10-28,420,0.8275,0.8275,0.8275,0.8275,311
2025-10-28,434,0.8275,0.8275,0.8275,0.8275,200
2025-10-28,440,0.8275,0.8275,0.8275,0.8275,913
2025-10-28,517,0.8217,0.8217,0.8217,0.8217,1100
2025-10-28,536,0.805,0.805,0.805,0.805,1288
2025-10-28,615,0.806,0.808,0.805,0.805,1201
2025-10-28,616,0.8,0.8,0.79,0.79,3230
2025-10-28,626,0.791,0.791,0.7806,0.7806,8316
2025-10-28,638,0.7825,0.7825,0.7825,0.7825,495
2025-10-28,700,0.8196,0.8196,0.799,0.799,500
2025-10-28,703,0.799,0.799,0.799,0.799,246
2025-10-28,706,0.81,0.81,0.81,0.81,164
2025-10-28,710,0.8092,0.8092,0.8092,0.8092,1057
2025-10-28,714,0.8088,0.8088,0.8088,0.8088,1000
2025-10-28,738,0.8058,0.8058,0.8058,0.8058,200
2025-10-28,754,0.791,0.7918,0.7907,0.7907,1300
2025-10-28,757,0.8048,0.8048,0.8048,0.8048,900
2025-10-28,800,0.79,0.865,0.79,0.805,26119
2025-10-28,805,0.8467,0.8467,0.8467,0.8467,225
2025-10-28,834,0.7917,0.795,0.7901,0.795,5800
2025-10-28,837,0.8045,0.8045,0.8045,0.8045,250
2025-10-28,909,0.812,0.812,0.812,0.812,1300
2025-10-28,910,0.8025,0.8025,0.8025,0.8025,2000
2025-10-28,914,0.804,0.808,0.804,0.808,1373
2025-10-28,922,0.83,0.83,0.83,0.83,100
2025-10-28,930,0.8,0.8199,0.8,0.8199,2622
2025-10-28,931,0.8,0.8,0.8,0.8,450
2025-10-28,932,0.795,0.8147,0.795,0.8147,613
2025-10-28,938,0.7915,0.7938,0.7903,0.7938,3610
2025-10-28,939,0.791,0.791,0.791,0.791,1009
2025-10-28,940,0.7903,0.7903,0.7903,0.7903,147
2025-10-28,943,0.8069,0.8069,0.8069,0.8069,112
2025-10-28,947,0.7994,0.7994,0.7994,0.7994,170
2025-10-28,950,0.794,0.7994,0.7938,0.7938,686
2025-10-28,951,0.7903,0.7903,0.7903,0.7903,1087
2025-10-28,952,0.7938,0.7938,0.7938,0.7938,1681
2025-10-28,954,0.8001,0.8001,0.8001,0.8001,100
2025-10-28,1002,0.7903,0.7959,0.7903,0.7959,544
2025-10-28,1003,0.7992,0.818,0.7992,0.818,14082
2025-10-28,1004,0.82,0.83,0.82,0.83,15710
2025-10-28,1006,0.83,0.84,0.83,0.84,1601
2025-10-28,1007,0.83,0.83,0.791,0.791,667
2025-10-28,1008,0.7938,0.7938,0.792,0.792,4852
2025-10-28,1009,0.815,0.815,0.815,0.815,168
2025-10-28,1013,0.818,0.83,0.818,0.83,7533
2025-10-28,1014,0.83,0.8467,0.83,0.845,18198
2025-10-28,1015,0.845,0.8465,0.8184,0.8184,16564
2025-10-28,1016,0.8466,0.8466,0.8466,0.8466,1000
2025-10-28,1017,0.8466,0.8466,0.8203,0.8203,2575
2025-10-28,1018,0.8305,0.84,0.8305,0.84,407
2025-10-28,1019,0.8399,0.8439,0.8399,0.8414,13692
2025-10-28,1020,0.8401,0.8466,0.8351,0.8351,2621
2025-10-28,1021,0.8492,0.8492,0.8492,0.8492,300
2025-10-28,1023,0.8421,0.8421,0.8366,0.8366,3581
2025-10-28,1024,0.8427,0.8436,0.8427,0.8436,835
2025-10-28,1027,0.8436,0.845,0.8436,0.845,517
