date,time,open,high,low,close,volume
2025-10-29,928,6.59,6.59,6.59,6.59,110
2025-10-29,930,6.51,6.55,6.5,6.5006,20422
2025-10-29,931,6.51,6.52,6.5,6.52,3293
2025-10-29,932,6.5,6.51,6.495,6.495,3105
2025-10-29,933,6.5,6.5,6.5,6.5,3591
2025-10-29,934,6.5,6.5,6.4623,6.4623,905
2025-10-29,935,6.5,6.5198,6.46,6.46,2188
2025-10-29,936,6.48,6.48,6.48,6.48,192
2025-10-29,937,6.4604,6.47,6.45,6.45,12155
2025-10-29,938,6.445,6.4477,6.429,6.44,2277
2025-10-29,939,6.435,6.435,6.42,6.42,1163
2025-10-29,940,6.3923,6.41,6.3923,6.41,1376
2025-10-29,941,6.39,6.39,6.3514,6.39,1650
2025-10-29,942,6.382,6.4077,6.382,6.4077,11950
2025-10-29,943,6.4,6.4098,6.39,6.39,1769
2025-10-29,944,6.36,6.36,6.35,6.352,3507
2025-10-29,945,6.36,6.36,6.33,6.34,2451
2025-10-29,946,6.33,6.343,6.32,6.34,4960
2025-10-29,947,6.33,6.34,6.32,6.32,6777
2025-10-29,948,6.31,6.31,6.3029,6.31,1402
2025-10-29,949,6.3,6.32,6.3,6.3,4782
2025-10-29,950,6.282,6.3069,6.282,6.3,1536
2025-10-29,951,6.305,6.33,6.305,6.33,1264
2025-10-29,953,6.325,6.34,6.325,6.34,3538
2025-10-29,954,6.37,6.37,6.355,6.355,734
2025-10-29,955,6.35,6.38,6.34,6.38,12206
2025-10-29,956,6.38,6.38,6.38,6.38,547
2025-10-29,957,6.39,6.39,6.34,6.34,959
2025-10-29,958,6.345,6.345,6.345,6.345,166
2025-10-29,959,6.345,6.345,6.34,6.34,481
2025-10-29,1000,6.34,6.34,6.34,6.34,333
2025-10-29,1001,6.335,6.335,6.335,6.335,223
2025-10-29,1002,6.335,6.335,6.335,6.335,378
2025-10-29,1003,6.36,6.36,6.35,6.36,1054
2025-10-29,1004,6.35,6.35,6.34,6.35,1831
