date,time,open,high,low,close,volume
2025-10-29,412,1.83,1.83,1.83,1.83,215
2025-10-29,436,1.77,1.77,1.77,1.77,500
2025-10-29,725,1.79,1.81,1.79,1.81,2707
2025-10-29,733,1.82,1.82,1.82,1.82,1165
2025-10-29,746,1.83,1.83,1.83,1.83,210
2025-10-29,800,1.77,1.82,1.77,1.82,2327
2025-10-29,911,1.82,1.82,1.8199,1.8199,319
2025-10-29,914,1.79,1.79,1.79,1.79,128
2025-10-29,928,1.8,1.8,1.79,1.79,759
2025-10-29,929,1.77,1.78,1.77,1.77,493
2025-10-29,930,1.76,1.8318,1.76,1.8318,10925
2025-10-29,933,1.82,1.8683,1.82,1.8683,590
2025-10-29,934,1.87,1.87,1.82,1.82,421
2025-10-29,935,1.82,1.82,1.7778,1.7778,529
2025-10-29,936,1.77,1.78,1.77,1.78,6947
2025-10-29,937,1.78,1.78,1.77,1.77,2198
2025-10-29,938,1.75,1.77,1.7007,1.735,1844
2025-10-29,940,1.74,1.74,1.74,1.74,290
2025-10-29,941,1.7449,1.7449,1.7449,1.7449,3003
2025-10-29,942,1.75,1.75,1.7401,1.7401,4990
2025-10-29,944,1.745,1.745,1.745,1.745,617
2025-10-29,945,1.7262,1.7262,1.7262,1.7262,250
2025-10-29,947,1.726,1.726,1.726,1.726,114
2025-10-29,948,1.735,1.735,1.735,1.735,439
2025-10-29,950,1.7204,1.7204,1.7204,1.7204,720
2025-10-29,952,1.735,1.8,1.735,1.8,61086
2025-10-29,953,1.8,1.8,1.8,1.8,50006
2025-10-29,954,1.79,1.8,1.785,1.8,100271
2025-10-29,955,1.78,1.8,1.78,1.7942,103831
2025-10-29,956,1.8,1.8,1.79,1.8,102963
2025-10-29,957,1.8,1.8,1.8,1.8,50002
2025-10-29,958,1.795,1.8,1.79,1.79,104220
2025-10-29,959,1.79,1.8,1.77,1.8,103463
2025-10-29,1000,1.8,1.81,1.755,1.755,92464
2025-10-29,1001,1.7101,1.84,1.7101,1.83,44931
2025-10-29,1002,1.8,1.82,1.79,1.8,56619
2025-10-29,1003,1.79,1.84,1.79,1.84,4720
2025-10-29,1004,1.83,1.84,1.79,1.8,79092
2025-10-29,1007,1.77,1.79,1.77,1.79,5373
2025-10-29,1008,1.796,1.796,1.796,1.796,107
2025-10-29,1010,1.78,1.78,1.78,1.78,200
2025-10-29,1011,1.79,1.79,1.79,1.79,821
2025-10-29,1012,1.78,1.78,1.78,1.78,2511
2025-10-29,1013,1.78,1.78,1.78,1.78,8723
2025-10-29,1014,1.78,1.78,1.78,1.78,400
2025-10-29,1015,1.78,1.785,1.78,1.78,9068
2025-10-29,1016,1.78,1.78,1.76,1.76,39409
2025-10-29,1017,1.74,1.74,1.74,1.74,101
2025-10-29,1019,1.75,1.77,1.75,1.76,4900
2025-10-29,1020,1.76,1.76,1.76,1.76,1705
2025-10-29,1021,1.76,1.765,1.76,1.765,16350
2025-10-29,1022,1.765,1.77,1.765,1.77,5525
2025-10-29,1024,1.77,1.77,1.77,1.77,1847
2025-10-29,1025,1.77,1.77,1.77,1.77,1258
2025-10-29,1026,1.77,1.77,1.77,1.77,1630
2025-10-29,1028,1.77,1.77,1.77,1.77,299
2025-10-29,1029,1.765,1.765,1.765,1.765,505
2025-10-29,1030,1.765,1.77,1.765,1.77,1605
2025-10-29,1031,1.77,1.77,1.77,1.77,22735
2025-10-29,1032,1.765,1.765,1.765,1.765,2937
2025-10-29,1033,1.77,1.77,1.77,1.77,301
2025-10-29,1035,1.77,1.77,1.77,1.77,3905
2025-10-29,1036,1.77,1.77,1.77,1.77,1000
