date,time,open,high,low,close,volume
2025-10-29,713,0.1664,0.1664,0.1603,0.1603,1180
2025-10-29,716,0.161,0.161,0.16,0.16,1000
2025-10-29,737,0.1603,0.1603,0.1603,0.1603,362
2025-10-29,742,0.1642,0.1642,0.1642,0.1642,250
2025-10-29,754,0.1603,0.1603,0.1602,0.1603,500
2025-10-29,757,0.16,0.16,0.16,0.16,5271
2025-10-29,800,0.16,0.1664,0.16,0.16,15119
2025-10-29,801,0.1598,0.16,0.1598,0.16,791
2025-10-29,805,0.1589,0.159,0.1589,0.159,370
2025-10-29,807,0.1554,0.1554,0.1552,0.1552,288
2025-10-29,817,0.158,0.158,0.158,0.158,1001
2025-10-29,818,0.158,0.158,0.158,0.158,1000
2025-10-29,822,0.158,0.158,0.158,0.158,126
2025-10-29,824,0.158,0.158,0.158,0.158,1001
2025-10-29,839,0.1579,0.1579,0.1579,0.1579,1000
2025-10-29,843,0.1579,0.1579,0.1579,0.1579,2101
2025-10-29,846,0.1585,0.1585,0.158,0.158,690
2025-10-29,849,0.168,0.168,0.168,0.168,401
2025-10-29,852,0.168,0.168,0.168,0.168,100
2025-10-29,857,0.1584,0.1584,0.158,0.158,8000
2025-10-29,903,0.158,0.158,0.158,0.158,110
2025-10-29,907,0.1581,0.1581,0.158,0.158,2972
2025-10-29,913,0.158,0.158,0.158,0.158,2028
2025-10-29,915,0.1611,0.1611,0.1611,0.1611,1427
2025-10-29,930,0.1677,0.1677,0.1643,0.1643,4191
2025-10-29,932,0.1611,0.1611,0.1611,0.1611,1156
2025-10-29,935,0.1571,0.1584,0.157,0.1584,5650
2025-10-29,940,0.1584,0.1584,0.1584,0.1584,100
2025-10-29,943,0.157,0.157,0.157,0.157,50781
2025-10-29,944,0.1582,0.1582,0.157,0.157,93200
2025-10-29,945,0.1589,0.1589,0.1582,0.1582,400
2025-10-29,946,0.157,0.1592,0.157,0.157,12300
2025-10-29,947,0.1586,0.1586,0.1586,0.1586,100
2025-10-29,952,0.1572,0.1572,0.1572,0.1572,200
2025-10-29,956,0.158,0.158,0.158,0.158,188
2025-10-29,957,0.1577,0.1577,0.1577,0.1577,300
2025-10-29,1002,0.1569,0.1569,0.1569,0.1569,500
2025-10-29,1004,0.1569,0.1569,0.1569,0.1569,1000
2025-10-29,1007,0.1572,0.1576,0.1572,0.1576,364
2025-10-29,1008,0.157,0.157,0.157,0.157,1930
2025-10-29,1011,0.157,0.157,0.157,0.157,100
2025-10-29,1014,0.1576,0.1576,0.157,0.157,400
2025-10-29,1015,0.1576,0.1576,0.1576,0.1576,550
2025-10-29,1016,0.1578,0.1578,0.1578,0.1578,251
2025-10-29,1018,0.1585,0.1596,0.1585,0.1596,400
2025-10-29,1019,0.1585,0.1585,0.1585,0.1585,2450
2025-10-29,1020,0.1571,0.1571,0.1571,0.1571,500
2025-10-29,1025,0.1581,0.1581,0.1581,0.1581,180
2025-10-29,1031,0.158,0.158,0.158,0.158,300
2025-10-29,1033,0.1572,0.1572,0.1572,0.1572,403
2025-10-29,1035,0.1576,0.1576,0.1572,0.1572,2713
2025-10-29,1040,0.1573,0.1576,0.1542,0.1576,101917
2025-10-29,1042,0.1575,0.1575,0.1575,0.1575,8000
2025-10-29,1045,0.1575,0.1575,0.1575,0.1575,300
2025-10-29,1053,0.1574,0.1574,0.1574,0.1574,500
2025-10-29,1057,0.155,0.1573,0.155,0.1573,6900
2025-10-29,1059,0.1562,0.1562,0.156,0.156,2000
2025-10-29,1102,0.1557,0.1557,0.1553,0.1553,1500
2025-10-29,1104,0.1554,0.1554,0.1554,0.1554,2000
2025-10-29,1105,0.1554,0.1562,0.1551,0.1552,11210
2025-10-29,1107,0.1566,0.1572,0.1566,0.1572,18000
2025-10-29,1125,0.1562,0.157,0.1562,0.157,778
2025-10-29,1135,0.1571,0.1593,0.1571,0.1593,954
2025-10-29,1141,0.1588,0.1588,0.1588,0.1588,3771
2025-10-29,1145,0.1572,0.158,0.1572,0.158,600
2025-10-29,1146,0.1589,0.1596,0.1588,0.1588,730
2025-10-29,1148,0.1595,0.1595,0.1595,0.1595,250
2025-10-29,1151,0.1589,0.1589,0.1588,0.1588,1052
2025-10-29,1206,0.1586,0.1587,0.1586,0.1587,5100
2025-10-29,1221,0.1585,0.1585,0.1585,0.1585,100
